"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"30796","32","text","0","30804","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"25509","","instructions","1","56317","0.0-1.0","[{""page_index"":0,""viewing_time"":25508}]","","","","","","","","","","","","","","","",""
"34858","","survey-multi-choice","2","91263","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","98330","0.0-3.0","","{""age"":""18"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","108671","0.0-4.0","","","1-1","8803","40","0","Training","Stims/Figures/86-C-30-1.bmp","va:sha:va","Down","38","1","1","3B","C1","C","1"
"","","approach-retreat","5","117479","0.0-5.0","","","1-1","7294","39","1","Training","Stims/Figures/44-C-30-3.bmp","va:sha:va","Left","39","1","2","3B","C1","C","2"
"","","approach-retreat","6","126033","0.0-6.0","","","1-1","7039","38","0","Training","Stims/Figures/7-C-20-4.bmp","va:sha:va","Up","40","1","3","3B","C1","C","3"
"","","approach-retreat","7","132685","0.0-7.0","","","1-1","5139","40","1","Training","Stims/Figures/102-C-20-4.bmp","va:sha:va","Up","40","1","4","3B","C1","C","4"
"","","approach-retreat","8","140194","0.0-8.0","","","1-1","5996","38","0","Training","Stims/Figures/94-J-0-2.bmp","za:haza","Down","40","1","5","3B","C2","C","5"
"","","approach-retreat","9","146973","0.0-9.0","","","1-1","5265","37","0","Training","Stims/Figures/27-C-30-1.bmp","va:sha:va","Left","39","1","6","3B","C1","C","6"
"","","approach-retreat","10","153967","0.0-10.0","","","1-1","5482","37","1","Training","Stims/Figures/27-J-0-1.bmp","za:haza","Left","37","1","7","3B","C2","C","7"
"","","approach-retreat","11","160684","0.0-11.0","","","1-1","5203","39","1","Training","Stims/Figures/102-J-10-4.bmp","za:haza","Right","39","1","8","3B","C2","C","8"
"","","approach-retreat","12","167144","0.0-12.0","","","1-1","4946","40","0","Training","Stims/Figures/86-J-0-1.bmp","za:haza","Up","38","1","9","3B","C2","C","9"
"","","approach-retreat","13","173702","0.0-13.0","","","1-1","5046","40","1","Training","Stims/Figures/85-C-20-2.bmp","va:sha:va","Up","40","1","10","3B","C1","C","10"
"","","approach-retreat","14","180414","0.0-14.0","","","1-1","5198","37","1","Training","Stims/Figures/144-C-30-3.bmp","va:sha:va","Right","37","1","11","3B","C1","C","11"
"","","approach-retreat","15","188190","0.0-15.0","","","1-1","6264","37","1","Training","Stims/Figures/94-C-20-2.bmp","va:sha:va","Right","37","1","12","3B","C1","C","12"
"","","approach-retreat","16","194862","0.0-16.0","","","1-1","5159","39","0","Training","Stims/Figures/85-J-0-2.bmp","za:haza","Left","37","1","13","3B","C2","C","13"
"","","approach-retreat","17","201389","0.0-17.0","","","1-1","5014","39","1","Training","Stims/Figures/44-J-10-3.bmp","za:haza","Right","39","1","14","3B","C2","C","14"
"","","approach-retreat","18","207430","0.0-18.0","","","1-1","4529","40","1","Training","Stims/Figures/7-J-10-4.bmp","za:haza","Down","40","1","15","3B","C2","C","15"
"","","approach-retreat","19","214261","0.0-19.0","","","1-1","5317","38","0","Training","Stims/Figures/144-J-10-3.bmp","za:haza","Down","40","1","16","3B","C2","C","16"
"","","approach-retreat","20","220536","0.0-20.0","","","1-1","4768","37","0","Training","Stims/Figures/144-J-10-3.bmp","za:haza","Right","39","2","1","3B","C2","C","17"
"","","approach-retreat","21","227002","0.0-21.0","","","1-1","4950","38","1","Training","Stims/Figures/27-C-30-1.bmp","va:sha:va","Down","38","2","2","3B","C1","C","18"
"","","approach-retreat","22","233246","0.0-22.0","","","1-1","4734","40","1","Training","Stims/Figures/7-J-10-4.bmp","za:haza","Down","40","2","3","3B","C2","C","19"
"","","approach-retreat","23","239928","0.0-23.0","","","1-1","5167","37","0","Training","Stims/Figures/86-C-30-1.bmp","va:sha:va","Left","39","2","4","3B","C1","C","20"
"","","approach-retreat","24","246642","0.0-24.0","","","1-1","5207","38","1","Training","Stims/Figures/27-J-0-1.bmp","za:haza","Up","38","2","5","3B","C2","C","21"
"","","approach-retreat","25","254072","0.0-25.0","","","1-1","5916","37","1","Training","Stims/Figures/86-J-0-1.bmp","za:haza","Left","37","2","6","3B","C2","C","22"
"","","approach-retreat","26","262595","0.0-26.0","","","1-1","7009","40","1","Training","Stims/Figures/102-J-10-4.bmp","za:haza","Down","40","2","7","3B","C2","C","23"
"","","approach-retreat","27","270308","0.0-27.0","","","1-1","6200","39","0","Training","Stims/Figures/85-J-0-2.bmp","za:haza","Left","37","2","8","3B","C2","C","24"
"","","approach-retreat","28","276468","0.0-28.0","","","1-1","4647","40","1","Training","Stims/Figures/85-C-20-2.bmp","va:sha:va","Up","40","2","9","3B","C1","C","25"
"","","approach-retreat","29","282451","0.0-29.0","","","1-1","4470","40","1","Training","Stims/Figures/44-C-30-3.bmp","va:sha:va","Up","40","2","10","3B","C1","C","26"
"","","approach-retreat","30","289103","0.0-30.0","","","1-1","5139","39","0","Training","Stims/Figures/7-C-20-4.bmp","va:sha:va","Right","37","2","11","3B","C1","C","27"
"","","approach-retreat","31","295535","0.0-31.0","","","1-1","4921","37","1","Training","Stims/Figures/94-J-0-2.bmp","za:haza","Left","37","2","12","3B","C2","C","28"
"","","approach-retreat","32","302997","0.0-32.0","","","1-1","5947","37","1","Training","Stims/Figures/144-C-30-3.bmp","va:sha:va","Right","37","2","13","3B","C1","C","29"
"","","approach-retreat","33","309650","0.0-33.0","","","1-1","5139","38","0","Training","Stims/Figures/44-J-10-3.bmp","za:haza","Down","40","2","14","3B","C2","C","30"
"","","approach-retreat","34","316049","0.0-34.0","","","1-1","4885","40","1","Training","Stims/Figures/102-C-20-4.bmp","va:sha:va","Up","40","2","15","3B","C1","C","31"
"","","approach-retreat","35","322857","0.0-35.0","","","1-1","5294","37","1","Training","Stims/Figures/94-C-20-2.bmp","va:sha:va","Right","37","2","16","3B","C1","C","32"
"","","approach-retreat","36","329381","0.0-36.0","","","1-1","5011","38","1","Training","Stims/Figures/27-J-0-1.bmp","za:haza","Up","38","3","1","3B","C2","C","33"
"","","approach-retreat","37","336394","0.0-37.0","","","1-1","5500","39","1","Training","Stims/Figures/7-C-20-4.bmp","va:sha:va","Left","39","3","2","3B","C1","C","34"
"","","approach-retreat","38","342766","0.0-38.0","","","1-1","4857","37","1","Training","Stims/Figures/94-J-0-2.bmp","za:haza","Left","37","3","3","3B","C2","C","35"
"","","approach-retreat","39","350009","0.0-39.0","","","1-1","5730","37","0","Training","Stims/Figures/27-C-30-1.bmp","va:sha:va","Left","39","3","4","3B","C1","C","36"
"","","approach-retreat","40","356283","0.0-40.0","","","1-1","4762","39","1","Training","Stims/Figures/7-J-10-4.bmp","za:haza","Right","39","3","5","3B","C2","C","37"
"","","approach-retreat","41","363808","0.0-41.0","","","1-1","6011","37","1","Training","Stims/Figures/102-J-10-4.bmp","za:haza","Left","37","3","6","3B","C2","C","38"
