"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"66914","32","text","0","66917","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"263980","","instructions","1","330899","0.0-1.0","[{""page_index"":0,""viewing_time"":263979}]","","","","","","","","","","","","","","","",""
"27991","","survey-multi-choice","2","358929","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","370613","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","378221","0.0-4.0","","","3-3","6037","40","0","Training","Stims/Figures/144-J-10-3.bmp","mamana","Up","38","1","1","2","S","C","1"
"","","approach-retreat","5","384855","0.0-5.0","","","3-3","5123","40","0","Training","Stims/Figures/144-C-30-3.bmp","pa:pa:ta","Down","38","1","2","2","P","C","2"
"","","approach-retreat","6","391262","0.0-6.0","","","3-3","4896","38","0","Training","Stims/Figures/118-J-0-2.bmp","mamana","Down","40","1","3","2","S","C","3"
"","","approach-retreat","7","397602","0.0-7.0","","","3-3","4829","40","0","Training","Stims/Figures/86-J-0-1.bmp","mamana","Up","38","1","4","2","S","C","4"
"","","approach-retreat","8","404977","0.0-8.0","","","3-3","5867","39","1","Training","Stims/Figures/86-C-30-1.bmp","pa:pa:ta","Left","39","1","5","2","P","C","5"
"","","approach-retreat","9","410744","0.0-9.0","","","3-3","4256","39","1","Training","Stims/Figures/93-C-30-1.bmp","pa:pa:ta","Left","39","1","6","2","P","C","6"
"","","approach-retreat","10","416438","0.0-10.0","","","3-3","4184","39","1","Training","Stims/Figures/118-C-20-2.bmp","pa:pa:ta","Left","39","1","7","2","P","C","7"
"","","approach-retreat","11","422168","0.0-11.0","","","3-3","4219","37","1","Training","Stims/Figures/102-C-20-4.bmp","pa:pa:ta","Right","37","1","8","2","P","C","8"
"","","approach-retreat","12","428025","0.0-12.0","","","3-3","4346","37","1","Training","Stims/Figures/84-C-20-2.bmp","pa:pa:ta","Right","37","1","9","2","P","C","9"
"","","approach-retreat","13","433675","0.0-13.0","","","3-3","4140","38","0","Training","Stims/Figures/128-J-10-3.bmp","mamana","Down","40","1","10","2","S","C","10"
"","","approach-retreat","14","439660","0.0-14.0","","","3-3","4476","39","1","Training","Stims/Figures/19-J-10-4.bmp","mamana","Right","39","1","11","2","S","C","11"
"","","approach-retreat","15","445686","0.0-15.0","","","3-3","4516","40","1","Training","Stims/Figures/93-J-0-1.bmp","mamana","Down","40","1","12","2","S","C","12"
"","","approach-retreat","16","451930","0.0-16.0","","","3-3","4733","38","1","Training","Stims/Figures/102-J-10-4.bmp","mamana","Up","38","1","13","2","S","C","13"
"","","approach-retreat","17","458013","0.0-17.0","","","3-3","4573","40","1","Training","Stims/Figures/128-C-30-3.bmp","pa:pa:ta","Up","40","1","14","2","P","C","14"
"","","approach-retreat","18","463672","0.0-18.0","","","3-3","4146","37","1","Training","Stims/Figures/19-C-20-4.bmp","pa:pa:ta","Right","37","1","15","2","P","C","15"
"","","approach-retreat","19","470105","0.0-19.0","","","3-3","4924","37","1","Training","Stims/Figures/84-J-0-2.bmp","mamana","Left","37","1","16","2","S","C","16"
"","","approach-retreat","20","476467","0.0-20.0","","","3-3","4853","39","1","Training","Stims/Figures/118-C-20-2.bmp","pa:pa:ta","Left","39","2","1","2","P","C","17"
"","","approach-retreat","21","482255","0.0-21.0","","","3-3","4279","37","1","Training","Stims/Figures/118-J-0-2.bmp","mamana","Left","37","2","2","2","S","C","18"
"","","approach-retreat","22","488265","0.0-22.0","","","3-3","4500","39","1","Training","Stims/Figures/102-J-10-4.bmp","mamana","Right","39","2","3","2","S","C","19"
"","","approach-retreat","23","494155","0.0-23.0","","","3-3","4382","38","1","Training","Stims/Figures/144-J-10-3.bmp","mamana","Up","38","2","4","2","S","C","20"
"","","approach-retreat","24","499953","0.0-24.0","","","3-3","4286","37","1","Training","Stims/Figures/128-C-30-3.bmp","pa:pa:ta","Right","37","2","5","2","P","C","21"
"","","approach-retreat","25","505605","0.0-25.0","","","3-3","4141","37","1","Training","Stims/Figures/19-C-20-4.bmp","pa:pa:ta","Right","37","2","6","2","P","C","22"
"","","approach-retreat","26","511469","0.0-26.0","","","3-3","4355","38","1","Training","Stims/Figures/144-C-30-3.bmp","pa:pa:ta","Down","38","2","7","2","P","C","23"
"","","approach-retreat","27","517649","0.0-27.0","","","3-3","4669","40","1","Training","Stims/Figures/102-C-20-4.bmp","pa:pa:ta","Up","40","2","8","2","P","C","24"
"","","approach-retreat","28","523332","0.0-28.0","","","3-3","4173","39","1","Training","Stims/Figures/93-C-30-1.bmp","pa:pa:ta","Left","39","2","9","2","P","C","25"
"","","approach-retreat","29","529039","0.0-29.0","","","3-3","4197","40","1","Training","Stims/Figures/86-C-30-1.bmp","pa:pa:ta","Up","40","2","10","2","P","C","26"
"","","approach-retreat","30","534745","0.0-30.0","","","3-3","4199","40","1","Training","Stims/Figures/84-J-0-2.bmp","mamana","Down","40","2","11","2","S","C","27"
"","","approach-retreat","31","540323","0.0-31.0","","","3-3","4069","38","1","Training","Stims/Figures/84-C-20-2.bmp","pa:pa:ta","Down","38","2","12","2","P","C","28"
"","","approach-retreat","32","545982","0.0-32.0","","","3-3","4148","37","1","Training","Stims/Figures/93-J-0-1.bmp","mamana","Left","37","2","13","2","S","C","29"
"","","approach-retreat","33","551647","0.0-33.0","","","3-3","4153","39","1","Training","Stims/Figures/128-J-10-3.bmp","mamana","Right","39","2","14","2","S","C","30"
"","","approach-retreat","34","557388","0.0-34.0","","","3-3","4233","38","1","Training","Stims/Figures/19-J-10-4.bmp","mamana","Up","38","2","15","2","S","C","31"
"","","approach-retreat","35","563058","0.0-35.0","","","3-3","4157","40","1","Training","Stims/Figures/86-J-0-1.bmp","mamana","Down","40","2","16","2","S","C","32"
"","","approach-retreat","36","569304","0.0-36.0","","","3-3","4739","40","1","Training","Stims/Figures/84-C-20-2.bmp","pa:pa:ta","Up","40","3","1","2","P","C","33"
"","","approach-retreat","37","574968","0.0-37.0","","","3-3","4152","37","1","Training","Stims/Figures/86-J-0-1.bmp","mamana","Left","37","3","2","2","S","C","34"
"","","approach-retreat","38","580576","0.0-38.0","","","3-3","4097","39","1","Training","Stims/Figures/128-C-30-3.bmp","pa:pa:ta","Left","39","3","3","2","P","C","35"
"","","approach-retreat","39","586330","0.0-39.0","","","3-3","4243","38","1","Training","Stims/Figures/86-C-30-1.bmp","pa:pa:ta","Down","38","3","4","2","P","C","36"
"","","approach-retreat","40","592382","0.0-40.0","","","3-3","4540","37","1","Training","Stims/Figures/102-C-20-4.bmp","pa:pa:ta","Right","37","3","5","2","P","C","37"
"","","approach-retreat","41","597942","0.0-41.0","","","3-3","4049","37","1","Training","Stims/Figures/19-C-20-4.bmp","pa:pa:ta","Right","37","3","6","2","P","C","38"
"","","approach-retreat","42","603546","0.0-42.0","","","3-3","4095","40","1","Training","Stims/Figures/102-J-10-4.bmp","mamana","Down","40","3","7","2","S","C","39"
"","","approach-retreat","43","610387","0.0-43.0","","","3-3","5330","38","1","Training","Stims/Figures/144-J-10-3.bmp","mamana","Up","38","3","8","2","S","C","40"
"","","approach-retreat","44","616022","0.0-44.0","","","3-3","4123","37","1","Training","Stims/Figures/118-C-20-2.bmp","pa:pa:ta","Right","37","3","9","2","P","C","41"
"","","approach-retreat","45","621848","0.0-45.0","","","3-3","4313","38","1","Training","Stims/Figures/93-J-0-1.bmp","mamana","Up","38","3","10","2","S","C","42"
"","","approach-retreat","46","627868","0.0-46.0","","","3-3","4508","40","1","Training","Stims/Figures/118-J-0-2.bmp","mamana","Down","40","3","11","2","S","C","43"
"","","approach-retreat","47","633492","0.0-47.0","","","3-3","4113","39","1","Training","Stims/Figures/144-C-30-3.bmp","pa:pa:ta","Left","39","3","12","2","P","C","44"
"","","approach-retreat","48","639567","0.0-48.0","","","3-3","4565","37","1","Training","Stims/Figures/19-J-10-4.bmp","mamana","Left","37","3","13","2","S","C","45"
"","","approach-retreat","49","645241","0.0-49.0","","","3-3","4163","40","1","Training","Stims/Figures/84-J-0-2.bmp","mamana","Down","40","3","14","2","S","C","46"
"","","approach-retreat","50","651204","0.0-50.0","","","3-3","4451","38","1","Training","Stims/Figures/128-J-10-3.bmp","mamana","Up","38","3","15","2","S","C","47"
"","","approach-retreat","51","657318","0.0-51.0","","","3-3","4602","37","1","Training","Stims/Figures/93-C-30-1.bmp","pa:pa:ta","Right","37","3","16","2","P","C","48"
"","","approach-retreat","52","663213","0.0-52.0","","","3-3","4385","38","1","Training","Stims/Figures/102-C-20-4.bmp","pa:pa:ta","Down","38","4","1","2","P","C","49"
"","","approach-retreat","53","668967","0.0-53.0","","","3-3","4247","37","1","Training","Stims/Figures/144-J-10-3.bmp","mamana","Left","37","4","2","2","S","C","50"
"","","approach-retreat","54","674880","0.0-54.0","","","3-3","4400","38","1","Training","Stims/Figures/102-J-10-4.bmp","mamana","Up","38","4","3","2","S","C","51"
"","","approach-retreat","55","681181","0.0-55.0","","","3-3","4791","40","1","Training","Stims/Figures/84-C-20-2.bmp","pa:pa:ta","Up","40","4","4","2","P","C","52"
"","","approach-retreat","56","687773","0.0-56.0","","","3-3","5082","39","1","Training","Stims/Figures/19-J-10-4.bmp","mamana","Right","39","4","5","2","S","C","53"
"","","approach-retreat","57","693480","0.0-57.0","","","3-3","4196","39","1","Training","Stims/Figures/19-C-20-4.bmp","pa:pa:ta","Left","39","4","6","2","P","C","54"
"","","approach-retreat","58","699257","0.0-58.0","","","3-3","4269","40","1","Training","Stims/Figures/128-J-10-3.bmp","mamana","Down","40","4","7","2","S","C","55"
"","","approach-retreat","59","705177","0.0-59.0","","","3-3","4412","39","1","Training","Stims/Figures/84-J-0-2.bmp","mamana","Right","39","4","8","2","S","C","56"
"","","approach-retreat","60","711195","0.0-60.0","","","3-3","4506","37","1","Training","Stims/Figures/128-C-30-3.bmp","pa:pa:ta","Right","37","4","9","2","P","C","57"
"","","approach-retreat","61","717179","0.0-61.0","","","3-3","4474","40","1","Training","Stims/Figures/93-J-0-1.bmp","mamana","Down","40","4","10","2","S","C","58"
"","","approach-retreat","62","722793","0.0-62.0","","","3-3","4103","37","1","Training","Stims/Figures/86-J-0-1.bmp","mamana","Left","37","4","11","2","S","C","59"
"","","approach-retreat","63","728784","0.0-63.0","","","3-3","4483","39","1","Training","Stims/Figures/118-J-0-2.bmp","mamana","Right","39","4","12","2","S","C","60"
"","","approach-retreat","64","734752","0.0-64.0","","","3-3","4458","40","1","Training","Stims/Figures/144-C-30-3.bmp","pa:pa:ta","Up","40","4","13","2","P","C","61"
"","","approach-retreat","65","740278","0.0-65.0","","","3-3","4019","40","1","Training","Stims/Figures/93-C-30-1.bmp","pa:pa:ta","Up","40","4","14","2","P","C","62"
"","","approach-retreat","66","745927","0.0-66.0","","","3-3","4139","38","1","Training","Stims/Figures/86-C-30-1.bmp","pa:pa:ta","Down","38","4","15","2","P","C","63"
