"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"19941","32","text","0","19952","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"65769","","instructions","1","85722","0.0-1.0","[{""page_index"":0,""viewing_time"":65769}]","","","","","","","","","","","","","","","",""
"58661","","survey-multi-choice","2","144414","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","153340","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","169619","0.0-4.0","","","3-2","14769","39","1","Training","Stims/Figures/74-J-10-4.bmp","fashava","Right","39","1","1","3A","C1","C","1"
"","","approach-retreat","5","178699","0.0-5.0","","","3-2","7573","38","0","Training","Stims/Figures/111-C-30-3.bmp","zasa:ha","Up","40","1","2","3A","C2","C","2"
"","","approach-retreat","6","194405","0.0-6.0","","","3-2","14197","38","1","Training","Stims/Figures/128-J-10-3.bmp","fashava","Up","38","1","3","3A","C1","C","3"
"","","approach-retreat","7","204036","0.0-7.0","","","3-2","8125","38","1","Training","Stims/Figures/139-C-20-2.bmp","zasa:ha","Down","38","1","4","3A","C2","C","4"
"","","approach-retreat","8","212013","0.0-8.0","","","3-2","6470","39","1","Training","Stims/Figures/118-J-0-2.bmp","fashava","Right","39","1","5","3A","C1","C","5"
"","","approach-retreat","9","219318","0.0-9.0","","","3-2","5797","37","0","Training","Stims/Figures/74-C-20-4.bmp","zasa:ha","Left","39","1","6","3A","C2","C","6"
"","","approach-retreat","10","225550","0.0-10.0","","","3-2","4727","38","0","Training","Stims/Figures/111-J-10-3.bmp","fashava","Down","40","1","7","3A","C1","C","7"
"","","approach-retreat","11","236312","0.0-11.0","","","3-2","9254","40","1","Training","Stims/Figures/57-C-30-1.bmp","zasa:ha","Up","40","1","8","3A","C2","C","8"
"","","approach-retreat","12","243384","0.0-12.0","","","3-2","5563","37","0","Training","Stims/Figures/118-C-20-2.bmp","zasa:ha","Left","39","1","9","3A","C2","C","9"
"","","approach-retreat","13","251129","0.0-13.0","","","3-2","6238","38","0","Training","Stims/Figures/128-C-30-3.bmp","zasa:ha","Up","40","1","10","3A","C2","C","10"
"","","approach-retreat","14","261130","0.0-14.0","","","3-2","8494","37","1","Training","Stims/Figures/87-J-10-4.bmp","fashava","Left","37","1","11","3A","C1","C","11"
"","","approach-retreat","15","268649","0.0-15.0","","","3-2","6011","40","1","Training","Stims/Figures/139-J-0-2.bmp","fashava","Down","40","1","12","3A","C1","C","12"
"","","approach-retreat","16","275169","0.0-16.0","","","3-2","5014","38","0","Training","Stims/Figures/93-J-0-1.bmp","fashava","Down","40","1","13","3A","C1","C","13"
"","","approach-retreat","17","280985","0.0-17.0","","","3-2","4306","39","0","Training","Stims/Figures/87-C-20-4.bmp","zasa:ha","Right","37","1","14","3A","C2","C","14"
"","","approach-retreat","18","286954","0.0-18.0","","","3-2","4462","37","1","Training","Stims/Figures/93-C-30-1.bmp","zasa:ha","Right","37","1","15","3A","C2","C","15"
"","","approach-retreat","19","296634","0.0-19.0","","","3-2","8172","37","1","Training","Stims/Figures/57-J-0-1.bmp","fashava","Left","37","1","16","3A","C1","C","16"
"","","approach-retreat","20","306907","0.0-20.0","","","3-2","8766","39","1","Training","Stims/Figures/87-J-10-4.bmp","fashava","Right","39","2","1","3A","C1","C","17"
"","","approach-retreat","21","319077","0.0-21.0","","","3-2","10662","39","0","Training","Stims/Figures/118-C-20-2.bmp","zasa:ha","Right","37","2","2","3A","C2","C","18"
