\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"27487\",\"32\",\"text\",\"0\",\"27490\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"85814\",\"\",\"instructions\",\"1\",\"113308\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":85812}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"18962\",\"\",\"survey-multi-choice\",\"2\",\"132327\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"140202\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"21\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"149803\",\"0.0-4.0\",\"\",\"\",\"1-5\",\"8095\",\"37\",\"1\",\"Training\",\"Stims/Figures/128-J-10-3.bmp\",\"ma:ma:na\",\"Right\",\"37\",\"1\",\"1\",\"7\",\"S\",\"J\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"158384\",\"0.0-5.0\",\"\",\"\",\"1-5\",\"7063\",\"40\",\"1\",\"Training\",\"Stims/Figures/84-C-20-2.bmp\",\"tapata\",\"Down\",\"40\",\"1\",\"2\",\"7\",\"P\",\"J\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"165211\",\"0.0-6.0\",\"\",\"\",\"1-5\",\"5312\",\"37\",\"1\",\"Training\",\"Stims/Figures/111-J-10-3.bmp\",\"mamala\",\"Right\",\"37\",\"1\",\"3\",\"7\",\"S\",\"J\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"171628\",\"0.0-7.0\",\"\",\"\",\"1-5\",\"4904\",\"40\",\"1\",\"Training\",\"Stims/Figures/102-C-20-4.bmp\",\"mala:na\",\"Down\",\"40\",\"1\",\"4\",\"7\",\"S\",\"J\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"178044\",\"0.0-8.0\",\"\",\"\",\"1-5\",\"4898\",\"37\",\"0\",\"Training\",\"Stims/Figures/139-J-0-2.bmp\",\"ta:ka:ta\",\"Left\",\"39\",\"1\",\"5\",\"7\",\"P\",\"J\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"184821\",\"0.0-9.0\",\"\",\"\",\"1-5\",\"5265\",\"39\",\"0\",\"Training\",\"Stims/Figures/27-J-0-1.bmp\",\"papata\",\"Right\",\"37\",\"1\",\"6\",\"7\",\"P\",\"J\",\"6\"
