"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","res_keyCode","res_corr","trialNum"
"3854","32","text","0","3855","0.0-0.0-0.0","","","","","",""
"1391","","instructions","1","5247","0.0-1.0","[{""page_index"":0,""viewing_time"":1390}]","","","","",""
"5914","","survey-multi-choice","2","11176","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","",""
"","","bio","3","15323","0.0-3.0","","{""age"":""45"",""gender"":""f"",""specify"":""""}","","","",""
"6350","","approach-retreat","4","23180","0.0-4.0","","","1-2","39","1","1"
"5089","","approach-retreat","5","29775","0.0-5.0","","","1-2","40","1","2"
"4399","","approach-retreat","6","35681","0.0-6.0","","","1-2","39","1","3"
"1224","","instructions","7","36905","0.0-7.0","[{""page_index"":0,""viewing_time"":1224}]","","","","",""
"5760","","approach-retreat","8","44172","0.0-8.0","","","1-2","40","0","1"
"4678","","approach-retreat","9","50356","0.0-9.0","","","1-2","37","0","2"
"4412","","approach-retreat","10","56276","0.0-10.0","","","1-2","40","1","3"
"6937","","survey-text","11","63218","0.0-11.0","","{""Q0"":""PS150045""}","","","",""
