"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"3621","32","text","0","3623","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"2493","","instructions","1","6118","0.0-1.0","[{""page_index"":0,""viewing_time"":2491}]","","","","","","","","","","","","","","","",""
"5668","","survey-multi-choice","2","11803","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","15762","0.0-3.0","","{""age"":""60"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","21517","0.0-4.0","","","1-2","4248","37","1","Training","Stims/Figures/71-C-30-1.bmp","nala:na","Right","37","1","1","1","S","C","1"
"","","approach-retreat","5","27509","0.0-5.0","","","1-2","4485","40","1","Training","Stims/Figures/71-J-0-1.bmp","tapaka","Down","40","1","2","1","P","C","2"
"","","approach-retreat","6","33288","0.0-6.0","","","1-2","4269","39","1","Training","Stims/Figures/74-C-20-4.bmp","nala:na","Left","39","1","3","1","S","C","3"
"2066","","instructions","7","35354","0.0-7.0","[{""page_index"":0,""viewing_time"":2065}]","","","","","","","","","","","","","","","",""
"","","approach-retreat","8","41129","0.0-8.0","","","1-2","4269","38","1","Testing","Stims/Figures/84-J-0-2.bmp","tapaka","Up","38","1","1","1","P","C","1"
"","","approach-retreat","9","46797","0.0-9.0","","","1-2","4158","37","1","Testing","Stims/Figures/71-J-0-1.bmp","tapaka","Left","37","1","2","1","P","C","2"
"","","approach-retreat","10","55183","0.0-10.0","","","1-2","6878","38","1","Testing","Stims/Figures/74-J-10-4.bmp","tapaka","Up","38","1","3","1","P","C","3"
"17557","","survey-text","11","72744","0.0-11.0","","{""Q0"":""PS150045""}","","","","","","","","","","","","","","",""
