\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"85633\",\"32\",\"text\",\"0\",\"85639\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"115650\",\"\",\"instructions\",\"1\",\"201292\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":115649}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"16687\",\"\",\"survey-multi-choice\",\"2\",\"218024\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"232247\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"22\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"239002\",\"0.0-4.0\",\"\",\"\",\"1-1\",\"5207\",\"40\",\"1\",\"Training\",\"Stims/Figures/111-C-30-3.bmp\",\"papata\",\"Up\",\"40\",\"1\",\"1\",\"5\",\"P\",\"C\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"245232\",\"0.0-5.0\",\"\",\"\",\"1-1\",\"4718\",\"37\",\"1\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"ma:la:la\",\"Left\",\"37\",\"1\",\"2\",\"5\",\"S\",\"C\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"251263\",\"0.0-6.0\",\"\",\"\",\"1-1\",\"4522\",\"37\",\"1\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"ta:kaka\",\"Right\",\"37\",\"1\",\"3\",\"5\",\"P\",\"C\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"258520\",\"0.0-7.0\",\"\",\"\",\"1-1\",\"5743\",\"37\",\"1\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"pa:kaka\",\"Right\",\"37\",\"1\",\"4\",\"5\",\"P\",\"C\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"266718\",\"0.0-8.0\",\"\",\"\",\"1-1\",\"6685\",\"39\",\"0\",\"Training\",\"Stims/Figures/111-J-10-3.bmp\",\"ma:mana\",\"Left\",\"37\",\"1\",\"5\",\"5\",\"S\",\"C\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"275673\",\"0.0-9.0\",\"\",\"\",\"1-1\",\"7446\",\"40\",\"1\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"pakaka\",\"Up\",\"40\",\"1\",\"6\",\"5\",\"P\",\"C\",\"6\"
