\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"59755\",\"32\",\"text\",\"0\",\"59762\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"119028\",\"\",\"instructions\",\"1\",\"178793\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":119027}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"42303\",\"\",\"survey-multi-choice\",\"2\",\"221117\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"227848\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"21\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"235776\",\"0.0-4.0\",\"\",\"\",\"3-2\",\"6417\",\"39\",\"1\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"fafasha\",\"Right\",\"39\",\"1\",\"1\",\"6B\",\"C1\",\"J\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"242484\",\"0.0-5.0\",\"\",\"\",\"3-2\",\"5197\",\"37\",\"0\",\"Training\",\"Stims/Figures/27-J-0-1.bmp\",\"sa:ha:ha\",\"Left\",\"39\",\"1\",\"2\",\"6B\",\"C2\",\"J\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"248637\",\"0.0-6.0\",\"\",\"\",\"3-2\",\"4644\",\"39\",\"0\",\"Training\",\"Stims/Figures/144-C-30-3.bmp\",\"va:fa:sha\",\"Left\",\"37\",\"1\",\"3\",\"6B\",\"C1\",\"J\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"256428\",\"0.0-7.0\",\"\",\"\",\"3-2\",\"6283\",\"38\",\"1\",\"Training\",\"Stims/Figures/102-C-20-4.bmp\",\"vafava\",\"Up\",\"38\",\"1\",\"4\",\"6B\",\"C1\",\"J\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"263633\",\"0.0-8.0\",\"\",\"\",\"3-2\",\"5693\",\"38\",\"1\",\"Training\",\"Stims/Figures/44-C-30-3.bmp\",\"va:sha:va\",\"Up\",\"38\",\"1\",\"5\",\"6B\",\"C1\",\"J\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"270899\",\"0.0-9.0\",\"\",\"\",\"3-2\",\"5755\",\"38\",\"1\",\"Training\",\"Stims/Figures/44-J-10-3.bmp\",\"za:sa:ha\",\"Down\",\"38\",\"1\",\"6\",\"6B\",\"C2\",\"J\",\"6\"
