"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"72342","32","text","0","72346","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"124800","","instructions","1","197150","0.0-1.0","[{""page_index"":0,""viewing_time"":124799}]","","","","","","","","","","","","","","","",""
"38620","","survey-multi-choice","2","235825","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","245422","0.0-3.0","","{""age"":""18"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","254480","0.0-4.0","","","2-2","7531","38","0","Training","Stims/Figures/74-C-20-4.bmp","sa:ha:ha","Down","40","1","1","8","C2","J","1"
"","","approach-retreat","5","273641","0.0-5.0","","","2-2","17649","40","1","Training","Stims/Figures/93-J-0-1.bmp","vafa:va","Up","40","1","2","8","C1","J","2"
"","","approach-retreat","6","281581","0.0-6.0","","","2-2","6430","39","1","Training","Stims/Figures/118-C-20-2.bmp","vashava","Right","39","1","3","8","C1","J","3"
"","","approach-retreat","7","289177","0.0-7.0","","","2-2","6083","37","1","Training","Stims/Figures/84-C-20-2.bmp","fasha:sha","Left","37","1","4","8","C1","J","4"
"","","approach-retreat","8","296345","0.0-8.0","","","2-2","5656","40","1","Training","Stims/Figures/84-J-0-2.bmp","fa:sha:va","Up","40","1","5","8","C1","J","5"
"","","approach-retreat","9","304521","0.0-9.0","","","2-2","6664","40","0","Training","Stims/Figures/118-J-0-2.bmp","fa:shava","Down","38","1","6","8","C1","J","6"
"","","approach-retreat","10","314702","0.0-10.0","","","2-2","8661","37","1","Training","Stims/Figures/27-J-0-1.bmp","fa:fa:sha","Right","37","1","7","8","C1","J","7"
"","","approach-retreat","11","320921","0.0-11.0","","","2-2","4686","37","0","Training","Stims/Figures/128-J-10-3.bmp","sa:sa:ha","Left","39","1","8","8","C2","J","8"
"","","approach-retreat","12","332974","0.0-12.0","","","2-2","10543","40","0","Training","Stims/Figures/44-C-30-3.bmp","zahaza","Up","38","1","9","8","C2","J","9"
"","","approach-retreat","13","343149","0.0-13.0","","","2-2","8665","40","1","Training","Stims/Figures/128-C-30-3.bmp","zasaza","Down","40","1","10","8","C2","J","10"
"","","approach-retreat","14","350958","0.0-14.0","","","2-2","6293","38","0","Training","Stims/Figures/19-C-20-4.bmp","za:saha","Down","40","1","11","8","C2","J","11"
"","","approach-retreat","15","356965","0.0-15.0","","","2-2","4496","39","0","Training","Stims/Figures/44-J-10-3.bmp","zasa:za","Right","37","1","12","8","C2","J","12"
"","","approach-retreat","16","363850","0.0-16.0","","","2-2","5376","39","0","Training","Stims/Figures/27-C-30-1.bmp","fafa:sha","Left","37","1","13","8","C1","J","13"
"","","approach-retreat","17","369969","0.0-17.0","","","2-2","4609","38","0","Training","Stims/Figures/74-J-10-4.bmp","sahaza","Up","40","1","14","8","C2","J","14"
"","","approach-retreat","18","377210","0.0-18.0","","","2-2","5732","39","0","Training","Stims/Figures/93-C-30-1.bmp","va:sha:va","Left","37","1","15","8","C1","J","15"
"","","approach-retreat","19","384339","0.0-19.0","","","2-2","5621","37","1","Training","Stims/Figures/19-J-10-4.bmp","za:ha:ha","Right","37","1","16","8","C2","J","16"
"","","approach-retreat","20","391652","0.0-20.0","","","2-2","5802","37","0","Training","Stims/Figures/44-J-10-3.bmp","zasa:za","Left","39","2","1","8","C2","J","17"
"","","approach-retreat","21","404723","0.0-21.0","","","2-2","11562","40","1","Training","Stims/Figures/19-J-10-4.bmp","za:ha:ha","Up","40","2","2","8","C2","J","18"
"","","approach-retreat","22","413186","0.0-22.0","","","2-2","6953","38","0","Training","Stims/Figures/84-C-20-2.bmp","fasha:sha","Down","40","2","3","8","C1","J","19"
"","","approach-retreat","23","420988","0.0-23.0","","","2-2","6291","38","0","Training","Stims/Figures/118-J-0-2.bmp","fa:shava","Up","40","2","4","8","C1","J","20"
"","","approach-retreat","24","427159","0.0-24.0","","","2-2","4660","37","0","Training","Stims/Figures/118-C-20-2.bmp","vashava","Right","39","2","5","8","C1","J","21"
"","","approach-retreat","25","433127","0.0-25.0","","","2-2","4458","37","1","Training","Stims/Figures/74-J-10-4.bmp","sahaza","Right","37","2","6","8","C2","J","22"
"","","approach-retreat","26","439051","0.0-26.0","","","2-2","4412","38","0","Training","Stims/Figures/93-C-30-1.bmp","va:sha:va","Down","40","2","7","8","C1","J","23"
"","","approach-retreat","27","447820","0.0-27.0","","","2-2","7257","40","0","Training","Stims/Figures/19-C-20-4.bmp","za:saha","Up","38","2","8","8","C2","J","24"
"","","approach-retreat","28","455075","0.0-28.0","","","2-2","5738","37","1","Training","Stims/Figures/84-J-0-2.bmp","fa:sha:va","Right","37","2","9","8","C1","J","25"
"","","approach-retreat","29","465145","0.0-29.0","","","2-2","8559","39","1","Training","Stims/Figures/93-J-0-1.bmp","vafa:va","Left","39","2","10","8","C1","J","26"
"","","approach-retreat","30","473239","0.0-30.0","","","2-2","6579","39","0","Training","Stims/Figures/128-C-30-3.bmp","zasaza","Left","37","2","11","8","C2","J","27"
"","","approach-retreat","31","478988","0.0-31.0","","","2-2","4214","38","1","Training","Stims/Figures/128-J-10-3.bmp","sa:sa:ha","Down","38","2","12","8","C2","J","28"
"","","approach-retreat","32","485646","0.0-32.0","","","2-2","5143","37","1","Training","Stims/Figures/74-C-20-4.bmp","sa:ha:ha","Left","37","2","13","8","C2","J","29"
"","","approach-retreat","33","491691","0.0-33.0","","","2-2","4525","38","1","Training","Stims/Figures/44-C-30-3.bmp","zahaza","Up","38","2","14","8","C2","J","30"
"","","approach-retreat","34","498290","0.0-34.0","","","2-2","5063","39","1","Training","Stims/Figures/27-C-30-1.bmp","fafa:sha","Right","39","2","15","8","C1","J","31"
"","","approach-retreat","35","505312","0.0-35.0","","","2-2","5504","40","0","Training","Stims/Figures/27-J-0-1.bmp","fa:fa:sha","Down","38","2","16","8","C1","J","32"
"","","approach-retreat","36","512573","0.0-36.0","","","2-2","5750","40","0","Training","Stims/Figures/118-J-0-2.bmp","fa:shava","Down","38","3","1","8","C1","J","33"
"","","approach-retreat","37","519456","0.0-37.0","","","2-2","5373","37","0","Training","Stims/Figures/93-J-0-1.bmp","vafa:va","Left","39","3","2","8","C1","J","34"
"","","approach-retreat","38","528062","0.0-38.0","","","2-2","7072","38","0","Training","Stims/Figures/128-J-10-3.bmp","sa:sa:ha","Up","40","3","3","8","C2","J","35"
"","","approach-retreat","39","534054","0.0-39.0","","","2-2","4479","40","1","Training","Stims/Figures/74-J-10-4.bmp","sahaza","Up","40","3","4","8","C2","J","36"
"","","approach-retreat","40","539998","0.0-40.0","","","2-2","4435","37","1","Training","Stims/Figures/84-C-20-2.bmp","fasha:sha","Left","37","3","5","8","C1","J","37"
"","","approach-retreat","41","548410","0.0-41.0","","","2-2","6901","40","1","Training","Stims/Figures/118-C-20-2.bmp","vashava","Down","40","3","6","8","C1","J","38"
"","","approach-retreat","42","555601","0.0-42.0","","","2-2","5680","39","0","Training","Stims/Figures/27-C-30-1.bmp","fafa:sha","Left","37","3","7","8","C1","J","39"
"","","approach-retreat","43","563709","0.0-43.0","","","2-2","6599","38","1","Training","Stims/Figures/27-J-0-1.bmp","fa:fa:sha","Down","38","3","8","8","C1","J","40"
"","","approach-retreat","44","570282","0.0-44.0","","","2-2","5048","38","1","Training","Stims/Figures/44-J-10-3.bmp","zasa:za","Down","38","3","9","8","C2","J","41"
"","","approach-retreat","45","576369","0.0-45.0","","","2-2","4576","37","0","Training","Stims/Figures/44-C-30-3.bmp","zahaza","Right","39","3","10","8","C2","J","42"
"","","approach-retreat","46","587389","0.0-46.0","","","2-2","9495","37","1","Training","Stims/Figures/74-C-20-4.bmp","sa:ha:ha","Left","37","3","11","8","C2","J","43"
"","","approach-retreat","47","596759","0.0-47.0","","","2-2","7860","40","0","Training","Stims/Figures/19-C-20-4.bmp","za:saha","Up","38","3","12","8","C2","J","44"
"","","approach-retreat","48","603223","0.0-48.0","","","2-2","4934","37","1","Training","Stims/Figures/19-J-10-4.bmp","za:ha:ha","Right","37","3","13","8","C2","J","45"
"","","approach-retreat","49","609673","0.0-49.0","","","2-2","4911","37","0","Training","Stims/Figures/93-C-30-1.bmp","va:sha:va","Right","39","3","14","8","C1","J","46"
"","","approach-retreat","50","622903","0.0-50.0","","","2-2","11693","39","1","Training","Stims/Figures/128-C-30-3.bmp","zasaza","Right","39","3","15","8","C2","J","47"
"","","approach-retreat","51","648133","0.0-51.0","","","2-2","23693","40","1","Training","Stims/Figures/84-J-0-2.bmp","fa:sha:va","Up","40","3","16","8","C1","J","48"
"","","approach-retreat","52","655237","0.0-52.0","","","2-2","5564","40","1","Training","Stims/Figures/27-J-0-1.bmp","fa:fa:sha","Up","40","4","1","8","C1","J","49"
"","","approach-retreat","53","660915","0.0-53.0","","","2-2","4146","40","0","Training","Stims/Figures/74-C-20-4.bmp","sa:ha:ha","Up","38","4","2","8","C2","J","50"
"","","approach-retreat","54","668566","0.0-54.0","","","2-2","6114","40","1","Training","Stims/Figures/27-C-30-1.bmp","fafa:sha","Down","40","4","3","8","C1","J","51"
"","","approach-retreat","55","674694","0.0-55.0","","","2-2","4587","38","1","Training","Stims/Figures/128-J-10-3.bmp","sa:sa:ha","Down","38","4","4","8","C2","J","52"
