"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"133663","32","text","0","133675","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"175285","","instructions","1","308972","0.0-1.0","[{""page_index"":0,""viewing_time"":175282}]","","","","","","","","","","","","","","","",""
"26587","","survey-multi-choice","2","335759","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","344679","0.0-3.0","","{""age"":""18"",""gender"":""m"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","353313","0.0-4.0","","","1-2","6980","39","0","Training","Stims/Figures/19-J-10-4.bmp","ma:la:na","Left","37","1","1","2","S","C","1"
"","","approach-retreat","5","361406","0.0-5.0","","","1-2","6549","38","0","Training","Stims/Figures/118-C-20-2.bmp","ta:ka:ka","Up","40","1","2","2","P","C","2"
"","","approach-retreat","6","369205","0.0-6.0","","","1-2","6257","37","0","Training","Stims/Figures/111-C-30-3.bmp","ta:ka:ka","Left","39","1","3","2","P","C","3"
"","","approach-retreat","7","380467","0.0-7.0","","","1-2","9729","40","0","Training","Stims/Figures/100-J-10-3.bmp","ma:la:na","Up","38","1","4","2","S","C","4"
"","","approach-retreat","8","389255","0.0-8.0","","","1-2","7250","39","1","Training","Stims/Figures/74-J-10-4.bmp","ma:la:na","Right","39","1","5","2","S","C","5"
"","","approach-retreat","9","397642","0.0-9.0","","","1-2","6846","38","1","Training","Stims/Figures/19-C-20-4.bmp","ta:ka:ka","Down","38","1","6","2","P","C","6"
"","","approach-retreat","10","405379","0.0-10.0","","","1-2","6201","38","1","Training","Stims/Figures/100-C-30-3.bmp","ta:ka:ka","Down","38","1","7","2","P","C","7"
"","","approach-retreat","11","411729","0.0-11.0","","","1-2","4810","38","1","Training","Stims/Figures/74-C-20-4.bmp","ta:ka:ka","Down","38","1","8","2","P","C","8"
"","","approach-retreat","12","419223","0.0-12.0","","","1-2","5954","38","1","Training","Stims/Figures/111-J-10-3.bmp","ma:la:na","Up","38","1","9","2","S","C","9"
"","","approach-retreat","13","430352","0.0-13.0","","","1-2","9591","39","1","Training","Stims/Figures/57-J-0-1.bmp","ma:la:na","Right","39","1","10","2","S","C","10"
"","","approach-retreat","14","437749","0.0-14.0","","","1-2","5864","40","1","Training","Stims/Figures/93-J-0-1.bmp","ma:la:na","Down","40","1","11","2","S","C","11"
"","","approach-retreat","15","444384","0.0-15.0","","","1-2","5097","39","1","Training","Stims/Figures/93-C-30-1.bmp","ta:ka:ka","Left","39","1","12","2","P","C","12"
"","","approach-retreat","16","451509","0.0-16.0","","","1-2","5589","40","1","Training","Stims/Figures/57-C-30-1.bmp","ta:ka:ka","Up","40","1","13","2","P","C","13"
"","","approach-retreat","17","457623","0.0-17.0","","","1-2","4575","39","1","Training","Stims/Figures/118-J-0-2.bmp","ma:la:na","Right","39","1","14","2","S","C","14"
"","","approach-retreat","18","463583","0.0-18.0","","","1-2","4426","39","1","Training","Stims/Figures/85-J-0-2.bmp","ma:la:na","Right","39","1","15","2","S","C","15"
"","","approach-retreat","19","469776","0.0-19.0","","","1-2","4665","39","1","Training","Stims/Figures/85-C-20-2.bmp","ta:ka:ka","Left","39","1","16","2","P","C","16"
"","","approach-retreat","20","477416","0.0-20.0","","","1-2","6106","40","0","Training","Stims/Figures/85-C-20-2.bmp","ta:ka:ka","Down","38","2","1","2","P","C","17"
"","","approach-retreat","21","485637","0.0-21.0","","","1-2","6685","37","1","Training","Stims/Figures/100-J-10-3.bmp","ma:la:na","Left","37","2","2","2","S","C","18"
"","","approach-retreat","22","492606","0.0-22.0","","","1-2","5431","38","1","Training","Stims/Figures/118-C-20-2.bmp","ta:ka:ka","Down","38","2","3","2","P","C","19"
"","","approach-retreat","23","499700","0.0-23.0","","","1-2","5558","39","1","Training","Stims/Figures/111-J-10-3.bmp","ma:la:na","Right","39","2","4","2","S","C","20"
"","","approach-retreat","24","505658","0.0-24.0","","","1-2","4416","37","1","Training","Stims/Figures/93-J-0-1.bmp","ma:la:na","Left","37","2","5","2","S","C","21"
"","","approach-retreat","25","511999","0.0-25.0","","","1-2","4810","38","1","Training","Stims/Figures/100-C-30-3.bmp","ta:ka:ka","Down","38","2","6","2","P","C","22"
"","","approach-retreat","26","519276","0.0-26.0","","","1-2","5738","38","1","Training","Stims/Figures/19-J-10-4.bmp","ma:la:na","Up","38","2","7","2","S","C","23"
"","","approach-retreat","27","528133","0.0-27.0","","","1-2","7319","39","0","Training","Stims/Figures/74-C-20-4.bmp","ta:ka:ka","Right","37","2","8","2","P","C","24"
"","","approach-retreat","28","534931","0.0-28.0","","","1-2","5260","37","1","Training","Stims/Figures/57-J-0-1.bmp","ma:la:na","Left","37","2","9","2","S","C","25"
"","","approach-retreat","29","541196","0.0-29.0","","","1-2","4730","40","1","Training","Stims/Figures/57-C-30-1.bmp","ta:ka:ka","Up","40","2","10","2","P","C","26"
"","","approach-retreat","30","546798","0.0-30.0","","","1-2","4064","39","1","Training","Stims/Figures/111-C-30-3.bmp","ta:ka:ka","Left","39","2","11","2","P","C","27"
"","","approach-retreat","31","552368","0.0-31.0","","","1-2","4033","40","1","Training","Stims/Figures/118-J-0-2.bmp","ma:la:na","Down","40","2","12","2","S","C","28"
"","","approach-retreat","32","558082","0.0-32.0","","","1-2","4181","37","1","Training","Stims/Figures/93-C-30-1.bmp","ta:ka:ka","Right","37","2","13","2","P","C","29"
"","","approach-retreat","33","563496","0.0-33.0","","","1-2","3875","40","1","Training","Stims/Figures/19-C-20-4.bmp","ta:ka:ka","Up","40","2","14","2","P","C","30"
"","","approach-retreat","34","569640","0.0-34.0","","","1-2","4606","39","1","Training","Stims/Figures/74-J-10-4.bmp","ma:la:na","Right","39","2","15","2","S","C","31"
"","","approach-retreat","35","575508","0.0-35.0","","","1-2","4328","38","1","Training","Stims/Figures/85-J-0-2.bmp","ma:la:na","Up","38","2","16","2","S","C","32"
"","","approach-retreat","36","581328","0.0-36.0","","","1-2","4281","38","1","Training","Stims/Figures/111-C-30-3.bmp","ta:ka:ka","Down","38","3","1","2","P","C","33"
