\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"67134\",\"32\",\"text\",\"0\",\"67138\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"82477\",\"\",\"instructions\",\"1\",\"149616\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":82476}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"31626\",\"\",\"survey-multi-choice\",\"2\",\"181288\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"190385\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"19\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"197806\",\"0.0-4.0\",\"\",\"\",\"1-3\",\"5914\",\"37\",\"1\",\"Training\",\"Stims/Figures/100-C-30-3.bmp\",\"nala:na\",\"Right\",\"37\",\"1\",\"1\",\"1\",\"S\",\"C\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"205022\",\"0.0-5.0\",\"\",\"\",\"1-3\",\"5702\",\"38\",\"1\",\"Training\",\"Stims/Figures/27-C-30-1.bmp\",\"nala:na\",\"Down\",\"38\",\"1\",\"2\",\"1\",\"S\",\"C\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"211013\",\"0.0-6.0\",\"\",\"\",\"1-3\",\"4483\",\"39\",\"1\",\"Training\",\"Stims/Figures/87-C-20-4.bmp\",\"nala:na\",\"Left\",\"39\",\"1\",\"3\",\"1\",\"S\",\"C\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"216599\",\"0.0-7.0\",\"\",\"\",\"1-3\",\"4074\",\"38\",\"1\",\"Training\",\"Stims/Figures/144-C-30-3.bmp\",\"nala:na\",\"Down\",\"38\",\"1\",\"4\",\"1\",\"S\",\"C\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"222421\",\"0.0-8.0\",\"\",\"\",\"1-3\",\"4311\",\"40\",\"1\",\"Training\",\"Stims/Figures/94-J-0-2.bmp\",\"tapaka\",\"Down\",\"40\",\"1\",\"5\",\"1\",\"P\",\"C\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"228959\",\"0.0-9.0\",\"\",\"\",\"1-3\",\"5024\",\"39\",\"1\",\"Training\",\"Stims/Figures/27-J-0-1.bmp\",\"tapaka\",\"Right\",\"39\",\"1\",\"6\",\"1\",\"P\",\"C\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"235320\",\"0.0-10.0\",\"\",\"\",\"1-3\",\"4857\",\"40\",\"0\",\"Training\",\"Stims/Figures/71-C-30-1.bmp\",\"nala:na\",\"Down\",\"38\",\"1\",\"7\",\"1\",\"S\",\"C\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"241104\",\"0.0-11.0\",\"\",\"\",\"1-3\",\"4272\",\"38\",\"1\",\"Training\",\"Stims/Figures/74-J-10-4.bmp\",\"tapaka\",\"Up\",\"38\",\"1\",\"8\",\"1\",\"P\",\"C\",\"8\"
\"\",\"\",\"approach-retreat\",\"12\",\"247545\",\"0.0-12.0\",\"\",\"\",\"1-3\",\"4928\",\"40\",\"1\",\"Training\",\"Stims/Figures/94-C-20-2.bmp\",\"nala:na\",\"Up\",\"40\",\"1\",\"9\",\"1\",\"S\",\"C\",\"9\"
\"\",\"\",\"approach-retreat\",\"13\",\"254959\",\"0.0-13.0\",\"\",\"\",\"1-3\",\"5902\",\"40\",\"1\",\"Training\",\"Stims/Figures/84-C-20-2.bmp\",\"nala:na\",\"Up\",\"40\",\"1\",\"10\",\"1\",\"S\",\"C\",\"10\"
\"\",\"\",\"approach-retreat\",\"14\",\"260944\",\"0.0-14.0\",\"\",\"\",\"1-3\",\"4473\",\"37\",\"1\",\"Training\",\"Stims/Figures/71-J-0-1.bmp\",\"tapaka\",\"Left\",\"37\",\"1\",\"11\",\"1\",\"P\",\"C\",\"11\"
\"\",\"\",\"approach-retreat\",\"15\",\"266687\",\"0.0-15.0\",\"\",\"\",\"1-3\",\"4231\",\"37\",\"1\",\"Training\",\"Stims/Figures/144-J-10-3.bmp\",\"tapaka\",\"Left\",\"37\",\"1\",\"12\",\"1\",\"P\",\"C\",\"12\"
\"\",\"\",\"approach-retreat\",\"16\",\"272444\",\"0.0-16.0\",\"\",\"\",\"1-3\",\"4245\",\"39\",\"1\",\"Training\",\"Stims/Figures/87-J-10-4.bmp\",\"tapaka\",\"Right\",\"39\",\"1\",\"13\",\"1\",\"P\",\"C\",\"13\"
\"\",\"\",\"approach-retreat\",\"17\",\"278027\",\"0.0-17.0\",\"\",\"\",\"1-3\",\"4071\",\"39\",\"1\",\"Training\",\"Stims/Figures/100-J-10-3.bmp\",\"tapaka\",\"Right\",\"39\",\"1\",\"14\",\"1\",\"P\",\"C\",\"14\"
\"\",\"\",\"approach-retreat\",\"18\",\"283739\",\"0.0-18.0\",\"\",\"\",\"1-3\",\"4201\",\"38\",\"1\",\"Training\",\"Stims/Figures/84-J-0-2.bmp\",\"tapaka\",\"Up\",\"38\",\"1\",\"15\",\"1\",\"P\",\"C\",\"15\"
\"\",\"\",\"approach-retreat\",\"19\",\"289512\",\"0.0-19.0\",\"\",\"\",\"1-3\",\"4260\",\"39\",\"1\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"nala:na\",\"Left\",\"39\",\"1\",\"16\",\"1\",\"S\",\"C\",\"16\"
\"\",\"\",\"approach-retreat\",\"20\",\"295229\",\"0.0-20.0\",\"\",\"\",\"1-3\",\"4205\",\"37\",\"1\",\"Training\",\"Stims/Figures/71-C-30-1.bmp\",\"nala:na\",\"Right\",\"37\",\"2\",\"1\",\"1\",\"S\",\"C\",\"17\"
\"\",\"\",\"approach-retreat\",\"21\",\"300836\",\"0.0-21.0\",\"\",\"\",\"1-3\",\"4095\",\"37\",\"1\",\"Training\",\"Stims/Figures/74-J-10-4.bmp\",\"tapaka\",\"Left\",\"37\",\"2\",\"2\",\"1\",\"P\",\"C\",\"18\"
\"\",\"\",\"approach-retreat\",\"22\",\"306588\",\"0.0-22.0\",\"\",\"\",\"1-3\",\"4240\",\"37\",\"1\",\"Training\",\"Stims/Figures/87-J-10-4.bmp\",\"tapaka\",\"Left\",\"37\",\"2\",\"3\",\"1\",\"P\",\"C\",\"19\"
\"\",\"\",\"approach-retreat\",\"23\",\"312399\",\"0.0-23.0\",\"\",\"\",\"1-3\",\"4297\",\"38\",\"0\",\"Training\",\"Stims/Figures/87-C-20-4.bmp\",\"nala:na\",\"Up\",\"40\",\"2\",\"4\",\"1\",\"S\",\"C\",\"20\"
\"\",\"\",\"approach-retreat\",\"24\",\"319166\",\"0.0-24.0\",\"\",\"\",\"1-3\",\"5256\",\"38\",\"1\",\"Training\",\"Stims/Figures/100-C-30-3.bmp\",\"nala:na\",\"Down\",\"38\",\"2\",\"5\",\"1\",\"S\",\"C\",\"21\"
\"\",\"\",\"approach-retreat\",\"25\",\"325102\",\"0.0-25.0\",\"\",\"\",\"1-3\",\"4424\",\"40\",\"1\",\"Training\",\"Stims/Figures/94-C-20-2.bmp\",\"nala:na\",\"Up\",\"40\",\"2\",\"6\",\"1\",\"S\",\"C\",\"22\"
\"\",\"\",\"approach-retreat\",\"26\",\"331485\",\"0.0-26.0\",\"\",\"\",\"1-3\",\"4873\",\"37\",\"1\",\"Training\",\"Stims/Figures/27-C-30-1.bmp\",\"nala:na\",\"Right\",\"37\",\"2\",\"7\",\"1\",\"S\",\"C\",\"23\"
\"\",\"\",\"approach-retreat\",\"27\",\"337958\",\"0.0-27.0\",\"\",\"\",\"1-3\",\"4959\",\"40\",\"1\",\"Training\",\"Stims/Figures/84-J-0-2.bmp\",\"tapaka\",\"Down\",\"40\",\"2\",\"8\",\"1\",\"P\",\"C\",\"24\"
\"\",\"\",\"approach-retreat\",\"28\",\"343975\",\"0.0-28.0\",\"\",\"\",\"1-3\",\"4505\",\"38\",\"1\",\"Training\",\"Stims/Figures/94-J-0-2.bmp\",\"tapaka\",\"Up\",\"38\",\"2\",\"9\",\"1\",\"P\",\"C\",\"25\"
\"\",\"\",\"approach-retreat\",\"29\",\"349685\",\"0.0-29.0\",\"\",\"\",\"1-3\",\"4199\",\"39\",\"0\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"nala:na\",\"Right\",\"37\",\"2\",\"10\",\"1\",\"S\",\"C\",\"26\"
\"\",\"\",\"approach-retreat\",\"30\",\"356024\",\"0.0-30.0\",\"\",\"\",\"1-3\",\"4827\",\"40\",\"1\",\"Training\",\"Stims/Figures/71-J-0-1.bmp\",\"tapaka\",\"Down\",\"40\",\"2\",\"11\",\"1\",\"P\",\"C\",\"27\"
\"\",\"\",\"approach-retreat\",\"31\",\"362410\",\"0.0-31.0\",\"\",\"\",\"1-3\",\"4873\",\"40\",\"1\",\"Training\",\"Stims/Figures/84-C-20-2.bmp\",\"nala:na\",\"Up\",\"40\",\"2\",\"12\",\"1\",\"S\",\"C\",\"28\"
