"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"282639","32","text","0","282642","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"180584","","instructions","1","463228","0.0-1.0","[{""page_index"":0,""viewing_time"":180582}]","","","","","","","","","","","","","","","",""
"64996","","survey-multi-choice","2","528323","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","545069","0.0-3.0","","{""age"":""20"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","556703","0.0-4.0","","","2-2","10120","40","1","Training","Stims/Figures/7-C-20-4.bmp","zahaha","Up","40","1","1","9","C2","C","1"
"","","approach-retreat","5","566350","0.0-5.0","","","2-2","8140","37","1","Training","Stims/Figures/44-J-10-3.bmp","na:la:na","Left","37","1","2","9","S","C","2"
"","","approach-retreat","6","574754","0.0-6.0","","","2-2","6894","39","1","Training","Stims/Figures/74-C-20-4.bmp","papa:ka","Left","39","1","3","9","P","C","3"
"","","approach-retreat","7","582862","0.0-7.0","","","2-2","6597","38","0","Training","Stims/Figures/86-J-0-1.bmp","sasaza","Down","40","1","4","9","C2","C","4"
"","","approach-retreat","8","590447","0.0-8.0","","","2-2","6073","40","1","Training","Stims/Figures/144-J-10-3.bmp","mamana","Down","40","1","5","9","S","C","5"
"","","approach-retreat","9","598971","0.0-9.0","","","2-2","7015","39","0","Training","Stims/Figures/85-C-20-2.bmp","va:shava","Right","37","1","6","9","C1","C","6"
"","","approach-retreat","10","605769","0.0-10.0","","","2-2","5286","37","1","Training","Stims/Figures/118-J-0-2.bmp","zasaha","Left","37","1","7","9","C2","C","7"
"","","approach-retreat","11","614047","0.0-11.0","","","2-2","6761","38","0","Training","Stims/Figures/118-C-20-2.bmp","sa:haza","Up","40","1","8","9","C2","C","8"
"","","approach-retreat","12","620398","0.0-12.0","","","2-2","4834","38","0","Training","Stims/Figures/86-C-30-1.bmp","ta:kaka","Up","40","1","9","9","P","C","9"
"","","approach-retreat","13","628602","0.0-13.0","","","2-2","6697","37","1","Training","Stims/Figures/144-C-30-3.bmp","pakaka","Right","37","1","10","9","P","C","10"
"","","approach-retreat","14","634979","0.0-14.0","","","2-2","4865","39","0","Training","Stims/Figures/44-C-30-3.bmp","na:la:la","Right","37","1","11","9","S","C","11"
"","","approach-retreat","15","641553","0.0-15.0","","","2-2","5063","37","0","Training","Stims/Figures/74-J-10-4.bmp","mama:na","Right","39","1","12","9","S","C","12"
"","","approach-retreat","16","647651","0.0-16.0","","","2-2","4590","40","0","Training","Stims/Figures/7-J-10-4.bmp","va:fa:va","Up","38","1","13","9","C1","C","13"
"","","approach-retreat","17","653777","0.0-17.0","","","2-2","4614","38","0","Training","Stims/Figures/27-J-0-1.bmp","fa:sha:sha","Down","40","1","14","9","C1","C","14"
"","","approach-retreat","18","661853","0.0-18.0","","","2-2","6564","39","1","Training","Stims/Figures/27-C-30-1.bmp","mala:la","Left","39","1","15","9","S","C","15"
"","","approach-retreat","19","672424","0.0-19.0","","","2-2","9057","38","0","Training","Stims/Figures/85-J-0-2.bmp","ma:ma:na","Down","40","1","16","9","S","C","16"
"","","approach-retreat","20","683018","0.0-20.0","","","2-2","9085","37","1","Training","Stims/Figures/27-C-30-1.bmp","mala:la","Right","37","2","1","9","S","C","17"
"","","approach-retreat","21","689778","0.0-21.0","","","2-2","5245","40","0","Training","Stims/Figures/144-J-10-3.bmp","mamana","Up","38","2","2","9","S","C","18"
"","","approach-retreat","22","698684","0.0-22.0","","","2-2","7390","38","1","Training","Stims/Figures/86-C-30-1.bmp","ta:kaka","Down","38","2","3","9","P","C","19"
"","","approach-retreat","23","705728","0.0-23.0","","","2-2","5531","37","0","Training","Stims/Figures/118-C-20-2.bmp","sa:haza","Left","39","2","4","9","C2","C","20"
"","","approach-retreat","24","711869","0.0-24.0","","","2-2","4630","38","0","Training","Stims/Figures/7-J-10-4.bmp","va:fa:va","Down","40","2","5","9","C1","C","21"
"","","approach-retreat","25","718366","0.0-25.0","","","2-2","4985","40","0","Training","Stims/Figures/44-J-10-3.bmp","na:la:na","Up","38","2","6","9","S","C","22"
"","","approach-retreat","26","724551","0.0-26.0","","","2-2","4673","40","1","Training","Stims/Figures/74-C-20-4.bmp","papa:ka","Up","40","2","7","9","P","C","23"
"","","approach-retreat","27","733384","0.0-27.0","","","2-2","7321","37","1","Training","Stims/Figures/85-J-0-2.bmp","ma:ma:na","Left","37","2","8","9","S","C","24"
"","","approach-retreat","28","739941","0.0-28.0","","","2-2","5046","38","0","Training","Stims/Figures/86-J-0-1.bmp","sasaza","Down","40","2","9","9","C2","C","25"
"","","approach-retreat","29","746585","0.0-29.0","","","2-2","5132","37","1","Training","Stims/Figures/44-C-30-3.bmp","na:la:la","Right","37","2","10","9","S","C","26"
"","","approach-retreat","30","754611","0.0-30.0","","","2-2","6514","39","1","Training","Stims/Figures/27-J-0-1.bmp","fa:sha:sha","Right","39","2","11","9","C1","C","27"
"","","approach-retreat","31","760982","0.0-31.0","","","2-2","4861","37","1","Training","Stims/Figures/74-J-10-4.bmp","mama:na","Left","37","2","12","9","S","C","28"
"","","approach-retreat","32","766597","0.0-32.0","","","2-2","4100","37","0","Training","Stims/Figures/85-C-20-2.bmp","va:shava","Left","39","2","13","9","C1","C","29"
"","","approach-retreat","33","773787","0.0-33.0","","","2-2","5678","40","1","Training","Stims/Figures/144-C-30-3.bmp","pakaka","Up","40","2","14","9","P","C","30"
"","","approach-retreat","34","779907","0.0-34.0","","","2-2","4600","40","1","Training","Stims/Figures/118-J-0-2.bmp","zasaha","Down","40","2","15","9","C2","C","31"
"","","approach-retreat","35","787885","0.0-35.0","","","2-2","6466","37","1","Training","Stims/Figures/7-C-20-4.bmp","zahaha","Right","37","2","16","9","C2","C","32"
"","","approach-retreat","36","795464","0.0-36.0","","","2-2","6067","38","1","Training","Stims/Figures/7-C-20-4.bmp","zahaha","Down","38","3","1","9","C2","C","33"
"","","approach-retreat","37","801657","0.0-37.0","","","2-2","4685","39","0","Training","Stims/Figures/118-C-20-2.bmp","sa:haza","Right","37","3","2","9","C2","C","34"
"","","approach-retreat","38","808687","0.0-38.0","","","2-2","5517","40","1","Training","Stims/Figures/44-C-30-3.bmp","na:la:la","Up","40","3","3","9","S","C","35"
"","","approach-retreat","39","815956","0.0-39.0","","","2-2","5752","37","1","Training","Stims/Figures/27-J-0-1.bmp","fa:sha:sha","Left","37","3","4","9","C1","C","36"
"","","approach-retreat","40","821925","0.0-40.0","","","2-2","4455","37","1","Training","Stims/Figures/86-J-0-1.bmp","sasaza","Left","37","3","5","9","C2","C","37"
"","","approach-retreat","41","828045","0.0-41.0","","","2-2","4609","40","1","Training","Stims/Figures/85-J-0-2.bmp","ma:ma:na","Down","40","3","6","9","S","C","38"
"","","approach-retreat","42","833740","0.0-42.0","","","2-2","4188","38","1","Training","Stims/Figures/85-C-20-2.bmp","va:shava","Down","38","3","7","9","C1","C","39"
"","","approach-retreat","43","839790","0.0-43.0","","","2-2","4538","39","0","Training","Stims/Figures/27-C-30-1.bmp","mala:la","Right","37","3","8","9","S","C","40"
"","","approach-retreat","44","846166","0.0-44.0","","","2-2","4865","38","1","Training","Stims/Figures/74-J-10-4.bmp","mama:na","Up","38","3","9","9","S","C","41"
"","","approach-retreat","45","852334","0.0-45.0","","","2-2","4657","38","1","Training","Stims/Figures/86-C-30-1.bmp","ta:kaka","Down","38","3","10","9","P","C","42"
"","","approach-retreat","46","861410","0.0-46.0","","","2-2","7542","37","1","Training","Stims/Figures/74-C-20-4.bmp","papa:ka","Right","37","3","11","9","P","C","43"
"","","approach-retreat","47","867412","0.0-47.0","","","2-2","4485","38","1","Training","Stims/Figures/7-J-10-4.bmp","va:fa:va","Up","38","3","12","9","C1","C","44"
"","","approach-retreat","48","873883","0.0-48.0","","","2-2","4961","38","1","Training","Stims/Figures/118-J-0-2.bmp","zasaha","Up","38","3","13","9","C2","C","45"
"","","approach-retreat","49","879695","0.0-49.0","","","2-2","4300","37","1","Training","Stims/Figures/144-J-10-3.bmp","mamana","Left","37","3","14","9","S","C","46"
