"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"48128","32","text","0","48145","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"72638","","instructions","1","120790","0.0-1.0","[{""page_index"":0,""viewing_time"":72636}]","","","","","","","","","","","","","","","",""
"22113","","survey-multi-choice","2","143005","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","149967","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","156098","0.0-4.0","","","2-4","4601","39","0","Training","Stims/Figures/19-J-10-4.bmp","taka:ka","Right","37","1","1","9","P","J","1"
"","","approach-retreat","5","161864","0.0-5.0","","","2-4","4243","40","0","Training","Stims/Figures/7-J-10-4.bmp","fa:shava","Down","38","1","2","9","C1","J","2"
"","","approach-retreat","6","168302","0.0-6.0","","","2-4","4917","38","0","Training","Stims/Figures/19-C-20-4.bmp","za:ha:ha","Down","40","1","3","9","C2","J","3"
"","","approach-retreat","7","175464","0.0-7.0","","","2-4","5640","39","1","Training","Stims/Figures/85-J-0-2.bmp","tapaka","Left","39","1","4","9","P","J","4"
"","","approach-retreat","8","182086","0.0-8.0","","","2-4","5101","37","0","Training","Stims/Figures/144-J-10-3.bmp","ma:lala","Left","39","1","5","9","S","J","5"
"","","approach-retreat","9","188286","0.0-9.0","","","2-4","4678","39","1","Training","Stims/Figures/27-J-0-1.bmp","fafa:sha","Left","39","1","6","9","C1","J","6"
"","","approach-retreat","10","194479","0.0-10.0","","","2-4","4670","40","0","Training","Stims/Figures/7-C-20-4.bmp","ma:mala","Up","38","1","7","9","S","J","7"
"","","approach-retreat","11","201129","0.0-11.0","","","2-4","5127","39","1","Training","Stims/Figures/44-C-30-3.bmp","paka:ta","Right","39","1","8","9","P","J","8"
"","","approach-retreat","12","207790","0.0-12.0","","","2-4","5141","40","0","Training","Stims/Figures/44-J-10-3.bmp","na:ma:na","Down","38","1","9","9","S","J","9"
"","","approach-retreat","13","213398","0.0-13.0","","","2-4","4087","37","0","Training","Stims/Figures/118-J-0-2.bmp","malana","Left","39","1","10","9","S","J","10"
"","","approach-retreat","14","219540","0.0-14.0","","","2-4","4628","40","0","Training","Stims/Figures/27-C-30-1.bmp","zasaha","Up","38","1","11","9","C2","J","11"
"","","approach-retreat","15","225583","0.0-15.0","","","2-4","4529","40","1","Training","Stims/Figures/85-C-20-2.bmp","va:sha:va","Down","40","1","12","9","C1","J","12"
"","","approach-retreat","16","231289","0.0-16.0","","","2-4","4185","38","1","Training","Stims/Figures/118-C-20-2.bmp","malala","Up","38","1","13","9","S","J","13"
"","","approach-retreat","17","238880","0.0-17.0","","","2-4","6070","39","1","Training","Stims/Figures/144-C-30-3.bmp","sasa:za","Right","39","1","14","9","C2","J","14"
"","","approach-retreat","18","245542","0.0-18.0","","","2-4","5114","37","0","Training","Stims/Figures/57-C-30-1.bmp","za:haza","Right","39","1","15","9","C2","J","15"
"","","approach-retreat","19","252832","0.0-19.0","","","2-4","5773","38","0","Training","Stims/Figures/57-J-0-1.bmp","fa:fa:va","Up","40","1","16","9","C1","J","16"
"","","approach-retreat","20","258956","0.0-20.0","","","2-4","4611","39","1","Training","Stims/Figures/144-C-30-3.bmp","sasa:za","Right","39","2","1","9","C2","J","17"
"","","approach-retreat","21","265765","0.0-21.0","","","2-4","5287","37","0","Training","Stims/Figures/27-C-30-1.bmp","zasaha","Right","39","2","2","9","C2","J","18"
"","","approach-retreat","22","271902","0.0-22.0","","","2-4","4615","40","0","Training","Stims/Figures/57-J-0-1.bmp","fa:fa:va","Down","38","2","3","9","C1","J","19"
"","","approach-retreat","23","278026","0.0-23.0","","","2-4","4602","37","1","Training","Stims/Figures/44-C-30-3.bmp","paka:ta","Left","37","2","4","9","P","J","20"
"","","approach-retreat","24","284334","0.0-24.0","","","2-4","4789","39","1","Training","Stims/Figures/27-J-0-1.bmp","fafa:sha","Left","39","2","5","9","C1","J","21"
"","","approach-retreat","25","290032","0.0-25.0","","","2-4","4176","37","0","Training","Stims/Figures/7-J-10-4.bmp","fa:shava","Left","39","2","6","9","C1","J","22"
"","","approach-retreat","26","295704","0.0-26.0","","","2-4","4151","40","1","Training","Stims/Figures/19-C-20-4.bmp","za:ha:ha","Down","40","2","7","9","C2","J","23"
"","","approach-retreat","27","301335","0.0-27.0","","","2-4","4114","38","1","Training","Stims/Figures/57-C-30-1.bmp","za:haza","Up","38","2","8","9","C2","J","24"
"","","approach-retreat","28","307048","0.0-28.0","","","2-4","4191","37","0","Training","Stims/Figures/44-J-10-3.bmp","na:ma:na","Left","39","2","9","9","S","J","25"
"","","approach-retreat","29","312952","0.0-29.0","","","2-4","4382","38","0","Training","Stims/Figures/144-J-10-3.bmp","ma:lala","Up","40","2","10","9","S","J","26"
"","","approach-retreat","30","318693","0.0-30.0","","","2-4","4219","40","0","Training","Stims/Figures/118-C-20-2.bmp","malala","Up","38","2","11","9","S","J","27"
"","","approach-retreat","31","324438","0.0-31.0","","","2-4","4223","38","1","Training","Stims/Figures/7-C-20-4.bmp","ma:mala","Up","38","2","12","9","S","J","28"
"","","approach-retreat","32","330453","0.0-32.0","","","2-4","4492","37","1","Training","Stims/Figures/118-J-0-2.bmp","malana","Right","37","2","13","9","S","J","29"
"","","approach-retreat","33","336966","0.0-33.0","","","2-4","4991","40","1","Training","Stims/Figures/85-C-20-2.bmp","va:sha:va","Down","40","2","14","9","C1","J","30"
"","","approach-retreat","34","344318","0.0-34.0","","","2-4","5831","39","0","Training","Stims/Figures/85-J-0-2.bmp","tapaka","Right","37","2","15","9","P","J","31"
"","","approach-retreat","35","349887","0.0-35.0","","","2-4","4048","38","1","Training","Stims/Figures/19-J-10-4.bmp","taka:ka","Down","38","2","16","9","P","J","32"
"","","approach-retreat","36","355709","0.0-36.0","","","2-4","4300","39","0","Training","Stims/Figures/7-J-10-4.bmp","fa:shava","Right","37","3","1","9","C1","J","33"
"","","approach-retreat","37","361640","0.0-37.0","","","2-4","4408","40","1","Training","Stims/Figures/57-J-0-1.bmp","fa:fa:va","Up","40","3","2","9","C1","J","34"
"","","approach-retreat","38","367586","0.0-38.0","","","2-4","4425","39","1","Training","Stims/Figures/85-J-0-2.bmp","tapaka","Left","39","3","3","9","P","J","35"
"","","approach-retreat","39","373304","0.0-39.0","","","2-4","4194","39","0","Training","Stims/Figures/27-J-0-1.bmp","fafa:sha","Right","37","3","4","9","C1","J","36"
"","","approach-retreat","40","378991","0.0-40.0","","","2-4","4168","37","0","Training","Stims/Figures/19-J-10-4.bmp","taka:ka","Left","39","3","5","9","P","J","37"
"","","approach-retreat","41","384511","0.0-41.0","","","2-4","3999","39","1","Training","Stims/Figures/27-C-30-1.bmp","zasaha","Right","39","3","6","9","C2","J","38"
"","","approach-retreat","42","390239","0.0-42.0","","","2-4","4207","40","1","Training","Stims/Figures/85-C-20-2.bmp","va:sha:va","Down","40","3","7","9","C1","J","39"
"","","approach-retreat","43","395735","0.0-43.0","","","2-4","3977","38","0","Training","Stims/Figures/7-C-20-4.bmp","ma:mala","Down","40","3","8","9","S","J","40"
"","","approach-retreat","44","401813","0.0-44.0","","","2-4","4558","39","1","Training","Stims/Figures/118-J-0-2.bmp","malana","Left","39","3","9","9","S","J","41"
"","","approach-retreat","45","407458","0.0-45.0","","","2-4","4124","40","1","Training","Stims/Figures/144-J-10-3.bmp","ma:lala","Up","40","3","10","9","S","J","42"
"","","approach-retreat","46","413631","0.0-46.0","","","2-4","4651","39","0","Training","Stims/Figures/57-C-30-1.bmp","za:haza","Left","37","3","11","9","C2","J","43"
"","","approach-retreat","47","419639","0.0-47.0","","","2-4","4487","38","1","Training","Stims/Figures/19-C-20-4.bmp","za:ha:ha","Up","38","3","12","9","C2","J","44"
"","","approach-retreat","48","425253","0.0-48.0","","","2-4","4093","38","0","Training","Stims/Figures/44-J-10-3.bmp","na:ma:na","Up","40","3","13","9","S","J","45"
"","","approach-retreat","49","430669","0.0-49.0","","","2-4","3894","39","1","Training","Stims/Figures/118-C-20-2.bmp","malala","Right","39","3","14","9","S","J","46"
"","","approach-retreat","50","436366","0.0-50.0","","","2-4","4174","38","0","Training","Stims/Figures/144-C-30-3.bmp","sasa:za","Down","40","3","15","9","C2","J","47"
"","","approach-retreat","51","441894","0.0-51.0","","","2-4","4007","38","0","Training","Stims/Figures/44-C-30-3.bmp","paka:ta","Down","40","3","16","9","P","J","48"
"","","approach-retreat","52","447494","0.0-52.0","","","2-4","4078","39","1","Training","Stims/Figures/57-J-0-1.bmp","fa:fa:va","Left","39","4","1","9","C1","J","49"
"","","approach-retreat","53","453095","0.0-53.0","","","2-4","4078","39","1","Training","Stims/Figures/144-J-10-3.bmp","ma:lala","Left","39","4","2","9","S","J","50"
"","","approach-retreat","54","458622","0.0-54.0","","","2-4","4006","37","0","Training","Stims/Figures/19-C-20-4.bmp","za:ha:ha","Right","39","4","3","9","C2","J","51"
"","","approach-retreat","55","464335","0.0-55.0","","","2-4","4191","40","0","Training","Stims/Figures/27-C-30-1.bmp","zasaha","Up","38","4","4","9","C2","J","52"
"","","approach-retreat","56","469862","0.0-56.0","","","2-4","4008","38","1","Training","Stims/Figures/118-J-0-2.bmp","malana","Down","38","4","5","9","S","J","53"
"","","approach-retreat","57","475439","0.0-57.0","","","2-4","4054","38","0","Training","Stims/Figures/118-C-20-2.bmp","malala","Down","40","4","6","9","S","J","54"
"","","approach-retreat","58","481078","0.0-58.0","","","2-4","4118","37","1","Training","Stims/Figures/27-J-0-1.bmp","fafa:sha","Right","37","4","7","9","C1","J","55"
"","","approach-retreat","59","486582","0.0-59.0","","","2-4","3983","37","1","Training","Stims/Figures/44-J-10-3.bmp","na:ma:na","Right","37","4","8","9","S","J","56"
"","","approach-retreat","60","492173","0.0-60.0","","","2-4","4068","38","0","Training","Stims/Figures/7-C-20-4.bmp","ma:mala","Down","40","4","9","9","S","J","57"
