"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"1-5"	"zasaha"	"87-C-20-4"	"87"	"C"	"20"	"4"	1	"Training"	1	1	"3A"	"C2"	"Left"	"39"	"37"	"J"	"37"
"1-5"	"zasaha"	"44-C-30-3"	"44"	"C"	"30"	"3"	2	"Training"	1	2	"3A"	"C2"	"Up"	"40"	"38"	"J"	"38"
"1-5"	"fa:fasha"	"87-J-10-4"	"87"	"J"	"10"	"4"	3	"Training"	1	3	"3A"	"C1"	"Left"	"39"	"37"	"J"	"39"
"1-5"	"zasaha"	"144-C-30-3"	"144"	"C"	"30"	"3"	4	"Training"	1	4	"3A"	"C2"	"Right"	"37"	"39"	"J"	"39"
"1-5"	"fa:fasha"	"102-J-10-4"	"102"	"J"	"10"	"4"	5	"Training"	1	5	"3A"	"C1"	"Down"	"38"	"40"	"J"	"38"
"1-5"	"fa:fasha"	"139-J-0-2"	"139"	"J"	"0"	"2"	6	"Training"	1	6	"3A"	"C1"	"Left"	"39"	"37"	"J"	"39"
"1-5"	"fa:fasha"	"27-J-0-1"	"27"	"J"	"0"	"1"	7	"Training"	1	7	"3A"	"C1"	"Right"	"37"	"39"	"J"	"37"
"1-5"	"zasaha"	"139-C-20-2"	"139"	"C"	"20"	"2"	8	"Training"	1	8	"3A"	"C2"	"Right"	"37"	"39"	"J"	"39"
"1-5"	"zasaha"	"27-C-30-1"	"27"	"C"	"30"	"1"	9	"Training"	1	9	"3A"	"C2"	"Down"	"38"	"40"	"J"	"40"
"1-5"	"fa:fasha"	"144-J-10-3"	"144"	"J"	"10"	"3"	10	"Training"	1	10	"3A"	"C1"	"Left"	"39"	"37"	"J"	"39"
"1-5"	"zasaha"	"102-C-20-4"	"102"	"C"	"20"	"4"	11	"Training"	1	11	"3A"	"C2"	"Up"	"40"	"38"	"J"	"38"
"1-5"	"fa:fasha"	"93-J-0-1"	"93"	"J"	"0"	"1"	12	"Training"	1	12	"3A"	"C1"	"Up"	"40"	"38"	"J"	"40"
"1-5"	"zasaha"	"118-C-20-2"	"118"	"C"	"20"	"2"	13	"Training"	1	13	"3A"	"C2"	"Up"	"40"	"38"	"J"	"38"
"1-5"	"fa:fasha"	"118-J-0-2"	"118"	"J"	"0"	"2"	14	"Training"	1	14	"3A"	"C1"	"Right"	"37"	"39"	"J"	"37"
"1-5"	"fa:fasha"	"44-J-10-3"	"44"	"J"	"10"	"3"	15	"Training"	1	15	"3A"	"C1"	"Down"	"38"	"40"	"J"	"38"
"1-5"	"zasaha"	"93-C-30-1"	"93"	"C"	"30"	"1"	16	"Training"	1	16	"3A"	"C2"	"Down"	"38"	"40"	"J"	"40"
