"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"3-4"	"fasha:sha"	"84-J-0-2"	"84"	"J"	"0"	"2"	1	"Training"	1	1	"6A"	"C1"	"Down"	"38"	"40"	"C"	"40"
"3-4"	"za:sa:za"	"84-C-20-2"	"84"	"C"	"20"	"2"	2	"Training"	1	2	"6A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"3-4"	"sasa:za"	"139-C-20-2"	"139"	"C"	"20"	"2"	3	"Training"	1	3	"6A"	"C2"	"Right"	"37"	"39"	"C"	"37"
"3-4"	"vafasha"	"144-J-10-3"	"144"	"J"	"10"	"3"	4	"Training"	1	4	"6A"	"C1"	"Down"	"38"	"40"	"C"	"40"
"3-4"	"sahaha"	"144-C-30-3"	"144"	"C"	"30"	"3"	5	"Training"	1	5	"6A"	"C2"	"Right"	"37"	"39"	"C"	"37"
"3-4"	"fafa:sha"	"74-J-10-4"	"74"	"J"	"10"	"4"	6	"Training"	1	6	"6A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"3-4"	"fa:fa:va"	"86-J-0-1"	"86"	"J"	"0"	"1"	7	"Training"	1	7	"6A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"3-4"	"sa:haza"	"57-C-30-1"	"57"	"C"	"30"	"1"	8	"Training"	1	8	"6A"	"C2"	"Right"	"37"	"39"	"C"	"37"
"3-4"	"va:fa:va"	"7-J-10-4"	"7"	"J"	"10"	"4"	9	"Training"	1	9	"6A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"3-4"	"fa:fa:sha"	"44-J-10-3"	"44"	"J"	"10"	"3"	10	"Training"	1	10	"6A"	"C1"	"Down"	"38"	"40"	"C"	"40"
"3-4"	"zasaza"	"7-C-20-4"	"7"	"C"	"20"	"4"	11	"Training"	1	11	"6A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"3-4"	"za:ha:za"	"86-C-30-1"	"86"	"C"	"30"	"1"	12	"Training"	1	12	"6A"	"C2"	"Right"	"37"	"39"	"C"	"37"
"3-4"	"za:haza"	"44-C-30-3"	"44"	"C"	"30"	"3"	13	"Training"	1	13	"6A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"3-4"	"fa:shava"	"139-J-0-2"	"139"	"J"	"0"	"2"	14	"Training"	1	14	"6A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"3-4"	"zaha:za"	"74-C-20-4"	"74"	"C"	"20"	"4"	15	"Training"	1	15	"6A"	"C2"	"Up"	"40"	"38"	"C"	"40"
"3-4"	"vashasha"	"57-J-0-1"	"57"	"J"	"0"	"1"	16	"Training"	1	16	"6A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"3-4"	"fafa:sha"	"74-J-10-4"	"74"	"J"	"10"	"4"	17	"Training"	2	1	"6A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"3-4"	"va:fa:va"	"7-J-10-4"	"7"	"J"	"10"	"4"	18	"Training"	2	2	"6A"	"C1"	"Down"	"38"	"40"	"C"	"40"
"3-4"	"sasa:za"	"139-C-20-2"	"139"	"C"	"20"	"2"	19	"Training"	2	3	"6A"	"C2"	"Up"	"40"	"38"	"C"	"40"
"3-4"	"za:sa:za"	"84-C-20-2"	"84"	"C"	"20"	"2"	20	"Training"	2	4	"6A"	"C2"	"Right"	"37"	"39"	"C"	"37"
"3-4"	"vashasha"	"57-J-0-1"	"57"	"J"	"0"	"1"	21	"Training"	2	5	"6A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"3-4"	"fa:shava"	"139-J-0-2"	"139"	"J"	"0"	"2"	22	"Training"	2	6	"6A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"3-4"	"za:haza"	"44-C-30-3"	"44"	"C"	"30"	"3"	23	"Training"	2	7	"6A"	"C2"	"Up"	"40"	"38"	"C"	"40"
"3-4"	"zasaza"	"7-C-20-4"	"7"	"C"	"20"	"4"	24	"Training"	2	8	"6A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"3-4"	"sa:haza"	"57-C-30-1"	"57"	"C"	"30"	"1"	25	"Training"	2	9	"6A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"3-4"	"fa:fa:va"	"86-J-0-1"	"86"	"J"	"0"	"1"	26	"Training"	2	10	"6A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"3-4"	"sahaha"	"144-C-30-3"	"144"	"C"	"30"	"3"	27	"Training"	2	11	"6A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"3-4"	"fasha:sha"	"84-J-0-2"	"84"	"J"	"0"	"2"	28	"Training"	2	12	"6A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"3-4"	"za:ha:za"	"86-C-30-1"	"86"	"C"	"30"	"1"	29	"Training"	2	13	"6A"	"C2"	"Right"	"37"	"39"	"C"	"37"
