"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"2-3"	"zasa:za"	"19-C-20-4"	"19"	"C"	"20"	"4"	1	"Training"	1	1	"8"	"C2"	"Down"	"38"	"40"	"J"	"40"
"2-3"	"za:ha:ha"	"74-C-20-4"	"74"	"C"	"20"	"4"	2	"Training"	1	2	"8"	"C2"	"Left"	"39"	"37"	"J"	"37"
"2-3"	"sa:sa:ha"	"111-C-30-3"	"111"	"C"	"30"	"3"	3	"Training"	1	3	"8"	"C2"	"Right"	"37"	"39"	"J"	"39"
"2-3"	"fa:sha:va"	"27-C-30-1"	"27"	"C"	"30"	"1"	4	"Training"	1	4	"8"	"C1"	"Right"	"37"	"39"	"J"	"39"
"2-3"	"fasha:va"	"85-J-0-2"	"85"	"J"	"0"	"2"	5	"Training"	1	5	"8"	"C1"	"Left"	"39"	"37"	"J"	"39"
"2-3"	"fa:fa:sha"	"71-J-0-1"	"71"	"J"	"0"	"1"	6	"Training"	1	6	"8"	"C1"	"Down"	"38"	"40"	"J"	"38"
"2-3"	"zasaha"	"74-J-10-4"	"74"	"J"	"10"	"4"	7	"Training"	1	7	"8"	"C2"	"Left"	"39"	"37"	"J"	"39"
"2-3"	"zasaza"	"144-C-30-3"	"144"	"C"	"30"	"3"	8	"Training"	1	8	"8"	"C2"	"Up"	"40"	"38"	"J"	"38"
"2-3"	"vafa:sha"	"27-J-0-1"	"27"	"J"	"0"	"1"	9	"Training"	1	9	"8"	"C1"	"Left"	"39"	"37"	"J"	"39"
"2-3"	"fa:fa:va"	"71-C-30-1"	"71"	"C"	"30"	"1"	10	"Training"	1	10	"8"	"C1"	"Right"	"37"	"39"	"J"	"39"
"2-3"	"za:saha"	"111-J-10-3"	"111"	"J"	"10"	"3"	11	"Training"	1	11	"8"	"C2"	"Up"	"40"	"38"	"J"	"40"
"2-3"	"va:fa:va"	"94-C-20-2"	"94"	"C"	"20"	"2"	12	"Training"	1	12	"8"	"C1"	"Up"	"40"	"38"	"J"	"38"
"2-3"	"za:ha:za"	"19-J-10-4"	"19"	"J"	"10"	"4"	13	"Training"	1	13	"8"	"C2"	"Right"	"37"	"39"	"J"	"37"
"2-3"	"fafa:sha"	"94-J-0-2"	"94"	"J"	"0"	"2"	14	"Training"	1	14	"8"	"C1"	"Down"	"38"	"40"	"J"	"38"
"2-3"	"sa:saza"	"144-J-10-3"	"144"	"J"	"10"	"3"	15	"Training"	1	15	"8"	"C2"	"Down"	"38"	"40"	"J"	"38"
"2-3"	"fafava"	"85-C-20-2"	"85"	"C"	"20"	"2"	16	"Training"	1	16	"8"	"C1"	"Up"	"40"	"38"	"J"	"38"
"2-3"	"fasha:va"	"85-J-0-2"	"85"	"J"	"0"	"2"	17	"Training"	2	1	"8"	"C1"	"Left"	"39"	"37"	"J"	"39"
"2-3"	"fafava"	"85-C-20-2"	"85"	"C"	"20"	"2"	18	"Training"	2	2	"8"	"C1"	"Right"	"37"	"39"	"J"	"39"
