"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"2-3"	"saha:ha"	"86-C-30-1"	"86"	"C"	"30"	"1"	1	"Training"	1	1	"9"	"C2"	"Left"	"39"	"37"	"C"	"39"
"2-3"	"mama:la"	"27-J-0-1"	"27"	"J"	"0"	"1"	2	"Training"	1	2	"9"	"S"	"Up"	"40"	"38"	"C"	"38"
"2-3"	"ta:pa:ta"	"7-C-20-4"	"7"	"C"	"20"	"4"	3	"Training"	1	3	"9"	"P"	"Right"	"37"	"39"	"C"	"37"
"2-3"	"sasaha"	"7-J-10-4"	"7"	"J"	"10"	"4"	4	"Training"	1	4	"9"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-3"	"nala:la"	"87-C-20-4"	"87"	"C"	"20"	"4"	5	"Training"	1	5	"9"	"S"	"Right"	"37"	"39"	"C"	"37"
"2-3"	"na:lana"	"139-C-20-2"	"139"	"C"	"20"	"2"	6	"Training"	1	6	"9"	"S"	"Up"	"40"	"38"	"C"	"40"
"2-3"	"sa:sa:za"	"85-C-20-2"	"85"	"C"	"20"	"2"	7	"Training"	1	7	"9"	"C2"	"Down"	"38"	"40"	"C"	"38"
"2-3"	"fashasha"	"144-J-10-3"	"144"	"J"	"10"	"3"	8	"Training"	1	8	"9"	"C1"	"Left"	"39"	"37"	"C"	"37"
"2-3"	"vafa:va"	"86-J-0-1"	"86"	"J"	"0"	"1"	9	"Training"	1	9	"9"	"C1"	"Left"	"39"	"37"	"C"	"37"
"2-3"	"fa:sha:sha"	"27-C-30-1"	"27"	"C"	"30"	"1"	10	"Training"	1	10	"9"	"C1"	"Right"	"37"	"39"	"C"	"37"
"2-3"	"na:la:la"	"87-J-10-4"	"87"	"J"	"10"	"4"	11	"Training"	1	11	"9"	"S"	"Down"	"38"	"40"	"C"	"40"
"2-3"	"na:mana"	"128-J-10-3"	"128"	"J"	"10"	"3"	12	"Training"	1	12	"9"	"S"	"Up"	"40"	"38"	"C"	"38"
"2-3"	"ta:ka:ka"	"85-J-0-2"	"85"	"J"	"0"	"2"	13	"Training"	1	13	"9"	"P"	"Right"	"37"	"39"	"C"	"39"
"2-3"	"za:saza"	"144-C-30-3"	"144"	"C"	"30"	"3"	14	"Training"	1	14	"9"	"C2"	"Down"	"38"	"40"	"C"	"38"
"2-3"	"pa:pa:ka"	"139-J-0-2"	"139"	"J"	"0"	"2"	15	"Training"	1	15	"9"	"P"	"Down"	"38"	"40"	"C"	"40"
"2-3"	"sa:ha:ha"	"128-C-30-3"	"128"	"C"	"30"	"3"	16	"Training"	1	16	"9"	"C2"	"Left"	"39"	"37"	"C"	"39"
"2-3"	"ta:ka:ka"	"85-J-0-2"	"85"	"J"	"0"	"2"	17	"Training"	2	1	"9"	"P"	"Right"	"37"	"39"	"C"	"39"
"2-3"	"nala:la"	"87-C-20-4"	"87"	"C"	"20"	"4"	18	"Training"	2	2	"9"	"S"	"Right"	"37"	"39"	"C"	"37"
"2-3"	"sasaha"	"7-J-10-4"	"7"	"J"	"10"	"4"	19	"Training"	2	3	"9"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-3"	"sa:ha:ha"	"128-C-30-3"	"128"	"C"	"30"	"3"	20	"Training"	2	4	"9"	"C2"	"Left"	"39"	"37"	"C"	"39"
"2-3"	"na:lana"	"139-C-20-2"	"139"	"C"	"20"	"2"	21	"Training"	2	5	"9"	"S"	"Left"	"39"	"37"	"C"	"39"
"2-3"	"pa:pa:ka"	"139-J-0-2"	"139"	"J"	"0"	"2"	22	"Training"	2	6	"9"	"P"	"Left"	"39"	"37"	"C"	"37"
"2-3"	"fashasha"	"144-J-10-3"	"144"	"J"	"10"	"3"	23	"Training"	2	7	"9"	"C1"	"Left"	"39"	"37"	"C"	"37"
"2-3"	"za:saza"	"144-C-30-3"	"144"	"C"	"30"	"3"	24	"Training"	2	8	"9"	"C2"	"Down"	"38"	"40"	"C"	"38"
"2-3"	"sa:sa:za"	"85-C-20-2"	"85"	"C"	"20"	"2"	25	"Training"	2	9	"9"	"C2"	"Up"	"40"	"38"	"C"	"40"
"2-3"	"mama:la"	"27-J-0-1"	"27"	"J"	"0"	"1"	26	"Training"	2	10	"9"	"S"	"Up"	"40"	"38"	"C"	"38"
"2-3"	"ta:pa:ta"	"7-C-20-4"	"7"	"C"	"20"	"4"	27	"Training"	2	11	"9"	"P"	"Down"	"38"	"40"	"C"	"38"
"2-3"	"na:mana"	"128-J-10-3"	"128"	"J"	"10"	"3"	28	"Training"	2	12	"9"	"S"	"Right"	"37"	"39"	"C"	"39"
"2-3"	"vafa:va"	"86-J-0-1"	"86"	"J"	"0"	"1"	29	"Training"	2	13	"9"	"C1"	"Up"	"40"	"38"	"C"	"38"
"2-3"	"fa:sha:sha"	"27-C-30-1"	"27"	"C"	"30"	"1"	30	"Training"	2	14	"9"	"C1"	"Up"	"40"	"38"	"C"	"40"
"2-3"	"saha:ha"	"86-C-30-1"	"86"	"C"	"30"	"1"	31	"Training"	2	15	"9"	"C2"	"Down"	"38"	"40"	"C"	"38"
"2-3"	"na:la:la"	"87-J-10-4"	"87"	"J"	"10"	"4"	32	"Training"	2	16	"9"	"S"	"Down"	"38"	"40"	"C"	"40"
"2-3"	"fashasha"	"144-J-10-3"	"144"	"J"	"10"	"3"	33	"Training"	3	1	"9"	"C1"	"Right"	"37"	"39"	"C"	"39"
"2-3"	"sa:sa:za"	"85-C-20-2"	"85"	"C"	"20"	"2"	34	"Training"	3	2	"9"	"C2"	"Left"	"39"	"37"	"C"	"39"
"2-3"	"nala:la"	"87-C-20-4"	"87"	"C"	"20"	"4"	35	"Training"	3	3	"9"	"S"	"Down"	"38"	"40"	"C"	"38"
