"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"1-1"	"vafa:va"	"27-C-30-1"	"27"	"C"	"30"	"1"	1	"Training"	1	1	"6B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"1-1"	"va:sha:sha"	"19-C-20-4"	"19"	"C"	"20"	"4"	2	"Training"	1	2	"6B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"1-1"	"zahaha"	"74-J-10-4"	"74"	"J"	"10"	"4"	3	"Training"	1	3	"6B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"1-1"	"vafa:sha"	"84-C-20-2"	"84"	"C"	"20"	"2"	4	"Training"	1	4	"6B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"1-1"	"fa:fa:va"	"118-C-20-2"	"118"	"C"	"20"	"2"	5	"Training"	1	5	"6B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"1-1"	"fafa:va"	"44-C-30-3"	"44"	"C"	"30"	"3"	6	"Training"	1	6	"6B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"1-1"	"zasa:za"	"84-J-0-2"	"84"	"J"	"0"	"2"	7	"Training"	1	7	"6B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"1-1"	"fa:shasha"	"128-C-30-3"	"128"	"C"	"30"	"3"	8	"Training"	1	8	"6B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"1-1"	"saha:ha"	"44-J-10-3"	"44"	"J"	"10"	"3"	9	"Training"	1	9	"6B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"1-1"	"va:fa:va"	"74-C-20-4"	"74"	"C"	"20"	"4"	10	"Training"	1	10	"6B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"1-1"	"zasa:ha"	"57-J-0-1"	"57"	"J"	"0"	"1"	11	"Training"	1	11	"6B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"1-1"	"sa:ha:ha"	"128-J-10-3"	"128"	"J"	"10"	"3"	12	"Training"	1	12	"6B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"1-1"	"saha:za"	"19-J-10-4"	"19"	"J"	"10"	"4"	13	"Training"	1	13	"6B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"1-1"	"fa:sha:va"	"57-C-30-1"	"57"	"C"	"30"	"1"	14	"Training"	1	14	"6B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"1-1"	"za:ha:ha"	"118-J-0-2"	"118"	"J"	"0"	"2"	15	"Training"	1	15	"6B"	"C2"	"Up"	"40"	"38"	"J"	"40"
"1-1"	"sa:ha:za"	"27-J-0-1"	"27"	"J"	"0"	"1"	16	"Training"	1	16	"6B"	"C2"	"Up"	"40"	"38"	"J"	"40"
"1-1"	"va:sha:sha"	"19-C-20-4"	"19"	"C"	"20"	"4"	17	"Training"	2	1	"6B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"1-1"	"zasa:za"	"84-J-0-2"	"84"	"J"	"0"	"2"	18	"Training"	2	2	"6B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"1-1"	"fa:shasha"	"128-C-30-3"	"128"	"C"	"30"	"3"	19	"Training"	2	3	"6B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"1-1"	"za:ha:ha"	"118-J-0-2"	"118"	"J"	"0"	"2"	20	"Training"	2	4	"6B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"1-1"	"sa:ha:za"	"27-J-0-1"	"27"	"J"	"0"	"1"	21	"Training"	2	5	"6B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"1-1"	"fafa:va"	"44-C-30-3"	"44"	"C"	"30"	"3"	22	"Training"	2	6	"6B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"1-1"	"saha:ha"	"44-J-10-3"	"44"	"J"	"10"	"3"	23	"Training"	2	7	"6B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"1-1"	"vafa:sha"	"84-C-20-2"	"84"	"C"	"20"	"2"	24	"Training"	2	8	"6B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"1-1"	"sa:ha:ha"	"128-J-10-3"	"128"	"J"	"10"	"3"	25	"Training"	2	9	"6B"	"C2"	"Up"	"40"	"38"	"J"	"40"
"1-1"	"vafa:va"	"27-C-30-1"	"27"	"C"	"30"	"1"	26	"Training"	2	10	"6B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"1-1"	"zahaha"	"74-J-10-4"	"74"	"J"	"10"	"4"	27	"Training"	2	11	"6B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"1-1"	"va:fa:va"	"74-C-20-4"	"74"	"C"	"20"	"4"	28	"Training"	2	12	"6B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"1-1"	"zasa:ha"	"57-J-0-1"	"57"	"J"	"0"	"1"	29	"Training"	2	13	"6B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"1-1"	"fa:fa:va"	"118-C-20-2"	"118"	"C"	"20"	"2"	30	"Training"	2	14	"6B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"1-1"	"fa:sha:va"	"57-C-30-1"	"57"	"C"	"30"	"1"	31	"Training"	2	15	"6B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"1-1"	"saha:za"	"19-J-10-4"	"19"	"J"	"10"	"4"	32	"Training"	2	16	"6B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"1-1"	"saha:ha"	"44-J-10-3"	"44"	"J"	"10"	"3"	33	"Training"	3	1	"6B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"1-1"	"zasa:ha"	"57-J-0-1"	"57"	"J"	"0"	"1"	34	"Training"	3	2	"6B"	"C2"	"Up"	"40"	"38"	"J"	"40"
"1-1"	"va:fa:va"	"74-C-20-4"	"74"	"C"	"20"	"4"	35	"Training"	3	3	"6B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"1-1"	"za:ha:ha"	"118-J-0-2"	"118"	"J"	"0"	"2"	36	"Training"	3	4	"6B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"1-1"	"sa:ha:ha"	"128-J-10-3"	"128"	"J"	"10"	"3"	37	"Training"	3	5	"6B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"1-1"	"fa:sha:va"	"57-C-30-1"	"57"	"C"	"30"	"1"	38	"Training"	3	6	"6B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"1-1"	"sa:ha:za"	"27-J-0-1"	"27"	"J"	"0"	"1"	39	"Training"	3	7	"6B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"1-1"	"vafa:va"	"27-C-30-1"	"27"	"C"	"30"	"1"	40	"Training"	3	8	"6B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"1-1"	"fa:shasha"	"128-C-30-3"	"128"	"C"	"30"	"3"	41	"Training"	3	9	"6B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"1-1"	"zasa:za"	"84-J-0-2"	"84"	"J"	"0"	"2"	42	"Training"	3	10	"6B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"1-1"	"fa:fa:va"	"118-C-20-2"	"118"	"C"	"20"	"2"	43	"Training"	3	11	"6B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"1-1"	"fafa:va"	"44-C-30-3"	"44"	"C"	"30"	"3"	44	"Training"	3	12	"6B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"1-1"	"vafa:sha"	"84-C-20-2"	"84"	"C"	"20"	"2"	45	"Training"	3	13	"6B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"1-1"	"va:sha:sha"	"19-C-20-4"	"19"	"C"	"20"	"4"	46	"Training"	3	14	"6B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"1-1"	"zahaha"	"74-J-10-4"	"74"	"J"	"10"	"4"	47	"Training"	3	15	"6B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"1-1"	"saha:za"	"19-J-10-4"	"19"	"J"	"10"	"4"	48	"Training"	3	16	"6B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"1-1"	"fa:fa:va"	"118-C-20-2"	"118"	"C"	"20"	"2"	49	"Training"	4	1	"6B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"1-1"	"zasa:za"	"84-J-0-2"	"84"	"J"	"0"	"2"	50	"Training"	4	2	"6B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"1-1"	"vafa:va"	"27-C-30-1"	"27"	"C"	"30"	"1"	51	"Training"	4	3	"6B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"1-1"	"zahaha"	"74-J-10-4"	"74"	"J"	"10"	"4"	52	"Training"	4	4	"6B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"1-1"	"fa:sha:va"	"57-C-30-1"	"57"	"C"	"30"	"1"	53	"Training"	4	5	"6B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"1-1"	"saha:za"	"19-J-10-4"	"19"	"J"	"10"	"4"	54	"Training"	4	6	"6B"	"C2"	"Up"	"40"	"38"	"J"	"40"
"1-1"	"zasa:ha"	"57-J-0-1"	"57"	"J"	"0"	"1"	55	"Training"	4	7	"6B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"1-1"	"va:sha:sha"	"19-C-20-4"	"19"	"C"	"20"	"4"	56	"Training"	4	8	"6B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"1-1"	"saha:ha"	"44-J-10-3"	"44"	"J"	"10"	"3"	57	"Training"	4	9	"6B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"1-1"	"va:fa:va"	"74-C-20-4"	"74"	"C"	"20"	"4"	58	"Training"	4	10	"6B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"1-1"	"sa:ha:za"	"27-J-0-1"	"27"	"J"	"0"	"1"	59	"Training"	4	11	"6B"	"C2"	"Up"	"40"	"38"	"J"	"40"
"1-1"	"sa:ha:ha"	"128-J-10-3"	"128"	"J"	"10"	"3"	60	"Training"	4	12	"6B"	"C2"	"Up"	"40"	"38"	"J"	"40"
"1-1"	"za:ha:ha"	"118-J-0-2"	"118"	"J"	"0"	"2"	61	"Training"	4	13	"6B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"1-1"	"fafa:va"	"44-C-30-3"	"44"	"C"	"30"	"3"	62	"Training"	4	14	"6B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"1-1"	"vafa:sha"	"84-C-20-2"	"84"	"C"	"20"	"2"	63	"Training"	4	15	"6B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"1-1"	"fa:shasha"	"128-C-30-3"	"128"	"C"	"30"	"3"	64	"Training"	4	16	"6B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"1-1"	"fa:fa:va"	"118-C-20-2"	"118"	"C"	"20"	"2"	65	"Training"	5	1	"6B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"1-1"	"vafa:sha"	"84-C-20-2"	"84"	"C"	"20"	"2"	66	"Training"	5	2	"6B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"1-1"	"zahaha"	"74-J-10-4"	"74"	"J"	"10"	"4"	67	"Training"	5	3	"6B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"1-1"	"vafa:va"	"27-C-30-1"	"27"	"C"	"30"	"1"	68	"Training"	5	4	"6B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"1-1"	"sa:ha:ha"	"128-J-10-3"	"128"	"J"	"10"	"3"	69	"Training"	5	5	"6B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"1-1"	"saha:ha"	"44-J-10-3"	"44"	"J"	"10"	"3"	70	"Training"	5	6	"6B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"1-1"	"sa:ha:za"	"27-J-0-1"	"27"	"J"	"0"	"1"	71	"Training"	5	7	"6B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"1-1"	"fa:sha:va"	"57-C-30-1"	"57"	"C"	"30"	"1"	72	"Training"	5	8	"6B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"1-1"	"zasa:ha"	"57-J-0-1"	"57"	"J"	"0"	"1"	73	"Training"	5	9	"6B"	"C2"	"Up"	"40"	"38"	"J"	"40"
