"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"20474","32","text","0","20479","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"72658","","instructions","1","93141","0.0-1.0","[{""page_index"":0,""viewing_time"":72658}]","","","","","","","","","","","","","","","",""
"56369","","survey-multi-choice","2","149578","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","157647","0.0-3.0","","{""age"":""19"",""gender"":""m"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","166771","0.0-4.0","","","2-5","7610","37","0","Training","Stims/Figures/57-C-30-1.bmp","nala:na","Right","39","1","1","1","S","J","1"
"","","approach-retreat","5","177917","0.0-5.0","","","2-5","9635","39","1","Training","Stims/Figures/57-J-0-1.bmp","ta:ka:ta","Left","39","1","2","1","P","J","2"
"","","approach-retreat","6","184029","0.0-6.0","","","2-5","4605","39","1","Training","Stims/Figures/128-J-10-3.bmp","ta:ka:ta","Left","39","1","3","1","P","J","3"
"","","approach-retreat","7","189852","0.0-7.0","","","2-5","4313","38","1","Training","Stims/Figures/87-J-10-4.bmp","ta:ka:ta","Down","38","1","4","1","P","J","4"
"","","approach-retreat","8","195593","0.0-8.0","","","2-5","4230","38","0","Training","Stims/Figures/87-C-20-4.bmp","nala:na","Down","40","1","5","1","S","J","5"
"","","approach-retreat","9","201075","0.0-9.0","","","2-5","3970","39","1","Training","Stims/Figures/93-J-0-1.bmp","ta:ka:ta","Left","39","1","6","1","P","J","6"
"","","approach-retreat","10","206766","0.0-10.0","","","2-5","4177","37","0","Training","Stims/Figures/139-C-20-2.bmp","nala:na","Right","39","1","7","1","S","J","7"
"","","approach-retreat","11","212258","0.0-11.0","","","2-5","3982","38","1","Training","Stims/Figures/84-C-20-2.bmp","nala:na","Up","38","1","8","1","S","J","8"
"","","approach-retreat","12","217818","0.0-12.0","","","2-5","4052","37","1","Training","Stims/Figures/102-J-10-4.bmp","ta:ka:ta","Right","37","1","9","1","P","J","9"
"","","approach-retreat","13","223296","0.0-13.0","","","2-5","3968","40","1","Training","Stims/Figures/44-J-10-3.bmp","ta:ka:ta","Up","40","1","10","1","P","J","10"
"","","approach-retreat","14","228872","0.0-14.0","","","2-5","4067","39","0","Training","Stims/Figures/44-C-30-3.bmp","nala:na","Left","37","1","11","1","S","J","11"
"","","approach-retreat","15","234515","0.0-15.0","","","2-5","4135","40","0","Training","Stims/Figures/93-C-30-1.bmp","nala:na","Up","38","1","12","1","S","J","12"
"","","approach-retreat","16","240153","0.0-16.0","","","2-5","4131","38","1","Training","Stims/Figures/84-J-0-2.bmp","ta:ka:ta","Down","38","1","13","1","P","J","13"
"","","approach-retreat","17","245808","0.0-17.0","","","2-5","4147","38","0","Training","Stims/Figures/128-C-30-3.bmp","nala:na","Down","40","1","14","1","S","J","14"
"","","approach-retreat","18","251345","0.0-18.0","","","2-5","4029","37","1","Training","Stims/Figures/139-J-0-2.bmp","ta:ka:ta","Right","37","1","15","1","P","J","15"
"","","approach-retreat","19","257235","0.0-19.0","","","2-5","4382","40","0","Training","Stims/Figures/102-C-20-4.bmp","nala:na","Up","38","1","16","1","S","J","16"
"","","approach-retreat","20","262939","0.0-20.0","","","2-5","4195","40","0","Training","Stims/Figures/139-C-20-2.bmp","nala:na","Up","38","2","1","1","S","J","17"
"","","approach-retreat","21","268508","0.0-21.0","","","2-5","4063","40","0","Training","Stims/Figures/84-C-20-2.bmp","nala:na","Up","38","2","2","1","S","J","18"
"","","approach-retreat","22","274332","0.0-22.0","","","2-5","4317","39","0","Training","Stims/Figures/44-C-30-3.bmp","nala:na","Left","37","2","3","1","S","J","19"
"","","approach-retreat","23","279938","0.0-23.0","","","2-5","4096","37","0","Training","Stims/Figures/93-C-30-1.bmp","nala:na","Right","39","2","4","1","S","J","20"
"","","approach-retreat","24","286636","0.0-24.0","","","2-5","5191","38","0","Training","Stims/Figures/44-J-10-3.bmp","ta:ka:ta","Up","40","2","5","1","P","J","21"
"","","approach-retreat","25","293399","0.0-25.0","","","2-5","5250","40","0","Training","Stims/Figures/139-J-0-2.bmp","ta:ka:ta","Down","38","2","6","1","P","J","22"
"","","approach-retreat","26","298809","0.0-26.0","","","2-5","3904","40","0","Training","Stims/Figures/93-J-0-1.bmp","ta:ka:ta","Down","38","2","7","1","P","J","23"
"","","approach-retreat","27","304319","0.0-27.0","","","2-5","4004","40","1","Training","Stims/Figures/87-C-20-4.bmp","nala:na","Down","40","2","8","1","S","J","24"
"","","approach-retreat","28","309933","0.0-28.0","","","2-5","4106","40","0","Training","Stims/Figures/102-J-10-4.bmp","ta:ka:ta","Down","38","2","9","1","P","J","25"
"","","approach-retreat","29","315511","0.0-29.0","","","2-5","4071","39","0","Training","Stims/Figures/57-J-0-1.bmp","ta:ka:ta","Right","37","2","10","1","P","J","26"
"","","approach-retreat","30","323199","0.0-30.0","","","2-5","6180","39","1","Training","Stims/Figures/128-C-30-3.bmp","nala:na","Right","39","2","11","1","S","J","27"
"","","approach-retreat","31","329344","0.0-31.0","","","2-5","4634","40","1","Training","Stims/Figures/87-J-10-4.bmp","ta:ka:ta","Up","40","2","12","1","P","J","28"
"","","approach-retreat","32","335009","0.0-32.0","","","2-5","4157","39","0","Training","Stims/Figures/57-C-30-1.bmp","nala:na","Left","37","2","13","1","S","J","29"
"","","approach-retreat","33","340799","0.0-33.0","","","2-5","4281","37","0","Training","Stims/Figures/128-J-10-3.bmp","ta:ka:ta","Left","39","2","14","1","P","J","30"
"","","approach-retreat","34","346611","0.0-34.0","","","2-5","4304","37","1","Training","Stims/Figures/102-C-20-4.bmp","nala:na","Left","37","2","15","1","S","J","31"
"","","approach-retreat","35","352254","0.0-35.0","","","2-5","4136","39","0","Training","Stims/Figures/84-J-0-2.bmp","ta:ka:ta","Right","37","2","16","1","P","J","32"
"","","approach-retreat","36","358791","0.0-36.0","","","2-5","5028","38","0","Training","Stims/Figures/44-J-10-3.bmp","ta:ka:ta","Up","40","3","1","1","P","J","33"
"","","approach-retreat","37","365186","0.0-37.0","","","2-5","4886","40","1","Training","Stims/Figures/102-J-10-4.bmp","ta:ka:ta","Up","40","3","2","1","P","J","34"
"","","approach-retreat","38","371456","0.0-38.0","","","2-5","4758","38","1","Training","Stims/Figures/84-J-0-2.bmp","ta:ka:ta","Down","38","3","3","1","P","J","35"
"","","approach-retreat","39","377869","0.0-39.0","","","2-5","4906","37","0","Training","Stims/Figures/87-J-10-4.bmp","ta:ka:ta","Left","39","3","4","1","P","J","36"
"","","approach-retreat","40","384604","0.0-40.0","","","2-5","5226","38","1","Training","Stims/Figures/102-C-20-4.bmp","nala:na","Up","38","3","5","1","S","J","37"
"","","approach-retreat","41","390319","0.0-41.0","","","2-5","4204","39","0","Training","Stims/Figures/84-C-20-2.bmp","nala:na","Left","37","3","6","1","S","J","38"
"","","approach-retreat","42","396196","0.0-42.0","","","2-5","4368","37","0","Training","Stims/Figures/139-J-0-2.bmp","ta:ka:ta","Left","39","3","7","1","P","J","39"
"","","approach-retreat","43","402088","0.0-43.0","","","2-5","4384","40","0","Training","Stims/Figures/128-J-10-3.bmp","ta:ka:ta","Down","38","3","8","1","P","J","40"
"","","approach-retreat","44","407617","0.0-44.0","","","2-5","4023","40","1","Training","Stims/Figures/44-C-30-3.bmp","nala:na","Down","40","3","9","1","S","J","41"
"","","approach-retreat","45","413269","0.0-45.0","","","2-5","4143","39","1","Training","Stims/Figures/87-C-20-4.bmp","nala:na","Right","39","3","10","1","S","J","42"
"","","approach-retreat","46","419309","0.0-46.0","","","2-5","4531","39","0","Training","Stims/Figures/93-J-0-1.bmp","ta:ka:ta","Right","37","3","11","1","P","J","43"
"","","approach-retreat","47","424925","0.0-47.0","","","2-5","4107","39","1","Training","Stims/Figures/93-C-30-1.bmp","nala:na","Right","39","3","12","1","S","J","44"
"","","approach-retreat","48","430867","0.0-48.0","","","2-5","4435","37","0","Training","Stims/Figures/57-J-0-1.bmp","ta:ka:ta","Left","39","3","13","1","P","J","45"
"","","approach-retreat","49","436532","0.0-49.0","","","2-5","4158","38","1","Training","Stims/Figures/128-C-30-3.bmp","nala:na","Up","38","3","14","1","S","J","46"
"","","approach-retreat","50","441851","0.0-50.0","","","2-5","3811","39","1","Training","Stims/Figures/139-C-20-2.bmp","nala:na","Right","39","3","15","1","S","J","47"
"","","approach-retreat","51","447848","0.0-51.0","","","2-5","4488","40","1","Training","Stims/Figures/57-C-30-1.bmp","nala:na","Down","40","3","16","1","S","J","48"
"","","approach-retreat","52","453417","0.0-52.0","","","2-5","4062","40","0","Training","Stims/Figures/57-J-0-1.bmp","ta:ka:ta","Down","38","4","1","1","P","J","49"
"","","approach-retreat","53","459153","0.0-53.0","","","2-5","4227","40","1","Training","Stims/Figures/93-J-0-1.bmp","ta:ka:ta","Up","40","4","2","1","P","J","50"
"","","approach-retreat","54","464702","0.0-54.0","","","2-5","4042","37","0","Training","Stims/Figures/84-C-20-2.bmp","nala:na","Right","39","4","3","1","S","J","51"
"","","approach-retreat","55","470896","0.0-55.0","","","2-5","4684","40","0","Training","Stims/Figures/139-C-20-2.bmp","nala:na","Up","38","4","4","1","S","J","52"
"","","approach-retreat","56","476574","0.0-56.0","","","2-5","4171","40","0","Training","Stims/Figures/102-J-10-4.bmp","ta:ka:ta","Down","38","4","5","1","P","J","53"
"","","approach-retreat","57","482184","0.0-57.0","","","2-5","4103","37","1","Training","Stims/Figures/87-C-20-4.bmp","nala:na","Left","37","4","6","1","S","J","54"
"","","approach-retreat","58","492742","0.0-58.0","","","2-5","9052","39","0","Training","Stims/Figures/84-J-0-2.bmp","ta:ka:ta","Right","37","4","7","1","P","J","55"
"","","approach-retreat","59","498826","0.0-59.0","","","2-5","4575","39","0","Training","Stims/Figures/102-C-20-4.bmp","nala:na","Left","37","4","8","1","S","J","56"
"","","approach-retreat","60","512470","0.0-60.0","","","2-5","12135","40","1","Training","Stims/Figures/128-J-10-3.bmp","ta:ka:ta","Up","40","4","9","1","P","J","57"
"","","approach-retreat","61","518220","0.0-61.0","","","2-5","4241","39","1","Training","Stims/Figures/139-J-0-2.bmp","ta:ka:ta","Left","39","4","10","1","P","J","58"
"","","approach-retreat","62","523810","0.0-62.0","","","2-5","4080","39","1","Training","Stims/Figures/44-C-30-3.bmp","nala:na","Right","39","4","11","1","S","J","59"
"","","approach-retreat","63","529291","0.0-63.0","","","2-5","3971","38","1","Training","Stims/Figures/93-C-30-1.bmp","nala:na","Up","38","4","12","1","S","J","60"
"","","approach-retreat","64","534933","0.0-64.0","","","2-5","4133","37","0","Training","Stims/Figures/87-J-10-4.bmp","ta:ka:ta","Left","39","4","13","1","P","J","61"
"","","approach-retreat","65","548081","0.0-65.0","","","2-5","11637","39","1","Training","Stims/Figures/128-C-30-3.bmp","nala:na","Right","39","4","14","1","S","J","62"
"","","approach-retreat","66","555358","0.0-66.0","","","2-5","5771","40","0","Training","Stims/Figures/44-J-10-3.bmp","ta:ka:ta","Down","38","4","15","1","P","J","63"
"","","approach-retreat","67","567897","0.0-67.0","","","2-5","11034","38","0","Training","Stims/Figures/57-C-30-1.bmp","nala:na","Down","40","4","16","1","S","J","64"
"","","approach-retreat","68","574314","0.0-68.0","","","2-5","4911","40","1","Training","Stims/Figures/102-J-10-4.bmp","ta:ka:ta","Up","40","5","1","1","P","J","65"
"","","approach-retreat","69","580680","0.0-69.0","","","2-5","4860","40","0","Training","Stims/Figures/93-J-0-1.bmp","ta:ka:ta","Down","38","5","2","1","P","J","66"
"","","approach-retreat","70","589175","0.0-70.0","","","2-5","6987","38","1","Training","Stims/Figures/139-J-0-2.bmp","ta:ka:ta","Down","38","5","3","1","P","J","67"
"","","approach-retreat","71","595191","0.0-71.0","","","2-5","4510","39","0","Training","Stims/Figures/87-J-10-4.bmp","ta:ka:ta","Right","37","5","4","1","P","J","68"
"","","approach-retreat","72","601386","0.0-72.0","","","2-5","4688","38","0","Training","Stims/Figures/57-C-30-1.bmp","nala:na","Down","40","5","5","1","S","J","69"
"","","approach-retreat","73","606934","0.0-73.0","","","2-5","4041","39","0","Training","Stims/Figures/93-C-30-1.bmp","nala:na","Left","37","5","6","1","S","J","70"
"","","approach-retreat","74","612710","0.0-74.0","","","2-5","4269","39","0","Training","Stims/Figures/84-J-0-2.bmp","ta:ka:ta","Right","37","5","7","1","P","J","71"
"","","approach-retreat","75","618573","0.0-75.0","","","2-5","4356","37","0","Training","Stims/Figures/44-C-30-3.bmp","nala:na","Right","39","5","8","1","S","J","72"
"","","approach-retreat","76","623597","0.0-76.0","","","2-5","3515","39","1","Training","Stims/Figures/128-C-30-3.bmp","nala:na","Right","39","5","9","1","S","J","73"
"","","approach-retreat","77","628636","0.0-77.0","","","2-5","3530","38","1","Training","Stims/Figures/87-C-20-4.bmp","nala:na","Up","38","5","10","1","S","J","74"
