"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"30749","32","text","0","30756","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"128223","","instructions","1","158981","0.0-1.0","[{""page_index"":0,""viewing_time"":128223}]","","","","","","","","","","","","","","","",""
"17585","","survey-multi-choice","2","176615","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","185297","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","192050","0.0-4.0","","","2-2","5228","37","1","Training","Stims/Figures/71-C-30-1.bmp","mama:la","Right","37","1","1","4","S","C","1"
"","","approach-retreat","5","197744","0.0-5.0","","","2-2","4146","39","1","Training","Stims/Figures/44-J-10-3.bmp","pa:kaka","Right","39","1","2","4","P","C","2"
"","","approach-retreat","6","204337","0.0-6.0","","","2-2","5052","39","1","Training","Stims/Figures/85-C-20-2.bmp","mala:na","Left","39","1","3","4","S","C","3"
"","","approach-retreat","7","211033","0.0-7.0","","","2-2","5140","38","1","Training","Stims/Figures/71-J-0-1.bmp","ta:pa:ta","Up","38","1","4","4","P","C","4"
"","","approach-retreat","8","217291","0.0-8.0","","","2-2","4710","37","1","Training","Stims/Figures/93-J-0-1.bmp","pa:ka:ta","Left","37","1","5","4","P","C","5"
"","","approach-retreat","9","223595","0.0-9.0","","","2-2","4787","38","1","Training","Stims/Figures/139-C-20-2.bmp","ma:mala","Down","38","1","6","4","S","C","6"
"","","approach-retreat","10","230056","0.0-10.0","","","2-2","4914","39","1","Training","Stims/Figures/139-J-0-2.bmp","ta:ka:ta","Right","39","1","7","4","P","C","7"
"","","approach-retreat","11","236782","0.0-11.0","","","2-2","5176","38","1","Training","Stims/Figures/74-J-10-4.bmp","tapaka","Up","38","1","8","4","P","C","8"
"","","approach-retreat","12","242956","0.0-12.0","","","2-2","4630","37","1","Training","Stims/Figures/87-J-10-4.bmp","papa:ta","Left","37","1","9","4","P","C","9"
"","","approach-retreat","13","249059","0.0-13.0","","","2-2","4557","38","1","Training","Stims/Figures/74-C-20-4.bmp","malala","Down","38","1","10","4","S","C","10"
"","","approach-retreat","14","255009","0.0-14.0","","","2-2","4408","38","1","Training","Stims/Figures/93-C-30-1.bmp","na:ma:na","Down","38","1","11","4","S","C","11"
"","","approach-retreat","15","261524","0.0-15.0","","","2-2","4963","39","1","Training","Stims/Figures/144-J-10-3.bmp","ta:pata","Right","39","1","12","4","P","C","12"
