\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"23284\",\"32\",\"text\",\"0\",\"23286\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"43088\",\"\",\"instructions\",\"1\",\"66375\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":43088}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"15614\",\"\",\"survey-multi-choice\",\"2\",\"82008\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"87333\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"23\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"98192\",\"0.0-4.0\",\"\",\"\",\"2-2\",\"9350\",\"39\",\"0\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"sasaza\",\"Right\",\"37\",\"1\",\"1\",\"3B\",\"C2\",\"J\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"104626\",\"0.0-5.0\",\"\",\"\",\"2-2\",\"4927\",\"40\",\"1\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"sasaza\",\"Up\",\"40\",\"1\",\"2\",\"3B\",\"C2\",\"J\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"110610\",\"0.0-6.0\",\"\",\"\",\"2-2\",\"4476\",\"39\",\"1\",\"Training\",\"Stims/Figures/100-J-10-3.bmp\",\"sasaza\",\"Left\",\"39\",\"1\",\"3\",\"3B\",\"C2\",\"J\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"117634\",\"0.0-7.0\",\"\",\"\",\"2-2\",\"5519\",\"39\",\"1\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"fa:fasha\",\"Right\",\"39\",\"1\",\"4\",\"3B\",\"C1\",\"J\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"124153\",\"0.0-8.0\",\"\",\"\",\"2-2\",\"5014\",\"39\",\"1\",\"Training\",\"Stims/Figures/84-C-20-2.bmp\",\"fa:fasha\",\"Right\",\"39\",\"1\",\"5\",\"3B\",\"C1\",\"J\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"130522\",\"0.0-9.0\",\"\",\"\",\"2-2\",\"4862\",\"40\",\"1\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"fa:fasha\",\"Down\",\"40\",\"1\",\"6\",\"3B\",\"C1\",\"J\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"136754\",\"0.0-10.0\",\"\",\"\",\"2-2\",\"4727\",\"38\",\"1\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"sasaza\",\"Down\",\"38\",\"1\",\"7\",\"3B\",\"C2\",\"J\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"144657\",\"0.0-11.0\",\"\",\"\",\"2-2\",\"6398\",\"38\",\"1\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"fa:fasha\",\"Up\",\"38\",\"1\",\"8\",\"3B\",\"C1\",\"J\",\"8\"
\"\",\"\",\"approach-retreat\",\"12\",\"150508\",\"0.0-12.0\",\"\",\"\",\"2-2\",\"4345\",\"40\",\"1\",\"Training\",\"Stims/Figures/57-J-0-1.bmp\",\"sasaza\",\"Up\",\"40\",\"1\",\"9\",\"3B\",\"C2\",\"J\",\"9\"
\"\",\"\",\"approach-retreat\",\"13\",\"157146\",\"0.0-13.0\",\"\",\"\",\"2-2\",\"5131\",\"40\",\"1\",\"Training\",\"Stims/Figures/128-C-30-3.bmp\",\"fa:fasha\",\"Down\",\"40\",\"1\",\"10\",\"3B\",\"C1\",\"J\",\"10\"
\"\",\"\",\"approach-retreat\",\"14\",\"163042\",\"0.0-14.0\",\"\",\"\",\"2-2\",\"4388\",\"37\",\"1\",\"Training\",\"Stims/Figures/19-C-20-4.bmp\",\"fa:fasha\",\"Left\",\"37\",\"1\",\"11\",\"3B\",\"C1\",\"J\",\"11\"
\"\",\"\",\"approach-retreat\",\"15\",\"169302\",\"0.0-15.0\",\"\",\"\",\"2-2\",\"4755\",\"37\",\"1\",\"Training\",\"Stims/Figures/84-J-0-2.bmp\",\"sasaza\",\"Right\",\"37\",\"1\",\"12\",\"3B\",\"C2\",\"J\",\"12\"
\"\",\"\",\"approach-retreat\",\"16\",\"174860\",\"0.0-16.0\",\"\",\"\",\"2-2\",\"4053\",\"40\",\"1\",\"Training\",\"Stims/Figures/19-J-10-4.bmp\",\"sasaza\",\"Up\",\"40\",\"1\",\"13\",\"3B\",\"C2\",\"J\",\"13\"
\"\",\"\",\"approach-retreat\",\"17\",\"180765\",\"0.0-17.0\",\"\",\"\",\"2-2\",\"4399\",\"37\",\"1\",\"Training\",\"Stims/Figures/57-C-30-1.bmp\",\"fa:fasha\",\"Left\",\"37\",\"1\",\"14\",\"3B\",\"C1\",\"J\",\"14\"
\"\",\"\",\"approach-retreat\",\"18\",\"186492\",\"0.0-18.0\",\"\",\"\",\"2-2\",\"4222\",\"37\",\"1\",\"Training\",\"Stims/Figures/100-C-30-3.bmp\",\"fa:fasha\",\"Left\",\"37\",\"1\",\"15\",\"3B\",\"C1\",\"J\",\"15\"
\"\",\"\",\"approach-retreat\",\"19\",\"192431\",\"0.0-19.0\",\"\",\"\",\"2-2\",\"4430\",\"38\",\"1\",\"Training\",\"Stims/Figures/128-J-10-3.bmp\",\"sasaza\",\"Down\",\"38\",\"1\",\"16\",\"3B\",\"C2\",\"J\",\"16\"
\"\",\"\",\"approach-retreat\",\"20\",\"198109\",\"0.0-20.0\",\"\",\"\",\"2-2\",\"4173\",\"40\",\"1\",\"Training\",\"Stims/Figures/19-J-10-4.bmp\",\"sasaza\",\"Up\",\"40\",\"2\",\"1\",\"3B\",\"C2\",\"J\",\"17\"
\"\",\"\",\"approach-retreat\",\"21\",\"205448\",\"0.0-21.0\",\"\",\"\",\"2-2\",\"5836\",\"39\",\"1\",\"Training\",\"Stims/Figures/19-C-20-4.bmp\",\"fa:fasha\",\"Right\",\"39\",\"2\",\"2\",\"3B\",\"C1\",\"J\",\"18\"
\"\",\"\",\"approach-retreat\",\"22\",\"211033\",\"0.0-22.0\",\"\",\"\",\"2-2\",\"4078\",\"40\",\"1\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"fa:fasha\",\"Down\",\"40\",\"2\",\"3\",\"3B\",\"C1\",\"J\",\"19\"
\"\",\"\",\"approach-retreat\",\"23\",\"217034\",\"0.0-23.0\",\"\",\"\",\"2-2\",\"4497\",\"37\",\"1\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"sasaza\",\"Right\",\"37\",\"2\",\"4\",\"3B\",\"C2\",\"J\",\"20\"
\"\",\"\",\"approach-retreat\",\"24\",\"222807\",\"0.0-24.0\",\"\",\"\",\"2-2\",\"4269\",\"37\",\"1\",\"Training\",\"Stims/Figures/84-C-20-2.bmp\",\"fa:fasha\",\"Left\",\"37\",\"2\",\"5\",\"3B\",\"C1\",\"J\",\"21\"
\"\",\"\",\"approach-retreat\",\"25\",\"229122\",\"0.0-25.0\",\"\",\"\",\"2-2\",\"4806\",\"38\",\"1\",\"Training\",\"Stims/Figures/128-C-30-3.bmp\",\"fa:fasha\",\"Up\",\"38\",\"2\",\"6\",\"3B\",\"C1\",\"J\",\"22\"
\"\",\"\",\"approach-retreat\",\"26\",\"234850\",\"0.0-26.0\",\"\",\"\",\"2-2\",\"4222\",\"40\",\"0\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"sasaza\",\"Down\",\"38\",\"2\",\"7\",\"3B\",\"C2\",\"J\",\"23\"
\"\",\"\",\"approach-retreat\",\"27\",\"240542\",\"0.0-27.0\",\"\",\"\",\"2-2\",\"4187\",\"37\",\"1\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"fa:fasha\",\"Left\",\"37\",\"2\",\"8\",\"3B\",\"C1\",\"J\",\"24\"
\"\",\"\",\"approach-retreat\",\"28\",\"246283\",\"0.0-28.0\",\"\",\"\",\"2-2\",\"4236\",\"38\",\"0\",\"Training\",\"Stims/Figures/100-J-10-3.bmp\",\"sasaza\",\"Up\",\"40\",\"2\",\"9\",\"3B\",\"C2\",\"J\",\"25\"
\"\",\"\",\"approach-retreat\",\"29\",\"252723\",\"0.0-29.0\",\"\",\"\",\"2-2\",\"4936\",\"38\",\"1\",\"Training\",\"Stims/Figures/100-C-30-3.bmp\",\"fa:fasha\",\"Up\",\"38\",\"2\",\"10\",\"3B\",\"C1\",\"J\",\"26\"
