\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"21590\",\"32\",\"text\",\"0\",\"21604\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"40436\",\"\",\"instructions\",\"1\",\"62049\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":40435}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"14535\",\"\",\"survey-multi-choice\",\"2\",\"76642\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"82029\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"21\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"89467\",\"0.0-4.0\",\"\",\"\",\"2-3\",\"5921\",\"37\",\"0\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"na:lana\",\"Right\",\"39\",\"1\",\"1\",\"7\",\"S\",\"C\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"96714\",\"0.0-5.0\",\"\",\"\",\"2-3\",\"5733\",\"37\",\"1\",\"Training\",\"Stims/Figures/44-J-10-3.bmp\",\"ma:ma:na\",\"Left\",\"37\",\"1\",\"2\",\"7\",\"S\",\"C\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"103298\",\"0.0-6.0\",\"\",\"\",\"2-3\",\"5071\",\"37\",\"0\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"mama:na\",\"Left\",\"39\",\"1\",\"3\",\"7\",\"S\",\"C\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"110640\",\"0.0-7.0\",\"\",\"\",\"2-3\",\"5823\",\"38\",\"1\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"tapa:ta\",\"Up\",\"38\",\"1\",\"4\",\"7\",\"P\",\"C\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"116658\",\"0.0-8.0\",\"\",\"\",\"2-3\",\"4493\",\"39\",\"1\",\"Training\",\"Stims/Figures/84-J-0-2.bmp\",\"ta:pa:ta\",\"Right\",\"39\",\"1\",\"5\",\"7\",\"P\",\"C\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"123517\",\"0.0-9.0\",\"\",\"\",\"2-3\",\"5329\",\"40\",\"1\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"pa:kata\",\"Down\",\"40\",\"1\",\"6\",\"7\",\"P\",\"C\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"129478\",\"0.0-10.0\",\"\",\"\",\"2-3\",\"4417\",\"38\",\"0\",\"Training\",\"Stims/Figures/19-J-10-4.bmp\",\"nalana\",\"Down\",\"40\",\"1\",\"7\",\"7\",\"S\",\"C\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"135708\",\"0.0-11.0\",\"\",\"\",\"2-3\",\"4718\",\"40\",\"1\",\"Training\",\"Stims/Figures/19-C-20-4.bmp\",\"ma:ma:la\",\"Up\",\"40\",\"1\",\"8\",\"7\",\"S\",\"C\",\"8\"
\"\",\"\",\"approach-retreat\",\"12\",\"141601\",\"0.0-12.0\",\"\",\"\",\"2-3\",\"4378\",\"37\",\"0\",\"Training\",\"Stims/Figures/71-C-30-1.bmp\",\"ta:ka:ta\",\"Left\",\"39\",\"1\",\"9\",\"7\",\"P\",\"C\",\"9\"
\"\",\"\",\"approach-retreat\",\"13\",\"147784\",\"0.0-13.0\",\"\",\"\",\"2-3\",\"4671\",\"37\",\"0\",\"Training\",\"Stims/Figures/71-J-0-1.bmp\",\"takata\",\"Right\",\"39\",\"1\",\"10\",\"7\",\"P\",\"C\",\"10\"
\"\",\"\",\"approach-retreat\",\"14\",\"153990\",\"0.0-14.0\",\"\",\"\",\"2-3\",\"4653\",\"39\",\"1\",\"Training\",\"Stims/Figures/44-C-30-3.bmp\",\"mama:la\",\"Left\",\"39\",\"1\",\"11\",\"7\",\"S\",\"C\",\"11\"
\"\",\"\",\"approach-retreat\",\"15\",\"160210\",\"0.0-15.0\",\"\",\"\",\"2-3\",\"4663\",\"40\",\"0\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"paka:ka\",\"Down\",\"38\",\"1\",\"12\",\"7\",\"P\",\"C\",\"12\"
\"\",\"\",\"approach-retreat\",\"16\",\"166017\",\"0.0-16.0\",\"\",\"\",\"2-3\",\"4259\",\"37\",\"1\",\"Training\",\"Stims/Figures/128-C-30-3.bmp\",\"namala\",\"Right\",\"37\",\"1\",\"13\",\"7\",\"S\",\"C\",\"13\"
\"\",\"\",\"approach-retreat\",\"17\",\"172745\",\"0.0-17.0\",\"\",\"\",\"2-3\",\"5201\",\"38\",\"0\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"pa:pa:ka\",\"Up\",\"40\",\"1\",\"14\",\"7\",\"P\",\"C\",\"14\"
\"\",\"\",\"approach-retreat\",\"18\",\"178464\",\"0.0-18.0\",\"\",\"\",\"2-3\",\"4195\",\"38\",\"0\",\"Training\",\"Stims/Figures/84-C-20-2.bmp\",\"pa:pata\",\"Up\",\"40\",\"1\",\"15\",\"7\",\"P\",\"C\",\"15\"
\"\",\"\",\"approach-retreat\",\"19\",\"185573\",\"0.0-19.0\",\"\",\"\",\"2-3\",\"5591\",\"40\",\"1\",\"Training\",\"Stims/Figures/128-J-10-3.bmp\",\"na:ma:la\",\"Down\",\"40\",\"1\",\"16\",\"7\",\"S\",\"C\",\"16\"
\"\",\"\",\"approach-retreat\",\"20\",\"191246\",\"0.0-20.0\",\"\",\"\",\"2-3\",\"4160\",\"37\",\"1\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"tapa:ta\",\"Left\",\"37\",\"2\",\"1\",\"7\",\"P\",\"C\",\"17\"
\"\",\"\",\"approach-retreat\",\"21\",\"197454\",\"0.0-21.0\",\"\",\"\",\"2-3\",\"4690\",\"40\",\"1\",\"Training\",\"Stims/Figures/84-J-0-2.bmp\",\"ta:pa:ta\",\"Down\",\"40\",\"2\",\"2\",\"7\",\"P\",\"C\",\"18\"
\"\",\"\",\"approach-retreat\",\"22\",\"203551\",\"0.0-22.0\",\"\",\"\",\"2-3\",\"4584\",\"38\",\"1\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"paka:ka\",\"Down\",\"38\",\"2\",\"3\",\"7\",\"P\",\"C\",\"19\"
