\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"43825\",\"32\",\"text\",\"0\",\"43829\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"91309\",\"\",\"instructions\",\"1\",\"135139\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":91308}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"29308\",\"\",\"survey-multi-choice\",\"2\",\"164473\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"177343\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"20\"\",\"\"gender\"\":\"\"m\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"184719\",\"0.0-4.0\",\"\",\"\",\"3-4\",\"5869\",\"37\",\"0\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"ta:pata\",\"Right\",\"39\",\"1\",\"1\",\"2\",\"P\",\"J\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"192847\",\"0.0-5.0\",\"\",\"\",\"3-4\",\"6622\",\"37\",\"0\",\"Training\",\"Stims/Figures/111-C-30-3.bmp\",\"ta:pata\",\"Right\",\"39\",\"1\",\"2\",\"2\",\"P\",\"J\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"205374\",\"0.0-6.0\",\"\",\"\",\"3-4\",\"11022\",\"38\",\"1\",\"Training\",\"Stims/Figures/19-J-10-4.bmp\",\"nama:la\",\"Down\",\"38\",\"1\",\"3\",\"2\",\"S\",\"J\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"212207\",\"0.0-7.0\",\"\",\"\",\"3-4\",\"5329\",\"40\",\"1\",\"Training\",\"Stims/Figures/102-J-10-4.bmp\",\"nama:la\",\"Up\",\"40\",\"1\",\"4\",\"2\",\"S\",\"J\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"219391\",\"0.0-8.0\",\"\",\"\",\"3-4\",\"5678\",\"37\",\"1\",\"Training\",\"Stims/Figures/57-C-30-1.bmp\",\"ta:pata\",\"Left\",\"37\",\"1\",\"5\",\"2\",\"P\",\"J\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"227117\",\"0.0-9.0\",\"\",\"\",\"3-4\",\"6222\",\"39\",\"1\",\"Training\",\"Stims/Figures/100-J-10-3.bmp\",\"nama:la\",\"Left\",\"39\",\"1\",\"6\",\"2\",\"S\",\"J\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"233311\",\"0.0-10.0\",\"\",\"\",\"3-4\",\"4686\",\"37\",\"1\",\"Training\",\"Stims/Figures/102-C-20-4.bmp\",\"ta:pata\",\"Left\",\"37\",\"1\",\"7\",\"2\",\"P\",\"J\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"239374\",\"0.0-11.0\",\"\",\"\",\"3-4\",\"4560\",\"40\",\"0\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"ta:pata\",\"Up\",\"38\",\"1\",\"8\",\"2\",\"P\",\"J\",\"8\"
\"\",\"\",\"approach-retreat\",\"12\",\"245277\",\"0.0-12.0\",\"\",\"\",\"3-4\",\"4397\",\"39\",\"1\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"nama:la\",\"Left\",\"39\",\"1\",\"9\",\"2\",\"S\",\"J\",\"9\"
\"\",\"\",\"approach-retreat\",\"13\",\"251949\",\"0.0-13.0\",\"\",\"\",\"3-4\",\"5166\",\"38\",\"1\",\"Training\",\"Stims/Figures/57-J-0-1.bmp\",\"nama:la\",\"Down\",\"38\",\"1\",\"10\",\"2\",\"S\",\"J\",\"10\"
\"\",\"\",\"approach-retreat\",\"14\",\"257598\",\"0.0-14.0\",\"\",\"\",\"3-4\",\"4144\",\"37\",\"1\",\"Training\",\"Stims/Figures/85-J-0-2.bmp\",\"nama:la\",\"Right\",\"37\",\"1\",\"11\",\"2\",\"S\",\"J\",\"11\"
\"\",\"\",\"approach-retreat\",\"15\",\"265054\",\"0.0-15.0\",\"\",\"\",\"3-4\",\"5952\",\"39\",\"1\",\"Training\",\"Stims/Figures/85-C-20-2.bmp\",\"ta:pata\",\"Right\",\"39\",\"1\",\"12\",\"2\",\"P\",\"J\",\"12\"
\"\",\"\",\"approach-retreat\",\"16\",\"271886\",\"0.0-16.0\",\"\",\"\",\"3-4\",\"5328\",\"40\",\"1\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"nama:la\",\"Up\",\"40\",\"1\",\"13\",\"2\",\"S\",\"J\",\"13\"
\"\",\"\",\"approach-retreat\",\"17\",\"278830\",\"0.0-17.0\",\"\",\"\",\"3-4\",\"5439\",\"40\",\"1\",\"Training\",\"Stims/Figures/19-C-20-4.bmp\",\"ta:pata\",\"Down\",\"40\",\"1\",\"14\",\"2\",\"P\",\"J\",\"14\"
\"\",\"\",\"approach-retreat\",\"18\",\"287311\",\"0.0-18.0\",\"\",\"\",\"3-4\",\"6975\",\"38\",\"1\",\"Training\",\"Stims/Figures/111-J-10-3.bmp\",\"nama:la\",\"Down\",\"38\",\"1\",\"15\",\"2\",\"S\",\"J\",\"15\"
\"\",\"\",\"approach-retreat\",\"19\",\"293902\",\"0.0-19.0\",\"\",\"\",\"3-4\",\"5085\",\"38\",\"1\",\"Training\",\"Stims/Figures/100-C-30-3.bmp\",\"ta:pata\",\"Up\",\"38\",\"1\",\"16\",\"2\",\"P\",\"J\",\"16\"
\"\",\"\",\"approach-retreat\",\"20\",\"300542\",\"0.0-20.0\",\"\",\"\",\"3-4\",\"5133\",\"37\",\"1\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"nama:la\",\"Right\",\"37\",\"2\",\"1\",\"2\",\"S\",\"J\",\"17\"
\"\",\"\",\"approach-retreat\",\"21\",\"306573\",\"0.0-21.0\",\"\",\"\",\"3-4\",\"4528\",\"37\",\"1\",\"Training\",\"Stims/Figures/100-J-10-3.bmp\",\"nama:la\",\"Right\",\"37\",\"2\",\"2\",\"2\",\"S\",\"J\",\"18\"
\"\",\"\",\"approach-retreat\",\"22\",\"312557\",\"0.0-22.0\",\"\",\"\",\"3-4\",\"4479\",\"39\",\"1\",\"Training\",\"Stims/Figures/102-J-10-4.bmp\",\"nama:la\",\"Left\",\"39\",\"2\",\"3\",\"2\",\"S\",\"J\",\"19\"
\"\",\"\",\"approach-retreat\",\"23\",\"318333\",\"0.0-23.0\",\"\",\"\",\"3-4\",\"4270\",\"37\",\"1\",\"Training\",\"Stims/Figures/19-J-10-4.bmp\",\"nama:la\",\"Right\",\"37\",\"2\",\"4\",\"2\",\"S\",\"J\",\"20\"
\"\",\"\",\"approach-retreat\",\"24\",\"324574\",\"0.0-24.0\",\"\",\"\",\"3-4\",\"4736\",\"39\",\"1\",\"Training\",\"Stims/Figures/111-C-30-3.bmp\",\"ta:pata\",\"Right\",\"39\",\"2\",\"5\",\"2\",\"P\",\"J\",\"21\"
\"\",\"\",\"approach-retreat\",\"25\",\"330510\",\"0.0-25.0\",\"\",\"\",\"3-4\",\"4430\",\"38\",\"0\",\"Training\",\"Stims/Figures/85-C-20-2.bmp\",\"ta:pata\",\"Down\",\"40\",\"2\",\"6\",\"2\",\"P\",\"J\",\"22\"
