\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"46604\",\"32\",\"text\",\"0\",\"46608\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"111828\",\"\",\"instructions\",\"1\",\"158440\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":111827}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"33705\",\"\",\"survey-multi-choice\",\"2\",\"192194\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"203747\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"22\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"212541\",\"0.0-4.0\",\"\",\"\",\"1-1\",\"7277\",\"40\",\"1\",\"Training\",\"Stims/Figures/27-J-0-1.bmp\",\"za:haha\",\"Down\",\"40\",\"1\",\"1\",\"3B\",\"C2\",\"C\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"218522\",\"0.0-5.0\",\"\",\"\",\"1-1\",\"4464\",\"38\",\"1\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"vafasha\",\"Down\",\"38\",\"1\",\"2\",\"3B\",\"C1\",\"C\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"224441\",\"0.0-6.0\",\"\",\"\",\"1-1\",\"4408\",\"39\",\"1\",\"Training\",\"Stims/Figures/84-J-0-2.bmp\",\"za:haha\",\"Right\",\"39\",\"1\",\"3\",\"3B\",\"C2\",\"C\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"230605\",\"0.0-7.0\",\"\",\"\",\"1-1\",\"4653\",\"37\",\"0\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"za:haha\",\"Right\",\"39\",\"1\",\"4\",\"3B\",\"C2\",\"C\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"236553\",\"0.0-8.0\",\"\",\"\",\"1-1\",\"4435\",\"39\",\"1\",\"Training\",\"Stims/Figures/111-C-30-3.bmp\",\"vafasha\",\"Left\",\"39\",\"1\",\"5\",\"3B\",\"C1\",\"C\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"242335\",\"0.0-9.0\",\"\",\"\",\"1-1\",\"4269\",\"38\",\"1\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"vafasha\",\"Down\",\"38\",\"1\",\"6\",\"3B\",\"C1\",\"C\",\"6\"
