"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"47186","32","text","0","47190","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"158950","","instructions","1","206142","0.0-1.0","[{""page_index"":0,""viewing_time"":158949}]","","","","","","","","","","","","","","","",""
"34587","","survey-multi-choice","2","240766","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","256971","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","266374","0.0-4.0","","","3-5","7893","37","1","Training","Stims/Figures/27-C-30-1.bmp","fafava","Left","37","1","1","6B","C1","J","1"
"","","approach-retreat","5","272876","0.0-5.0","","","3-5","4993","39","0","Training","Stims/Figures/102-C-20-4.bmp","vafava","Left","37","1","2","6B","C1","J","2"
"","","approach-retreat","6","279674","0.0-6.0","","","3-5","5291","39","1","Training","Stims/Figures/57-J-0-1.bmp","sa:saha","Left","39","1","3","6B","C2","J","3"
"","","approach-retreat","7","286163","0.0-7.0","","","3-5","4980","38","0","Training","Stims/Figures/102-J-10-4.bmp","zahaza","Up","40","1","4","6B","C2","J","4"
"","","approach-retreat","8","292082","0.0-8.0","","","3-5","4410","40","1","Training","Stims/Figures/74-J-10-4.bmp","zasa:ha","Up","40","1","5","6B","C2","J","5"
"","","approach-retreat","9","297865","0.0-9.0","","","3-5","4276","40","0","Training","Stims/Figures/85-C-20-2.bmp","va:shasha","Up","38","1","6","6B","C1","J","6"
"","","approach-retreat","10","304910","0.0-10.0","","","3-5","5538","40","1","Training","Stims/Figures/144-C-30-3.bmp","va:fa:sha","Down","40","1","7","6B","C1","J","7"
"","","approach-retreat","11","311013","0.0-11.0","","","3-5","4595","40","1","Training","Stims/Figures/27-J-0-1.bmp","sa:ha:ha","Up","40","1","8","6B","C2","J","8"
"","","approach-retreat","12","317864","0.0-12.0","","","3-5","5341","40","1","Training","Stims/Figures/44-C-30-3.bmp","va:sha:va","Down","40","1","9","6B","C1","J","9"
"","","approach-retreat","13","325170","0.0-13.0","","","3-5","5798","37","1","Training","Stims/Figures/44-J-10-3.bmp","za:sa:ha","Right","37","1","10","6B","C2","J","10"
"","","approach-retreat","14","333108","0.0-14.0","","","3-5","6429","39","0","Training","Stims/Figures/84-J-0-2.bmp","sasaza","Right","37","1","11","6B","C2","J","11"
"","","approach-retreat","15","339294","0.0-15.0","","","3-5","4677","37","1","Training","Stims/Figures/84-C-20-2.bmp","fasha:sha","Left","37","1","12","6B","C1","J","12"
"","","approach-retreat","16","346674","0.0-16.0","","","3-5","5871","40","1","Training","Stims/Figures/57-C-30-1.bmp","va:fasha","Down","40","1","13","6B","C1","J","13"
"","","approach-retreat","17","354910","0.0-17.0","","","3-5","6729","40","1","Training","Stims/Figures/74-C-20-4.bmp","fafasha","Down","40","1","14","6B","C1","J","14"
"","","approach-retreat","18","363255","0.0-18.0","","","3-5","6837","37","1","Training","Stims/Figures/144-J-10-3.bmp","za:haha","Right","37","1","15","6B","C2","J","15"
"","","approach-retreat","19","369404","0.0-19.0","","","3-5","4641","39","0","Training","Stims/Figures/85-J-0-2.bmp","sasa:ha","Right","37","1","16","6B","C2","J","16"
"","","approach-retreat","20","376835","0.0-20.0","","","3-5","5924","37","0","Training","Stims/Figures/102-J-10-4.bmp","zahaza","Left","39","2","1","6B","C2","J","17"
"","","approach-retreat","21","384621","0.0-21.0","","","3-5","6279","40","0","Training","Stims/Figures/74-J-10-4.bmp","zasa:ha","Down","38","2","2","6B","C2","J","18"
"","","approach-retreat","22","391793","0.0-22.0","","","3-5","5664","37","1","Training","Stims/Figures/44-J-10-3.bmp","za:sa:ha","Right","37","2","3","6B","C2","J","19"
