"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"78838","32","text","0","78846","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"61226","","instructions","1","140077","0.0-1.0","[{""page_index"":0,""viewing_time"":61221}]","","","","","","","","","","","","","","","",""
"28709","","survey-multi-choice","2","168851","0.0-2.0","","{""Q0"":""Ne"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","176071","0.0-3.0","","{""age"":""23"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","184244","0.0-4.0","","","2-4","6653","40","1","Training","Stims/Figures/118-C-20-2.bmp","zahaha","Up","40","1","1","3A","C2","C","1"
"","","approach-retreat","5","190502","0.0-5.0","","","2-4","4741","37","0","Training","Stims/Figures/93-J-0-1.bmp","fa:fa:sha","Right","39","1","2","3A","C1","C","2"
"","","approach-retreat","6","196512","0.0-6.0","","","2-4","4485","37","1","Training","Stims/Figures/86-J-0-1.bmp","fa:fa:sha","Left","37","1","3","3A","C1","C","3"
"","","approach-retreat","7","202433","0.0-7.0","","","2-4","4402","38","1","Training","Stims/Figures/144-J-10-3.bmp","fa:fa:sha","Up","38","1","4","3A","C1","C","4"
"","","approach-retreat","8","208093","0.0-8.0","","","2-4","4143","39","1","Training","Stims/Figures/19-C-20-4.bmp","zahaha","Left","39","1","5","3A","C2","C","5"
"","","approach-retreat","9","213992","0.0-9.0","","","2-4","4372","38","1","Training","Stims/Figures/94-J-0-2.bmp","fa:fa:sha","Up","38","1","6","3A","C1","C","6"
"","","approach-retreat","10","219993","0.0-10.0","","","2-4","4484","40","1","Training","Stims/Figures/19-J-10-4.bmp","fa:fa:sha","Down","40","1","7","3A","C1","C","7"
"","","approach-retreat","11","226102","0.0-11.0","","","2-4","4596","37","1","Training","Stims/Figures/93-C-30-1.bmp","zahaha","Right","37","1","8","3A","C2","C","8"
"","","approach-retreat","12","231673","0.0-12.0","","","2-4","4058","39","1","Training","Stims/Figures/86-C-30-1.bmp","zahaha","Left","39","1","9","3A","C2","C","9"
"","","approach-retreat","13","238623","0.0-13.0","","","2-4","5429","40","1","Training","Stims/Figures/118-J-0-2.bmp","fa:fa:sha","Down","40","1","10","3A","C1","C","10"
"","","approach-retreat","14","244263","0.0-14.0","","","2-4","4108","37","1","Training","Stims/Figures/94-C-20-2.bmp","zahaha","Right","37","1","11","3A","C2","C","11"
"","","approach-retreat","15","249963","0.0-15.0","","","2-4","4186","40","1","Training","Stims/Figures/100-J-10-3.bmp","fa:fa:sha","Down","40","1","12","3A","C1","C","12"
"","","approach-retreat","16","255973","0.0-16.0","","","2-4","4490","38","1","Training","Stims/Figures/102-C-20-4.bmp","zahaha","Down","38","1","13","3A","C2","C","13"
"","","approach-retreat","17","261963","0.0-17.0","","","2-4","4469","40","1","Training","Stims/Figures/100-C-30-3.bmp","zahaha","Up","40","1","14","3A","C2","C","14"
"","","approach-retreat","18","267543","0.0-18.0","","","2-4","4064","37","1","Training","Stims/Figures/102-J-10-4.bmp","fa:fa:sha","Left","37","1","15","3A","C1","C","15"
"","","approach-retreat","19","273093","0.0-19.0","","","2-4","4035","37","1","Training","Stims/Figures/144-C-30-3.bmp","zahaha","Right","37","1","16","3A","C2","C","16"
"","","approach-retreat","20","279183","0.0-20.0","","","2-4","4578","38","1","Training","Stims/Figures/118-C-20-2.bmp","zahaha","Down","38","2","1","3A","C2","C","17"
"","","approach-retreat","21","285193","0.0-21.0","","","2-4","4501","38","1","Training","Stims/Figures/94-C-20-2.bmp","zahaha","Down","38","2","2","3A","C2","C","18"
"","","approach-retreat","22","290753","0.0-22.0","","","2-4","4037","39","1","Training","Stims/Figures/102-C-20-4.bmp","zahaha","Left","39","2","3","3A","C2","C","19"
"","","approach-retreat","23","296673","0.0-23.0","","","2-4","4394","40","1","Training","Stims/Figures/118-J-0-2.bmp","fa:fa:sha","Down","40","2","4","3A","C1","C","20"
"","","approach-retreat","24","302174","0.0-24.0","","","2-4","3967","37","1","Training","Stims/Figures/86-C-30-1.bmp","zahaha","Right","37","2","5","3A","C2","C","21"
"","","approach-retreat","25","307753","0.0-25.0","","","2-4","4065","37","1","Training","Stims/Figures/19-J-10-4.bmp","fa:fa:sha","Left","37","2","6","3A","C1","C","22"
"","","approach-retreat","26","313283","0.0-26.0","","","2-4","4010","39","1","Training","Stims/Figures/19-C-20-4.bmp","zahaha","Left","39","2","7","3A","C2","C","23"
"","","approach-retreat","27","319363","0.0-27.0","","","2-4","4559","39","1","Training","Stims/Figures/100-J-10-3.bmp","fa:fa:sha","Right","39","2","8","3A","C1","C","24"
"","","approach-retreat","28","325003","0.0-28.0","","","2-4","4128","39","1","Training","Stims/Figures/102-J-10-4.bmp","fa:fa:sha","Right","39","2","9","3A","C1","C","25"
"","","approach-retreat","29","330413","0.0-29.0","","","2-4","3883","40","1","Training","Stims/Figures/93-C-30-1.bmp","zahaha","Up","40","2","10","3A","C2","C","26"
"","","approach-retreat","30","336263","0.0-30.0","","","2-4","4333","40","1","Training","Stims/Figures/144-C-30-3.bmp","zahaha","Up","40","2","11","3A","C2","C","27"
"","","approach-retreat","31","342013","0.0-31.0","","","2-4","4227","38","1","Training","Stims/Figures/94-J-0-2.bmp","fa:fa:sha","Up","38","2","12","3A","C1","C","28"
"","","approach-retreat","32","347513","0.0-32.0","","","2-4","3979","37","1","Training","Stims/Figures/100-C-30-3.bmp","zahaha","Right","37","2","13","3A","C2","C","29"
