\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"94901\",\"32\",\"text\",\"0\",\"94905\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"274924\",\"\",\"instructions\",\"1\",\"369832\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":274923}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"49650\",\"\",\"survey-multi-choice\",\"2\",\"419529\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"434725\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"20\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"444573\",\"0.0-4.0\",\"\",\"\",\"1-4\",\"8334\",\"38\",\"1\",\"Training\",\"Stims/Figures/57-C-30-1.bmp\",\"vafasha\",\"Down\",\"38\",\"1\",\"1\",\"3B\",\"C1\",\"C\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"450787\",\"0.0-5.0\",\"\",\"\",\"1-4\",\"4702\",\"38\",\"1\",\"Training\",\"Stims/Figures/27-C-30-1.bmp\",\"vafasha\",\"Down\",\"38\",\"1\",\"2\",\"3B\",\"C1\",\"C\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"461333\",\"0.0-6.0\",\"\",\"\",\"1-4\",\"9034\",\"39\",\"0\",\"Training\",\"Stims/Figures/27-J-0-1.bmp\",\"za:haha\",\"Left\",\"37\",\"1\",\"3\",\"3B\",\"C2\",\"C\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"466996\",\"0.0-7.0\",\"\",\"\",\"1-4\",\"4152\",\"37\",\"0\",\"Training\",\"Stims/Figures/84-J-0-2.bmp\",\"za:haha\",\"Right\",\"39\",\"1\",\"4\",\"3B\",\"C2\",\"C\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"474386\",\"0.0-8.0\",\"\",\"\",\"1-4\",\"5881\",\"38\",\"1\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"za:haha\",\"Up\",\"38\",\"1\",\"5\",\"3B\",\"C2\",\"C\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"482110\",\"0.0-9.0\",\"\",\"\",\"1-4\",\"6213\",\"38\",\"1\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"vafasha\",\"Down\",\"38\",\"1\",\"6\",\"3B\",\"C1\",\"C\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"488704\",\"0.0-10.0\",\"\",\"\",\"1-4\",\"5083\",\"40\",\"1\",\"Training\",\"Stims/Figures/100-C-30-3.bmp\",\"vafasha\",\"Up\",\"40\",\"1\",\"7\",\"3B\",\"C1\",\"C\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"495727\",\"0.0-11.0\",\"\",\"\",\"1-4\",\"5512\",\"37\",\"1\",\"Training\",\"Stims/Figures/57-J-0-1.bmp\",\"za:haha\",\"Left\",\"37\",\"1\",\"8\",\"3B\",\"C2\",\"C\",\"8\"
\"\",\"\",\"approach-retreat\",\"12\",\"502953\",\"0.0-12.0\",\"\",\"\",\"1-4\",\"5713\",\"38\",\"1\",\"Training\",\"Stims/Figures/111-J-10-3.bmp\",\"za:haha\",\"Up\",\"38\",\"1\",\"9\",\"3B\",\"C2\",\"C\",\"9\"
\"\",\"\",\"approach-retreat\",\"13\",\"509816\",\"0.0-13.0\",\"\",\"\",\"1-4\",\"5353\",\"40\",\"1\",\"Training\",\"Stims/Figures/84-C-20-2.bmp\",\"vafasha\",\"Up\",\"40\",\"1\",\"10\",\"3B\",\"C1\",\"C\",\"10\"
\"\",\"\",\"approach-retreat\",\"14\",\"517459\",\"0.0-14.0\",\"\",\"\",\"1-4\",\"6133\",\"37\",\"1\",\"Training\",\"Stims/Figures/111-C-30-3.bmp\",\"vafasha\",\"Right\",\"37\",\"1\",\"11\",\"3B\",\"C1\",\"C\",\"11\"
\"\",\"\",\"approach-retreat\",\"15\",\"525835\",\"0.0-15.0\",\"\",\"\",\"1-4\",\"6867\",\"37\",\"1\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"vafasha\",\"Right\",\"37\",\"1\",\"12\",\"3B\",\"C1\",\"C\",\"12\"
\"\",\"\",\"approach-retreat\",\"16\",\"532953\",\"0.0-16.0\",\"\",\"\",\"1-4\",\"5607\",\"39\",\"0\",\"Training\",\"Stims/Figures/100-J-10-3.bmp\",\"za:haha\",\"Left\",\"37\",\"1\",\"13\",\"3B\",\"C2\",\"C\",\"13\"
\"\",\"\",\"approach-retreat\",\"17\",\"539603\",\"0.0-17.0\",\"\",\"\",\"1-4\",\"5140\",\"40\",\"1\",\"Training\",\"Stims/Figures/87-J-10-4.bmp\",\"za:haha\",\"Down\",\"40\",\"1\",\"14\",\"3B\",\"C2\",\"C\",\"14\"
