\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"96820\",\"32\",\"text\",\"0\",\"96825\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"69041\",\"\",\"instructions\",\"1\",\"165870\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":69040}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"32595\",\"\",\"survey-multi-choice\",\"2\",\"198508\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Ne\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Ne\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"205403\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"21\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"213033\",\"0.0-4.0\",\"\",\"\",\"1-1\",\"6110\",\"40\",\"0\",\"Training\",\"Stims/Figures/128-J-10-3.bmp\",\"va:sha:va\",\"Down\",\"38\",\"1\",\"1\",\"6A\",\"C1\",\"J\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"220010\",\"0.0-5.0\",\"\",\"\",\"1-1\",\"5465\",\"37\",\"0\",\"Training\",\"Stims/Figures/44-J-10-3.bmp\",\"fashasha\",\"Left\",\"39\",\"1\",\"2\",\"6A\",\"C1\",\"J\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"225879\",\"0.0-6.0\",\"\",\"\",\"1-1\",\"4357\",\"38\",\"0\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"za:saza\",\"Down\",\"40\",\"1\",\"3\",\"6A\",\"C2\",\"J\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"231954\",\"0.0-7.0\",\"\",\"\",\"1-1\",\"4564\",\"37\",\"0\",\"Training\",\"Stims/Figures/57-C-30-1.bmp\",\"za:saha\",\"Right\",\"39\",\"1\",\"4\",\"6A\",\"C2\",\"J\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"238079\",\"0.0-8.0\",\"\",\"\",\"1-1\",\"4614\",\"37\",\"1\",\"Training\",\"Stims/Figures/44-C-30-3.bmp\",\"za:ha:ha\",\"Left\",\"37\",\"1\",\"5\",\"6A\",\"C2\",\"J\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"244191\",\"0.0-9.0\",\"\",\"\",\"1-1\",\"4601\",\"40\",\"1\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"vasha:sha\",\"Up\",\"40\",\"1\",\"6\",\"6A\",\"C1\",\"J\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"250371\",\"0.0-10.0\",\"\",\"\",\"1-1\",\"4668\",\"39\",\"1\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"va:fa:va\",\"Left\",\"39\",\"1\",\"7\",\"6A\",\"C1\",\"J\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"256198\",\"0.0-11.0\",\"\",\"\",\"1-1\",\"4315\",\"38\",\"1\",\"Training\",\"Stims/Figures/19-J-10-4.bmp\",\"vafa:sha\",\"Down\",\"38\",\"1\",\"8\",\"6A\",\"C1\",\"J\",\"8\"
\"\",\"\",\"approach-retreat\",\"12\",\"262129\",\"0.0-12.0\",\"\",\"\",\"1-1\",\"4420\",\"40\",\"1\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"va:fasha\",\"Up\",\"40\",\"1\",\"9\",\"6A\",\"C1\",\"J\",\"9\"
\"\",\"\",\"approach-retreat\",\"13\",\"268193\",\"0.0-13.0\",\"\",\"\",\"1-1\",\"4560\",\"37\",\"0\",\"Training\",\"Stims/Figures/19-C-20-4.bmp\",\"sasa:ha\",\"Right\",\"39\",\"1\",\"10\",\"6A\",\"C2\",\"J\",\"10\"
\"\",\"\",\"approach-retreat\",\"14\",\"274012\",\"0.0-14.0\",\"\",\"\",\"1-1\",\"4305\",\"39\",\"1\",\"Training\",\"Stims/Figures/128-C-30-3.bmp\",\"sa:sa:za\",\"Right\",\"39\",\"1\",\"11\",\"6A\",\"C2\",\"J\",\"11\"
\"\",\"\",\"approach-retreat\",\"15\",\"280204\",\"0.0-15.0\",\"\",\"\",\"1-1\",\"4680\",\"37\",\"1\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"za:ha:za\",\"Left\",\"37\",\"1\",\"12\",\"6A\",\"C2\",\"J\",\"12\"
\"\",\"\",\"approach-retreat\",\"16\",\"286675\",\"0.0-16.0\",\"\",\"\",\"1-1\",\"4962\",\"38\",\"1\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"zahaza\",\"Up\",\"38\",\"1\",\"13\",\"6A\",\"C2\",\"J\",\"13\"
\"\",\"\",\"approach-retreat\",\"17\",\"292455\",\"0.0-17.0\",\"\",\"\",\"1-1\",\"4268\",\"38\",\"1\",\"Training\",\"Stims/Figures/139-C-20-2.bmp\",\"sahaha\",\"Up\",\"38\",\"1\",\"14\",\"6A\",\"C2\",\"J\",\"14\"
\"\",\"\",\"approach-retreat\",\"18\",\"298739\",\"0.0-18.0\",\"\",\"\",\"1-1\",\"4775\",\"38\",\"1\",\"Training\",\"Stims/Figures/57-J-0-1.bmp\",\"fa:fa:va\",\"Down\",\"38\",\"1\",\"15\",\"6A\",\"C1\",\"J\",\"15\"
\"\",\"\",\"approach-retreat\",\"19\",\"304587\",\"0.0-19.0\",\"\",\"\",\"1-1\",\"4337\",\"37\",\"1\",\"Training\",\"Stims/Figures/139-J-0-2.bmp\",\"fafa:sha\",\"Right\",\"37\",\"1\",\"16\",\"6A\",\"C1\",\"J\",\"16\"
\"\",\"\",\"approach-retreat\",\"20\",\"310592\",\"0.0-20.0\",\"\",\"\",\"1-1\",\"4496\",\"39\",\"1\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"va:fasha\",\"Left\",\"39\",\"2\",\"1\",\"6A\",\"C1\",\"J\",\"17\"
\"\",\"\",\"approach-retreat\",\"21\",\"316332\",\"0.0-21.0\",\"\",\"\",\"1-1\",\"4228\",\"40\",\"0\",\"Training\",\"Stims/Figures/57-C-30-1.bmp\",\"za:saha\",\"Up\",\"38\",\"2\",\"2\",\"6A\",\"C2\",\"J\",\"18\"
\"\",\"\",\"approach-retreat\",\"22\",\"322171\",\"0.0-22.0\",\"\",\"\",\"1-1\",\"4326\",\"40\",\"1\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"vasha:sha\",\"Up\",\"40\",\"2\",\"3\",\"6A\",\"C1\",\"J\",\"19\"
\"\",\"\",\"approach-retreat\",\"23\",\"328645\",\"0.0-23.0\",\"\",\"\",\"1-1\",\"4962\",\"37\",\"1\",\"Training\",\"Stims/Figures/57-J-0-1.bmp\",\"fa:fa:va\",\"Right\",\"37\",\"2\",\"4\",\"6A\",\"C1\",\"J\",\"20\"
\"\",\"\",\"approach-retreat\",\"24\",\"334547\",\"0.0-24.0\",\"\",\"\",\"1-1\",\"4391\",\"37\",\"1\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"za:ha:za\",\"Left\",\"37\",\"2\",\"5\",\"6A\",\"C2\",\"J\",\"21\"
\"\",\"\",\"approach-retreat\",\"25\",\"341886\",\"0.0-25.0\",\"\",\"\",\"1-1\",\"5828\",\"37\",\"1\",\"Training\",\"Stims/Figures/139-J-0-2.bmp\",\"fafa:sha\",\"Right\",\"37\",\"2\",\"6\",\"6A\",\"C1\",\"J\",\"22\"
\"\",\"\",\"approach-retreat\",\"26\",\"347935\",\"0.0-26.0\",\"\",\"\",\"1-1\",\"4537\",\"38\",\"1\",\"Training\",\"Stims/Figures/44-C-30-3.bmp\",\"za:ha:ha\",\"Up\",\"38\",\"2\",\"7\",\"6A\",\"C2\",\"J\",\"23\"
\"\",\"\",\"approach-retreat\",\"27\",\"353897\",\"0.0-27.0\",\"\",\"\",\"1-1\",\"4450\",\"39\",\"1\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"za:saza\",\"Right\",\"39\",\"2\",\"8\",\"6A\",\"C2\",\"J\",\"24\"
\"\",\"\",\"approach-retreat\",\"28\",\"360448\",\"0.0-28.0\",\"\",\"\",\"1-1\",\"5040\",\"39\",\"1\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"va:fa:va\",\"Left\",\"39\",\"2\",\"9\",\"6A\",\"C1\",\"J\",\"25\"
\"\",\"\",\"approach-retreat\",\"29\",\"366431\",\"0.0-29.0\",\"\",\"\",\"1-1\",\"4471\",\"38\",\"1\",\"Training\",\"Stims/Figures/19-J-10-4.bmp\",\"vafa:sha\",\"Down\",\"38\",\"2\",\"10\",\"6A\",\"C1\",\"J\",\"26\"
\"\",\"\",\"approach-retreat\",\"30\",\"372532\",\"0.0-30.0\",\"\",\"\",\"1-1\",\"4591\",\"40\",\"1\",\"Training\",\"Stims/Figures/128-C-30-3.bmp\",\"sa:sa:za\",\"Down\",\"40\",\"2\",\"11\",\"6A\",\"C2\",\"J\",\"27\"
\"\",\"\",\"approach-retreat\",\"31\",\"379456\",\"0.0-31.0\",\"\",\"\",\"1-1\",\"5413\",\"37\",\"1\",\"Training\",\"Stims/Figures/19-C-20-4.bmp\",\"sasa:ha\",\"Left\",\"37\",\"2\",\"12\",\"6A\",\"C2\",\"J\",\"28\"
\"\",\"\",\"approach-retreat\",\"32\",\"385775\",\"0.0-32.0\",\"\",\"\",\"1-1\",\"4808\",\"40\",\"1\",\"Training\",\"Stims/Figures/128-J-10-3.bmp\",\"va:sha:va\",\"Up\",\"40\",\"2\",\"13\",\"6A\",\"C1\",\"J\",\"29\"
