"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"3649","32","text","0","3679","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"101752","","instructions","1","105444","0.0-1.0","[{""page_index"":0,""viewing_time"":101749}]","","","","","","","","","","","","","","","",""
"29189","","survey-multi-choice","2","134871","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","146619","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","159415","0.0-4.0","","","2-4","11205","39","0","Training","Stims/Figures/71-C-30-1.bmp","fa:fa:va","Left","37","1","1","8","C1","J","1"
"","","approach-retreat","5","169089","0.0-5.0","","","2-4","8101","37","1","Training","Stims/Figures/111-J-10-3.bmp","za:saha","Right","37","1","2","8","C2","J","2"
"","","approach-retreat","6","176853","0.0-6.0","","","2-4","6220","40","1","Training","Stims/Figures/74-J-10-4.bmp","zasaha","Up","40","1","3","8","C2","J","3"
"","","approach-retreat","7","185582","0.0-7.0","","","2-4","7175","38","0","Training","Stims/Figures/111-C-30-3.bmp","sa:sa:ha","Down","40","1","4","8","C2","J","4"
"","","approach-retreat","8","192184","0.0-8.0","","","2-4","5057","38","1","Training","Stims/Figures/27-J-0-1.bmp","vafa:sha","Down","38","1","5","8","C1","J","5"
"","","approach-retreat","9","200800","0.0-9.0","","","2-4","7072","38","1","Training","Stims/Figures/19-C-20-4.bmp","zasa:za","Up","38","1","6","8","C2","J","6"
"","","approach-retreat","10","209583","0.0-10.0","","","2-4","7238","38","0","Training","Stims/Figures/94-J-0-2.bmp","fafa:sha","Up","40","1","7","8","C1","J","7"
"","","approach-retreat","11","216875","0.0-11.0","","","2-4","5731","37","1","Training","Stims/Figures/94-C-20-2.bmp","va:fa:va","Left","37","1","8","8","C1","J","8"
"","","approach-retreat","12","223446","0.0-12.0","","","2-4","5022","38","1","Training","Stims/Figures/85-J-0-2.bmp","fasha:va","Down","38","1","9","8","C1","J","9"
"","","approach-retreat","13","231356","0.0-13.0","","","2-4","6364","40","0","Training","Stims/Figures/144-J-10-3.bmp","sa:saza","Down","38","1","10","8","C2","J","10"
"","","approach-retreat","14","238555","0.0-14.0","","","2-4","5641","37","1","Training","Stims/Figures/144-C-30-3.bmp","zasaza","Left","37","1","11","8","C2","J","11"
"","","approach-retreat","15","244748","0.0-15.0","","","2-4","4648","37","1","Training","Stims/Figures/71-J-0-1.bmp","fa:fa:sha","Right","37","1","12","8","C1","J","12"
