\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"215081\",\"32\",\"text\",\"0\",\"215111\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"50531\",\"\",\"instructions\",\"1\",\"265645\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":50530}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"8965\",\"\",\"survey-multi-choice\",\"2\",\"274652\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"281365\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"22\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"288389\",\"0.0-4.0\",\"\",\"\",\"2-4\",\"5513\",\"40\",\"0\",\"Training\",\"Stims/Figures/128-J-10-3.bmp\",\"na:mana\",\"Down\",\"38\",\"1\",\"1\",\"7\",\"S\",\"J\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"294915\",\"0.0-5.0\",\"\",\"\",\"2-4\",\"5016\",\"37\",\"1\",\"Training\",\"Stims/Figures/128-C-30-3.bmp\",\"mama:la\",\"Left\",\"37\",\"1\",\"2\",\"7\",\"S\",\"J\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"302390\",\"0.0-6.0\",\"\",\"\",\"2-4\",\"5966\",\"38\",\"1\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"pa:pa:ta\",\"Up\",\"38\",\"1\",\"3\",\"7\",\"P\",\"J\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"307955\",\"0.0-7.0\",\"\",\"\",\"2-4\",\"4057\",\"39\",\"1\",\"Training\",\"Stims/Figures/139-C-20-2.bmp\",\"tapa:ta\",\"Right\",\"39\",\"1\",\"4\",\"7\",\"P\",\"J\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"313751\",\"0.0-8.0\",\"\",\"\",\"2-4\",\"4289\",\"37\",\"0\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"papa:ka\",\"Left\",\"39\",\"1\",\"5\",\"7\",\"P\",\"J\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"320871\",\"0.0-9.0\",\"\",\"\",\"2-4\",\"5612\",\"38\",\"1\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"ta:ka:ta\",\"Down\",\"38\",\"1\",\"6\",\"7\",\"P\",\"J\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"327099\",\"0.0-10.0\",\"\",\"\",\"2-4\",\"4719\",\"38\",\"1\",\"Training\",\"Stims/Figures/139-J-0-2.bmp\",\"paka:ta\",\"Down\",\"38\",\"1\",\"7\",\"7\",\"P\",\"J\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"332983\",\"0.0-11.0\",\"\",\"\",\"2-4\",\"4374\",\"38\",\"1\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"pa:pa:ka\",\"Up\",\"38\",\"1\",\"8\",\"7\",\"P\",\"J\",\"8\"
\"\",\"\",\"approach-retreat\",\"12\",\"338658\",\"0.0-12.0\",\"\",\"\",\"2-4\",\"4160\",\"38\",\"1\",\"Training\",\"Stims/Figures/86-C-30-1.bmp\",\"pa:pata\",\"Up\",\"38\",\"1\",\"9\",\"7\",\"P\",\"J\",\"9\"
\"\",\"\",\"approach-retreat\",\"13\",\"344648\",\"0.0-13.0\",\"\",\"\",\"2-4\",\"4481\",\"37\",\"1\",\"Training\",\"Stims/Figures/100-C-30-3.bmp\",\"na:mala\",\"Left\",\"37\",\"1\",\"10\",\"7\",\"S\",\"J\",\"10\"
\"\",\"\",\"approach-retreat\",\"14\",\"353101\",\"0.0-14.0\",\"\",\"\",\"2-4\",\"6946\",\"39\",\"0\",\"Training\",\"Stims/Figures/74-J-10-4.bmp\",\"mala:la\",\"Right\",\"37\",\"1\",\"11\",\"7\",\"S\",\"J\",\"11\"
\"\",\"\",\"approach-retreat\",\"15\",\"359424\",\"0.0-15.0\",\"\",\"\",\"2-4\",\"4815\",\"37\",\"1\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"ma:lana\",\"Left\",\"37\",\"1\",\"12\",\"7\",\"S\",\"J\",\"12\"
\"\",\"\",\"approach-retreat\",\"16\",\"365732\",\"0.0-16.0\",\"\",\"\",\"2-4\",\"4799\",\"37\",\"1\",\"Training\",\"Stims/Figures/86-J-0-1.bmp\",\"pa:kata\",\"Right\",\"37\",\"1\",\"13\",\"7\",\"P\",\"J\",\"13\"
\"\",\"\",\"approach-retreat\",\"17\",\"372660\",\"0.0-17.0\",\"\",\"\",\"2-4\",\"5420\",\"39\",\"0\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"malala\",\"Right\",\"37\",\"1\",\"14\",\"7\",\"S\",\"J\",\"14\"
\"\",\"\",\"approach-retreat\",\"18\",\"378931\",\"0.0-18.0\",\"\",\"\",\"2-4\",\"4764\",\"40\",\"1\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"ma:mala\",\"Down\",\"40\",\"1\",\"15\",\"7\",\"S\",\"J\",\"15\"
\"\",\"\",\"approach-retreat\",\"19\",\"385691\",\"0.0-19.0\",\"\",\"\",\"2-4\",\"5252\",\"40\",\"1\",\"Training\",\"Stims/Figures/100-J-10-3.bmp\",\"mamana\",\"Up\",\"40\",\"1\",\"16\",\"7\",\"S\",\"J\",\"16\"
\"\",\"\",\"approach-retreat\",\"20\",\"391692\",\"0.0-20.0\",\"\",\"\",\"2-4\",\"4493\",\"38\",\"1\",\"Training\",\"Stims/Figures/128-C-30-3.bmp\",\"mama:la\",\"Up\",\"38\",\"2\",\"1\",\"7\",\"S\",\"J\",\"17\"
\"\",\"\",\"approach-retreat\",\"21\",\"397576\",\"0.0-21.0\",\"\",\"\",\"2-4\",\"4376\",\"40\",\"1\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"ta:ka:ta\",\"Up\",\"40\",\"2\",\"2\",\"7\",\"P\",\"J\",\"18\"
\"\",\"\",\"approach-retreat\",\"22\",\"405381\",\"0.0-22.0\",\"\",\"\",\"2-4\",\"6297\",\"37\",\"1\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"pa:pa:ta\",\"Left\",\"37\",\"2\",\"3\",\"7\",\"P\",\"J\",\"19\"
\"\",\"\",\"approach-retreat\",\"23\",\"412715\",\"0.0-23.0\",\"\",\"\",\"2-4\",\"5827\",\"39\",\"1\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"ma:lana\",\"Right\",\"39\",\"2\",\"4\",\"7\",\"S\",\"J\",\"20\"
\"\",\"\",\"approach-retreat\",\"24\",\"419708\",\"0.0-24.0\",\"\",\"\",\"2-4\",\"5484\",\"37\",\"0\",\"Training\",\"Stims/Figures/139-C-20-2.bmp\",\"tapa:ta\",\"Right\",\"39\",\"2\",\"5\",\"7\",\"P\",\"J\",\"21\"
\"\",\"\",\"approach-retreat\",\"25\",\"425764\",\"0.0-25.0\",\"\",\"\",\"2-4\",\"4548\",\"40\",\"1\",\"Training\",\"Stims/Figures/86-C-30-1.bmp\",\"pa:pata\",\"Down\",\"40\",\"2\",\"6\",\"7\",\"P\",\"J\",\"22\"
\"\",\"\",\"approach-retreat\",\"26\",\"431790\",\"0.0-26.0\",\"\",\"\",\"2-4\",\"4519\",\"38\",\"1\",\"Training\",\"Stims/Figures/139-J-0-2.bmp\",\"paka:ta\",\"Down\",\"38\",\"2\",\"7\",\"7\",\"P\",\"J\",\"23\"
\"\",\"\",\"approach-retreat\",\"27\",\"438361\",\"0.0-27.0\",\"\",\"\",\"2-4\",\"5060\",\"39\",\"1\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"pa:pa:ka\",\"Right\",\"39\",\"2\",\"8\",\"7\",\"P\",\"J\",\"24\"
\"\",\"\",\"approach-retreat\",\"28\",\"444820\",\"0.0-28.0\",\"\",\"\",\"2-4\",\"4951\",\"39\",\"1\",\"Training\",\"Stims/Figures/86-J-0-1.bmp\",\"pa:kata\",\"Left\",\"39\",\"2\",\"9\",\"7\",\"P\",\"J\",\"25\"
\"\",\"\",\"approach-retreat\",\"29\",\"451153\",\"0.0-29.0\",\"\",\"\",\"2-4\",\"4826\",\"38\",\"1\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"ma:mala\",\"Up\",\"38\",\"2\",\"10\",\"7\",\"S\",\"J\",\"26\"
\"\",\"\",\"approach-retreat\",\"30\",\"457744\",\"0.0-30.0\",\"\",\"\",\"2-4\",\"5083\",\"37\",\"0\",\"Training\",\"Stims/Figures/100-J-10-3.bmp\",\"mamana\",\"Left\",\"39\",\"2\",\"11\",\"7\",\"S\",\"J\",\"27\"
\"\",\"\",\"approach-retreat\",\"31\",\"463522\",\"0.0-31.0\",\"\",\"\",\"2-4\",\"4271\",\"40\",\"0\",\"Training\",\"Stims/Figures/74-J-10-4.bmp\",\"mala:la\",\"Down\",\"38\",\"2\",\"12\",\"7\",\"S\",\"J\",\"28\"
\"\",\"\",\"approach-retreat\",\"32\",\"469246\",\"0.0-32.0\",\"\",\"\",\"2-4\",\"4214\",\"40\",\"0\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"malala\",\"Down\",\"38\",\"2\",\"13\",\"7\",\"S\",\"J\",\"29\"
\"\",\"\",\"approach-retreat\",\"33\",\"477095\",\"0.0-33.0\",\"\",\"\",\"2-4\",\"6341\",\"39\",\"1\",\"Training\",\"Stims/Figures/128-J-10-3.bmp\",\"na:mana\",\"Left\",\"39\",\"2\",\"14\",\"7\",\"S\",\"J\",\"30\"
\"\",\"\",\"approach-retreat\",\"34\",\"483077\",\"0.0-34.0\",\"\",\"\",\"2-4\",\"4474\",\"39\",\"1\",\"Training\",\"Stims/Figures/100-C-30-3.bmp\",\"na:mala\",\"Right\",\"39\",\"2\",\"15\",\"7\",\"S\",\"J\",\"31\"
\"\",\"\",\"approach-retreat\",\"35\",\"489236\",\"0.0-35.0\",\"\",\"\",\"2-4\",\"4652\",\"40\",\"1\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"papa:ka\",\"Up\",\"40\",\"2\",\"16\",\"7\",\"P\",\"J\",\"32\"
\"\",\"\",\"approach-retreat\",\"36\",\"495732\",\"0.0-36.0\",\"\",\"\",\"2-4\",\"4987\",\"40\",\"1\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"pa:pa:ta\",\"Down\",\"40\",\"3\",\"1\",\"7\",\"P\",\"J\",\"33\"
\"\",\"\",\"approach-retreat\",\"37\",\"501628\",\"0.0-37.0\",\"\",\"\",\"2-4\",\"4389\",\"37\",\"0\",\"Training\",\"Stims/Figures/100-J-10-3.bmp\",\"mamana\",\"Left\",\"39\",\"3\",\"2\",\"7\",\"S\",\"J\",\"34\"
\"\",\"\",\"approach-retreat\",\"38\",\"507767\",\"0.0-38.0\",\"\",\"\",\"2-4\",\"4631\",\"37\",\"1\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"ta:ka:ta\",\"Right\",\"37\",\"3\",\"3\",\"7\",\"P\",\"J\",\"35\"
\"\",\"\",\"approach-retreat\",\"39\",\"513537\",\"0.0-39.0\",\"\",\"\",\"2-4\",\"4262\",\"40\",\"1\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"ma:mala\",\"Down\",\"40\",\"3\",\"4\",\"7\",\"S\",\"J\",\"36\"
\"\",\"\",\"approach-retreat\",\"40\",\"520917\",\"0.0-40.0\",\"\",\"\",\"2-4\",\"5872\",\"40\",\"0\",\"Training\",\"Stims/Figures/74-J-10-4.bmp\",\"mala:la\",\"Down\",\"38\",\"3\",\"5\",\"7\",\"S\",\"J\",\"37\"
\"\",\"\",\"approach-retreat\",\"41\",\"528736\",\"0.0-41.0\",\"\",\"\",\"2-4\",\"6311\",\"40\",\"0\",\"Training\",\"Stims/Figures/139-C-20-2.bmp\",\"tapa:ta\",\"Up\",\"38\",\"3\",\"6\",\"7\",\"P\",\"J\",\"38\"
\"\",\"\",\"approach-retreat\",\"42\",\"538187\",\"0.0-42.0\",\"\",\"\",\"2-4\",\"7943\",\"38\",\"1\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"ma:lana\",\"Up\",\"38\",\"3\",\"7\",\"7\",\"S\",\"J\",\"39\"
\"\",\"\",\"approach-retreat\",\"43\",\"544452\",\"0.0-43.0\",\"\",\"\",\"2-4\",\"4757\",\"39\",\"1\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"malala\",\"Left\",\"39\",\"3\",\"8\",\"7\",\"S\",\"J\",\"40\"
\"\",\"\",\"approach-retreat\",\"44\",\"550185\",\"0.0-44.0\",\"\",\"\",\"2-4\",\"4226\",\"39\",\"1\",\"Training\",\"Stims/Figures/100-C-30-3.bmp\",\"na:mala\",\"Right\",\"39\",\"3\",\"9\",\"7\",\"S\",\"J\",\"41\"
\"\",\"\",\"approach-retreat\",\"45\",\"555857\",\"0.0-45.0\",\"\",\"\",\"2-4\",\"4165\",\"40\",\"1\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"papa:ka\",\"Up\",\"40\",\"3\",\"10\",\"7\",\"P\",\"J\",\"42\"
\"\",\"\",\"approach-retreat\",\"46\",\"561937\",\"0.0-46.0\",\"\",\"\",\"2-4\",\"4573\",\"39\",\"1\",\"Training\",\"Stims/Figures/86-J-0-1.bmp\",\"pa:kata\",\"Left\",\"39\",\"3\",\"11\",\"7\",\"P\",\"J\",\"43\"
\"\",\"\",\"approach-retreat\",\"47\",\"567616\",\"0.0-47.0\",\"\",\"\",\"2-4\",\"4171\",\"40\",\"1\",\"Training\",\"Stims/Figures/128-C-30-3.bmp\",\"mama:la\",\"Down\",\"40\",\"3\",\"12\",\"7\",\"S\",\"J\",\"44\"
\"\",\"\",\"approach-retreat\",\"48\",\"573409\",\"0.0-48.0\",\"\",\"\",\"2-4\",\"4285\",\"39\",\"1\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"pa:pa:ka\",\"Right\",\"39\",\"3\",\"13\",\"7\",\"P\",\"J\",\"45\"
\"\",\"\",\"approach-retreat\",\"49\",\"580021\",\"0.0-49.0\",\"\",\"\",\"2-4\",\"5105\",\"39\",\"0\",\"Training\",\"Stims/Figures/128-J-10-3.bmp\",\"na:mana\",\"Right\",\"37\",\"3\",\"14\",\"7\",\"S\",\"J\",\"46\"
\"\",\"\",\"approach-retreat\",\"50\",\"585400\",\"0.0-50.0\",\"\",\"\",\"2-4\",\"3873\",\"38\",\"1\",\"Training\",\"Stims/Figures/86-C-30-1.bmp\",\"pa:pata\",\"Up\",\"38\",\"3\",\"15\",\"7\",\"P\",\"J\",\"47\"
\"\",\"\",\"approach-retreat\",\"51\",\"591560\",\"0.0-51.0\",\"\",\"\",\"2-4\",\"4650\",\"39\",\"1\",\"Training\",\"Stims/Figures/139-J-0-2.bmp\",\"paka:ta\",\"Left\",\"39\",\"3\",\"16\",\"7\",\"P\",\"J\",\"48\"
\"\",\"\",\"approach-retreat\",\"52\",\"597652\",\"0.0-52.0\",\"\",\"\",\"2-4\",\"4584\",\"40\",\"1\",\"Training\",\"Stims/Figures/86-J-0-1.bmp\",\"pa:kata\",\"Up\",\"40\",\"4\",\"1\",\"7\",\"P\",\"J\",\"49\"
\"\",\"\",\"approach-retreat\",\"53\",\"603774\",\"0.0-53.0\",\"\",\"\",\"2-4\",\"4615\",\"39\",\"1\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"pa:pa:ta\",\"Right\",\"39\",\"4\",\"2\",\"7\",\"P\",\"J\",\"50\"
\"\",\"\",\"approach-retreat\",\"54\",\"609816\",\"0.0-54.0\",\"\",\"\",\"2-4\",\"4534\",\"40\",\"1\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"papa:ka\",\"Up\",\"40\",\"4\",\"3\",\"7\",\"P\",\"J\",\"51\"
\"\",\"\",\"approach-retreat\",\"55\",\"615591\",\"0.0-55.0\",\"\",\"\",\"2-4\",\"4265\",\"40\",\"1\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"ma:lana\",\"Down\",\"40\",\"4\",\"4\",\"7\",\"S\",\"J\",\"52\"
\"\",\"\",\"approach-retreat\",\"56\",\"621667\",\"0.0-56.0\",\"\",\"\",\"2-4\",\"4569\",\"37\",\"1\",\"Training\",\"Stims/Figures/100-C-30-3.bmp\",\"na:mala\",\"Left\",\"37\",\"4\",\"5\",\"7\",\"S\",\"J\",\"53\"
\"\",\"\",\"approach-retreat\",\"57\",\"627253\",\"0.0-57.0\",\"\",\"\",\"2-4\",\"4079\",\"40\",\"1\",\"Training\",\"Stims/Figures/100-J-10-3.bmp\",\"mamana\",\"Up\",\"40\",\"4\",\"6\",\"7\",\"S\",\"J\",\"54\"
\"\",\"\",\"approach-retreat\",\"58\",\"633615\",\"0.0-58.0\",\"\",\"\",\"2-4\",\"4852\",\"40\",\"1\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"malala\",\"Up\",\"40\",\"4\",\"7\",\"7\",\"S\",\"J\",\"55\"
\"\",\"\",\"approach-retreat\",\"59\",\"640165\",\"0.0-59.0\",\"\",\"\",\"2-4\",\"5042\",\"40\",\"1\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"pa:pa:ka\",\"Down\",\"40\",\"4\",\"8\",\"7\",\"P\",\"J\",\"56\"
\"\",\"\",\"approach-retreat\",\"60\",\"647832\",\"0.0-60.0\",\"\",\"\",\"2-4\",\"6160\",\"37\",\"1\",\"Training\",\"Stims/Figures/128-C-30-3.bmp\",\"mama:la\",\"Left\",\"37\",\"4\",\"9\",\"7\",\"S\",\"J\",\"57\"
\"\",\"\",\"approach-retreat\",\"61\",\"653457\",\"0.0-61.0\",\"\",\"\",\"2-4\",\"4117\",\"40\",\"1\",\"Training\",\"Stims/Figures/86-C-30-1.bmp\",\"pa:pata\",\"Down\",\"40\",\"4\",\"10\",\"7\",\"P\",\"J\",\"58\"
\"\",\"\",\"approach-retreat\",\"62\",\"659777\",\"0.0-62.0\",\"\",\"\",\"2-4\",\"4814\",\"39\",\"1\",\"Training\",\"Stims/Figures/139-C-20-2.bmp\",\"tapa:ta\",\"Right\",\"39\",\"4\",\"11\",\"7\",\"P\",\"J\",\"59\"
