\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"42450\",\"32\",\"text\",\"0\",\"42455\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"85282\",\"\",\"instructions\",\"1\",\"127738\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":85281}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"19251\",\"\",\"survey-multi-choice\",\"2\",\"147018\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"154763\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"20\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"168447\",\"0.0-4.0\",\"\",\"\",\"1-2\",\"12177\",\"39\",\"0\",\"Training\",\"Stims/Figures/94-J-0-2.bmp\",\"ta:paka\",\"Right\",\"37\",\"1\",\"1\",\"1\",\"P\",\"J\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"177729\",\"0.0-5.0\",\"\",\"\",\"1-2\",\"7775\",\"38\",\"0\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"ta:paka\",\"Up\",\"40\",\"1\",\"2\",\"1\",\"P\",\"J\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"184216\",\"0.0-6.0\",\"\",\"\",\"1-2\",\"4981\",\"38\",\"0\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"na:la:la\",\"Down\",\"40\",\"1\",\"3\",\"1\",\"S\",\"J\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"193262\",\"0.0-7.0\",\"\",\"\",\"1-2\",\"7540\",\"39\",\"1\",\"Training\",\"Stims/Figures/71-J-0-1.bmp\",\"ta:paka\",\"Left\",\"39\",\"1\",\"4\",\"1\",\"P\",\"J\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"200812\",\"0.0-8.0\",\"\",\"\",\"1-2\",\"6044\",\"37\",\"1\",\"Training\",\"Stims/Figures/144-C-30-3.bmp\",\"na:la:la\",\"Left\",\"37\",\"1\",\"5\",\"1\",\"S\",\"J\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"206888\",\"0.0-9.0\",\"\",\"\",\"1-2\",\"4571\",\"40\",\"1\",\"Training\",\"Stims/Figures/111-J-10-3.bmp\",\"ta:paka\",\"Up\",\"40\",\"1\",\"6\",\"1\",\"P\",\"J\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"215964\",\"0.0-10.0\",\"\",\"\",\"1-2\",\"7570\",\"39\",\"1\",\"Training\",\"Stims/Figures/94-C-20-2.bmp\",\"na:la:la\",\"Right\",\"39\",\"1\",\"7\",\"1\",\"S\",\"J\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"221254\",\"0.0-11.0\",\"\",\"\",\"1-2\",\"3784\",\"40\",\"1\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"ta:paka\",\"Up\",\"40\",\"1\",\"8\",\"1\",\"P\",\"J\",\"8\"
\"\",\"\",\"approach-retreat\",\"12\",\"226681\",\"0.0-12.0\",\"\",\"\",\"1-2\",\"3919\",\"38\",\"0\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"na:la:la\",\"Down\",\"40\",\"1\",\"9\",\"1\",\"S\",\"J\",\"9\"
\"\",\"\",\"approach-retreat\",\"13\",\"233102\",\"0.0-13.0\",\"\",\"\",\"1-2\",\"4916\",\"39\",\"1\",\"Training\",\"Stims/Figures/71-C-30-1.bmp\",\"na:la:la\",\"Right\",\"39\",\"1\",\"10\",\"1\",\"S\",\"J\",\"10\"
\"\",\"\",\"approach-retreat\",\"14\",\"240280\",\"0.0-14.0\",\"\",\"\",\"1-2\",\"5672\",\"38\",\"1\",\"Training\",\"Stims/Figures/111-C-30-3.bmp\",\"na:la:la\",\"Up\",\"38\",\"1\",\"11\",\"1\",\"S\",\"J\",\"11\"
\"\",\"\",\"approach-retreat\",\"15\",\"246400\",\"0.0-15.0\",\"\",\"\",\"1-2\",\"4614\",\"39\",\"1\",\"Training\",\"Stims/Figures/74-J-10-4.bmp\",\"ta:paka\",\"Left\",\"39\",\"1\",\"12\",\"1\",\"P\",\"J\",\"12\"
\"\",\"\",\"approach-retreat\",\"16\",\"252061\",\"0.0-16.0\",\"\",\"\",\"1-2\",\"4155\",\"39\",\"1\",\"Training\",\"Stims/Figures/144-J-10-3.bmp\",\"ta:paka\",\"Left\",\"39\",\"1\",\"13\",\"1\",\"P\",\"J\",\"13\"
\"\",\"\",\"approach-retreat\",\"17\",\"258552\",\"0.0-17.0\",\"\",\"\",\"1-2\",\"4986\",\"40\",\"1\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"na:la:la\",\"Down\",\"40\",\"1\",\"14\",\"1\",\"S\",\"J\",\"14\"
\"\",\"\",\"approach-retreat\",\"18\",\"264893\",\"0.0-18.0\",\"\",\"\",\"1-2\",\"4836\",\"37\",\"1\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"ta:paka\",\"Right\",\"37\",\"1\",\"15\",\"1\",\"P\",\"J\",\"15\"
\"\",\"\",\"approach-retreat\",\"19\",\"270959\",\"0.0-19.0\",\"\",\"\",\"1-2\",\"4561\",\"40\",\"1\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"na:la:la\",\"Down\",\"40\",\"1\",\"16\",\"1\",\"S\",\"J\",\"16\"
\"\",\"\",\"approach-retreat\",\"20\",\"277591\",\"0.0-20.0\",\"\",\"\",\"1-2\",\"5125\",\"40\",\"1\",\"Training\",\"Stims/Figures/111-J-10-3.bmp\",\"ta:paka\",\"Up\",\"40\",\"2\",\"1\",\"1\",\"P\",\"J\",\"17\"
\"\",\"\",\"approach-retreat\",\"21\",\"283658\",\"0.0-21.0\",\"\",\"\",\"1-2\",\"4560\",\"39\",\"1\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"ta:paka\",\"Left\",\"39\",\"2\",\"2\",\"1\",\"P\",\"J\",\"18\"
\"\",\"\",\"approach-retreat\",\"22\",\"289697\",\"0.0-22.0\",\"\",\"\",\"1-2\",\"4534\",\"39\",\"1\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"na:la:la\",\"Right\",\"39\",\"2\",\"3\",\"1\",\"S\",\"J\",\"19\"
\"\",\"\",\"approach-retreat\",\"23\",\"296218\",\"0.0-23.0\",\"\",\"\",\"1-2\",\"5016\",\"39\",\"1\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"na:la:la\",\"Right\",\"39\",\"2\",\"4\",\"1\",\"S\",\"J\",\"20\"
\"\",\"\",\"approach-retreat\",\"24\",\"302667\",\"0.0-24.0\",\"\",\"\",\"1-2\",\"4943\",\"37\",\"1\",\"Training\",\"Stims/Figures/74-J-10-4.bmp\",\"ta:paka\",\"Right\",\"37\",\"2\",\"5\",\"1\",\"P\",\"J\",\"21\"
\"\",\"\",\"approach-retreat\",\"25\",\"308599\",\"0.0-25.0\",\"\",\"\",\"1-2\",\"4426\",\"40\",\"1\",\"Training\",\"Stims/Figures/94-C-20-2.bmp\",\"na:la:la\",\"Down\",\"40\",\"2\",\"6\",\"1\",\"S\",\"J\",\"22\"
\"\",\"\",\"approach-retreat\",\"26\",\"314977\",\"0.0-26.0\",\"\",\"\",\"1-2\",\"4871\",\"38\",\"1\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"na:la:la\",\"Up\",\"38\",\"2\",\"7\",\"1\",\"S\",\"J\",\"23\"
\"\",\"\",\"approach-retreat\",\"27\",\"320675\",\"0.0-27.0\",\"\",\"\",\"1-2\",\"4193\",\"39\",\"1\",\"Training\",\"Stims/Figures/71-C-30-1.bmp\",\"na:la:la\",\"Right\",\"39\",\"2\",\"8\",\"1\",\"S\",\"J\",\"24\"
\"\",\"\",\"approach-retreat\",\"28\",\"326508\",\"0.0-28.0\",\"\",\"\",\"1-2\",\"4328\",\"38\",\"1\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"ta:paka\",\"Down\",\"38\",\"2\",\"9\",\"1\",\"P\",\"J\",\"25\"
\"\",\"\",\"approach-retreat\",\"29\",\"332269\",\"0.0-29.0\",\"\",\"\",\"1-2\",\"4256\",\"39\",\"1\",\"Training\",\"Stims/Figures/94-J-0-2.bmp\",\"ta:paka\",\"Left\",\"39\",\"2\",\"10\",\"1\",\"P\",\"J\",\"26\"
\"\",\"\",\"approach-retreat\",\"30\",\"337817\",\"0.0-30.0\",\"\",\"\",\"1-2\",\"4043\",\"39\",\"1\",\"Training\",\"Stims/Figures/71-J-0-1.bmp\",\"ta:paka\",\"Left\",\"39\",\"2\",\"11\",\"1\",\"P\",\"J\",\"27\"
\"\",\"\",\"approach-retreat\",\"31\",\"343545\",\"0.0-31.0\",\"\",\"\",\"1-2\",\"4224\",\"38\",\"1\",\"Training\",\"Stims/Figures/144-J-10-3.bmp\",\"ta:paka\",\"Down\",\"38\",\"2\",\"12\",\"1\",\"P\",\"J\",\"28\"
\"\",\"\",\"approach-retreat\",\"32\",\"349345\",\"0.0-32.0\",\"\",\"\",\"1-2\",\"4294\",\"37\",\"1\",\"Training\",\"Stims/Figures/144-C-30-3.bmp\",\"na:la:la\",\"Left\",\"37\",\"2\",\"13\",\"1\",\"S\",\"J\",\"29\"
\"\",\"\",\"approach-retreat\",\"33\",\"355193\",\"0.0-33.0\",\"\",\"\",\"1-2\",\"4342\",\"40\",\"1\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"na:la:la\",\"Down\",\"40\",\"2\",\"14\",\"1\",\"S\",\"J\",\"30\"
\"\",\"\",\"approach-retreat\",\"34\",\"361039\",\"0.0-34.0\",\"\",\"\",\"1-2\",\"4340\",\"38\",\"1\",\"Training\",\"Stims/Figures/111-C-30-3.bmp\",\"na:la:la\",\"Up\",\"38\",\"2\",\"15\",\"1\",\"S\",\"J\",\"31\"
\"\",\"\",\"approach-retreat\",\"35\",\"366745\",\"0.0-35.0\",\"\",\"\",\"1-2\",\"4199\",\"40\",\"1\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"ta:paka\",\"Up\",\"40\",\"2\",\"16\",\"1\",\"P\",\"J\",\"32\"
\"\",\"\",\"approach-retreat\",\"36\",\"372531\",\"0.0-36.0\",\"\",\"\",\"1-2\",\"4281\",\"38\",\"1\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"na:la:la\",\"Up\",\"38\",\"3\",\"1\",\"1\",\"S\",\"J\",\"33\"
\"\",\"\",\"approach-retreat\",\"37\",\"378219\",\"0.0-37.0\",\"\",\"\",\"1-2\",\"4183\",\"38\",\"1\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"na:la:la\",\"Up\",\"38\",\"3\",\"2\",\"1\",\"S\",\"J\",\"34\"
\"\",\"\",\"approach-retreat\",\"38\",\"383638\",\"0.0-38.0\",\"\",\"\",\"1-2\",\"3912\",\"40\",\"1\",\"Training\",\"Stims/Figures/94-J-0-2.bmp\",\"ta:paka\",\"Up\",\"40\",\"3\",\"3\",\"1\",\"P\",\"J\",\"35\"
