\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"26700\",\"32\",\"text\",\"0\",\"26727\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"62885\",\"\",\"instructions\",\"1\",\"89623\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":62881}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"17351\",\"\",\"survey-multi-choice\",\"2\",\"107175\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"113142\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"19\"\",\"\"gender\"\":\"\"m\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"121042\",\"0.0-4.0\",\"\",\"\",\"1-4\",\"6346\",\"40\",\"1\",\"Training\",\"Stims/Figures/86-C-30-1.bmp\",\"pakata\",\"Down\",\"40\",\"1\",\"1\",\"5\",\"P\",\"J\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"131803\",\"0.0-5.0\",\"\",\"\",\"1-4\",\"9233\",\"40\",\"0\",\"Training\",\"Stims/Figures/84-J-0-2.bmp\",\"na:lana\",\"Down\",\"38\",\"1\",\"2\",\"5\",\"S\",\"J\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"139145\",\"0.0-6.0\",\"\",\"\",\"1-4\",\"5817\",\"40\",\"1\",\"Training\",\"Stims/Figures/19-C-20-4.bmp\",\"ta:ka:ka\",\"Down\",\"40\",\"1\",\"3\",\"5\",\"P\",\"J\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"148530\",\"0.0-7.0\",\"\",\"\",\"1-4\",\"7862\",\"37\",\"1\",\"Training\",\"Stims/Figures/86-J-0-1.bmp\",\"ma:lala\",\"Right\",\"37\",\"1\",\"4\",\"5\",\"S\",\"J\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"156451\",\"0.0-8.0\",\"\",\"\",\"1-4\",\"6399\",\"40\",\"1\",\"Training\",\"Stims/Figures/19-J-10-4.bmp\",\"malana\",\"Up\",\"40\",\"1\",\"5\",\"5\",\"S\",\"J\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"162834\",\"0.0-9.0\",\"\",\"\",\"1-4\",\"4866\",\"40\",\"1\",\"Training\",\"Stims/Figures/44-C-30-3.bmp\",\"pa:ka:ka\",\"Down\",\"40\",\"1\",\"6\",\"5\",\"P\",\"J\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"171348\",\"0.0-10.0\",\"\",\"\",\"1-4\",\"6988\",\"39\",\"1\",\"Training\",\"Stims/Figures/111-J-10-3.bmp\",\"nalana\",\"Left\",\"39\",\"1\",\"7\",\"5\",\"S\",\"J\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"178768\",\"0.0-11.0\",\"\",\"\",\"1-4\",\"5875\",\"37\",\"0\",\"Training\",\"Stims/Figures/139-C-20-2.bmp\",\"ta:pa:ta\",\"Right\",\"39\",\"1\",\"8\",\"5\",\"P\",\"J\",\"8\"
\"\",\"\",\"approach-retreat\",\"12\",\"185575\",\"0.0-12.0\",\"\",\"\",\"1-4\",\"5270\",\"40\",\"1\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"na:mala\",\"Up\",\"40\",\"1\",\"9\",\"5\",\"S\",\"J\",\"9\"
