"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"3786","32","text","0","3791","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"162694","","instructions","1","166488","0.0-1.0","[{""page_index"":0,""viewing_time"":162693}]","","","","","","","","","","","","","","","",""
"8633","","survey-multi-choice","2","175171","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","180788","0.0-3.0","","{""age"":""22"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","187875","0.0-4.0","","","1-5","5574","40","0","Training","Stims/Figures/71-J-0-1.bmp","sa:sa:za","Down","38","1","1","3B","C2","J","1"
"","","approach-retreat","5","194742","0.0-5.0","","","1-5","5357","39","1","Training","Stims/Figures/86-J-0-1.bmp","sa:sa:za","Left","39","1","2","3B","C2","J","2"
"","","approach-retreat","6","201437","0.0-6.0","","","1-5","5186","40","1","Training","Stims/Figures/85-J-0-2.bmp","sa:sa:za","Up","40","1","3","3B","C2","J","3"
"","","approach-retreat","7","208690","0.0-7.0","","","1-5","5743","39","1","Training","Stims/Figures/71-C-30-1.bmp","fashava","Right","39","1","4","3B","C1","J","4"
"","","approach-retreat","8","214937","0.0-8.0","","","1-5","4739","37","1","Training","Stims/Figures/128-J-10-3.bmp","sa:sa:za","Right","37","1","5","3B","C2","J","5"
"","","approach-retreat","9","221354","0.0-9.0","","","1-5","4908","40","1","Training","Stims/Figures/128-C-30-3.bmp","fashava","Down","40","1","6","3B","C1","J","6"
"","","approach-retreat","10","227152","0.0-10.0","","","1-5","4289","39","1","Training","Stims/Figures/44-C-30-3.bmp","fashava","Right","39","1","7","3B","C1","J","7"
"","","approach-retreat","11","234989","0.0-11.0","","","1-5","6327","40","1","Training","Stims/Figures/19-J-10-4.bmp","sa:sa:za","Up","40","1","8","3B","C2","J","8"
"","","approach-retreat","12","241932","0.0-12.0","","","1-5","5432","40","1","Training","Stims/Figures/84-C-20-2.bmp","fashava","Down","40","1","9","3B","C1","J","9"
"","","approach-retreat","13","248330","0.0-13.0","","","1-5","4889","40","1","Training","Stims/Figures/86-C-30-1.bmp","fashava","Down","40","1","10","3B","C1","J","10"
"","","approach-retreat","14","256266","0.0-14.0","","","1-5","6425","40","1","Training","Stims/Figures/44-J-10-3.bmp","sa:sa:za","Up","40","1","11","3B","C2","J","11"
"","","approach-retreat","15","262545","0.0-15.0","","","1-5","4770","37","1","Training","Stims/Figures/85-C-20-2.bmp","fashava","Left","37","1","12","3B","C1","J","12"
"","","approach-retreat","16","270481","0.0-16.0","","","1-5","6429","40","1","Training","Stims/Figures/7-J-10-4.bmp","sa:sa:za","Up","40","1","13","3B","C2","J","13"
"","","approach-retreat","17","276639","0.0-17.0","","","1-5","4648","37","1","Training","Stims/Figures/7-C-20-4.bmp","fashava","Left","37","1","14","3B","C1","J","14"
"","","approach-retreat","18","284103","0.0-18.0","","","1-5","5955","39","1","Training","Stims/Figures/19-C-20-4.bmp","fashava","Right","39","1","15","3B","C1","J","15"
"","","approach-retreat","19","290668","0.0-19.0","","","1-5","5056","39","1","Training","Stims/Figures/84-J-0-2.bmp","sa:sa:za","Left","39","1","16","3B","C2","J","16"
"","","approach-retreat","20","297461","0.0-20.0","","","1-5","5283","38","1","Training","Stims/Figures/85-J-0-2.bmp","sa:sa:za","Down","38","2","1","3B","C2","J","17"
"","","approach-retreat","21","303373","0.0-21.0","","","1-5","4404","37","1","Training","Stims/Figures/71-C-30-1.bmp","fashava","Left","37","2","2","3B","C1","J","18"
"","","approach-retreat","22","309674","0.0-22.0","","","1-5","4791","38","1","Training","Stims/Figures/128-J-10-3.bmp","sa:sa:za","Down","38","2","3","3B","C2","J","19"
"","","approach-retreat","23","316400","0.0-23.0","","","1-5","5216","37","1","Training","Stims/Figures/19-J-10-4.bmp","sa:sa:za","Right","37","2","4","3B","C2","J","20"
"","","approach-retreat","24","323330","0.0-24.0","","","1-5","5422","39","1","Training","Stims/Figures/84-C-20-2.bmp","fashava","Right","39","2","5","3B","C1","J","21"
"","","approach-retreat","25","329634","0.0-25.0","","","1-5","4795","38","0","Training","Stims/Figures/44-J-10-3.bmp","sa:sa:za","Up","40","2","6","3B","C2","J","22"
"","","approach-retreat","26","336412","0.0-26.0","","","1-5","5269","39","1","Training","Stims/Figures/84-J-0-2.bmp","sa:sa:za","Left","39","2","7","3B","C2","J","23"
"","","approach-retreat","27","342198","0.0-27.0","","","1-5","4277","39","1","Training","Stims/Figures/71-J-0-1.bmp","sa:sa:za","Left","39","2","8","3B","C2","J","24"
"","","approach-retreat","28","348112","0.0-28.0","","","1-5","4407","38","1","Training","Stims/Figures/7-J-10-4.bmp","sa:sa:za","Down","38","2","9","3B","C2","J","25"
"","","approach-retreat","29","354673","0.0-29.0","","","1-5","5052","38","1","Training","Stims/Figures/86-C-30-1.bmp","fashava","Up","38","2","10","3B","C1","J","26"
"","","approach-retreat","30","360618","0.0-30.0","","","1-5","4435","39","1","Training","Stims/Figures/44-C-30-3.bmp","fashava","Right","39","2","11","3B","C1","J","27"
"","","approach-retreat","31","367226","0.0-31.0","","","1-5","5100","38","1","Training","Stims/Figures/19-C-20-4.bmp","fashava","Up","38","2","12","3B","C1","J","28"
"","","approach-retreat","32","373273","0.0-32.0","","","1-5","4537","40","1","Training","Stims/Figures/7-C-20-4.bmp","fashava","Down","40","2","13","3B","C1","J","29"
"","","approach-retreat","33","379622","0.0-33.0","","","1-5","4841","37","1","Training","Stims/Figures/85-C-20-2.bmp","fashava","Left","37","2","14","3B","C1","J","30"
"","","approach-retreat","34","386234","0.0-34.0","","","1-5","5104","39","1","Training","Stims/Figures/128-C-30-3.bmp","fashava","Right","39","2","15","3B","C1","J","31"
"","","approach-retreat","35","391998","0.0-35.0","","","1-5","4255","38","0","Training","Stims/Figures/86-J-0-1.bmp","sa:sa:za","Up","40","2","16","3B","C2","J","32"
"","","approach-retreat","36","398573","0.0-36.0","","","1-5","5064","39","1","Training","Stims/Figures/71-J-0-1.bmp","sa:sa:za","Left","39","3","1","3B","C2","J","33"
"","","approach-retreat","37","405018","0.0-37.0","","","1-5","4937","40","1","Training","Stims/Figures/44-C-30-3.bmp","fashava","Down","40","3","2","3B","C1","J","34"
"","","approach-retreat","38","412142","0.0-38.0","","","1-5","5613","39","1","Training","Stims/Figures/85-J-0-2.bmp","sa:sa:za","Left","39","3","3","3B","C2","J","35"
"","","approach-retreat","39","418373","0.0-39.0","","","1-5","4720","39","1","Training","Stims/Figures/19-J-10-4.bmp","sa:sa:za","Left","39","3","4","3B","C2","J","36"
"","","approach-retreat","40","425210","0.0-40.0","","","1-5","5327","39","1","Training","Stims/Figures/7-C-20-4.bmp","fashava","Right","39","3","5","3B","C1","J","37"
"","","approach-retreat","41","431692","0.0-41.0","","","1-5","4973","38","1","Training","Stims/Figures/85-C-20-2.bmp","fashava","Up","38","3","6","3B","C1","J","38"
"","","approach-retreat","42","438252","0.0-42.0","","","1-5","5051","37","1","Training","Stims/Figures/84-J-0-2.bmp","sa:sa:za","Right","37","3","7","3B","C2","J","39"
"","","approach-retreat","43","444936","0.0-43.0","","","1-5","5175","40","1","Training","Stims/Figures/86-J-0-1.bmp","sa:sa:za","Up","40","3","8","3B","C2","J","40"
"","","approach-retreat","44","451731","0.0-44.0","","","1-5","5286","40","1","Training","Stims/Figures/86-C-30-1.bmp","fashava","Down","40","3","9","3B","C1","J","41"
"","","approach-retreat","45","458476","0.0-45.0","","","1-5","5235","40","1","Training","Stims/Figures/128-C-30-3.bmp","fashava","Down","40","3","10","3B","C1","J","42"
"","","approach-retreat","46","465453","0.0-46.0","","","1-5","5468","38","1","Training","Stims/Figures/84-C-20-2.bmp","fashava","Up","38","3","11","3B","C1","J","43"
"","","approach-retreat","47","472489","0.0-47.0","","","1-5","5525","37","1","Training","Stims/Figures/44-J-10-3.bmp","sa:sa:za","Right","37","3","12","3B","C2","J","44"
"","","approach-retreat","48","478829","0.0-48.0","","","1-5","4831","38","1","Training","Stims/Figures/71-C-30-1.bmp","fashava","Up","38","3","13","3B","C1","J","45"
"","","approach-retreat","49","487392","0.0-49.0","","","1-5","7053","40","1","Training","Stims/Figures/19-C-20-4.bmp","fashava","Down","40","3","14","3B","C1","J","46"
"","","approach-retreat","50","494297","0.0-50.0","","","1-5","5394","39","1","Training","Stims/Figures/7-J-10-4.bmp","sa:sa:za","Left","39","3","15","3B","C2","J","47"
"","","approach-retreat","51","502305","0.0-51.0","","","1-5","6499","37","1","Training","Stims/Figures/128-J-10-3.bmp","sa:sa:za","Right","37","3","16","3B","C2","J","48"
"","","approach-retreat","52","508892","0.0-52.0","","","1-5","5078","37","1","Training","Stims/Figures/44-C-30-3.bmp","fashava","Left","37","4","1","3B","C1","J","49"
"","","approach-retreat","53","515953","0.0-53.0","","","1-5","5553","37","1","Training","Stims/Figures/19-C-20-4.bmp","fashava","Left","37","4","2","3B","C1","J","50"
"","","approach-retreat","54","522678","0.0-54.0","","","1-5","5217","39","1","Training","Stims/Figures/128-C-30-3.bmp","fashava","Right","39","4","3","3B","C1","J","51"
"","","approach-retreat","55","528955","0.0-55.0","","","1-5","4768","38","1","Training","Stims/Figures/128-J-10-3.bmp","sa:sa:za","Down","38","4","4","3B","C2","J","52"
"","","approach-retreat","56","536698","0.0-56.0","","","1-5","6233","37","1","Training","Stims/Figures/85-C-20-2.bmp","fashava","Left","37","4","5","3B","C1","J","53"
"","","approach-retreat","57","542810","0.0-57.0","","","1-5","4603","39","1","Training","Stims/Figures/7-J-10-4.bmp","sa:sa:za","Left","39","4","6","3B","C2","J","54"
"","","approach-retreat","58","548737","0.0-58.0","","","1-5","4418","38","1","Training","Stims/Figures/85-J-0-2.bmp","sa:sa:za","Down","38","4","7","3B","C2","J","55"
"","","approach-retreat","59","556305","0.0-59.0","","","1-5","6059","39","1","Training","Stims/Figures/86-C-30-1.bmp","fashava","Right","39","4","8","3B","C1","J","56"
"","","approach-retreat","60","562651","0.0-60.0","","","1-5","4837","40","1","Training","Stims/Figures/44-J-10-3.bmp","sa:sa:za","Up","40","4","9","3B","C2","J","57"
"","","approach-retreat","61","569978","0.0-61.0","","","1-5","5818","40","1","Training","Stims/Figures/86-J-0-1.bmp","sa:sa:za","Up","40","4","10","3B","C2","J","58"
"","","approach-retreat","62","576525","0.0-62.0","","","1-5","5037","40","1","Training","Stims/Figures/71-J-0-1.bmp","sa:sa:za","Up","40","4","11","3B","C2","J","59"
