\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"69285\",\"32\",\"text\",\"0\",\"69304\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"95471\",\"\",\"instructions\",\"1\",\"164781\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":95467}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"23366\",\"\",\"survey-multi-choice\",\"2\",\"188255\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"240887\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"20\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"248214\",\"0.0-4.0\",\"\",\"\",\"2-5\",\"5788\",\"39\",\"1\",\"Training\",\"Stims/Figures/71-J-0-1.bmp\",\"fafava\",\"Right\",\"39\",\"1\",\"1\",\"8\",\"C1\",\"C\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"254042\",\"0.0-5.0\",\"\",\"\",\"2-5\",\"4303\",\"37\",\"1\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"sasa:za\",\"Right\",\"37\",\"1\",\"2\",\"8\",\"C2\",\"C\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"260388\",\"0.0-6.0\",\"\",\"\",\"2-5\",\"4823\",\"40\",\"0\",\"Training\",\"Stims/Figures/85-C-20-2.bmp\",\"vasha:va\",\"Down\",\"38\",\"1\",\"3\",\"8\",\"C1\",\"C\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"266608\",\"0.0-7.0\",\"\",\"\",\"2-5\",\"4669\",\"39\",\"0\",\"Training\",\"Stims/Figures/102-C-20-4.bmp\",\"za:sa:za\",\"Right\",\"37\",\"1\",\"4\",\"8\",\"C2\",\"C\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"273004\",\"0.0-8.0\",\"\",\"\",\"2-5\",\"4848\",\"37\",\"1\",\"Training\",\"Stims/Figures/144-C-30-3.bmp\",\"za:saza\",\"Right\",\"37\",\"1\",\"5\",\"8\",\"C2\",\"C\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"279106\",\"0.0-9.0\",\"\",\"\",\"2-5\",\"4563\",\"38\",\"0\",\"Training\",\"Stims/Figures/102-J-10-4.bmp\",\"sa:haza\",\"Down\",\"40\",\"1\",\"6\",\"8\",\"C2\",\"C\",\"6\"
