"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"54386","32","text","0","54392","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"20286","","instructions","1","74681","0.0-1.0","[{""page_index"":0,""viewing_time"":20285}]","","","","","","","","","","","","","","","",""
"14769","","survey-multi-choice","2","89496","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","96826","0.0-3.0","","{""age"":""20"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","111008","0.0-4.0","","","1-3","12657","37","0","Training","Stims/Figures/85-C-20-2.bmp","fa:shasha","Left","39","1","1","6B","C1","C","1"
"","","approach-retreat","5","136685","0.0-5.0","","","1-3","24166","39","1","Training","Stims/Figures/7-J-10-4.bmp","za:haza","Right","39","1","2","6B","C2","C","2"
"","","approach-retreat","6","148399","0.0-6.0","","","1-3","10205","38","1","Training","Stims/Figures/111-C-30-3.bmp","va:sha:sha","Down","38","1","3","6B","C1","C","3"
"","","approach-retreat","7","156495","0.0-7.0","","","1-3","6582","40","1","Training","Stims/Figures/111-J-10-3.bmp","za:sa:ha","Down","40","1","4","6B","C2","C","4"
"","","approach-retreat","8","166845","0.0-8.0","","","1-3","8840","39","1","Training","Stims/Figures/74-C-20-4.bmp","vashasha","Left","39","1","5","6B","C1","C","5"
"","","approach-retreat","9","179670","0.0-9.0","","","1-3","11312","39","1","Training","Stims/Figures/85-J-0-2.bmp","zaha:za","Right","39","1","6","6B","C2","C","6"
"","","approach-retreat","10","186927","0.0-10.0","","","1-3","5746","40","1","Training","Stims/Figures/57-J-0-1.bmp","zaha:ha","Down","40","1","7","6B","C2","C","7"
"","","approach-retreat","11","193483","0.0-11.0","","","1-3","5035","40","1","Training","Stims/Figures/7-C-20-4.bmp","va:fa:sha","Up","40","1","8","6B","C1","C","8"
"","","approach-retreat","12","199435","0.0-12.0","","","1-3","4443","37","1","Training","Stims/Figures/139-J-0-2.bmp","saha:ha","Left","37","1","9","6B","C2","C","9"
"","","approach-retreat","13","207549","0.0-13.0","","","1-3","6605","40","1","Training","Stims/Figures/139-C-20-2.bmp","vasha:sha","Up","40","1","10","6B","C1","C","10"
"","","approach-retreat","14","214045","0.0-14.0","","","1-3","4986","39","1","Training","Stims/Figures/27-J-0-1.bmp","saha:za","Right","39","1","11","6B","C2","C","11"
"","","approach-retreat","15","221683","0.0-15.0","","","1-3","6127","40","1","Training","Stims/Figures/27-C-30-1.bmp","fafava","Up","40","1","12","6B","C1","C","12"
"","","approach-retreat","16","235091","0.0-16.0","","","1-3","11896","37","1","Training","Stims/Figures/144-J-10-3.bmp","za:haha","Left","37","1","13","6B","C2","C","13"
"","","approach-retreat","17","242490","0.0-17.0","","","1-3","5887","37","1","Training","Stims/Figures/57-C-30-1.bmp","vafa:sha","Right","37","1","14","6B","C1","C","14"
"","","approach-retreat","18","252195","0.0-18.0","","","1-3","8195","40","1","Training","Stims/Figures/74-J-10-4.bmp","sa:sa:za","Down","40","1","15","6B","C2","C","15"
