\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"43932\",\"32\",\"text\",\"0\",\"43937\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"170182\",\"\",\"instructions\",\"1\",\"214121\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":170181}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"45221\",\"\",\"survey-multi-choice\",\"2\",\"259384\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"272803\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"24\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"278906\",\"0.0-4.0\",\"\",\"\",\"2-1\",\"4588\",\"37\",\"1\",\"Training\",\"Stims/Figures/144-C-30-3.bmp\",\"ta:kata\",\"Left\",\"37\",\"1\",\"1\",\"2\",\"P\",\"J\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"285221\",\"0.0-5.0\",\"\",\"\",\"2-1\",\"4803\",\"38\",\"0\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"nala:na\",\"Up\",\"40\",\"1\",\"2\",\"2\",\"S\",\"J\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"290814\",\"0.0-6.0\",\"\",\"\",\"2-1\",\"4080\",\"37\",\"1\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"ta:kata\",\"Left\",\"37\",\"1\",\"3\",\"2\",\"P\",\"J\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"296421\",\"0.0-7.0\",\"\",\"\",\"2-1\",\"4094\",\"40\",\"1\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"nala:na\",\"Up\",\"40\",\"1\",\"4\",\"2\",\"S\",\"J\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"302636\",\"0.0-8.0\",\"\",\"\",\"2-1\",\"4702\",\"37\",\"0\",\"Training\",\"Stims/Figures/102-C-20-4.bmp\",\"ta:kata\",\"Right\",\"39\",\"1\",\"5\",\"2\",\"P\",\"J\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"308236\",\"0.0-9.0\",\"\",\"\",\"2-1\",\"4048\",\"39\",\"1\",\"Training\",\"Stims/Figures/100-C-30-3.bmp\",\"ta:kata\",\"Right\",\"39\",\"1\",\"6\",\"2\",\"P\",\"J\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"314191\",\"0.0-10.0\",\"\",\"\",\"2-1\",\"4445\",\"40\",\"0\",\"Training\",\"Stims/Figures/94-C-20-2.bmp\",\"ta:kata\",\"Up\",\"38\",\"1\",\"7\",\"2\",\"P\",\"J\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"320002\",\"0.0-11.0\",\"\",\"\",\"2-1\",\"4299\",\"37\",\"0\",\"Training\",\"Stims/Figures/27-J-0-1.bmp\",\"nala:na\",\"Left\",\"39\",\"1\",\"8\",\"2\",\"S\",\"J\",\"8\"
\"\",\"\",\"approach-retreat\",\"12\",\"326084\",\"0.0-12.0\",\"\",\"\",\"2-1\",\"4572\",\"38\",\"0\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"ta:kata\",\"Down\",\"40\",\"1\",\"9\",\"2\",\"P\",\"J\",\"9\"
\"\",\"\",\"approach-retreat\",\"13\",\"332111\",\"0.0-13.0\",\"\",\"\",\"2-1\",\"4510\",\"38\",\"1\",\"Training\",\"Stims/Figures/94-J-0-2.bmp\",\"nala:na\",\"Down\",\"38\",\"1\",\"10\",\"2\",\"S\",\"J\",\"10\"
\"\",\"\",\"approach-retreat\",\"14\",\"337732\",\"0.0-14.0\",\"\",\"\",\"2-1\",\"4094\",\"39\",\"0\",\"Training\",\"Stims/Figures/102-J-10-4.bmp\",\"nala:na\",\"Right\",\"37\",\"1\",\"11\",\"2\",\"S\",\"J\",\"11\"
\"\",\"\",\"approach-retreat\",\"15\",\"343637\",\"0.0-15.0\",\"\",\"\",\"2-1\",\"4389\",\"40\",\"1\",\"Training\",\"Stims/Figures/139-C-20-2.bmp\",\"ta:kata\",\"Down\",\"40\",\"1\",\"12\",\"2\",\"P\",\"J\",\"12\"
\"\",\"\",\"approach-retreat\",\"16\",\"349485\",\"0.0-16.0\",\"\",\"\",\"2-1\",\"4336\",\"39\",\"1\",\"Training\",\"Stims/Figures/144-J-10-3.bmp\",\"nala:na\",\"Left\",\"39\",\"1\",\"13\",\"2\",\"S\",\"J\",\"13\"
\"\",\"\",\"approach-retreat\",\"17\",\"355280\",\"0.0-17.0\",\"\",\"\",\"2-1\",\"4274\",\"40\",\"1\",\"Training\",\"Stims/Figures/139-J-0-2.bmp\",\"nala:na\",\"Up\",\"40\",\"1\",\"14\",\"2\",\"S\",\"J\",\"14\"
\"\",\"\",\"approach-retreat\",\"18\",\"360849\",\"0.0-18.0\",\"\",\"\",\"2-1\",\"4048\",\"38\",\"1\",\"Training\",\"Stims/Figures/100-J-10-3.bmp\",\"nala:na\",\"Down\",\"38\",\"1\",\"15\",\"2\",\"S\",\"J\",\"15\"
\"\",\"\",\"approach-retreat\",\"19\",\"366557\",\"0.0-19.0\",\"\",\"\",\"2-1\",\"4195\",\"39\",\"1\",\"Training\",\"Stims/Figures/27-C-30-1.bmp\",\"ta:kata\",\"Right\",\"39\",\"1\",\"16\",\"2\",\"P\",\"J\",\"16\"
\"\",\"\",\"approach-retreat\",\"20\",\"372795\",\"0.0-20.0\",\"\",\"\",\"2-1\",\"4693\",\"38\",\"1\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"nala:na\",\"Down\",\"38\",\"2\",\"1\",\"2\",\"S\",\"J\",\"17\"
\"\",\"\",\"approach-retreat\",\"21\",\"378551\",\"0.0-21.0\",\"\",\"\",\"2-1\",\"4236\",\"38\",\"1\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"ta:kata\",\"Up\",\"38\",\"2\",\"2\",\"2\",\"P\",\"J\",\"18\"
\"\",\"\",\"approach-retreat\",\"22\",\"384518\",\"0.0-22.0\",\"\",\"\",\"2-1\",\"4455\",\"39\",\"0\",\"Training\",\"Stims/Figures/144-J-10-3.bmp\",\"nala:na\",\"Right\",\"37\",\"2\",\"3\",\"2\",\"S\",\"J\",\"19\"
\"\",\"\",\"approach-retreat\",\"23\",\"390328\",\"0.0-23.0\",\"\",\"\",\"2-1\",\"4276\",\"40\",\"1\",\"Training\",\"Stims/Figures/139-J-0-2.bmp\",\"nala:na\",\"Up\",\"40\",\"2\",\"4\",\"2\",\"S\",\"J\",\"20\"
\"\",\"\",\"approach-retreat\",\"24\",\"395887\",\"0.0-24.0\",\"\",\"\",\"2-1\",\"4048\",\"39\",\"1\",\"Training\",\"Stims/Figures/94-J-0-2.bmp\",\"nala:na\",\"Left\",\"39\",\"2\",\"5\",\"2\",\"S\",\"J\",\"21\"
\"\",\"\",\"approach-retreat\",\"25\",\"401503\",\"0.0-25.0\",\"\",\"\",\"2-1\",\"4105\",\"39\",\"1\",\"Training\",\"Stims/Figures/102-J-10-4.bmp\",\"nala:na\",\"Left\",\"39\",\"2\",\"6\",\"2\",\"S\",\"J\",\"22\"
