\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"2814\",\"32\",\"text\",\"0\",\"2820\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"1873\",\"\",\"instructions\",\"1\",\"4700\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":1870}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"8795\",\"\",\"survey-multi-choice\",\"2\",\"13544\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"24760\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"20\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"30949\",\"0.0-4.0\",\"\",\"\",\"1-4\",\"4676\",\"38\",\"0\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"ta:ka:ka\",\"Up\",\"40\",\"1\",\"1\",\"2\",\"P\",\"C\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"36587\",\"0.0-5.0\",\"\",\"\",\"1-4\",\"4127\",\"38\",\"1\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"ta:ka:ka\",\"Down\",\"38\",\"1\",\"2\",\"2\",\"P\",\"C\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"43172\",\"0.0-6.0\",\"\",\"\",\"1-4\",\"5077\",\"39\",\"1\",\"Training\",\"Stims/Figures/111-C-30-3.bmp\",\"ta:ka:ka\",\"Left\",\"39\",\"1\",\"3\",\"2\",\"P\",\"C\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"48428\",\"0.0-7.0\",\"\",\"\",\"1-4\",\"3748\",\"38\",\"1\",\"Training\",\"Stims/Figures/57-C-30-1.bmp\",\"ta:ka:ka\",\"Down\",\"38\",\"1\",\"4\",\"2\",\"P\",\"C\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"55996\",\"0.0-8.0\",\"\",\"\",\"1-4\",\"6061\",\"39\",\"1\",\"Training\",\"Stims/Figures/85-J-0-2.bmp\",\"ma:la:na\",\"Right\",\"39\",\"1\",\"5\",\"2\",\"S\",\"C\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"61707\",\"0.0-9.0\",\"\",\"\",\"1-4\",\"4203\",\"37\",\"1\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"ta:ka:ka\",\"Right\",\"37\",\"1\",\"6\",\"2\",\"P\",\"C\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"67052\",\"0.0-10.0\",\"\",\"\",\"1-4\",\"3837\",\"37\",\"1\",\"Training\",\"Stims/Figures/111-J-10-3.bmp\",\"ma:la:na\",\"Left\",\"37\",\"1\",\"7\",\"2\",\"S\",\"C\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"72516\",\"0.0-11.0\",\"\",\"\",\"1-4\",\"3955\",\"39\",\"1\",\"Training\",\"Stims/Figures/74-J-10-4.bmp\",\"ma:la:na\",\"Right\",\"39\",\"1\",\"8\",\"2\",\"S\",\"C\",\"8\"
\"\",\"\",\"approach-retreat\",\"12\",\"78068\",\"0.0-12.0\",\"\",\"\",\"1-4\",\"4044\",\"40\",\"0\",\"Training\",\"Stims/Figures/19-J-10-4.bmp\",\"ma:la:na\",\"Up\",\"38\",\"1\",\"9\",\"2\",\"S\",\"C\",\"9\"
\"\",\"\",\"approach-retreat\",\"13\",\"83109\",\"0.0-13.0\",\"\",\"\",\"1-4\",\"3535\",\"38\",\"1\",\"Training\",\"Stims/Figures/100-C-30-3.bmp\",\"ta:ka:ka\",\"Down\",\"38\",\"1\",\"10\",\"2\",\"P\",\"C\",\"10\"
\"\",\"\",\"approach-retreat\",\"14\",\"88940\",\"0.0-14.0\",\"\",\"\",\"1-4\",\"4324\",\"37\",\"0\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"ma:la:na\",\"Right\",\"39\",\"1\",\"11\",\"2\",\"S\",\"C\",\"11\"
\"\",\"\",\"approach-retreat\",\"15\",\"94316\",\"0.0-15.0\",\"\",\"\",\"1-4\",\"3869\",\"38\",\"1\",\"Training\",\"Stims/Figures/100-J-10-3.bmp\",\"ma:la:na\",\"Up\",\"38\",\"1\",\"12\",\"2\",\"S\",\"C\",\"12\"
\"\",\"\",\"approach-retreat\",\"16\",\"99571\",\"0.0-16.0\",\"\",\"\",\"1-4\",\"3748\",\"39\",\"1\",\"Training\",\"Stims/Figures/85-C-20-2.bmp\",\"ta:ka:ka\",\"Left\",\"39\",\"1\",\"13\",\"2\",\"P\",\"C\",\"13\"
\"\",\"\",\"approach-retreat\",\"17\",\"105796\",\"0.0-17.0\",\"\",\"\",\"1-4\",\"4716\",\"40\",\"0\",\"Training\",\"Stims/Figures/19-C-20-4.bmp\",\"ta:ka:ka\",\"Down\",\"38\",\"1\",\"14\",\"2\",\"P\",\"C\",\"14\"
\"\",\"\",\"approach-retreat\",\"18\",\"111578\",\"0.0-18.0\",\"\",\"\",\"1-4\",\"4271\",\"37\",\"1\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"ma:la:na\",\"Left\",\"37\",\"1\",\"15\",\"2\",\"S\",\"C\",\"15\"
\"\",\"\",\"approach-retreat\",\"19\",\"117108\",\"0.0-19.0\",\"\",\"\",\"1-4\",\"4021\",\"38\",\"1\",\"Training\",\"Stims/Figures/57-J-0-1.bmp\",\"ma:la:na\",\"Up\",\"38\",\"1\",\"16\",\"2\",\"S\",\"C\",\"16\"
\"\",\"\",\"approach-retreat\",\"20\",\"122140\",\"0.0-20.0\",\"\",\"\",\"1-4\",\"3524\",\"40\",\"0\",\"Training\",\"Stims/Figures/100-J-10-3.bmp\",\"ma:la:na\",\"Up\",\"38\",\"2\",\"1\",\"2\",\"S\",\"C\",\"17\"
\"\",\"\",\"approach-retreat\",\"21\",\"127627\",\"0.0-21.0\",\"\",\"\",\"1-4\",\"3980\",\"40\",\"1\",\"Training\",\"Stims/Figures/85-C-20-2.bmp\",\"ta:ka:ka\",\"Up\",\"40\",\"2\",\"2\",\"2\",\"P\",\"C\",\"18\"
\"\",\"\",\"approach-retreat\",\"22\",\"133130\",\"0.0-22.0\",\"\",\"\",\"1-4\",\"3996\",\"40\",\"1\",\"Training\",\"Stims/Figures/74-J-10-4.bmp\",\"ma:la:na\",\"Down\",\"40\",\"2\",\"3\",\"2\",\"S\",\"C\",\"19\"
\"\",\"\",\"approach-retreat\",\"23\",\"138908\",\"0.0-23.0\",\"\",\"\",\"1-4\",\"4269\",\"39\",\"1\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"ta:ka:ka\",\"Left\",\"39\",\"2\",\"4\",\"2\",\"P\",\"C\",\"20\"
\"\",\"\",\"approach-retreat\",\"24\",\"144338\",\"0.0-24.0\",\"\",\"\",\"1-4\",\"3923\",\"39\",\"1\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"ta:ka:ka\",\"Left\",\"39\",\"2\",\"5\",\"2\",\"P\",\"C\",\"21\"
\"\",\"\",\"approach-retreat\",\"25\",\"151787\",\"0.0-25.0\",\"\",\"\",\"1-4\",\"5939\",\"37\",\"1\",\"Training\",\"Stims/Figures/57-J-0-1.bmp\",\"ma:la:na\",\"Left\",\"37\",\"2\",\"6\",\"2\",\"S\",\"C\",\"22\"
\"\",\"\",\"approach-retreat\",\"26\",\"157970\",\"0.0-26.0\",\"\",\"\",\"1-4\",\"4677\",\"39\",\"0\",\"Training\",\"Stims/Figures/100-C-30-3.bmp\",\"ta:ka:ka\",\"Right\",\"37\",\"2\",\"7\",\"2\",\"P\",\"C\",\"23\"
\"\",\"\",\"approach-retreat\",\"27\",\"163737\",\"0.0-27.0\",\"\",\"\",\"1-4\",\"4261\",\"37\",\"0\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"ma:la:na\",\"Right\",\"39\",\"2\",\"8\",\"2\",\"S\",\"C\",\"24\"
\"\",\"\",\"approach-retreat\",\"28\",\"169254\",\"0.0-28.0\",\"\",\"\",\"1-4\",\"4010\",\"40\",\"0\",\"Training\",\"Stims/Figures/111-J-10-3.bmp\",\"ma:la:na\",\"Up\",\"38\",\"2\",\"9\",\"2\",\"S\",\"C\",\"25\"
\"\",\"\",\"approach-retreat\",\"29\",\"174266\",\"0.0-29.0\",\"\",\"\",\"1-4\",\"3505\",\"40\",\"0\",\"Training\",\"Stims/Figures/85-J-0-2.bmp\",\"ma:la:na\",\"Up\",\"38\",\"2\",\"10\",\"2\",\"S\",\"C\",\"26\"
\"\",\"\",\"approach-retreat\",\"30\",\"186847\",\"0.0-30.0\",\"\",\"\",\"1-4\",\"11072\",\"39\",\"1\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"ma:la:na\",\"Right\",\"39\",\"2\",\"11\",\"2\",\"S\",\"C\",\"27\"
\"\",\"\",\"approach-retreat\",\"31\",\"195375\",\"0.0-31.0\",\"\",\"\",\"1-4\",\"7020\",\"38\",\"1\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"ta:ka:ka\",\"Down\",\"38\",\"2\",\"12\",\"2\",\"P\",\"C\",\"28\"
\"\",\"\",\"approach-retreat\",\"32\",\"201357\",\"0.0-32.0\",\"\",\"\",\"1-4\",\"4476\",\"40\",\"0\",\"Training\",\"Stims/Figures/111-C-30-3.bmp\",\"ta:ka:ka\",\"Down\",\"38\",\"2\",\"13\",\"2\",\"P\",\"C\",\"29\"
\"\",\"\",\"approach-retreat\",\"33\",\"206632\",\"0.0-33.0\",\"\",\"\",\"1-4\",\"3766\",\"39\",\"1\",\"Training\",\"Stims/Figures/19-C-20-4.bmp\",\"ta:ka:ka\",\"Left\",\"39\",\"2\",\"14\",\"2\",\"P\",\"C\",\"30\"
\"\",\"\",\"approach-retreat\",\"34\",\"211958\",\"0.0-34.0\",\"\",\"\",\"1-4\",\"3818\",\"37\",\"0\",\"Training\",\"Stims/Figures/19-J-10-4.bmp\",\"ma:la:na\",\"Right\",\"39\",\"2\",\"15\",\"2\",\"S\",\"C\",\"31\"
\"\",\"\",\"approach-retreat\",\"35\",\"217398\",\"0.0-35.0\",\"\",\"\",\"1-4\",\"3933\",\"38\",\"1\",\"Training\",\"Stims/Figures/57-C-30-1.bmp\",\"ta:ka:ka\",\"Down\",\"38\",\"2\",\"16\",\"2\",\"P\",\"C\",\"32\"
\"\",\"\",\"approach-retreat\",\"36\",\"224062\",\"0.0-36.0\",\"\",\"\",\"1-4\",\"5158\",\"39\",\"0\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"ta:ka:ka\",\"Right\",\"37\",\"3\",\"1\",\"2\",\"P\",\"C\",\"33\"
\"\",\"\",\"approach-retreat\",\"37\",\"229969\",\"0.0-37.0\",\"\",\"\",\"1-4\",\"4402\",\"39\",\"0\",\"Training\",\"Stims/Figures/19-C-20-4.bmp\",\"ta:ka:ka\",\"Right\",\"37\",\"3\",\"2\",\"2\",\"P\",\"C\",\"34\"
\"\",\"\",\"approach-retreat\",\"38\",\"235568\",\"0.0-38.0\",\"\",\"\",\"1-4\",\"4093\",\"37\",\"0\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"ma:la:na\",\"Right\",\"39\",\"3\",\"3\",\"2\",\"S\",\"C\",\"35\"
\"\",\"\",\"approach-retreat\",\"39\",\"240602\",\"0.0-39.0\",\"\",\"\",\"1-4\",\"3526\",\"40\",\"0\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"ta:ka:ka\",\"Down\",\"38\",\"3\",\"4\",\"2\",\"P\",\"C\",\"36\"
