\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"38555\",\"32\",\"text\",\"0\",\"38560\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"93801\",\"\",\"instructions\",\"1\",\"132363\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":93801}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"16650\",\"\",\"survey-multi-choice\",\"2\",\"149050\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"154164\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"19\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"182523\",\"0.0-4.0\",\"\",\"\",\"1-3\",\"26847\",\"40\",\"1\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"ta:paka\",\"Up\",\"40\",\"1\",\"1\",\"1\",\"P\",\"J\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"190609\",\"0.0-5.0\",\"\",\"\",\"1-3\",\"6577\",\"37\",\"0\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"ta:paka\",\"Left\",\"39\",\"1\",\"2\",\"1\",\"P\",\"J\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"198554\",\"0.0-6.0\",\"\",\"\",\"1-3\",\"6438\",\"38\",\"1\",\"Training\",\"Stims/Figures/94-C-20-2.bmp\",\"na:la:la\",\"Up\",\"38\",\"1\",\"3\",\"1\",\"S\",\"J\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"204272\",\"0.0-7.0\",\"\",\"\",\"1-3\",\"4209\",\"40\",\"1\",\"Training\",\"Stims/Figures/111-J-10-3.bmp\",\"ta:paka\",\"Up\",\"40\",\"1\",\"4\",\"1\",\"P\",\"J\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"210256\",\"0.0-8.0\",\"\",\"\",\"1-3\",\"4477\",\"39\",\"1\",\"Training\",\"Stims/Figures/144-J-10-3.bmp\",\"ta:paka\",\"Left\",\"39\",\"1\",\"5\",\"1\",\"P\",\"J\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"216239\",\"0.0-9.0\",\"\",\"\",\"1-3\",\"4476\",\"37\",\"1\",\"Training\",\"Stims/Figures/71-J-0-1.bmp\",\"ta:paka\",\"Right\",\"37\",\"1\",\"6\",\"1\",\"P\",\"J\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"222545\",\"0.0-10.0\",\"\",\"\",\"1-3\",\"4798\",\"37\",\"1\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"na:la:la\",\"Left\",\"37\",\"1\",\"7\",\"1\",\"S\",\"J\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"228566\",\"0.0-11.0\",\"\",\"\",\"1-3\",\"4515\",\"39\",\"1\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"na:la:la\",\"Right\",\"39\",\"1\",\"8\",\"1\",\"S\",\"J\",\"8\"
\"\",\"\",\"approach-retreat\",\"12\",\"234482\",\"0.0-12.0\",\"\",\"\",\"1-3\",\"4407\",\"40\",\"1\",\"Training\",\"Stims/Figures/71-C-30-1.bmp\",\"na:la:la\",\"Down\",\"40\",\"1\",\"9\",\"1\",\"S\",\"J\",\"9\"
\"\",\"\",\"approach-retreat\",\"13\",\"241189\",\"0.0-13.0\",\"\",\"\",\"1-3\",\"5200\",\"39\",\"1\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"na:la:la\",\"Right\",\"39\",\"1\",\"10\",\"1\",\"S\",\"J\",\"10\"
\"\",\"\",\"approach-retreat\",\"14\",\"247006\",\"0.0-14.0\",\"\",\"\",\"1-3\",\"4311\",\"40\",\"1\",\"Training\",\"Stims/Figures/144-C-30-3.bmp\",\"na:la:la\",\"Down\",\"40\",\"1\",\"11\",\"1\",\"S\",\"J\",\"11\"
\"\",\"\",\"approach-retreat\",\"15\",\"252682\",\"0.0-15.0\",\"\",\"\",\"1-3\",\"4168\",\"38\",\"1\",\"Training\",\"Stims/Figures/94-J-0-2.bmp\",\"ta:paka\",\"Down\",\"38\",\"1\",\"12\",\"1\",\"P\",\"J\",\"12\"
\"\",\"\",\"approach-retreat\",\"16\",\"259835\",\"0.0-16.0\",\"\",\"\",\"1-3\",\"5644\",\"37\",\"1\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"na:la:la\",\"Left\",\"37\",\"1\",\"13\",\"1\",\"S\",\"J\",\"13\"
\"\",\"\",\"approach-retreat\",\"17\",\"265771\",\"0.0-17.0\",\"\",\"\",\"1-3\",\"4430\",\"40\",\"1\",\"Training\",\"Stims/Figures/74-J-10-4.bmp\",\"ta:paka\",\"Up\",\"40\",\"1\",\"14\",\"1\",\"P\",\"J\",\"14\"
\"\",\"\",\"approach-retreat\",\"18\",\"279783\",\"0.0-18.0\",\"\",\"\",\"1-3\",\"12504\",\"38\",\"0\",\"Training\",\"Stims/Figures/111-C-30-3.bmp\",\"na:la:la\",\"Down\",\"40\",\"1\",\"15\",\"1\",\"S\",\"J\",\"15\"
\"\",\"\",\"approach-retreat\",\"19\",\"285964\",\"0.0-19.0\",\"\",\"\",\"1-3\",\"4674\",\"37\",\"1\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"ta:paka\",\"Right\",\"37\",\"1\",\"16\",\"1\",\"P\",\"J\",\"16\"
