"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"76359","32","text","0","76363","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"117966","","instructions","1","194332","0.0-1.0","[{""page_index"":0,""viewing_time"":117966}]","","","","","","","","","","","","","","","",""
"41316","","survey-multi-choice","2","235687","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","253232","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","267862","0.0-4.0","","","1-1","13116","40","0","Training","Stims/Figures/87-J-10-4.bmp","tapaka","Up","38","1","1","1","P","C","1"
"","","approach-retreat","5","277737","0.0-5.0","","","1-1","8367","38","1","Training","Stims/Figures/94-C-20-2.bmp","nala:na","Down","38","1","2","1","S","C","2"
"","","approach-retreat","6","288794","0.0-6.0","","","1-1","9548","38","0","Training","Stims/Figures/71-C-30-1.bmp","nala:na","Up","40","1","3","1","S","C","3"
"","","approach-retreat","7","299455","0.0-7.0","","","1-1","9154","39","1","Training","Stims/Figures/144-C-30-3.bmp","nala:na","Left","39","1","4","1","S","C","4"
"","","approach-retreat","8","307743","0.0-8.0","","","1-1","6780","40","1","Training","Stims/Figures/100-J-10-3.bmp","tapaka","Down","40","1","5","1","P","C","5"
"","","approach-retreat","9","317783","0.0-9.0","","","1-1","8531","37","0","Training","Stims/Figures/27-J-0-1.bmp","tapaka","Right","39","1","6","1","P","C","6"
"","","approach-retreat","10","328746","0.0-10.0","","","1-1","9456","39","0","Training","Stims/Figures/100-C-30-3.bmp","nala:na","Right","37","1","7","1","S","C","7"
"","","approach-retreat","11","338782","0.0-11.0","","","1-1","8528","40","0","Training","Stims/Figures/74-J-10-4.bmp","tapaka","Up","38","1","8","1","P","C","8"
"","","approach-retreat","12","346676","0.0-12.0","","","1-1","6384","37","0","Training","Stims/Figures/144-J-10-3.bmp","tapaka","Right","39","1","9","1","P","C","9"
"","","approach-retreat","13","353699","0.0-13.0","","","1-1","5518","40","1","Training","Stims/Figures/71-J-0-1.bmp","tapaka","Down","40","1","10","1","P","C","10"
"","","approach-retreat","14","360870","0.0-14.0","","","1-1","5663","38","1","Training","Stims/Figures/87-C-20-4.bmp","nala:na","Down","38","1","11","1","S","C","11"
"","","approach-retreat","15","369186","0.0-15.0","","","1-1","6810","40","1","Training","Stims/Figures/84-C-20-2.bmp","nala:na","Up","40","1","12","1","S","C","12"
"","","approach-retreat","16","377006","0.0-16.0","","","1-1","6313","39","0","Training","Stims/Figures/84-J-0-2.bmp","tapaka","Left","37","1","13","1","P","C","13"
"","","approach-retreat","17","384491","0.0-17.0","","","1-1","5977","37","1","Training","Stims/Figures/27-C-30-1.bmp","nala:na","Right","37","1","14","1","S","C","14"
