"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"24065","32","text","0","24076","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"72695","","instructions","1","96779","0.0-1.0","[{""page_index"":0,""viewing_time"":72691}]","","","","","","","","","","","","","","","",""
"30819","","survey-multi-choice","2","127685","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","139029","0.0-3.0","","{""age"":""18"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","151587","0.0-4.0","","","1-2","11007","37","1","Training","Stims/Figures/85-C-20-2.bmp","fa:shasha","Right","37","1","1","6B","C1","C","1"
"","","approach-retreat","5","161709","0.0-5.0","","","1-2","8582","40","1","Training","Stims/Figures/7-J-10-4.bmp","za:haza","Down","40","1","2","6B","C2","C","2"
"","","approach-retreat","6","170568","0.0-6.0","","","1-2","7322","39","1","Training","Stims/Figures/139-J-0-2.bmp","saha:ha","Right","39","1","3","6B","C2","C","3"
"","","approach-retreat","7","177313","0.0-7.0","","","1-2","5184","39","0","Training","Stims/Figures/57-J-0-1.bmp","zaha:ha","Left","37","1","4","6B","C2","C","4"
"","","approach-retreat","8","184478","0.0-8.0","","","1-2","5602","39","1","Training","Stims/Figures/74-C-20-4.bmp","vashasha","Left","39","1","5","6B","C1","C","5"
"","","approach-retreat","9","190592","0.0-9.0","","","1-2","4568","39","1","Training","Stims/Figures/7-C-20-4.bmp","va:fa:sha","Left","39","1","6","6B","C1","C","6"
"","","approach-retreat","10","204905","0.0-10.0","","","1-2","12759","39","1","Training","Stims/Figures/27-J-0-1.bmp","saha:za","Right","39","1","7","6B","C2","C","7"
"","","approach-retreat","11","213572","0.0-11.0","","","1-2","7119","38","0","Training","Stims/Figures/139-C-20-2.bmp","vasha:sha","Up","40","1","8","6B","C1","C","8"
"","","approach-retreat","12","220073","0.0-12.0","","","1-2","4964","40","0","Training","Stims/Figures/57-C-30-1.bmp","vafa:sha","Down","38","1","9","6B","C1","C","9"
"","","approach-retreat","13","229491","0.0-13.0","","","1-2","7856","38","1","Training","Stims/Figures/85-J-0-2.bmp","zaha:za","Up","38","1","10","6B","C2","C","10"
"","","approach-retreat","14","235979","0.0-14.0","","","1-2","4944","40","1","Training","Stims/Figures/144-C-30-3.bmp","va:fava","Up","40","1","11","6B","C1","C","11"
"","","approach-retreat","15","242727","0.0-15.0","","","1-2","5192","37","1","Training","Stims/Figures/27-C-30-1.bmp","fafava","Right","37","1","12","6B","C1","C","12"
"","","approach-retreat","16","249332","0.0-16.0","","","1-2","5055","40","1","Training","Stims/Figures/111-J-10-3.bmp","za:sa:ha","Down","40","1","13","6B","C2","C","13"
"","","approach-retreat","17","256272","0.0-17.0","","","1-2","5393","39","1","Training","Stims/Figures/111-C-30-3.bmp","va:sha:sha","Left","39","1","14","6B","C1","C","14"
"","","approach-retreat","18","263366","0.0-18.0","","","1-2","5552","40","0","Training","Stims/Figures/144-J-10-3.bmp","za:haha","Up","38","1","15","6B","C2","C","15"
"","","approach-retreat","19","270028","0.0-19.0","","","1-2","5121","38","0","Training","Stims/Figures/74-J-10-4.bmp","sa:sa:za","Down","40","1","16","6B","C2","C","16"
"","","approach-retreat","20","278776","0.0-20.0","","","1-2","7186","40","1","Training","Stims/Figures/57-J-0-1.bmp","zaha:ha","Down","40","2","1","6B","C2","C","17"
"","","approach-retreat","21","286742","0.0-21.0","","","1-2","6423","40","1","Training","Stims/Figures/7-C-20-4.bmp","va:fa:sha","Up","40","2","2","6B","C1","C","18"
"","","approach-retreat","22","293592","0.0-22.0","","","1-2","5282","37","1","Training","Stims/Figures/111-C-30-3.bmp","va:sha:sha","Right","37","2","3","6B","C1","C","19"
"","","approach-retreat","23","301699","0.0-23.0","","","1-2","6537","39","1","Training","Stims/Figures/111-J-10-3.bmp","za:sa:ha","Right","39","2","4","6B","C2","C","20"
"","","approach-retreat","24","308590","0.0-24.0","","","1-2","5354","37","1","Training","Stims/Figures/85-J-0-2.bmp","zaha:za","Left","37","2","5","6B","C2","C","21"
"","","approach-retreat","25","314800","0.0-25.0","","","1-2","4648","37","0","Training","Stims/Figures/144-C-30-3.bmp","va:fava","Left","39","2","6","6B","C1","C","22"
"","","approach-retreat","26","320677","0.0-26.0","","","1-2","4326","37","0","Training","Stims/Figures/139-C-20-2.bmp","vasha:sha","Left","39","2","7","6B","C1","C","23"
"","","approach-retreat","27","326310","0.0-27.0","","","1-2","4088","37","0","Training","Stims/Figures/74-C-20-4.bmp","vashasha","Left","39","2","8","6B","C1","C","24"
"","","approach-retreat","28","332749","0.0-28.0","","","1-2","4884","40","1","Training","Stims/Figures/85-C-20-2.bmp","fa:shasha","Up","40","2","9","6B","C1","C","25"
"","","approach-retreat","29","338525","0.0-29.0","","","1-2","4208","38","1","Training","Stims/Figures/139-J-0-2.bmp","saha:ha","Up","38","2","10","6B","C2","C","26"
"","","approach-retreat","30","344635","0.0-30.0","","","1-2","4573","37","1","Training","Stims/Figures/57-C-30-1.bmp","vafa:sha","Right","37","2","11","6B","C1","C","27"
"","","approach-retreat","31","352487","0.0-31.0","","","1-2","6300","38","0","Training","Stims/Figures/74-J-10-4.bmp","sa:sa:za","Down","40","2","12","6B","C2","C","28"
"","","approach-retreat","32","359049","0.0-32.0","","","1-2","5016","40","1","Training","Stims/Figures/27-J-0-1.bmp","saha:za","Down","40","2","13","6B","C2","C","29"
"","","approach-retreat","33","365285","0.0-33.0","","","1-2","4698","40","1","Training","Stims/Figures/27-C-30-1.bmp","fafava","Up","40","2","14","6B","C1","C","30"
"","","approach-retreat","34","375807","0.0-34.0","","","1-2","8982","37","0","Training","Stims/Figures/144-J-10-3.bmp","za:haha","Right","39","2","15","6B","C2","C","31"
"","","approach-retreat","35","382601","0.0-35.0","","","1-2","5250","40","1","Training","Stims/Figures/7-J-10-4.bmp","za:haza","Down","40","2","16","6B","C2","C","32"
"","","approach-retreat","36","388898","0.0-36.0","","","1-2","4740","39","0","Training","Stims/Figures/57-J-0-1.bmp","zaha:ha","Left","37","3","1","6B","C2","C","33"
