\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"72162\",\"32\",\"text\",\"0\",\"72166\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"117443\",\"\",\"instructions\",\"1\",\"189609\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":117442}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"37893\",\"\",\"survey-multi-choice\",\"2\",\"227527\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"238562\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"20\"\",\"\"gender\"\":\"\"m\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"249007\",\"0.0-4.0\",\"\",\"\",\"2-2\",\"8935\",\"37\",\"1\",\"Training\",\"Stims/Figures/44-J-10-3.bmp\",\"tapa:ta\",\"Left\",\"37\",\"1\",\"1\",\"4\",\"P\",\"C\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"257711\",\"0.0-5.0\",\"\",\"\",\"2-2\",\"7199\",\"38\",\"0\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"ma:la:la\",\"Up\",\"40\",\"1\",\"2\",\"4\",\"S\",\"C\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"263816\",\"0.0-6.0\",\"\",\"\",\"2-2\",\"4599\",\"39\",\"0\",\"Training\",\"Stims/Figures/87-C-20-4.bmp\",\"na:mala\",\"Right\",\"37\",\"1\",\"3\",\"4\",\"S\",\"C\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"270807\",\"0.0-7.0\",\"\",\"\",\"2-2\",\"5485\",\"38\",\"0\",\"Training\",\"Stims/Figures/85-C-20-2.bmp\",\"na:lala\",\"Up\",\"40\",\"1\",\"4\",\"4\",\"S\",\"C\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"277692\",\"0.0-8.0\",\"\",\"\",\"2-2\",\"5380\",\"38\",\"0\",\"Training\",\"Stims/Figures/44-C-30-3.bmp\",\"mamana\",\"Up\",\"40\",\"1\",\"5\",\"4\",\"S\",\"C\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"284612\",\"0.0-9.0\",\"\",\"\",\"2-2\",\"5415\",\"39\",\"0\",\"Training\",\"Stims/Figures/86-J-0-1.bmp\",\"taka:ta\",\"Left\",\"37\",\"1\",\"6\",\"4\",\"P\",\"C\",\"6\"
