"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"4928","32","text","0","4932","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"21880","","instructions","1","26814","0.0-1.0","[{""page_index"":0,""viewing_time"":21880}]","","","","","","","","","","","","","","","",""
"23035","","survey-multi-choice","2","49896","0.0-2.0","","{""Q0"":""Ne"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","57491","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","69464","0.0-4.0","","","1-3","10464","40","0","Training","Stims/Figures/94-C-20-2.bmp","papata","Down","38","1","1","5","P","C","1"
"","","approach-retreat","5","98937","0.0-5.0","","","1-3","27962","40","1","Training","Stims/Figures/111-C-30-3.bmp","taka:ta","Up","40","1","2","5","P","C","2"
"","","approach-retreat","6","109245","0.0-6.0","","","1-3","8794","40","0","Training","Stims/Figures/87-C-20-4.bmp","takata","Down","38","1","3","5","P","C","3"
"","","approach-retreat","7","115831","0.0-7.0","","","1-3","5077","40","0","Training","Stims/Figures/100-J-10-3.bmp","ma:mana","Up","38","1","4","5","S","C","4"
"","","approach-retreat","8","124349","0.0-8.0","","","1-3","7006","37","0","Training","Stims/Figures/87-J-10-4.bmp","mala:na","Right","39","1","5","5","S","C","5"
"","","approach-retreat","9","130579","0.0-9.0","","","1-3","4720","38","1","Training","Stims/Figures/57-C-30-1.bmp","tapaka","Down","38","1","6","5","P","C","6"
"","","approach-retreat","10","137126","0.0-10.0","","","1-3","5035","37","1","Training","Stims/Figures/57-J-0-1.bmp","na:ma:la","Left","37","1","7","5","S","C","7"
"","","approach-retreat","11","143406","0.0-11.0","","","1-3","4768","37","1","Training","Stims/Figures/85-C-20-2.bmp","papa:ka","Right","37","1","8","5","P","C","8"
"","","approach-retreat","12","149781","0.0-12.0","","","1-3","4865","39","1","Training","Stims/Figures/86-J-0-1.bmp","nala:la","Right","39","1","9","5","S","C","9"
"","","approach-retreat","13","157838","0.0-13.0","","","1-3","6545","37","0","Training","Stims/Figures/86-C-30-1.bmp","ta:pa:ta","Left","39","1","10","5","P","C","10"
"","","approach-retreat","14","165281","0.0-14.0","","","1-3","5931","39","1","Training","Stims/Figures/74-C-20-4.bmp","pa:kaka","Left","39","1","11","5","P","C","11"
"","","approach-retreat","15","177124","0.0-15.0","","","1-3","10333","38","1","Training","Stims/Figures/111-J-10-3.bmp","ma:la:na","Up","38","1","12","5","S","C","12"
"","","approach-retreat","16","184773","0.0-16.0","","","1-3","6136","39","1","Training","Stims/Figures/74-J-10-4.bmp","ma:lana","Right","39","1","13","5","S","C","13"
"","","approach-retreat","17","191253","0.0-17.0","","","1-3","4968","37","1","Training","Stims/Figures/85-J-0-2.bmp","mama:na","Left","37","1","14","5","S","C","14"
"","","approach-retreat","18","198152","0.0-18.0","","","1-3","5389","40","1","Training","Stims/Figures/94-J-0-2.bmp","mamana","Down","40","1","15","5","S","C","15"
"","","approach-retreat","19","206506","0.0-19.0","","","1-3","6844","38","0","Training","Stims/Figures/100-C-30-3.bmp","pa:pa:ta","Up","40","1","16","5","P","C","16"
"","","approach-retreat","20","213176","0.0-20.0","","","1-3","5158","39","1","Training","Stims/Figures/94-J-0-2.bmp","mamana","Right","39","2","1","5","S","C","17"
