"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"2-5"	"va:shava"	"100-J-10-3"	"100"	"J"	"10"	"3"	1	"Training"	1	1	"6A"	"C1"	"Down"	"38"	"40"	"C"	"40"
"2-5"	"sasa:za"	"7-C-20-4"	"7"	"C"	"20"	"4"	2	"Training"	1	2	"6A"	"C2"	"Up"	"40"	"38"	"C"	"40"
"2-5"	"za:sa:za"	"27-C-30-1"	"27"	"C"	"30"	"1"	3	"Training"	1	3	"6A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"2-5"	"fashava"	"71-J-0-1"	"71"	"J"	"0"	"1"	4	"Training"	1	4	"6A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"2-5"	"zasa:ha"	"85-C-20-2"	"85"	"C"	"20"	"2"	5	"Training"	1	5	"6A"	"C2"	"Right"	"37"	"39"	"C"	"37"
"2-5"	"vafava"	"74-J-10-4"	"74"	"J"	"10"	"4"	6	"Training"	1	6	"6A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"2-5"	"va:fa:sha"	"7-J-10-4"	"7"	"J"	"10"	"4"	7	"Training"	1	7	"6A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"2-5"	"za:sa:ha"	"128-C-30-3"	"128"	"C"	"30"	"3"	8	"Training"	1	8	"6A"	"C2"	"Up"	"40"	"38"	"C"	"40"
"2-5"	"sasa:ha"	"100-C-30-3"	"100"	"C"	"30"	"3"	9	"Training"	1	9	"6A"	"C2"	"Up"	"40"	"38"	"C"	"40"
"2-5"	"fa:fasha"	"85-J-0-2"	"85"	"J"	"0"	"2"	10	"Training"	1	10	"6A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"2-5"	"saha:ha"	"139-C-20-2"	"139"	"C"	"20"	"2"	11	"Training"	1	11	"6A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"2-5"	"sasaza"	"74-C-20-4"	"74"	"C"	"20"	"4"	12	"Training"	1	12	"6A"	"C2"	"Right"	"37"	"39"	"C"	"37"
"2-5"	"vashasha"	"27-J-0-1"	"27"	"J"	"0"	"1"	13	"Training"	1	13	"6A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"2-5"	"vashava"	"128-J-10-3"	"128"	"J"	"10"	"3"	14	"Training"	1	14	"6A"	"C1"	"Down"	"38"	"40"	"C"	"40"
"2-5"	"fa:shava"	"139-J-0-2"	"139"	"J"	"0"	"2"	15	"Training"	1	15	"6A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"2-5"	"sahaza"	"71-C-30-1"	"71"	"C"	"30"	"1"	16	"Training"	1	16	"6A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"2-5"	"va:shava"	"100-J-10-3"	"100"	"J"	"10"	"3"	17	"Training"	2	1	"6A"	"C1"	"Down"	"38"	"40"	"C"	"40"
"2-5"	"sasa:za"	"7-C-20-4"	"7"	"C"	"20"	"4"	18	"Training"	2	2	"6A"	"C2"	"Up"	"40"	"38"	"C"	"40"
"2-5"	"za:sa:za"	"27-C-30-1"	"27"	"C"	"30"	"1"	19	"Training"	2	3	"6A"	"C2"	"Up"	"40"	"38"	"C"	"40"
"2-5"	"za:sa:ha"	"128-C-30-3"	"128"	"C"	"30"	"3"	20	"Training"	2	4	"6A"	"C2"	"Right"	"37"	"39"	"C"	"37"
"2-5"	"sasaza"	"74-C-20-4"	"74"	"C"	"20"	"4"	21	"Training"	2	5	"6A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"2-5"	"sahaza"	"71-C-30-1"	"71"	"C"	"30"	"1"	22	"Training"	2	6	"6A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"2-5"	"vashava"	"128-J-10-3"	"128"	"J"	"10"	"3"	23	"Training"	2	7	"6A"	"C1"	"Down"	"38"	"40"	"C"	"40"
"2-5"	"zasa:ha"	"85-C-20-2"	"85"	"C"	"20"	"2"	24	"Training"	2	8	"6A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"2-5"	"fa:fasha"	"85-J-0-2"	"85"	"J"	"0"	"2"	25	"Training"	2	9	"6A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"2-5"	"sasa:ha"	"100-C-30-3"	"100"	"C"	"30"	"3"	26	"Training"	2	10	"6A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"2-5"	"saha:ha"	"139-C-20-2"	"139"	"C"	"20"	"2"	27	"Training"	2	11	"6A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"2-5"	"fa:shava"	"139-J-0-2"	"139"	"J"	"0"	"2"	28	"Training"	2	12	"6A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"2-5"	"vashasha"	"27-J-0-1"	"27"	"J"	"0"	"1"	29	"Training"	2	13	"6A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"2-5"	"va:fa:sha"	"7-J-10-4"	"7"	"J"	"10"	"4"	30	"Training"	2	14	"6A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"2-5"	"vafava"	"74-J-10-4"	"74"	"J"	"10"	"4"	31	"Training"	2	15	"6A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"2-5"	"fashava"	"71-J-0-1"	"71"	"J"	"0"	"1"	32	"Training"	2	16	"6A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"2-5"	"vashava"	"128-J-10-3"	"128"	"J"	"10"	"3"	33	"Training"	3	1	"6A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"2-5"	"sasa:za"	"7-C-20-4"	"7"	"C"	"20"	"4"	34	"Training"	3	2	"6A"	"C2"	"Right"	"37"	"39"	"C"	"37"
"2-5"	"sasaza"	"74-C-20-4"	"74"	"C"	"20"	"4"	35	"Training"	3	3	"6A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"2-5"	"za:sa:za"	"27-C-30-1"	"27"	"C"	"30"	"1"	36	"Training"	3	4	"6A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"2-5"	"vafava"	"74-J-10-4"	"74"	"J"	"10"	"4"	37	"Training"	3	5	"6A"	"C1"	"Down"	"38"	"40"	"C"	"40"
"2-5"	"va:fa:sha"	"7-J-10-4"	"7"	"J"	"10"	"4"	38	"Training"	3	6	"6A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"2-5"	"vashasha"	"27-J-0-1"	"27"	"J"	"0"	"1"	39	"Training"	3	7	"6A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"2-5"	"saha:ha"	"139-C-20-2"	"139"	"C"	"20"	"2"	40	"Training"	3	8	"6A"	"C2"	"Right"	"37"	"39"	"C"	"37"
"2-5"	"fa:shava"	"139-J-0-2"	"139"	"J"	"0"	"2"	41	"Training"	3	9	"6A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"2-5"	"za:sa:ha"	"128-C-30-3"	"128"	"C"	"30"	"3"	42	"Training"	3	10	"6A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"2-5"	"sahaza"	"71-C-30-1"	"71"	"C"	"30"	"1"	43	"Training"	3	11	"6A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"2-5"	"va:shava"	"100-J-10-3"	"100"	"J"	"10"	"3"	44	"Training"	3	12	"6A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"2-5"	"fashava"	"71-J-0-1"	"71"	"J"	"0"	"1"	45	"Training"	3	13	"6A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"2-5"	"zasa:ha"	"85-C-20-2"	"85"	"C"	"20"	"2"	46	"Training"	3	14	"6A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"2-5"	"sasa:ha"	"100-C-30-3"	"100"	"C"	"30"	"3"	47	"Training"	3	15	"6A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"2-5"	"fa:fasha"	"85-J-0-2"	"85"	"J"	"0"	"2"	48	"Training"	3	16	"6A"	"C1"	"Down"	"38"	"40"	"C"	"40"
"2-5"	"sahaza"	"71-C-30-1"	"71"	"C"	"30"	"1"	49	"Training"	4	1	"6A"	"C2"	"Right"	"37"	"39"	"C"	"37"
"2-5"	"sasa:ha"	"100-C-30-3"	"100"	"C"	"30"	"3"	50	"Training"	4	2	"6A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"2-5"	"sasa:za"	"7-C-20-4"	"7"	"C"	"20"	"4"	51	"Training"	4	3	"6A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"2-5"	"zasa:ha"	"85-C-20-2"	"85"	"C"	"20"	"2"	52	"Training"	4	4	"6A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"2-5"	"vashava"	"128-J-10-3"	"128"	"J"	"10"	"3"	53	"Training"	4	5	"6A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"2-5"	"sasaza"	"74-C-20-4"	"74"	"C"	"20"	"4"	54	"Training"	4	6	"6A"	"C2"	"Up"	"40"	"38"	"C"	"40"
"2-5"	"fa:shava"	"139-J-0-2"	"139"	"J"	"0"	"2"	55	"Training"	4	7	"6A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"2-5"	"vafava"	"74-J-10-4"	"74"	"J"	"10"	"4"	56	"Training"	4	8	"6A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"2-5"	"za:sa:ha"	"128-C-30-3"	"128"	"C"	"30"	"3"	57	"Training"	4	9	"6A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"2-5"	"za:sa:za"	"27-C-30-1"	"27"	"C"	"30"	"1"	58	"Training"	4	10	"6A"	"C2"	"Up"	"40"	"38"	"C"	"40"
"2-5"	"fa:fasha"	"85-J-0-2"	"85"	"J"	"0"	"2"	59	"Training"	4	11	"6A"	"C1"	"Down"	"38"	"40"	"C"	"40"
"2-5"	"fashava"	"71-J-0-1"	"71"	"J"	"0"	"1"	60	"Training"	4	12	"6A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"2-5"	"va:fa:sha"	"7-J-10-4"	"7"	"J"	"10"	"4"	61	"Training"	4	13	"6A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"2-5"	"vashasha"	"27-J-0-1"	"27"	"J"	"0"	"1"	62	"Training"	4	14	"6A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"2-5"	"va:shava"	"100-J-10-3"	"100"	"J"	"10"	"3"	63	"Training"	4	15	"6A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"2-5"	"saha:ha"	"139-C-20-2"	"139"	"C"	"20"	"2"	64	"Training"	4	16	"6A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"2-5"	"va:shava"	"100-J-10-3"	"100"	"J"	"10"	"3"	65	"Training"	5	1	"6A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"2-5"	"fa:fasha"	"85-J-0-2"	"85"	"J"	"0"	"2"	66	"Training"	5	2	"6A"	"C1"	"Right"	"37"	"39"	"C"	"39"
