"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"2-1"	"sa:saha"	"94-C-20-2"	"94"	"C"	"20"	"2"	1	"Training"	1	1	"6A"	"C2"	"Up"	"40"	"38"	"J"	"38"
"2-1"	"saha:za"	"74-C-20-4"	"74"	"C"	"20"	"4"	2	"Training"	1	2	"6A"	"C2"	"Up"	"40"	"38"	"J"	"38"
"2-1"	"za:saha"	"100-C-30-3"	"100"	"C"	"30"	"3"	3	"Training"	1	3	"6A"	"C2"	"Left"	"39"	"37"	"J"	"37"
"2-1"	"vafa:va"	"74-J-10-4"	"74"	"J"	"10"	"4"	4	"Training"	1	4	"6A"	"C1"	"Up"	"40"	"38"	"J"	"40"
"2-1"	"zasaza"	"86-C-30-1"	"86"	"C"	"30"	"1"	5	"Training"	1	5	"6A"	"C2"	"Right"	"37"	"39"	"J"	"39"
"2-1"	"va:sha:va"	"94-J-0-2"	"94"	"J"	"0"	"2"	6	"Training"	1	6	"6A"	"C1"	"Right"	"37"	"39"	"J"	"37"
"2-1"	"fa:fava"	"100-J-10-3"	"100"	"J"	"10"	"3"	7	"Training"	1	7	"6A"	"C1"	"Right"	"37"	"39"	"J"	"37"
"2-1"	"vafasha"	"57-J-0-1"	"57"	"J"	"0"	"1"	8	"Training"	1	8	"6A"	"C1"	"Up"	"40"	"38"	"J"	"40"
"2-1"	"sahaha"	"139-C-20-2"	"139"	"C"	"20"	"2"	9	"Training"	1	9	"6A"	"C2"	"Left"	"39"	"37"	"J"	"37"
"2-1"	"va:fa:sha"	"86-J-0-1"	"86"	"J"	"0"	"1"	10	"Training"	1	10	"6A"	"C1"	"Down"	"38"	"40"	"J"	"38"
"2-1"	"za:sa:ha"	"44-C-30-3"	"44"	"C"	"30"	"3"	11	"Training"	1	11	"6A"	"C2"	"Left"	"39"	"37"	"J"	"37"
"2-1"	"va:fasha"	"44-J-10-3"	"44"	"J"	"10"	"3"	12	"Training"	1	12	"6A"	"C1"	"Down"	"38"	"40"	"J"	"38"
"2-1"	"vashava"	"102-J-10-4"	"102"	"J"	"10"	"4"	13	"Training"	1	13	"6A"	"C1"	"Right"	"37"	"39"	"J"	"37"
"2-1"	"zaha:ha"	"57-C-30-1"	"57"	"C"	"30"	"1"	14	"Training"	1	14	"6A"	"C2"	"Left"	"39"	"37"	"J"	"37"
"2-1"	"vashasha"	"139-J-0-2"	"139"	"J"	"0"	"2"	15	"Training"	1	15	"6A"	"C1"	"Down"	"38"	"40"	"J"	"38"
"2-1"	"sa:ha:ha"	"102-C-20-4"	"102"	"C"	"20"	"4"	16	"Training"	1	16	"6A"	"C2"	"Down"	"38"	"40"	"J"	"40"
"2-1"	"vashasha"	"139-J-0-2"	"139"	"J"	"0"	"2"	17	"Training"	2	1	"6A"	"C1"	"Right"	"37"	"39"	"J"	"37"
"2-1"	"zasaza"	"86-C-30-1"	"86"	"C"	"30"	"1"	18	"Training"	2	2	"6A"	"C2"	"Down"	"38"	"40"	"J"	"40"
"2-1"	"va:fa:sha"	"86-J-0-1"	"86"	"J"	"0"	"1"	19	"Training"	2	3	"6A"	"C1"	"Up"	"40"	"38"	"J"	"40"
"2-1"	"va:sha:va"	"94-J-0-2"	"94"	"J"	"0"	"2"	20	"Training"	2	4	"6A"	"C1"	"Left"	"39"	"37"	"J"	"39"
"2-1"	"fa:fava"	"100-J-10-3"	"100"	"J"	"10"	"3"	21	"Training"	2	5	"6A"	"C1"	"Down"	"38"	"40"	"J"	"38"
"2-1"	"va:fasha"	"44-J-10-3"	"44"	"J"	"10"	"3"	22	"Training"	2	6	"6A"	"C1"	"Up"	"40"	"38"	"J"	"40"
"2-1"	"za:sa:ha"	"44-C-30-3"	"44"	"C"	"30"	"3"	23	"Training"	2	7	"6A"	"C2"	"Down"	"38"	"40"	"J"	"40"
"2-1"	"vafa:va"	"74-J-10-4"	"74"	"J"	"10"	"4"	24	"Training"	2	8	"6A"	"C1"	"Right"	"37"	"39"	"J"	"37"
"2-1"	"sa:saha"	"94-C-20-2"	"94"	"C"	"20"	"2"	25	"Training"	2	9	"6A"	"C2"	"Left"	"39"	"37"	"J"	"37"
"2-1"	"sa:ha:ha"	"102-C-20-4"	"102"	"C"	"20"	"4"	26	"Training"	2	10	"6A"	"C2"	"Right"	"37"	"39"	"J"	"39"
"2-1"	"saha:za"	"74-C-20-4"	"74"	"C"	"20"	"4"	27	"Training"	2	11	"6A"	"C2"	"Down"	"38"	"40"	"J"	"40"
"2-1"	"vashava"	"102-J-10-4"	"102"	"J"	"10"	"4"	28	"Training"	2	12	"6A"	"C1"	"Up"	"40"	"38"	"J"	"40"
"2-1"	"zaha:ha"	"57-C-30-1"	"57"	"C"	"30"	"1"	29	"Training"	2	13	"6A"	"C2"	"Left"	"39"	"37"	"J"	"37"
"2-1"	"za:saha"	"100-C-30-3"	"100"	"C"	"30"	"3"	30	"Training"	2	14	"6A"	"C2"	"Left"	"39"	"37"	"J"	"37"
"2-1"	"sahaha"	"139-C-20-2"	"139"	"C"	"20"	"2"	31	"Training"	2	15	"6A"	"C2"	"Up"	"40"	"38"	"J"	"38"
"2-1"	"vafasha"	"57-J-0-1"	"57"	"J"	"0"	"1"	32	"Training"	2	16	"6A"	"C1"	"Right"	"37"	"39"	"J"	"37"
"2-1"	"sahaha"	"139-C-20-2"	"139"	"C"	"20"	"2"	33	"Training"	3	1	"6A"	"C2"	"Down"	"38"	"40"	"J"	"40"
"2-1"	"zasaza"	"86-C-30-1"	"86"	"C"	"30"	"1"	34	"Training"	3	2	"6A"	"C2"	"Down"	"38"	"40"	"J"	"40"
"2-1"	"fa:fava"	"100-J-10-3"	"100"	"J"	"10"	"3"	35	"Training"	3	3	"6A"	"C1"	"Up"	"40"	"38"	"J"	"40"
"2-1"	"vashasha"	"139-J-0-2"	"139"	"J"	"0"	"2"	36	"Training"	3	4	"6A"	"C1"	"Left"	"39"	"37"	"J"	"39"
"2-1"	"vafa:va"	"74-J-10-4"	"74"	"J"	"10"	"4"	37	"Training"	3	5	"6A"	"C1"	"Left"	"39"	"37"	"J"	"39"
"2-1"	"zaha:ha"	"57-C-30-1"	"57"	"C"	"30"	"1"	38	"Training"	3	6	"6A"	"C2"	"Up"	"40"	"38"	"J"	"38"
"2-1"	"saha:za"	"74-C-20-4"	"74"	"C"	"20"	"4"	39	"Training"	3	7	"6A"	"C2"	"Up"	"40"	"38"	"J"	"38"
"2-1"	"sa:saha"	"94-C-20-2"	"94"	"C"	"20"	"2"	40	"Training"	3	8	"6A"	"C2"	"Right"	"37"	"39"	"J"	"39"
"2-1"	"vashava"	"102-J-10-4"	"102"	"J"	"10"	"4"	41	"Training"	3	9	"6A"	"C1"	"Right"	"37"	"39"	"J"	"37"
"2-1"	"va:fasha"	"44-J-10-3"	"44"	"J"	"10"	"3"	42	"Training"	3	10	"6A"	"C1"	"Up"	"40"	"38"	"J"	"40"
"2-1"	"sa:ha:ha"	"102-C-20-4"	"102"	"C"	"20"	"4"	43	"Training"	3	11	"6A"	"C2"	"Down"	"38"	"40"	"J"	"40"
"2-1"	"za:sa:ha"	"44-C-30-3"	"44"	"C"	"30"	"3"	44	"Training"	3	12	"6A"	"C2"	"Right"	"37"	"39"	"J"	"39"
