"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"3-3"	"za:sa:za"	"27-J-0-1"	"27"	"J"	"0"	"1"	1	"Training"	1	1	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"3-3"	"fa:sha:sha"	"44-C-30-3"	"44"	"C"	"30"	"3"	2	"Training"	1	2	"6B"	"C1"	"Right"	"37"	"39"	"C"	"37"
"3-3"	"fa:fava"	"85-C-20-2"	"85"	"C"	"20"	"2"	3	"Training"	1	3	"6B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"3-3"	"fafava"	"84-C-20-2"	"84"	"C"	"20"	"2"	4	"Training"	1	4	"6B"	"C1"	"Right"	"37"	"39"	"C"	"37"
"3-3"	"fafasha"	"87-C-20-4"	"87"	"C"	"20"	"4"	5	"Training"	1	5	"6B"	"C1"	"Left"	"39"	"37"	"C"	"39"
"3-3"	"fashava"	"27-C-30-1"	"27"	"C"	"30"	"1"	6	"Training"	1	6	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"3-3"	"vasha:va"	"128-C-30-3"	"128"	"C"	"30"	"3"	7	"Training"	1	7	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"3-3"	"sa:haza"	"128-J-10-3"	"128"	"J"	"10"	"3"	8	"Training"	1	8	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"3-3"	"zasaza"	"44-J-10-3"	"44"	"J"	"10"	"3"	9	"Training"	1	9	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"3-3"	"zahaha"	"86-J-0-1"	"86"	"J"	"0"	"1"	10	"Training"	1	10	"6B"	"C2"	"Down"	"38"	"40"	"C"	"40"
"3-3"	"sa:saza"	"7-J-10-4"	"7"	"J"	"10"	"4"	11	"Training"	1	11	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"3-3"	"sa:sa:ha"	"87-J-10-4"	"87"	"J"	"10"	"4"	12	"Training"	1	12	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"3-3"	"va:sha:va"	"86-C-30-1"	"86"	"C"	"30"	"1"	13	"Training"	1	13	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"3-3"	"fa:fa:va"	"7-C-20-4"	"7"	"C"	"20"	"4"	14	"Training"	1	14	"6B"	"C1"	"Left"	"39"	"37"	"C"	"39"
"3-3"	"zasa:ha"	"85-J-0-2"	"85"	"J"	"0"	"2"	15	"Training"	1	15	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"3-3"	"sahaza"	"84-J-0-2"	"84"	"J"	"0"	"2"	16	"Training"	1	16	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"3-3"	"vasha:va"	"128-C-30-3"	"128"	"C"	"30"	"3"	17	"Training"	2	1	"6B"	"C1"	"Left"	"39"	"37"	"C"	"39"
"3-3"	"zahaha"	"86-J-0-1"	"86"	"J"	"0"	"1"	18	"Training"	2	2	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"3-3"	"fafasha"	"87-C-20-4"	"87"	"C"	"20"	"4"	19	"Training"	2	3	"6B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"3-3"	"fashava"	"27-C-30-1"	"27"	"C"	"30"	"1"	20	"Training"	2	4	"6B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"3-3"	"sahaza"	"84-J-0-2"	"84"	"J"	"0"	"2"	21	"Training"	2	5	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"3-3"	"fa:fa:va"	"7-C-20-4"	"7"	"C"	"20"	"4"	22	"Training"	2	6	"6B"	"C1"	"Left"	"39"	"37"	"C"	"39"
"3-3"	"zasa:ha"	"85-J-0-2"	"85"	"J"	"0"	"2"	23	"Training"	2	7	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"3-3"	"fa:sha:sha"	"44-C-30-3"	"44"	"C"	"30"	"3"	24	"Training"	2	8	"6B"	"C1"	"Right"	"37"	"39"	"C"	"37"
"3-3"	"zasaza"	"44-J-10-3"	"44"	"J"	"10"	"3"	25	"Training"	2	9	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"3-3"	"sa:saza"	"7-J-10-4"	"7"	"J"	"10"	"4"	26	"Training"	2	10	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"3-3"	"za:sa:za"	"27-J-0-1"	"27"	"J"	"0"	"1"	27	"Training"	2	11	"6B"	"C2"	"Down"	"38"	"40"	"C"	"40"
"3-3"	"sa:sa:ha"	"87-J-10-4"	"87"	"J"	"10"	"4"	28	"Training"	2	12	"6B"	"C2"	"Down"	"38"	"40"	"C"	"40"
"3-3"	"va:sha:va"	"86-C-30-1"	"86"	"C"	"30"	"1"	29	"Training"	2	13	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"3-3"	"fafava"	"84-C-20-2"	"84"	"C"	"20"	"2"	30	"Training"	2	14	"6B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"3-3"	"fa:fava"	"85-C-20-2"	"85"	"C"	"20"	"2"	31	"Training"	2	15	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"3-3"	"sa:haza"	"128-J-10-3"	"128"	"J"	"10"	"3"	32	"Training"	2	16	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"3-3"	"sa:sa:ha"	"87-J-10-4"	"87"	"J"	"10"	"4"	33	"Training"	3	1	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"3-3"	"va:sha:va"	"86-C-30-1"	"86"	"C"	"30"	"1"	34	"Training"	3	2	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"3-3"	"za:sa:za"	"27-J-0-1"	"27"	"J"	"0"	"1"	35	"Training"	3	3	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"3-3"	"fa:fava"	"85-C-20-2"	"85"	"C"	"20"	"2"	36	"Training"	3	4	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"3-3"	"fafava"	"84-C-20-2"	"84"	"C"	"20"	"2"	37	"Training"	3	5	"6B"	"C1"	"Right"	"37"	"39"	"C"	"37"
"3-3"	"sa:saza"	"7-J-10-4"	"7"	"J"	"10"	"4"	38	"Training"	3	6	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"3-3"	"fa:sha:sha"	"44-C-30-3"	"44"	"C"	"30"	"3"	39	"Training"	3	7	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"3-3"	"zahaha"	"86-J-0-1"	"86"	"J"	"0"	"1"	40	"Training"	3	8	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"3-3"	"zasaza"	"44-J-10-3"	"44"	"J"	"10"	"3"	41	"Training"	3	9	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"3-3"	"zasa:ha"	"85-J-0-2"	"85"	"J"	"0"	"2"	42	"Training"	3	10	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"3-3"	"fafasha"	"87-C-20-4"	"87"	"C"	"20"	"4"	43	"Training"	3	11	"6B"	"C1"	"Right"	"37"	"39"	"C"	"37"
"3-3"	"vasha:va"	"128-C-30-3"	"128"	"C"	"30"	"3"	44	"Training"	3	12	"6B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"3-3"	"fashava"	"27-C-30-1"	"27"	"C"	"30"	"1"	45	"Training"	3	13	"6B"	"C1"	"Right"	"37"	"39"	"C"	"37"
"3-3"	"sa:haza"	"128-J-10-3"	"128"	"J"	"10"	"3"	46	"Training"	3	14	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"3-3"	"fa:fa:va"	"7-C-20-4"	"7"	"C"	"20"	"4"	47	"Training"	3	15	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"3-3"	"sahaza"	"84-J-0-2"	"84"	"J"	"0"	"2"	48	"Training"	3	16	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"3-3"	"fa:fava"	"85-C-20-2"	"85"	"C"	"20"	"2"	49	"Training"	4	1	"6B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"3-3"	"sa:saza"	"7-J-10-4"	"7"	"J"	"10"	"4"	50	"Training"	4	2	"6B"	"C2"	"Down"	"38"	"40"	"C"	"40"
"3-3"	"sa:haza"	"128-J-10-3"	"128"	"J"	"10"	"3"	51	"Training"	4	3	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"3-3"	"fafasha"	"87-C-20-4"	"87"	"C"	"20"	"4"	52	"Training"	4	4	"6B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"3-3"	"zasaza"	"44-J-10-3"	"44"	"J"	"10"	"3"	53	"Training"	4	5	"6B"	"C2"	"Down"	"38"	"40"	"C"	"40"
"3-3"	"za:sa:za"	"27-J-0-1"	"27"	"J"	"0"	"1"	54	"Training"	4	6	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"3-3"	"zasa:ha"	"85-J-0-2"	"85"	"J"	"0"	"2"	55	"Training"	4	7	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"3-3"	"fashava"	"27-C-30-1"	"27"	"C"	"30"	"1"	56	"Training"	4	8	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"3-3"	"sa:sa:ha"	"87-J-10-4"	"87"	"J"	"10"	"4"	57	"Training"	4	9	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"3-3"	"fafava"	"84-C-20-2"	"84"	"C"	"20"	"2"	58	"Training"	4	10	"6B"	"C1"	"Right"	"37"	"39"	"C"	"37"
"3-3"	"fa:sha:sha"	"44-C-30-3"	"44"	"C"	"30"	"3"	59	"Training"	4	11	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"3-3"	"fa:fa:va"	"7-C-20-4"	"7"	"C"	"20"	"4"	60	"Training"	4	12	"6B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"3-3"	"zahaha"	"86-J-0-1"	"86"	"J"	"0"	"1"	61	"Training"	4	13	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"3-3"	"vasha:va"	"128-C-30-3"	"128"	"C"	"30"	"3"	62	"Training"	4	14	"6B"	"C1"	"Left"	"39"	"37"	"C"	"39"
