"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"1-1"	"za:saza"	"87-J-10-4"	"87"	"J"	"10"	"4"	1	"Training"	1	1	"6B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"1-1"	"vashava"	"27-C-30-1"	"27"	"C"	"30"	"1"	2	"Training"	1	2	"6B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"1-1"	"fafa:va"	"94-C-20-2"	"94"	"C"	"20"	"2"	3	"Training"	1	3	"6B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"1-1"	"vafa:va"	"139-C-20-2"	"139"	"C"	"20"	"2"	4	"Training"	1	4	"6B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"1-1"	"va:fava"	"111-C-30-3"	"111"	"C"	"30"	"3"	5	"Training"	1	5	"6B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"1-1"	"sa:saza"	"111-J-10-3"	"111"	"J"	"10"	"3"	6	"Training"	1	6	"6B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"1-1"	"zahaza"	"44-J-10-3"	"44"	"J"	"10"	"3"	7	"Training"	1	7	"6B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"1-1"	"fafava"	"87-C-20-4"	"87"	"C"	"20"	"4"	8	"Training"	1	8	"6B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"1-1"	"vafa:sha"	"57-C-30-1"	"57"	"C"	"30"	"1"	9	"Training"	1	9	"6B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"1-1"	"sa:saha"	"74-J-10-4"	"74"	"J"	"10"	"4"	10	"Training"	1	10	"6B"	"C2"	"Up"	"40"	"38"	"J"	"40"
"1-1"	"va:sha:sha"	"44-C-30-3"	"44"	"C"	"30"	"3"	11	"Training"	1	11	"6B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"1-1"	"saha:ha"	"27-J-0-1"	"27"	"J"	"0"	"1"	12	"Training"	1	12	"6B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"1-1"	"zasa:za"	"139-J-0-2"	"139"	"J"	"0"	"2"	13	"Training"	1	13	"6B"	"C2"	"Up"	"40"	"38"	"J"	"40"
"1-1"	"sasa:za"	"57-J-0-1"	"57"	"J"	"0"	"1"	14	"Training"	1	14	"6B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"1-1"	"zahaha"	"94-J-0-2"	"94"	"J"	"0"	"2"	15	"Training"	1	15	"6B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"1-1"	"vasha:va"	"74-C-20-4"	"74"	"C"	"20"	"4"	16	"Training"	1	16	"6B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"1-1"	"zahaza"	"44-J-10-3"	"44"	"J"	"10"	"3"	17	"Training"	2	1	"6B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"1-1"	"zahaha"	"94-J-0-2"	"94"	"J"	"0"	"2"	18	"Training"	2	2	"6B"	"C2"	"Up"	"40"	"38"	"J"	"40"
"1-1"	"sa:saha"	"74-J-10-4"	"74"	"J"	"10"	"4"	19	"Training"	2	3	"6B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"1-1"	"fafa:va"	"94-C-20-2"	"94"	"C"	"20"	"2"	20	"Training"	2	4	"6B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"1-1"	"vasha:va"	"74-C-20-4"	"74"	"C"	"20"	"4"	21	"Training"	2	5	"6B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"1-1"	"va:sha:sha"	"44-C-30-3"	"44"	"C"	"30"	"3"	22	"Training"	2	6	"6B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"1-1"	"vashava"	"27-C-30-1"	"27"	"C"	"30"	"1"	23	"Training"	2	7	"6B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"1-1"	"vafa:sha"	"57-C-30-1"	"57"	"C"	"30"	"1"	24	"Training"	2	8	"6B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"1-1"	"fafava"	"87-C-20-4"	"87"	"C"	"20"	"4"	25	"Training"	2	9	"6B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"1-1"	"za:saza"	"87-J-10-4"	"87"	"J"	"10"	"4"	26	"Training"	2	10	"6B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"1-1"	"zasa:za"	"139-J-0-2"	"139"	"J"	"0"	"2"	27	"Training"	2	11	"6B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"1-1"	"sa:saza"	"111-J-10-3"	"111"	"J"	"10"	"3"	28	"Training"	2	12	"6B"	"C2"	"Up"	"40"	"38"	"J"	"40"
"1-1"	"sasa:za"	"57-J-0-1"	"57"	"J"	"0"	"1"	29	"Training"	2	13	"6B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"1-1"	"vafa:va"	"139-C-20-2"	"139"	"C"	"20"	"2"	30	"Training"	2	14	"6B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"1-1"	"va:fava"	"111-C-30-3"	"111"	"C"	"30"	"3"	31	"Training"	2	15	"6B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"1-1"	"saha:ha"	"27-J-0-1"	"27"	"J"	"0"	"1"	32	"Training"	2	16	"6B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"1-1"	"va:fava"	"111-C-30-3"	"111"	"C"	"30"	"3"	33	"Training"	3	1	"6B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"1-1"	"saha:ha"	"27-J-0-1"	"27"	"J"	"0"	"1"	34	"Training"	3	2	"6B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"1-1"	"vafa:va"	"139-C-20-2"	"139"	"C"	"20"	"2"	35	"Training"	3	3	"6B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"1-1"	"vashava"	"27-C-30-1"	"27"	"C"	"30"	"1"	36	"Training"	3	4	"6B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"1-1"	"sa:saza"	"111-J-10-3"	"111"	"J"	"10"	"3"	37	"Training"	3	5	"6B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"1-1"	"vasha:va"	"74-C-20-4"	"74"	"C"	"20"	"4"	38	"Training"	3	6	"6B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"1-1"	"sa:saha"	"74-J-10-4"	"74"	"J"	"10"	"4"	39	"Training"	3	7	"6B"	"C2"	"Down"	"38"	"40"	"J"	"38"
