"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"2-1"	"pa:kata"	"85-C-20-2"	"85"	"C"	"20"	"2"	1	"Training"	1	1	"7"	"P"	"Down"	"38"	"40"	"C"	"38"
"2-1"	"pakaka"	"86-J-0-1"	"86"	"J"	"0"	"1"	2	"Training"	1	2	"7"	"P"	"Up"	"40"	"38"	"C"	"38"
"2-1"	"ma:la:la"	"144-C-30-3"	"144"	"C"	"30"	"3"	3	"Training"	1	3	"7"	"S"	"Left"	"39"	"37"	"C"	"39"
"2-1"	"malala"	"7-C-20-4"	"7"	"C"	"20"	"4"	4	"Training"	1	4	"7"	"S"	"Right"	"37"	"39"	"C"	"37"
"2-1"	"takata"	"85-J-0-2"	"85"	"J"	"0"	"2"	5	"Training"	1	5	"7"	"P"	"Left"	"39"	"37"	"C"	"37"
"2-1"	"na:lala"	"7-J-10-4"	"7"	"J"	"10"	"4"	6	"Training"	1	6	"7"	"S"	"Right"	"37"	"39"	"C"	"39"
"2-1"	"nalala"	"144-J-10-3"	"144"	"J"	"10"	"3"	7	"Training"	1	7	"7"	"S"	"Down"	"38"	"40"	"C"	"40"
"2-1"	"namala"	"100-C-30-3"	"100"	"C"	"30"	"3"	8	"Training"	1	8	"7"	"S"	"Up"	"40"	"38"	"C"	"40"
"2-1"	"tapa:ta"	"94-C-20-2"	"94"	"C"	"20"	"2"	9	"Training"	1	9	"7"	"P"	"Left"	"39"	"37"	"C"	"39"
"2-1"	"papa:ta"	"86-C-30-1"	"86"	"C"	"30"	"1"	10	"Training"	1	10	"7"	"P"	"Right"	"37"	"39"	"C"	"37"
"2-1"	"tapaka"	"71-J-0-1"	"71"	"J"	"0"	"1"	11	"Training"	1	11	"7"	"P"	"Down"	"38"	"40"	"C"	"40"
