"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"1-1"	"nala:na"	"19-J-10-4"	"19"	"J"	"10"	"4"	1	"Training"	1	1	"7"	"S"	"Left"	"39"	"37"	"J"	"39"
"1-1"	"na:la:la"	"87-J-10-4"	"87"	"J"	"10"	"4"	2	"Training"	1	2	"7"	"S"	"Left"	"39"	"37"	"J"	"39"
"1-1"	"na:ma:na"	"87-C-20-4"	"87"	"C"	"20"	"4"	3	"Training"	1	3	"7"	"S"	"Right"	"37"	"39"	"J"	"39"
"1-1"	"mala:na"	"144-J-10-3"	"144"	"J"	"10"	"3"	4	"Training"	1	4	"7"	"S"	"Left"	"39"	"37"	"J"	"39"
"1-1"	"ta:pa:ta"	"85-C-20-2"	"85"	"C"	"20"	"2"	5	"Training"	1	5	"7"	"P"	"Right"	"37"	"39"	"J"	"39"
"1-1"	"tapa:ta"	"118-J-0-2"	"118"	"J"	"0"	"2"	6	"Training"	1	6	"7"	"P"	"Right"	"37"	"39"	"J"	"37"
"1-1"	"ta:ka:ka"	"118-C-20-2"	"118"	"C"	"20"	"2"	7	"Training"	1	7	"7"	"P"	"Down"	"38"	"40"	"J"	"40"
"1-1"	"pa:ka:ta"	"57-J-0-1"	"57"	"J"	"0"	"1"	8	"Training"	1	8	"7"	"P"	"Down"	"38"	"40"	"J"	"38"
"1-1"	"taka:ka"	"57-C-30-1"	"57"	"C"	"30"	"1"	9	"Training"	1	9	"7"	"P"	"Up"	"40"	"38"	"J"	"38"
"1-1"	"paka:ka"	"85-J-0-2"	"85"	"J"	"0"	"2"	10	"Training"	1	10	"7"	"P"	"Right"	"37"	"39"	"J"	"37"
"1-1"	"nala:la"	"144-C-30-3"	"144"	"C"	"30"	"3"	11	"Training"	1	11	"7"	"S"	"Up"	"40"	"38"	"J"	"38"
"1-1"	"pakaka"	"93-C-30-1"	"93"	"C"	"30"	"1"	12	"Training"	1	12	"7"	"P"	"Up"	"40"	"38"	"J"	"38"
"1-1"	"ma:mala"	"19-C-20-4"	"19"	"C"	"20"	"4"	13	"Training"	1	13	"7"	"S"	"Down"	"38"	"40"	"J"	"40"
"1-1"	"taka:ta"	"93-J-0-1"	"93"	"J"	"0"	"1"	14	"Training"	1	14	"7"	"P"	"Down"	"38"	"40"	"J"	"38"
"1-1"	"na:lana"	"100-J-10-3"	"100"	"J"	"10"	"3"	15	"Training"	1	15	"7"	"S"	"Up"	"40"	"38"	"J"	"40"
"1-1"	"na:lala"	"100-C-30-3"	"100"	"C"	"30"	"3"	16	"Training"	1	16	"7"	"S"	"Left"	"39"	"37"	"J"	"37"
"1-1"	"taka:ta"	"93-J-0-1"	"93"	"J"	"0"	"1"	17	"Training"	2	1	"7"	"P"	"Up"	"40"	"38"	"J"	"40"
"1-1"	"na:lana"	"100-J-10-3"	"100"	"J"	"10"	"3"	18	"Training"	2	2	"7"	"S"	"Right"	"37"	"39"	"J"	"37"
"1-1"	"pakaka"	"93-C-30-1"	"93"	"C"	"30"	"1"	19	"Training"	2	3	"7"	"P"	"Right"	"37"	"39"	"J"	"39"
"1-1"	"ta:ka:ka"	"118-C-20-2"	"118"	"C"	"20"	"2"	20	"Training"	2	4	"7"	"P"	"Down"	"38"	"40"	"J"	"40"
"1-1"	"ma:mala"	"19-C-20-4"	"19"	"C"	"20"	"4"	21	"Training"	2	5	"7"	"S"	"Down"	"38"	"40"	"J"	"40"
"1-1"	"na:ma:na"	"87-C-20-4"	"87"	"C"	"20"	"4"	22	"Training"	2	6	"7"	"S"	"Up"	"40"	"38"	"J"	"38"
"1-1"	"paka:ka"	"85-J-0-2"	"85"	"J"	"0"	"2"	23	"Training"	2	7	"7"	"P"	"Left"	"39"	"37"	"J"	"39"
"1-1"	"ta:pa:ta"	"85-C-20-2"	"85"	"C"	"20"	"2"	24	"Training"	2	8	"7"	"P"	"Left"	"39"	"37"	"J"	"37"
"1-1"	"pa:ka:ta"	"57-J-0-1"	"57"	"J"	"0"	"1"	25	"Training"	2	9	"7"	"P"	"Up"	"40"	"38"	"J"	"40"
"1-1"	"nala:na"	"19-J-10-4"	"19"	"J"	"10"	"4"	26	"Training"	2	10	"7"	"S"	"Right"	"37"	"39"	"J"	"37"
"1-1"	"taka:ka"	"57-C-30-1"	"57"	"C"	"30"	"1"	27	"Training"	2	11	"7"	"P"	"Left"	"39"	"37"	"J"	"37"
"1-1"	"nala:la"	"144-C-30-3"	"144"	"C"	"30"	"3"	28	"Training"	2	12	"7"	"S"	"Right"	"37"	"39"	"J"	"39"
"1-1"	"na:lala"	"100-C-30-3"	"100"	"C"	"30"	"3"	29	"Training"	2	13	"7"	"S"	"Down"	"38"	"40"	"J"	"40"
"1-1"	"mala:na"	"144-J-10-3"	"144"	"J"	"10"	"3"	30	"Training"	2	14	"7"	"S"	"Up"	"40"	"38"	"J"	"40"
"1-1"	"tapa:ta"	"118-J-0-2"	"118"	"J"	"0"	"2"	31	"Training"	2	15	"7"	"P"	"Left"	"39"	"37"	"J"	"39"
"1-1"	"na:la:la"	"87-J-10-4"	"87"	"J"	"10"	"4"	32	"Training"	2	16	"7"	"S"	"Down"	"38"	"40"	"J"	"38"
