"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"1-1"	"nama:na"	"7-J-10-4"	"7"	"J"	"10"	"4"	1	"Training"	1	1	"2"	"S"	"Up"	"40"	"38"	"C"	"38"
"1-1"	"pa:kaka"	"100-C-30-3"	"100"	"C"	"30"	"3"	2	"Training"	1	2	"2"	"P"	"Left"	"39"	"37"	"C"	"39"
"1-1"	"nama:na"	"94-J-0-2"	"94"	"J"	"0"	"2"	3	"Training"	1	3	"2"	"S"	"Right"	"37"	"39"	"C"	"39"
"1-1"	"pa:kaka"	"74-C-20-4"	"74"	"C"	"20"	"4"	4	"Training"	1	4	"2"	"P"	"Left"	"39"	"37"	"C"	"39"
"1-1"	"nama:na"	"100-J-10-3"	"100"	"J"	"10"	"3"	5	"Training"	1	5	"2"	"S"	"Down"	"38"	"40"	"C"	"40"
"1-1"	"pa:kaka"	"94-C-20-2"	"94"	"C"	"20"	"2"	6	"Training"	1	6	"2"	"P"	"Down"	"38"	"40"	"C"	"38"
"1-1"	"pa:kaka"	"84-C-20-2"	"84"	"C"	"20"	"2"	7	"Training"	1	7	"2"	"P"	"Right"	"37"	"39"	"C"	"37"
"1-1"	"nama:na"	"57-J-0-1"	"57"	"J"	"0"	"1"	8	"Training"	1	8	"2"	"S"	"Left"	"39"	"37"	"C"	"37"
"1-1"	"pa:kaka"	"86-C-30-1"	"86"	"C"	"30"	"1"	9	"Training"	1	9	"2"	"P"	"Up"	"40"	"38"	"C"	"40"
"1-1"	"pa:kaka"	"57-C-30-1"	"57"	"C"	"30"	"1"	10	"Training"	1	10	"2"	"P"	"Up"	"40"	"38"	"C"	"40"
"1-1"	"nama:na"	"84-J-0-2"	"84"	"J"	"0"	"2"	11	"Training"	1	11	"2"	"S"	"Right"	"37"	"39"	"C"	"39"
"1-1"	"pa:kaka"	"7-C-20-4"	"7"	"C"	"20"	"4"	12	"Training"	1	12	"2"	"P"	"Left"	"39"	"37"	"C"	"39"
"1-1"	"pa:kaka"	"144-C-30-3"	"144"	"C"	"30"	"3"	13	"Training"	1	13	"2"	"P"	"Down"	"38"	"40"	"C"	"38"
"1-1"	"nama:na"	"144-J-10-3"	"144"	"J"	"10"	"3"	14	"Training"	1	14	"2"	"S"	"Down"	"38"	"40"	"C"	"40"
"1-1"	"nama:na"	"86-J-0-1"	"86"	"J"	"0"	"1"	15	"Training"	1	15	"2"	"S"	"Up"	"40"	"38"	"C"	"38"
"1-1"	"nama:na"	"74-J-10-4"	"74"	"J"	"10"	"4"	16	"Training"	1	16	"2"	"S"	"Right"	"37"	"39"	"C"	"39"
"1-1"	"pa:kaka"	"84-C-20-2"	"84"	"C"	"20"	"2"	17	"Training"	2	1	"2"	"P"	"Up"	"40"	"38"	"C"	"40"
"1-1"	"pa:kaka"	"144-C-30-3"	"144"	"C"	"30"	"3"	18	"Training"	2	2	"2"	"P"	"Right"	"37"	"39"	"C"	"37"
"1-1"	"nama:na"	"57-J-0-1"	"57"	"J"	"0"	"1"	19	"Training"	2	3	"2"	"S"	"Down"	"38"	"40"	"C"	"40"
"1-1"	"nama:na"	"144-J-10-3"	"144"	"J"	"10"	"3"	20	"Training"	2	4	"2"	"S"	"Left"	"39"	"37"	"C"	"37"
"1-1"	"pa:kaka"	"86-C-30-1"	"86"	"C"	"30"	"1"	21	"Training"	2	5	"2"	"P"	"Up"	"40"	"38"	"C"	"40"
"1-1"	"pa:kaka"	"74-C-20-4"	"74"	"C"	"20"	"4"	22	"Training"	2	6	"2"	"P"	"Right"	"37"	"39"	"C"	"37"
"1-1"	"pa:kaka"	"57-C-30-1"	"57"	"C"	"30"	"1"	23	"Training"	2	7	"2"	"P"	"Down"	"38"	"40"	"C"	"38"
