"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"2-3"	"sahaza"	"144-C-30-3"	"144"	"C"	"30"	"3"	1	"Training"	1	1	"3A"	"C2"	"Left"	"39"	"37"	"J"	"37"
"2-3"	"vasha:va"	"144-J-10-3"	"144"	"J"	"10"	"3"	2	"Training"	1	2	"3A"	"C1"	"Up"	"40"	"38"	"J"	"40"
"2-3"	"vasha:va"	"86-J-0-1"	"86"	"J"	"0"	"1"	3	"Training"	1	3	"3A"	"C1"	"Down"	"38"	"40"	"J"	"38"
"2-3"	"vasha:va"	"100-J-10-3"	"100"	"J"	"10"	"3"	4	"Training"	1	4	"3A"	"C1"	"Down"	"38"	"40"	"J"	"38"
"2-3"	"vasha:va"	"94-J-0-2"	"94"	"J"	"0"	"2"	5	"Training"	1	5	"3A"	"C1"	"Left"	"39"	"37"	"J"	"39"
"2-3"	"sahaza"	"94-C-20-2"	"94"	"C"	"20"	"2"	6	"Training"	1	6	"3A"	"C2"	"Up"	"40"	"38"	"J"	"38"
"2-3"	"vasha:va"	"118-J-0-2"	"118"	"J"	"0"	"2"	7	"Training"	1	7	"3A"	"C1"	"Up"	"40"	"38"	"J"	"40"
"2-3"	"vasha:va"	"57-J-0-1"	"57"	"J"	"0"	"1"	8	"Training"	1	8	"3A"	"C1"	"Right"	"37"	"39"	"J"	"37"
"2-3"	"sahaza"	"7-C-20-4"	"7"	"C"	"20"	"4"	9	"Training"	1	9	"3A"	"C2"	"Right"	"37"	"39"	"J"	"39"
"2-3"	"sahaza"	"86-C-30-1"	"86"	"C"	"30"	"1"	10	"Training"	1	10	"3A"	"C2"	"Up"	"40"	"38"	"J"	"38"
"2-3"	"sahaza"	"57-C-30-1"	"57"	"C"	"30"	"1"	11	"Training"	1	11	"3A"	"C2"	"Down"	"38"	"40"	"J"	"40"
"2-3"	"sahaza"	"100-C-30-3"	"100"	"C"	"30"	"3"	12	"Training"	1	12	"3A"	"C2"	"Right"	"37"	"39"	"J"	"39"
"2-3"	"sahaza"	"118-C-20-2"	"118"	"C"	"20"	"2"	13	"Training"	1	13	"3A"	"C2"	"Down"	"38"	"40"	"J"	"40"
"2-3"	"sahaza"	"74-C-20-4"	"74"	"C"	"20"	"4"	14	"Training"	1	14	"3A"	"C2"	"Left"	"39"	"37"	"J"	"37"
