"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"2-1"	"fashava"	"85-C-20-2"	"85"	"C"	"20"	"2"	1	"Training"	1	1	"3B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"2-1"	"za:saha"	"144-J-10-3"	"144"	"J"	"10"	"3"	2	"Training"	1	2	"3B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"2-1"	"fashava"	"111-C-30-3"	"111"	"C"	"30"	"3"	3	"Training"	1	3	"3B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"2-1"	"za:saha"	"111-J-10-3"	"111"	"J"	"10"	"3"	4	"Training"	1	4	"3B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"2-1"	"za:saha"	"19-J-10-4"	"19"	"J"	"10"	"4"	5	"Training"	1	5	"3B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"2-1"	"fashava"	"84-C-20-2"	"84"	"C"	"20"	"2"	6	"Training"	1	6	"3B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"2-1"	"fashava"	"19-C-20-4"	"19"	"C"	"20"	"4"	7	"Training"	1	7	"3B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"2-1"	"za:saha"	"71-J-0-1"	"71"	"J"	"0"	"1"	8	"Training"	1	8	"3B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"2-1"	"za:saha"	"93-J-0-1"	"93"	"J"	"0"	"1"	9	"Training"	1	9	"3B"	"C2"	"Up"	"40"	"38"	"J"	"40"
"2-1"	"fashava"	"71-C-30-1"	"71"	"C"	"30"	"1"	10	"Training"	1	10	"3B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"2-1"	"fashava"	"93-C-30-1"	"93"	"C"	"30"	"1"	11	"Training"	1	11	"3B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"2-1"	"fashava"	"7-C-20-4"	"7"	"C"	"20"	"4"	12	"Training"	1	12	"3B"	"C1"	"Left"	"39"	"37"	"J"	"37"
