"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"1-3"	"za:saha"	"102-C-20-4"	"102"	"C"	"20"	"4"	1	"Training"	1	1	"6A"	"C2"	"Right"	"37"	"39"	"C"	"37"
"1-3"	"zasa:za"	"128-C-30-3"	"128"	"C"	"30"	"3"	2	"Training"	1	2	"6A"	"C2"	"Right"	"37"	"39"	"C"	"37"
"1-3"	"zasaha"	"57-C-30-1"	"57"	"C"	"30"	"1"	3	"Training"	1	3	"6A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"1-3"	"sa:saza"	"44-C-30-3"	"44"	"C"	"30"	"3"	4	"Training"	1	4	"6A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"1-3"	"sa:sa:ha"	"118-C-20-2"	"118"	"C"	"20"	"2"	5	"Training"	1	5	"6A"	"C2"	"Up"	"40"	"38"	"C"	"40"
"1-3"	"fasha:va"	"118-J-0-2"	"118"	"J"	"0"	"2"	6	"Training"	1	6	"6A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"1-3"	"vafa:va"	"85-J-0-2"	"85"	"J"	"0"	"2"	7	"Training"	1	7	"6A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"1-3"	"va:sha:va"	"57-J-0-1"	"57"	"J"	"0"	"1"	8	"Training"	1	8	"6A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"1-3"	"va:fasha"	"44-J-10-3"	"44"	"J"	"10"	"3"	9	"Training"	1	9	"6A"	"C1"	"Down"	"38"	"40"	"C"	"40"
"1-3"	"fa:shava"	"19-J-10-4"	"19"	"J"	"10"	"4"	10	"Training"	1	10	"6A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"1-3"	"sa:saha"	"85-C-20-2"	"85"	"C"	"20"	"2"	11	"Training"	1	11	"6A"	"C2"	"Right"	"37"	"39"	"C"	"37"
"1-3"	"fa:fasha"	"102-J-10-4"	"102"	"J"	"10"	"4"	12	"Training"	1	12	"6A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"1-3"	"zahaza"	"19-C-20-4"	"19"	"C"	"20"	"4"	13	"Training"	1	13	"6A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"1-3"	"va:shasha"	"27-J-0-1"	"27"	"J"	"0"	"1"	14	"Training"	1	14	"6A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"1-3"	"va:fa:sha"	"128-J-10-3"	"128"	"J"	"10"	"3"	15	"Training"	1	15	"6A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"1-3"	"sasa:za"	"27-C-30-1"	"27"	"C"	"30"	"1"	16	"Training"	1	16	"6A"	"C2"	"Down"	"38"	"40"	"C"	"38"
