"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"3-5"	"None"	"139-J-0-2"	"139"	"J"	"0"	"2"	1	"Training"	1	1	"10"	"N"	"Right"	"37"	"39"	"C"	"39"
"3-5"	"None"	"100-C-30-3"	"100"	"C"	"30"	"3"	2	"Training"	1	2	"10"	"N"	"Left"	"39"	"37"	"C"	"39"
"3-5"	"None"	"57-J-0-1"	"57"	"J"	"0"	"1"	3	"Training"	1	3	"10"	"N"	"Up"	"40"	"38"	"C"	"38"
"3-5"	"None"	"100-J-10-3"	"100"	"J"	"10"	"3"	4	"Training"	1	4	"10"	"N"	"Left"	"39"	"37"	"C"	"37"
"3-5"	"None"	"102-J-10-4"	"102"	"J"	"10"	"4"	5	"Training"	1	5	"10"	"N"	"Left"	"39"	"37"	"C"	"37"
"3-5"	"None"	"44-J-10-3"	"44"	"J"	"10"	"3"	6	"Training"	1	6	"10"	"N"	"Right"	"37"	"39"	"C"	"39"
"3-5"	"None"	"44-C-30-3"	"44"	"C"	"30"	"3"	7	"Training"	1	7	"10"	"N"	"Up"	"40"	"38"	"C"	"40"
"3-5"	"None"	"57-C-30-1"	"57"	"C"	"30"	"1"	8	"Training"	1	8	"10"	"N"	"Down"	"38"	"40"	"C"	"38"
"3-5"	"None"	"87-J-10-4"	"87"	"J"	"10"	"4"	9	"Training"	1	9	"10"	"N"	"Right"	"37"	"39"	"C"	"39"
"3-5"	"None"	"87-C-20-4"	"87"	"C"	"20"	"4"	10	"Training"	1	10	"10"	"N"	"Right"	"37"	"39"	"C"	"37"
"3-5"	"None"	"27-C-30-1"	"27"	"C"	"30"	"1"	11	"Training"	1	11	"10"	"N"	"Left"	"39"	"37"	"C"	"39"
"3-5"	"None"	"102-C-20-4"	"102"	"C"	"20"	"4"	12	"Training"	1	12	"10"	"N"	"Down"	"38"	"40"	"C"	"38"
"3-5"	"None"	"139-C-20-2"	"139"	"C"	"20"	"2"	13	"Training"	1	13	"10"	"N"	"Up"	"40"	"38"	"C"	"40"
"3-5"	"None"	"84-J-0-2"	"84"	"J"	"0"	"2"	14	"Training"	1	14	"10"	"N"	"Down"	"38"	"40"	"C"	"40"
"3-5"	"None"	"27-J-0-1"	"27"	"J"	"0"	"1"	15	"Training"	1	15	"10"	"N"	"Down"	"38"	"40"	"C"	"40"
"3-5"	"None"	"84-C-20-2"	"84"	"C"	"20"	"2"	16	"Training"	1	16	"10"	"N"	"Up"	"40"	"38"	"C"	"40"
"3-5"	"None"	"102-J-10-4"	"102"	"J"	"10"	"4"	17	"Training"	2	1	"10"	"N"	"Right"	"37"	"39"	"C"	"39"
"3-5"	"None"	"84-C-20-2"	"84"	"C"	"20"	"2"	18	"Training"	2	2	"10"	"N"	"Up"	"40"	"38"	"C"	"40"
"3-5"	"None"	"44-C-30-3"	"44"	"C"	"30"	"3"	19	"Training"	2	3	"10"	"N"	"Right"	"37"	"39"	"C"	"37"
"3-5"	"None"	"27-J-0-1"	"27"	"J"	"0"	"1"	20	"Training"	2	4	"10"	"N"	"Right"	"37"	"39"	"C"	"39"
"3-5"	"None"	"27-C-30-1"	"27"	"C"	"30"	"1"	21	"Training"	2	5	"10"	"N"	"Down"	"38"	"40"	"C"	"38"
"3-5"	"None"	"139-J-0-2"	"139"	"J"	"0"	"2"	22	"Training"	2	6	"10"	"N"	"Down"	"38"	"40"	"C"	"40"
"3-5"	"None"	"57-C-30-1"	"57"	"C"	"30"	"1"	23	"Training"	2	7	"10"	"N"	"Left"	"39"	"37"	"C"	"39"
"3-5"	"None"	"139-C-20-2"	"139"	"C"	"20"	"2"	24	"Training"	2	8	"10"	"N"	"Right"	"37"	"39"	"C"	"37"
"3-5"	"None"	"100-J-10-3"	"100"	"J"	"10"	"3"	25	"Training"	2	9	"10"	"N"	"Up"	"40"	"38"	"C"	"38"
"3-5"	"None"	"100-C-30-3"	"100"	"C"	"30"	"3"	26	"Training"	2	10	"10"	"N"	"Down"	"38"	"40"	"C"	"38"
"3-5"	"None"	"57-J-0-1"	"57"	"J"	"0"	"1"	27	"Training"	2	11	"10"	"N"	"Up"	"40"	"38"	"C"	"38"
"3-5"	"None"	"84-J-0-2"	"84"	"J"	"0"	"2"	28	"Training"	2	12	"10"	"N"	"Down"	"38"	"40"	"C"	"40"
"3-5"	"None"	"102-C-20-4"	"102"	"C"	"20"	"4"	29	"Training"	2	13	"10"	"N"	"Up"	"40"	"38"	"C"	"40"
"3-5"	"None"	"87-C-20-4"	"87"	"C"	"20"	"4"	30	"Training"	2	14	"10"	"N"	"Left"	"39"	"37"	"C"	"39"
"3-5"	"None"	"87-J-10-4"	"87"	"J"	"10"	"4"	31	"Training"	2	15	"10"	"N"	"Left"	"39"	"37"	"C"	"37"
"3-5"	"None"	"44-J-10-3"	"44"	"J"	"10"	"3"	32	"Training"	2	16	"10"	"N"	"Left"	"39"	"37"	"C"	"37"
"3-5"	"None"	"44-J-10-3"	"44"	"J"	"10"	"3"	33	"Training"	3	1	"10"	"N"	"Left"	"39"	"37"	"C"	"37"
"3-5"	"None"	"87-J-10-4"	"87"	"J"	"10"	"4"	34	"Training"	3	2	"10"	"N"	"Right"	"37"	"39"	"C"	"39"
"3-5"	"None"	"100-J-10-3"	"100"	"J"	"10"	"3"	35	"Training"	3	3	"10"	"N"	"Right"	"37"	"39"	"C"	"39"
"3-5"	"None"	"102-J-10-4"	"102"	"J"	"10"	"4"	36	"Training"	3	4	"10"	"N"	"Up"	"40"	"38"	"C"	"38"
"3-5"	"None"	"57-C-30-1"	"57"	"C"	"30"	"1"	37	"Training"	3	5	"10"	"N"	"Down"	"38"	"40"	"C"	"38"
"3-5"	"None"	"100-C-30-3"	"100"	"C"	"30"	"3"	38	"Training"	3	6	"10"	"N"	"Right"	"37"	"39"	"C"	"37"
"3-5"	"None"	"87-C-20-4"	"87"	"C"	"20"	"4"	39	"Training"	3	7	"10"	"N"	"Left"	"39"	"37"	"C"	"39"
"3-5"	"None"	"27-J-0-1"	"27"	"J"	"0"	"1"	40	"Training"	3	8	"10"	"N"	"Up"	"40"	"38"	"C"	"38"
"3-5"	"None"	"84-J-0-2"	"84"	"J"	"0"	"2"	41	"Training"	3	9	"10"	"N"	"Left"	"39"	"37"	"C"	"37"
"3-5"	"None"	"84-C-20-2"	"84"	"C"	"20"	"2"	42	"Training"	3	10	"10"	"N"	"Down"	"38"	"40"	"C"	"38"
"3-5"	"None"	"139-C-20-2"	"139"	"C"	"20"	"2"	43	"Training"	3	11	"10"	"N"	"Left"	"39"	"37"	"C"	"39"
"3-5"	"None"	"102-C-20-4"	"102"	"C"	"20"	"4"	44	"Training"	3	12	"10"	"N"	"Right"	"37"	"39"	"C"	"37"
"3-5"	"None"	"139-J-0-2"	"139"	"J"	"0"	"2"	45	"Training"	3	13	"10"	"N"	"Up"	"40"	"38"	"C"	"38"
"3-5"	"None"	"27-C-30-1"	"27"	"C"	"30"	"1"	46	"Training"	3	14	"10"	"N"	"Down"	"38"	"40"	"C"	"38"
"3-5"	"None"	"57-J-0-1"	"57"	"J"	"0"	"1"	47	"Training"	3	15	"10"	"N"	"Up"	"40"	"38"	"C"	"38"
"3-5"	"None"	"44-C-30-3"	"44"	"C"	"30"	"3"	48	"Training"	3	16	"10"	"N"	"Down"	"38"	"40"	"C"	"38"
"3-5"	"None"	"139-J-0-2"	"139"	"J"	"0"	"2"	49	"Training"	4	1	"10"	"N"	"Down"	"38"	"40"	"C"	"40"
"3-5"	"None"	"57-C-30-1"	"57"	"C"	"30"	"1"	50	"Training"	4	2	"10"	"N"	"Up"	"40"	"38"	"C"	"40"
"3-5"	"None"	"102-C-20-4"	"102"	"C"	"20"	"4"	51	"Training"	4	3	"10"	"N"	"Down"	"38"	"40"	"C"	"38"
"3-5"	"None"	"102-J-10-4"	"102"	"J"	"10"	"4"	52	"Training"	4	4	"10"	"N"	"Right"	"37"	"39"	"C"	"39"
