"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"2-1"	"saha:ha"	"144-C-30-3"	"144"	"C"	"30"	"3"	1	"Training"	1	1	"3A"	"C2"	"Right"	"37"	"39"	"C"	"37"
"2-1"	"saha:ha"	"118-C-20-2"	"118"	"C"	"20"	"2"	2	"Training"	1	2	"3A"	"C2"	"Right"	"37"	"39"	"C"	"37"
"2-1"	"fasha:sha"	"86-J-0-1"	"86"	"J"	"0"	"1"	3	"Training"	1	3	"3A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"2-1"	"fasha:sha"	"71-J-0-1"	"71"	"J"	"0"	"1"	4	"Training"	1	4	"3A"	"C1"	"Down"	"38"	"40"	"C"	"40"
"2-1"	"saha:ha"	"128-C-30-3"	"128"	"C"	"30"	"3"	5	"Training"	1	5	"3A"	"C2"	"Up"	"40"	"38"	"C"	"40"
"2-1"	"fasha:sha"	"74-J-10-4"	"74"	"J"	"10"	"4"	6	"Training"	1	6	"3A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"2-1"	"saha:ha"	"87-C-20-4"	"87"	"C"	"20"	"4"	7	"Training"	1	7	"3A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"2-1"	"fasha:sha"	"128-J-10-3"	"128"	"J"	"10"	"3"	8	"Training"	1	8	"3A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"2-1"	"saha:ha"	"74-C-20-4"	"74"	"C"	"20"	"4"	9	"Training"	1	9	"3A"	"C2"	"Right"	"37"	"39"	"C"	"37"
"2-1"	"saha:ha"	"71-C-30-1"	"71"	"C"	"30"	"1"	10	"Training"	1	10	"3A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"2-1"	"fasha:sha"	"144-J-10-3"	"144"	"J"	"10"	"3"	11	"Training"	1	11	"3A"	"C1"	"Down"	"38"	"40"	"C"	"40"
"2-1"	"saha:ha"	"94-C-20-2"	"94"	"C"	"20"	"2"	12	"Training"	1	12	"3A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"2-1"	"saha:ha"	"86-C-30-1"	"86"	"C"	"30"	"1"	13	"Training"	1	13	"3A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"2-1"	"fasha:sha"	"118-J-0-2"	"118"	"J"	"0"	"2"	14	"Training"	1	14	"3A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"2-1"	"fasha:sha"	"87-J-10-4"	"87"	"J"	"10"	"4"	15	"Training"	1	15	"3A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"2-1"	"fasha:sha"	"94-J-0-2"	"94"	"J"	"0"	"2"	16	"Training"	1	16	"3A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"2-1"	"saha:ha"	"74-C-20-4"	"74"	"C"	"20"	"4"	17	"Training"	2	1	"3A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"2-1"	"fasha:sha"	"74-J-10-4"	"74"	"J"	"10"	"4"	18	"Training"	2	2	"3A"	"C1"	"Down"	"38"	"40"	"C"	"40"
"2-1"	"fasha:sha"	"86-J-0-1"	"86"	"J"	"0"	"1"	19	"Training"	2	3	"3A"	"C1"	"Down"	"38"	"40"	"C"	"40"
"2-1"	"saha:ha"	"118-C-20-2"	"118"	"C"	"20"	"2"	20	"Training"	2	4	"3A"	"C2"	"Right"	"37"	"39"	"C"	"37"
"2-1"	"saha:ha"	"87-C-20-4"	"87"	"C"	"20"	"4"	21	"Training"	2	5	"3A"	"C2"	"Right"	"37"	"39"	"C"	"37"
"2-1"	"fasha:sha"	"144-J-10-3"	"144"	"J"	"10"	"3"	22	"Training"	2	6	"3A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"2-1"	"saha:ha"	"128-C-30-3"	"128"	"C"	"30"	"3"	23	"Training"	2	7	"3A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"2-1"	"fasha:sha"	"128-J-10-3"	"128"	"J"	"10"	"3"	24	"Training"	2	8	"3A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"2-1"	"fasha:sha"	"94-J-0-2"	"94"	"J"	"0"	"2"	25	"Training"	2	9	"3A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"2-1"	"fasha:sha"	"71-J-0-1"	"71"	"J"	"0"	"1"	26	"Training"	2	10	"3A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"2-1"	"saha:ha"	"86-C-30-1"	"86"	"C"	"30"	"1"	27	"Training"	2	11	"3A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"2-1"	"fasha:sha"	"118-J-0-2"	"118"	"J"	"0"	"2"	28	"Training"	2	12	"3A"	"C1"	"Down"	"38"	"40"	"C"	"40"
"2-1"	"saha:ha"	"144-C-30-3"	"144"	"C"	"30"	"3"	29	"Training"	2	13	"3A"	"C2"	"Up"	"40"	"38"	"C"	"40"
"2-1"	"fasha:sha"	"87-J-10-4"	"87"	"J"	"10"	"4"	30	"Training"	2	14	"3A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"2-1"	"saha:ha"	"71-C-30-1"	"71"	"C"	"30"	"1"	31	"Training"	2	15	"3A"	"C2"	"Up"	"40"	"38"	"C"	"40"
"2-1"	"saha:ha"	"94-C-20-2"	"94"	"C"	"20"	"2"	32	"Training"	2	16	"3A"	"C2"	"Up"	"40"	"38"	"C"	"40"
"2-1"	"fasha:sha"	"118-J-0-2"	"118"	"J"	"0"	"2"	33	"Training"	3	1	"3A"	"C1"	"Down"	"38"	"40"	"C"	"40"
"2-1"	"saha:ha"	"94-C-20-2"	"94"	"C"	"20"	"2"	34	"Training"	3	2	"3A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"2-1"	"fasha:sha"	"94-J-0-2"	"94"	"J"	"0"	"2"	35	"Training"	3	3	"3A"	"C1"	"Down"	"38"	"40"	"C"	"40"
"2-1"	"saha:ha"	"144-C-30-3"	"144"	"C"	"30"	"3"	36	"Training"	3	4	"3A"	"C2"	"Right"	"37"	"39"	"C"	"37"
"2-1"	"fasha:sha"	"128-J-10-3"	"128"	"J"	"10"	"3"	37	"Training"	3	5	"3A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"2-1"	"fasha:sha"	"144-J-10-3"	"144"	"J"	"10"	"3"	38	"Training"	3	6	"3A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"2-1"	"saha:ha"	"74-C-20-4"	"74"	"C"	"20"	"4"	39	"Training"	3	7	"3A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"2-1"	"saha:ha"	"87-C-20-4"	"87"	"C"	"20"	"4"	40	"Training"	3	8	"3A"	"C2"	"Up"	"40"	"38"	"C"	"40"
"2-1"	"fasha:sha"	"87-J-10-4"	"87"	"J"	"10"	"4"	41	"Training"	3	9	"3A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"2-1"	"saha:ha"	"86-C-30-1"	"86"	"C"	"30"	"1"	42	"Training"	3	10	"3A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"2-1"	"fasha:sha"	"71-J-0-1"	"71"	"J"	"0"	"1"	43	"Training"	3	11	"3A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"2-1"	"fasha:sha"	"86-J-0-1"	"86"	"J"	"0"	"1"	44	"Training"	3	12	"3A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"2-1"	"saha:ha"	"71-C-30-1"	"71"	"C"	"30"	"1"	45	"Training"	3	13	"3A"	"C2"	"Up"	"40"	"38"	"C"	"40"
"2-1"	"saha:ha"	"118-C-20-2"	"118"	"C"	"20"	"2"	46	"Training"	3	14	"3A"	"C2"	"Right"	"37"	"39"	"C"	"37"
"2-1"	"fasha:sha"	"74-J-10-4"	"74"	"J"	"10"	"4"	47	"Training"	3	15	"3A"	"C1"	"Down"	"38"	"40"	"C"	"40"
"2-1"	"saha:ha"	"128-C-30-3"	"128"	"C"	"30"	"3"	48	"Training"	3	16	"3A"	"C2"	"Right"	"37"	"39"	"C"	"37"
"2-1"	"fasha:sha"	"144-J-10-3"	"144"	"J"	"10"	"3"	49	"Training"	4	1	"3A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"2-1"	"saha:ha"	"87-C-20-4"	"87"	"C"	"20"	"4"	50	"Training"	4	2	"3A"	"C2"	"Up"	"40"	"38"	"C"	"40"
"2-1"	"fasha:sha"	"94-J-0-2"	"94"	"J"	"0"	"2"	51	"Training"	4	3	"3A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"2-1"	"saha:ha"	"74-C-20-4"	"74"	"C"	"20"	"4"	52	"Training"	4	4	"3A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"2-1"	"fasha:sha"	"86-J-0-1"	"86"	"J"	"0"	"1"	53	"Training"	4	5	"3A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"2-1"	"fasha:sha"	"118-J-0-2"	"118"	"J"	"0"	"2"	54	"Training"	4	6	"3A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"2-1"	"saha:ha"	"86-C-30-1"	"86"	"C"	"30"	"1"	55	"Training"	4	7	"3A"	"C2"	"Up"	"40"	"38"	"C"	"40"
"2-1"	"saha:ha"	"71-C-30-1"	"71"	"C"	"30"	"1"	56	"Training"	4	8	"3A"	"C2"	"Up"	"40"	"38"	"C"	"40"
"2-1"	"saha:ha"	"128-C-30-3"	"128"	"C"	"30"	"3"	57	"Training"	4	9	"3A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"2-1"	"saha:ha"	"118-C-20-2"	"118"	"C"	"20"	"2"	58	"Training"	4	10	"3A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"2-1"	"fasha:sha"	"74-J-10-4"	"74"	"J"	"10"	"4"	59	"Training"	4	11	"3A"	"C1"	"Down"	"38"	"40"	"C"	"40"
"2-1"	"fasha:sha"	"87-J-10-4"	"87"	"J"	"10"	"4"	60	"Training"	4	12	"3A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"2-1"	"fasha:sha"	"71-J-0-1"	"71"	"J"	"0"	"1"	61	"Training"	4	13	"3A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"2-1"	"fasha:sha"	"128-J-10-3"	"128"	"J"	"10"	"3"	62	"Training"	4	14	"3A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"2-1"	"saha:ha"	"94-C-20-2"	"94"	"C"	"20"	"2"	63	"Training"	4	15	"3A"	"C2"	"Right"	"37"	"39"	"C"	"37"
"2-1"	"saha:ha"	"144-C-30-3"	"144"	"C"	"30"	"3"	64	"Training"	4	16	"3A"	"C2"	"Right"	"37"	"39"	"C"	"37"
"2-1"	"fasha:sha"	"144-J-10-3"	"144"	"J"	"10"	"3"	65	"Training"	5	1	"3A"	"C1"	"Down"	"38"	"40"	"C"	"40"
"2-1"	"saha:ha"	"94-C-20-2"	"94"	"C"	"20"	"2"	66	"Training"	5	2	"3A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"2-1"	"fasha:sha"	"87-J-10-4"	"87"	"J"	"10"	"4"	67	"Training"	5	3	"3A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"2-1"	"fasha:sha"	"86-J-0-1"	"86"	"J"	"0"	"1"	68	"Training"	5	4	"3A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"2-1"	"fasha:sha"	"94-J-0-2"	"94"	"J"	"0"	"2"	69	"Training"	5	5	"3A"	"C1"	"Down"	"38"	"40"	"C"	"40"
"2-1"	"saha:ha"	"128-C-30-3"	"128"	"C"	"30"	"3"	70	"Training"	5	6	"3A"	"C2"	"Up"	"40"	"38"	"C"	"40"
"2-1"	"saha:ha"	"118-C-20-2"	"118"	"C"	"20"	"2"	71	"Training"	5	7	"3A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"2-1"	"saha:ha"	"74-C-20-4"	"74"	"C"	"20"	"4"	72	"Training"	5	8	"3A"	"C2"	"Right"	"37"	"39"	"C"	"37"
"2-1"	"fasha:sha"	"74-J-10-4"	"74"	"J"	"10"	"4"	73	"Training"	5	9	"3A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"2-1"	"saha:ha"	"87-C-20-4"	"87"	"C"	"20"	"4"	74	"Training"	5	10	"3A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"2-1"	"fasha:sha"	"71-J-0-1"	"71"	"J"	"0"	"1"	75	"Training"	5	11	"3A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"2-1"	"saha:ha"	"71-C-30-1"	"71"	"C"	"30"	"1"	76	"Training"	5	12	"3A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"2-1"	"fasha:sha"	"128-J-10-3"	"128"	"J"	"10"	"3"	77	"Training"	5	13	"3A"	"C1"	"Down"	"38"	"40"	"C"	"40"
