"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"1-3"	"fa:fasha"	"118-J-0-2"	"118"	"J"	"0"	"2"	1	"Training"	1	1	"3A"	"C1"	"Left"	"39"	"37"	"J"	"39"
"1-3"	"fa:fasha"	"93-J-0-1"	"93"	"J"	"0"	"1"	2	"Training"	1	2	"3A"	"C1"	"Right"	"37"	"39"	"J"	"37"
"1-3"	"zasaha"	"87-C-20-4"	"87"	"C"	"20"	"4"	3	"Training"	1	3	"3A"	"C2"	"Up"	"40"	"38"	"J"	"38"
"1-3"	"fa:fasha"	"102-J-10-4"	"102"	"J"	"10"	"4"	4	"Training"	1	4	"3A"	"C1"	"Right"	"37"	"39"	"J"	"37"
"1-3"	"fa:fasha"	"44-J-10-3"	"44"	"J"	"10"	"3"	5	"Training"	1	5	"3A"	"C1"	"Left"	"39"	"37"	"J"	"39"
"1-3"	"fa:fasha"	"87-J-10-4"	"87"	"J"	"10"	"4"	6	"Training"	1	6	"3A"	"C1"	"Down"	"38"	"40"	"J"	"38"
"1-3"	"fa:fasha"	"27-J-0-1"	"27"	"J"	"0"	"1"	7	"Training"	1	7	"3A"	"C1"	"Down"	"38"	"40"	"J"	"38"
"1-3"	"fa:fasha"	"144-J-10-3"	"144"	"J"	"10"	"3"	8	"Training"	1	8	"3A"	"C1"	"Up"	"40"	"38"	"J"	"40"
"1-3"	"zasaha"	"102-C-20-4"	"102"	"C"	"20"	"4"	9	"Training"	1	9	"3A"	"C2"	"Left"	"39"	"37"	"J"	"37"
"1-3"	"zasaha"	"27-C-30-1"	"27"	"C"	"30"	"1"	10	"Training"	1	10	"3A"	"C2"	"Right"	"37"	"39"	"J"	"39"
"1-3"	"zasaha"	"118-C-20-2"	"118"	"C"	"20"	"2"	11	"Training"	1	11	"3A"	"C2"	"Right"	"37"	"39"	"J"	"39"
"1-3"	"zasaha"	"93-C-30-1"	"93"	"C"	"30"	"1"	12	"Training"	1	12	"3A"	"C2"	"Left"	"39"	"37"	"J"	"37"
"1-3"	"zasaha"	"44-C-30-3"	"44"	"C"	"30"	"3"	13	"Training"	1	13	"3A"	"C2"	"Down"	"38"	"40"	"J"	"40"
"1-3"	"zasaha"	"144-C-30-3"	"144"	"C"	"30"	"3"	14	"Training"	1	14	"3A"	"C2"	"Up"	"40"	"38"	"J"	"38"
"1-3"	"fa:fasha"	"139-J-0-2"	"139"	"J"	"0"	"2"	15	"Training"	1	15	"3A"	"C1"	"Down"	"38"	"40"	"J"	"38"
"1-3"	"zasaha"	"139-C-20-2"	"139"	"C"	"20"	"2"	16	"Training"	1	16	"3A"	"C2"	"Up"	"40"	"38"	"J"	"38"
"1-3"	"fa:fasha"	"44-J-10-3"	"44"	"J"	"10"	"3"	17	"Training"	2	1	"3A"	"C1"	"Right"	"37"	"39"	"J"	"37"
"1-3"	"fa:fasha"	"144-J-10-3"	"144"	"J"	"10"	"3"	18	"Training"	2	2	"3A"	"C1"	"Right"	"37"	"39"	"J"	"37"
"1-3"	"zasaha"	"118-C-20-2"	"118"	"C"	"20"	"2"	19	"Training"	2	3	"3A"	"C2"	"Up"	"40"	"38"	"J"	"38"
"1-3"	"zasaha"	"44-C-30-3"	"44"	"C"	"30"	"3"	20	"Training"	2	4	"3A"	"C2"	"Up"	"40"	"38"	"J"	"38"
"1-3"	"fa:fasha"	"102-J-10-4"	"102"	"J"	"10"	"4"	21	"Training"	2	5	"3A"	"C1"	"Right"	"37"	"39"	"J"	"37"
"1-3"	"zasaha"	"102-C-20-4"	"102"	"C"	"20"	"4"	22	"Training"	2	6	"3A"	"C2"	"Left"	"39"	"37"	"J"	"37"
"1-3"	"fa:fasha"	"139-J-0-2"	"139"	"J"	"0"	"2"	23	"Training"	2	7	"3A"	"C1"	"Right"	"37"	"39"	"J"	"37"
"1-3"	"fa:fasha"	"118-J-0-2"	"118"	"J"	"0"	"2"	24	"Training"	2	8	"3A"	"C1"	"Left"	"39"	"37"	"J"	"39"
"1-3"	"fa:fasha"	"87-J-10-4"	"87"	"J"	"10"	"4"	25	"Training"	2	9	"3A"	"C1"	"Up"	"40"	"38"	"J"	"40"
"1-3"	"zasaha"	"144-C-30-3"	"144"	"C"	"30"	"3"	26	"Training"	2	10	"3A"	"C2"	"Up"	"40"	"38"	"J"	"38"
"1-3"	"zasaha"	"139-C-20-2"	"139"	"C"	"20"	"2"	27	"Training"	2	11	"3A"	"C2"	"Left"	"39"	"37"	"J"	"37"
"1-3"	"zasaha"	"87-C-20-4"	"87"	"C"	"20"	"4"	28	"Training"	2	12	"3A"	"C2"	"Down"	"38"	"40"	"J"	"40"
"1-3"	"fa:fasha"	"27-J-0-1"	"27"	"J"	"0"	"1"	29	"Training"	2	13	"3A"	"C1"	"Down"	"38"	"40"	"J"	"38"
"1-3"	"zasaha"	"93-C-30-1"	"93"	"C"	"30"	"1"	30	"Training"	2	14	"3A"	"C2"	"Down"	"38"	"40"	"J"	"40"
"1-3"	"zasaha"	"27-C-30-1"	"27"	"C"	"30"	"1"	31	"Training"	2	15	"3A"	"C2"	"Down"	"38"	"40"	"J"	"40"
"1-3"	"fa:fasha"	"93-J-0-1"	"93"	"J"	"0"	"1"	32	"Training"	2	16	"3A"	"C1"	"Left"	"39"	"37"	"J"	"39"
"1-3"	"zasaha"	"139-C-20-2"	"139"	"C"	"20"	"2"	33	"Training"	3	1	"3A"	"C2"	"Down"	"38"	"40"	"J"	"40"
"1-3"	"zasaha"	"118-C-20-2"	"118"	"C"	"20"	"2"	34	"Training"	3	2	"3A"	"C2"	"Left"	"39"	"37"	"J"	"37"
"1-3"	"fa:fasha"	"118-J-0-2"	"118"	"J"	"0"	"2"	35	"Training"	3	3	"3A"	"C1"	"Up"	"40"	"38"	"J"	"40"
"1-3"	"zasaha"	"144-C-30-3"	"144"	"C"	"30"	"3"	36	"Training"	3	4	"3A"	"C2"	"Right"	"37"	"39"	"J"	"39"
