"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"2-4"	"vafa:sha"	"71-C-30-1"	"71"	"C"	"30"	"1"	1	"Training"	1	1	"6B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"2-4"	"fafasha"	"118-C-20-2"	"118"	"C"	"20"	"2"	2	"Training"	1	2	"6B"	"C1"	"Left"	"39"	"37"	"C"	"39"
"2-4"	"za:ha:ha"	"102-J-10-4"	"102"	"J"	"10"	"4"	3	"Training"	1	3	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-4"	"sahaza"	"44-J-10-3"	"44"	"J"	"10"	"3"	4	"Training"	1	4	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-4"	"vafasha"	"94-C-20-2"	"94"	"C"	"20"	"2"	5	"Training"	1	5	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"sa:sa:ha"	"57-J-0-1"	"57"	"J"	"0"	"1"	6	"Training"	1	6	"6B"	"C2"	"Down"	"38"	"40"	"C"	"40"
"2-4"	"fafa:sha"	"19-C-20-4"	"19"	"C"	"20"	"4"	7	"Training"	1	7	"6B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"2-4"	"fa:sha:va"	"57-C-30-1"	"57"	"C"	"30"	"1"	8	"Training"	1	8	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"fa:fava"	"44-C-30-3"	"44"	"C"	"30"	"3"	9	"Training"	1	9	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"sa:ha:ha"	"19-J-10-4"	"19"	"J"	"10"	"4"	10	"Training"	1	10	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-4"	"sasaha"	"94-J-0-2"	"94"	"J"	"0"	"2"	11	"Training"	1	11	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-4"	"sa:haza"	"144-J-10-3"	"144"	"J"	"10"	"3"	12	"Training"	1	12	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"2-4"	"fa:shasha"	"144-C-30-3"	"144"	"C"	"30"	"3"	13	"Training"	1	13	"6B"	"C1"	"Left"	"39"	"37"	"C"	"39"
"2-4"	"sasa:za"	"71-J-0-1"	"71"	"J"	"0"	"1"	14	"Training"	1	14	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-4"	"va:fa:sha"	"102-C-20-4"	"102"	"C"	"20"	"4"	15	"Training"	1	15	"6B"	"C1"	"Right"	"37"	"39"	"C"	"37"
"2-4"	"sa:sa:za"	"118-J-0-2"	"118"	"J"	"0"	"2"	16	"Training"	1	16	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"2-4"	"sa:sa:ha"	"57-J-0-1"	"57"	"J"	"0"	"1"	17	"Training"	2	1	"6B"	"C2"	"Down"	"38"	"40"	"C"	"40"
"2-4"	"fa:sha:va"	"57-C-30-1"	"57"	"C"	"30"	"1"	18	"Training"	2	2	"6B"	"C1"	"Left"	"39"	"37"	"C"	"39"
"2-4"	"sasaha"	"94-J-0-2"	"94"	"J"	"0"	"2"	19	"Training"	2	3	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"2-4"	"sa:ha:ha"	"19-J-10-4"	"19"	"J"	"10"	"4"	20	"Training"	2	4	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-4"	"sasa:za"	"71-J-0-1"	"71"	"J"	"0"	"1"	21	"Training"	2	5	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-4"	"fafa:sha"	"19-C-20-4"	"19"	"C"	"20"	"4"	22	"Training"	2	6	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"sa:haza"	"144-J-10-3"	"144"	"J"	"10"	"3"	23	"Training"	2	7	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"2-4"	"fa:fava"	"44-C-30-3"	"44"	"C"	"30"	"3"	24	"Training"	2	8	"6B"	"C1"	"Right"	"37"	"39"	"C"	"37"
"2-4"	"sa:sa:za"	"118-J-0-2"	"118"	"J"	"0"	"2"	25	"Training"	2	9	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-4"	"sahaza"	"44-J-10-3"	"44"	"J"	"10"	"3"	26	"Training"	2	10	"6B"	"C2"	"Down"	"38"	"40"	"C"	"40"
"2-4"	"vafasha"	"94-C-20-2"	"94"	"C"	"20"	"2"	27	"Training"	2	11	"6B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"2-4"	"fa:shasha"	"144-C-30-3"	"144"	"C"	"30"	"3"	28	"Training"	2	12	"6B"	"C1"	"Left"	"39"	"37"	"C"	"39"
"2-4"	"va:fa:sha"	"102-C-20-4"	"102"	"C"	"20"	"4"	29	"Training"	2	13	"6B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"2-4"	"za:ha:ha"	"102-J-10-4"	"102"	"J"	"10"	"4"	30	"Training"	2	14	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-4"	"fafasha"	"118-C-20-2"	"118"	"C"	"20"	"2"	31	"Training"	2	15	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"vafa:sha"	"71-C-30-1"	"71"	"C"	"30"	"1"	32	"Training"	2	16	"6B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"2-4"	"fa:sha:va"	"57-C-30-1"	"57"	"C"	"30"	"1"	33	"Training"	3	1	"6B"	"C1"	"Right"	"37"	"39"	"C"	"37"
"2-4"	"va:fa:sha"	"102-C-20-4"	"102"	"C"	"20"	"4"	34	"Training"	3	2	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"sasaha"	"94-J-0-2"	"94"	"J"	"0"	"2"	35	"Training"	3	3	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-4"	"fa:shasha"	"144-C-30-3"	"144"	"C"	"30"	"3"	36	"Training"	3	4	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"sa:ha:ha"	"19-J-10-4"	"19"	"J"	"10"	"4"	37	"Training"	3	5	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-4"	"sahaza"	"44-J-10-3"	"44"	"J"	"10"	"3"	38	"Training"	3	6	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-4"	"sasa:za"	"71-J-0-1"	"71"	"J"	"0"	"1"	39	"Training"	3	7	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"2-4"	"fafa:sha"	"19-C-20-4"	"19"	"C"	"20"	"4"	40	"Training"	3	8	"6B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"2-4"	"za:ha:ha"	"102-J-10-4"	"102"	"J"	"10"	"4"	41	"Training"	3	9	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-4"	"sa:sa:za"	"118-J-0-2"	"118"	"J"	"0"	"2"	42	"Training"	3	10	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-4"	"vafa:sha"	"71-C-30-1"	"71"	"C"	"30"	"1"	43	"Training"	3	11	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"sa:haza"	"144-J-10-3"	"144"	"J"	"10"	"3"	44	"Training"	3	12	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-4"	"fa:fava"	"44-C-30-3"	"44"	"C"	"30"	"3"	45	"Training"	3	13	"6B"	"C1"	"Left"	"39"	"37"	"C"	"39"
"2-4"	"vafasha"	"94-C-20-2"	"94"	"C"	"20"	"2"	46	"Training"	3	14	"6B"	"C1"	"Left"	"39"	"37"	"C"	"39"
"2-4"	"fafasha"	"118-C-20-2"	"118"	"C"	"20"	"2"	47	"Training"	3	15	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"sa:sa:ha"	"57-J-0-1"	"57"	"J"	"0"	"1"	48	"Training"	3	16	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"2-4"	"vafa:sha"	"71-C-30-1"	"71"	"C"	"30"	"1"	49	"Training"	4	1	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"fa:shasha"	"144-C-30-3"	"144"	"C"	"30"	"3"	50	"Training"	4	2	"6B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"2-4"	"va:fa:sha"	"102-C-20-4"	"102"	"C"	"20"	"4"	51	"Training"	4	3	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"sasa:za"	"71-J-0-1"	"71"	"J"	"0"	"1"	52	"Training"	4	4	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"2-4"	"sa:ha:ha"	"19-J-10-4"	"19"	"J"	"10"	"4"	53	"Training"	4	5	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-4"	"za:ha:ha"	"102-J-10-4"	"102"	"J"	"10"	"4"	54	"Training"	4	6	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-4"	"fa:fava"	"44-C-30-3"	"44"	"C"	"30"	"3"	55	"Training"	4	7	"6B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"2-4"	"sahaza"	"44-J-10-3"	"44"	"J"	"10"	"3"	56	"Training"	4	8	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"2-4"	"fa:sha:va"	"57-C-30-1"	"57"	"C"	"30"	"1"	57	"Training"	4	9	"6B"	"C1"	"Left"	"39"	"37"	"C"	"39"
"2-4"	"sa:sa:ha"	"57-J-0-1"	"57"	"J"	"0"	"1"	58	"Training"	4	10	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"2-4"	"fafasha"	"118-C-20-2"	"118"	"C"	"20"	"2"	59	"Training"	4	11	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"sasaha"	"94-J-0-2"	"94"	"J"	"0"	"2"	60	"Training"	4	12	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-4"	"sa:haza"	"144-J-10-3"	"144"	"J"	"10"	"3"	61	"Training"	4	13	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-4"	"vafasha"	"94-C-20-2"	"94"	"C"	"20"	"2"	62	"Training"	4	14	"6B"	"C1"	"Right"	"37"	"39"	"C"	"37"
"2-4"	"fafa:sha"	"19-C-20-4"	"19"	"C"	"20"	"4"	63	"Training"	4	15	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"sa:sa:za"	"118-J-0-2"	"118"	"J"	"0"	"2"	64	"Training"	4	16	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-4"	"vafa:sha"	"71-C-30-1"	"71"	"C"	"30"	"1"	65	"Training"	5	1	"6B"	"C1"	"Left"	"39"	"37"	"C"	"39"
"2-4"	"sa:haza"	"144-J-10-3"	"144"	"J"	"10"	"3"	66	"Training"	5	2	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-4"	"sa:ha:ha"	"19-J-10-4"	"19"	"J"	"10"	"4"	67	"Training"	5	3	"6B"	"C2"	"Down"	"38"	"40"	"C"	"40"
"2-4"	"va:fa:sha"	"102-C-20-4"	"102"	"C"	"20"	"4"	68	"Training"	5	4	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"fa:fava"	"44-C-30-3"	"44"	"C"	"30"	"3"	69	"Training"	5	5	"6B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"2-4"	"vafasha"	"94-C-20-2"	"94"	"C"	"20"	"2"	70	"Training"	5	6	"6B"	"C1"	"Left"	"39"	"37"	"C"	"39"
"2-4"	"sahaza"	"44-J-10-3"	"44"	"J"	"10"	"3"	71	"Training"	5	7	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-4"	"za:ha:ha"	"102-J-10-4"	"102"	"J"	"10"	"4"	72	"Training"	5	8	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-4"	"fa:sha:va"	"57-C-30-1"	"57"	"C"	"30"	"1"	73	"Training"	5	9	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"sasaha"	"94-J-0-2"	"94"	"J"	"0"	"2"	74	"Training"	5	10	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-4"	"sa:sa:za"	"118-J-0-2"	"118"	"J"	"0"	"2"	75	"Training"	5	11	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"2-4"	"sasa:za"	"71-J-0-1"	"71"	"J"	"0"	"1"	76	"Training"	5	12	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-4"	"fafa:sha"	"19-C-20-4"	"19"	"C"	"20"	"4"	77	"Training"	5	13	"6B"	"C1"	"Right"	"37"	"39"	"C"	"37"
"2-4"	"sa:sa:ha"	"57-J-0-1"	"57"	"J"	"0"	"1"	78	"Training"	5	14	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"2-4"	"fafasha"	"118-C-20-2"	"118"	"C"	"20"	"2"	79	"Training"	5	15	"6B"	"C1"	"Right"	"37"	"39"	"C"	"37"
"2-4"	"fa:shasha"	"144-C-30-3"	"144"	"C"	"30"	"3"	80	"Training"	5	16	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"fa:fava"	"44-C-30-3"	"44"	"C"	"30"	"3"	81	"Training"	6	1	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"sasaha"	"94-J-0-2"	"94"	"J"	"0"	"2"	82	"Training"	6	2	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-4"	"fafasha"	"118-C-20-2"	"118"	"C"	"20"	"2"	83	"Training"	6	3	"6B"	"C1"	"Right"	"37"	"39"	"C"	"37"
"2-4"	"za:ha:ha"	"102-J-10-4"	"102"	"J"	"10"	"4"	84	"Training"	6	4	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-4"	"vafa:sha"	"71-C-30-1"	"71"	"C"	"30"	"1"	85	"Training"	6	5	"6B"	"C1"	"Left"	"39"	"37"	"C"	"39"
"2-4"	"sa:sa:za"	"118-J-0-2"	"118"	"J"	"0"	"2"	86	"Training"	6	6	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"2-4"	"sa:ha:ha"	"19-J-10-4"	"19"	"J"	"10"	"4"	87	"Training"	6	7	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-4"	"sa:haza"	"144-J-10-3"	"144"	"J"	"10"	"3"	88	"Training"	6	8	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"2-4"	"sahaza"	"44-J-10-3"	"44"	"J"	"10"	"3"	89	"Training"	6	9	"6B"	"C2"	"Down"	"38"	"40"	"C"	"40"
"2-4"	"sa:sa:ha"	"57-J-0-1"	"57"	"J"	"0"	"1"	90	"Training"	6	10	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-4"	"sasa:za"	"71-J-0-1"	"71"	"J"	"0"	"1"	91	"Training"	6	11	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-4"	"va:fa:sha"	"102-C-20-4"	"102"	"C"	"20"	"4"	92	"Training"	6	12	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"vafasha"	"94-C-20-2"	"94"	"C"	"20"	"2"	93	"Training"	6	13	"6B"	"C1"	"Left"	"39"	"37"	"C"	"39"
"2-4"	"fa:sha:va"	"57-C-30-1"	"57"	"C"	"30"	"1"	94	"Training"	6	14	"6B"	"C1"	"Right"	"37"	"39"	"C"	"37"
"2-4"	"fafa:sha"	"19-C-20-4"	"19"	"C"	"20"	"4"	95	"Training"	6	15	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"fa:shasha"	"144-C-30-3"	"144"	"C"	"30"	"3"	96	"Training"	6	16	"6B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"2-4"	"sa:haza"	"144-J-10-3"	"144"	"J"	"10"	"3"	97	"Training"	7	1	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-4"	"fafa:sha"	"19-C-20-4"	"19"	"C"	"20"	"4"	98	"Training"	7	2	"6B"	"C1"	"Left"	"39"	"37"	"C"	"39"
"2-4"	"sa:ha:ha"	"19-J-10-4"	"19"	"J"	"10"	"4"	99	"Training"	7	3	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"2-4"	"za:ha:ha"	"102-J-10-4"	"102"	"J"	"10"	"4"	100	"Training"	7	4	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-4"	"sa:sa:ha"	"57-J-0-1"	"57"	"J"	"0"	"1"	101	"Training"	7	5	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"2-4"	"sasaha"	"94-J-0-2"	"94"	"J"	"0"	"2"	102	"Training"	7	6	"6B"	"C2"	"Down"	"38"	"40"	"C"	"40"
"2-4"	"fa:shasha"	"144-C-30-3"	"144"	"C"	"30"	"3"	103	"Training"	7	7	"6B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"2-4"	"vafa:sha"	"71-C-30-1"	"71"	"C"	"30"	"1"	104	"Training"	7	8	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"sahaza"	"44-J-10-3"	"44"	"J"	"10"	"3"	105	"Training"	7	9	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-4"	"fa:sha:va"	"57-C-30-1"	"57"	"C"	"30"	"1"	106	"Training"	7	10	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"sasa:za"	"71-J-0-1"	"71"	"J"	"0"	"1"	107	"Training"	7	11	"6B"	"C2"	"Down"	"38"	"40"	"C"	"40"
"2-4"	"sa:sa:za"	"118-J-0-2"	"118"	"J"	"0"	"2"	108	"Training"	7	12	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-4"	"fafasha"	"118-C-20-2"	"118"	"C"	"20"	"2"	109	"Training"	7	13	"6B"	"C1"	"Left"	"39"	"37"	"C"	"39"
"2-4"	"vafasha"	"94-C-20-2"	"94"	"C"	"20"	"2"	110	"Training"	7	14	"6B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"2-4"	"fa:fava"	"44-C-30-3"	"44"	"C"	"30"	"3"	111	"Training"	7	15	"6B"	"C1"	"Right"	"37"	"39"	"C"	"37"
"2-4"	"va:fa:sha"	"102-C-20-4"	"102"	"C"	"20"	"4"	112	"Training"	7	16	"6B"	"C1"	"Right"	"37"	"39"	"C"	"37"
"2-4"	"za:ha:ha"	"102-J-10-4"	"102"	"J"	"10"	"4"	113	"Training"	8	1	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-4"	"sa:ha:ha"	"19-J-10-4"	"19"	"J"	"10"	"4"	114	"Training"	8	2	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"2-4"	"sasaha"	"94-J-0-2"	"94"	"J"	"0"	"2"	115	"Training"	8	3	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"2-4"	"sa:sa:za"	"118-J-0-2"	"118"	"J"	"0"	"2"	116	"Training"	8	4	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-4"	"sa:sa:ha"	"57-J-0-1"	"57"	"J"	"0"	"1"	117	"Training"	8	5	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-4"	"sa:haza"	"144-J-10-3"	"144"	"J"	"10"	"3"	118	"Training"	8	6	"6B"	"C2"	"Down"	"38"	"40"	"C"	"40"
"2-4"	"vafasha"	"94-C-20-2"	"94"	"C"	"20"	"2"	119	"Training"	8	7	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"fa:shasha"	"144-C-30-3"	"144"	"C"	"30"	"3"	120	"Training"	8	8	"6B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"2-4"	"va:fa:sha"	"102-C-20-4"	"102"	"C"	"20"	"4"	121	"Training"	8	9	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"sasa:za"	"71-J-0-1"	"71"	"J"	"0"	"1"	122	"Training"	8	10	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-4"	"vafa:sha"	"71-C-30-1"	"71"	"C"	"30"	"1"	123	"Training"	8	11	"6B"	"C1"	"Right"	"37"	"39"	"C"	"37"
"2-4"	"sahaza"	"44-J-10-3"	"44"	"J"	"10"	"3"	124	"Training"	8	12	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"2-4"	"fa:fava"	"44-C-30-3"	"44"	"C"	"30"	"3"	125	"Training"	8	13	"6B"	"C1"	"Right"	"37"	"39"	"C"	"37"
"2-4"	"fafa:sha"	"19-C-20-4"	"19"	"C"	"20"	"4"	126	"Training"	8	14	"6B"	"C1"	"Left"	"39"	"37"	"C"	"39"
"2-4"	"fafasha"	"118-C-20-2"	"118"	"C"	"20"	"2"	127	"Training"	8	15	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"fa:sha:va"	"57-C-30-1"	"57"	"C"	"30"	"1"	128	"Training"	8	16	"6B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"2-4"	"sasaha"	"94-J-0-2"	"94"	"J"	"0"	"2"	129	"Training"	9	1	"6B"	"C2"	"Down"	"38"	"40"	"C"	"40"
"2-4"	"vafasha"	"94-C-20-2"	"94"	"C"	"20"	"2"	130	"Training"	9	2	"6B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"2-4"	"fa:fava"	"44-C-30-3"	"44"	"C"	"30"	"3"	131	"Training"	9	3	"6B"	"C1"	"Right"	"37"	"39"	"C"	"37"
"2-4"	"fa:sha:va"	"57-C-30-1"	"57"	"C"	"30"	"1"	132	"Training"	9	4	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"sa:haza"	"144-J-10-3"	"144"	"J"	"10"	"3"	133	"Training"	9	5	"6B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-4"	"va:fa:sha"	"102-C-20-4"	"102"	"C"	"20"	"4"	134	"Training"	9	6	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"fa:shasha"	"144-C-30-3"	"144"	"C"	"30"	"3"	135	"Training"	9	7	"6B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-4"	"za:ha:ha"	"102-J-10-4"	"102"	"J"	"10"	"4"	136	"Training"	9	8	"6B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-4"	"fafasha"	"118-C-20-2"	"118"	"C"	"20"	"2"	137	"Training"	9	9	"6B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"2-4"	"sahaza"	"44-J-10-3"	"44"	"J"	"10"	"3"	138	"Training"	9	10	"6B"	"C2"	"Left"	"39"	"37"	"C"	"37"
