"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"1-5"	"pakata"	"27-C-30-1"	"27"	"C"	"30"	"1"	1	"Training"	1	1	"7"	"P"	"Left"	"39"	"37"	"J"	"37"
"1-5"	"mamala"	"100-J-10-3"	"100"	"J"	"10"	"3"	2	"Training"	1	2	"7"	"S"	"Right"	"37"	"39"	"J"	"37"
"1-5"	"ma:lala"	"7-J-10-4"	"7"	"J"	"10"	"4"	3	"Training"	1	3	"7"	"S"	"Left"	"39"	"37"	"J"	"39"
"1-5"	"tapa:ta"	"94-J-0-2"	"94"	"J"	"0"	"2"	4	"Training"	1	4	"7"	"P"	"Left"	"39"	"37"	"J"	"39"
"1-5"	"paka:ka"	"94-C-20-2"	"94"	"C"	"20"	"2"	5	"Training"	1	5	"7"	"P"	"Up"	"40"	"38"	"J"	"38"
"1-5"	"na:ma:na"	"7-C-20-4"	"7"	"C"	"20"	"4"	6	"Training"	1	6	"7"	"S"	"Up"	"40"	"38"	"J"	"38"
"1-5"	"ma:la:na"	"111-J-10-3"	"111"	"J"	"10"	"3"	7	"Training"	1	7	"7"	"S"	"Up"	"40"	"38"	"J"	"40"
"1-5"	"nama:na"	"87-J-10-4"	"87"	"J"	"10"	"4"	8	"Training"	1	8	"7"	"S"	"Down"	"38"	"40"	"J"	"38"
"1-5"	"tapata"	"118-J-0-2"	"118"	"J"	"0"	"2"	9	"Training"	1	9	"7"	"P"	"Down"	"38"	"40"	"J"	"38"
"1-5"	"ta:pa:ta"	"118-C-20-2"	"118"	"C"	"20"	"2"	10	"Training"	1	10	"7"	"P"	"Left"	"39"	"37"	"J"	"37"
"1-5"	"na:mana"	"111-C-30-3"	"111"	"C"	"30"	"3"	11	"Training"	1	11	"7"	"S"	"Right"	"37"	"39"	"J"	"39"
"1-5"	"mama:la"	"100-C-30-3"	"100"	"C"	"30"	"3"	12	"Training"	1	12	"7"	"S"	"Up"	"40"	"38"	"J"	"38"
"1-5"	"ta:paka"	"86-C-30-1"	"86"	"C"	"30"	"1"	13	"Training"	1	13	"7"	"P"	"Right"	"37"	"39"	"J"	"39"
"1-5"	"malana"	"87-C-20-4"	"87"	"C"	"20"	"4"	14	"Training"	1	14	"7"	"S"	"Down"	"38"	"40"	"J"	"40"
"1-5"	"pa:ka:ka"	"27-J-0-1"	"27"	"J"	"0"	"1"	15	"Training"	1	15	"7"	"P"	"Right"	"37"	"39"	"J"	"37"
"1-5"	"papata"	"86-J-0-1"	"86"	"J"	"0"	"1"	16	"Training"	1	16	"7"	"P"	"Down"	"38"	"40"	"J"	"38"
"1-5"	"paka:ka"	"94-C-20-2"	"94"	"C"	"20"	"2"	17	"Training"	2	1	"7"	"P"	"Left"	"39"	"37"	"J"	"37"
"1-5"	"papata"	"86-J-0-1"	"86"	"J"	"0"	"1"	18	"Training"	2	2	"7"	"P"	"Down"	"38"	"40"	"J"	"38"
"1-5"	"na:ma:na"	"7-C-20-4"	"7"	"C"	"20"	"4"	19	"Training"	2	3	"7"	"S"	"Down"	"38"	"40"	"J"	"40"
"1-5"	"ma:lala"	"7-J-10-4"	"7"	"J"	"10"	"4"	20	"Training"	2	4	"7"	"S"	"Left"	"39"	"37"	"J"	"39"
"1-5"	"pa:ka:ka"	"27-J-0-1"	"27"	"J"	"0"	"1"	21	"Training"	2	5	"7"	"P"	"Right"	"37"	"39"	"J"	"37"
"1-5"	"mama:la"	"100-C-30-3"	"100"	"C"	"30"	"3"	22	"Training"	2	6	"7"	"S"	"Right"	"37"	"39"	"J"	"39"
"1-5"	"tapata"	"118-J-0-2"	"118"	"J"	"0"	"2"	23	"Training"	2	7	"7"	"P"	"Right"	"37"	"39"	"J"	"37"
"1-5"	"ta:paka"	"86-C-30-1"	"86"	"C"	"30"	"1"	24	"Training"	2	8	"7"	"P"	"Down"	"38"	"40"	"J"	"40"
"1-5"	"malana"	"87-C-20-4"	"87"	"C"	"20"	"4"	25	"Training"	2	9	"7"	"S"	"Up"	"40"	"38"	"J"	"38"
