"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"2-1"	"nala:na"	"7-J-10-4"	"7"	"J"	"10"	"4"	1	"Testing"	1	1	"2"	"S"	"Left"	"39"	"37"	"J"	"39"
"2-1"	"nala:na"	"144-J-10-3"	"144"	"J"	"10"	"3"	2	"Testing"	1	2	"2"	"S"	"Right"	"37"	"39"	"J"	"37"
"2-1"	"nala:na"	"139-J-0-2"	"139"	"J"	"0"	"2"	3	"Testing"	1	3	"2"	"S"	"Down"	"38"	"40"	"J"	"38"
"2-1"	"ta:kata"	"93-C-30-1"	"93"	"C"	"30"	"1"	4	"Testing"	1	4	"2"	"P"	"Up"	"40"	"38"	"J"	"38"
"2-1"	"nala:na"	"111-J-10-3"	"111"	"J"	"10"	"3"	5	"Testing"	1	5	"2"	"S"	"Right"	"37"	"39"	"J"	"37"
"2-1"	"ta:kata"	"100-C-30-3"	"100"	"C"	"30"	"3"	6	"Testing"	1	6	"2"	"P"	"Down"	"38"	"40"	"J"	"40"
"2-1"	"nala:na"	"94-J-0-2"	"94"	"J"	"0"	"2"	7	"Testing"	1	7	"2"	"S"	"Left"	"39"	"37"	"J"	"39"
"2-1"	"nala:na"	"93-J-0-1"	"93"	"J"	"0"	"1"	8	"Testing"	1	8	"2"	"S"	"Right"	"37"	"39"	"J"	"37"
"2-1"	"ta:kata"	"7-C-20-4"	"7"	"C"	"20"	"4"	9	"Testing"	1	9	"2"	"P"	"Right"	"37"	"39"	"J"	"39"
"2-1"	"ta:kata"	"118-C-20-2"	"118"	"C"	"20"	"2"	10	"Testing"	1	10	"2"	"P"	"Left"	"39"	"37"	"J"	"37"
"2-1"	"ta:kata"	"94-C-20-2"	"94"	"C"	"20"	"2"	11	"Testing"	1	11	"2"	"P"	"Up"	"40"	"38"	"J"	"38"
"2-1"	"nala:na"	"27-J-0-1"	"27"	"J"	"0"	"1"	12	"Testing"	1	12	"2"	"S"	"Down"	"38"	"40"	"J"	"38"
"2-1"	"nala:na"	"57-J-0-1"	"57"	"J"	"0"	"1"	13	"Testing"	1	13	"2"	"S"	"Left"	"39"	"37"	"J"	"39"
"2-1"	"ta:kata"	"144-C-30-3"	"144"	"C"	"30"	"3"	14	"Testing"	1	14	"2"	"P"	"Up"	"40"	"38"	"J"	"38"
"2-1"	"ta:kata"	"111-C-30-3"	"111"	"C"	"30"	"3"	15	"Testing"	1	15	"2"	"P"	"Right"	"37"	"39"	"J"	"39"
"2-1"	"ta:kata"	"102-C-20-4"	"102"	"C"	"20"	"4"	16	"Testing"	1	16	"2"	"P"	"Up"	"40"	"38"	"J"	"38"
"2-1"	"nala:na"	"118-J-0-2"	"118"	"J"	"0"	"2"	17	"Testing"	1	17	"2"	"S"	"Right"	"37"	"39"	"J"	"37"
"2-1"	"nala:na"	"102-J-10-4"	"102"	"J"	"10"	"4"	18	"Testing"	1	18	"2"	"S"	"Down"	"38"	"40"	"J"	"38"
"2-1"	"ta:kata"	"27-C-30-1"	"27"	"C"	"30"	"1"	19	"Testing"	1	19	"2"	"P"	"Up"	"40"	"38"	"J"	"38"
"2-1"	"ta:kata"	"139-C-20-2"	"139"	"C"	"20"	"2"	20	"Testing"	1	20	"2"	"P"	"Left"	"39"	"37"	"J"	"37"
"2-1"	"nala:na"	"87-J-10-4"	"87"	"J"	"10"	"4"	21	"Testing"	1	21	"2"	"S"	"Down"	"38"	"40"	"J"	"38"
"2-1"	"ta:kata"	"87-C-20-4"	"87"	"C"	"20"	"4"	22	"Testing"	1	22	"2"	"P"	"Up"	"40"	"38"	"J"	"38"
"2-1"	"ta:kata"	"57-C-30-1"	"57"	"C"	"30"	"1"	23	"Testing"	1	23	"2"	"P"	"Down"	"38"	"40"	"J"	"40"
"2-1"	"nala:na"	"100-J-10-3"	"100"	"J"	"10"	"3"	24	"Testing"	1	24	"2"	"S"	"Left"	"39"	"37"	"J"	"39"
"2-1"	"ta:kata"	"111-C-30-3"	"111"	"C"	"30"	"3"	25	"Testing"	2	1	"2"	"P"	"Down"	"38"	"40"	"J"	"40"
"2-1"	"nala:na"	"87-J-10-4"	"87"	"J"	"10"	"4"	26	"Testing"	2	2	"2"	"S"	"Down"	"38"	"40"	"J"	"38"
"2-1"	"nala:na"	"102-J-10-4"	"102"	"J"	"10"	"4"	27	"Testing"	2	3	"2"	"S"	"Up"	"40"	"38"	"J"	"40"
"2-1"	"ta:kata"	"102-C-20-4"	"102"	"C"	"20"	"4"	28	"Testing"	2	4	"2"	"P"	"Left"	"39"	"37"	"J"	"37"
"2-1"	"nala:na"	"93-J-0-1"	"93"	"J"	"0"	"1"	29	"Testing"	2	5	"2"	"S"	"Right"	"37"	"39"	"J"	"37"
"2-1"	"nala:na"	"94-J-0-2"	"94"	"J"	"0"	"2"	30	"Testing"	2	6	"2"	"S"	"Up"	"40"	"38"	"J"	"40"
"2-1"	"ta:kata"	"87-C-20-4"	"87"	"C"	"20"	"4"	31	"Testing"	2	7	"2"	"P"	"Left"	"39"	"37"	"J"	"37"
"2-1"	"nala:na"	"27-J-0-1"	"27"	"J"	"0"	"1"	32	"Testing"	2	8	"2"	"S"	"Left"	"39"	"37"	"J"	"39"
"2-1"	"ta:kata"	"27-C-30-1"	"27"	"C"	"30"	"1"	33	"Testing"	2	9	"2"	"P"	"Right"	"37"	"39"	"J"	"39"
"2-1"	"ta:kata"	"57-C-30-1"	"57"	"C"	"30"	"1"	34	"Testing"	2	10	"2"	"P"	"Up"	"40"	"38"	"J"	"38"
"2-1"	"ta:kata"	"100-C-30-3"	"100"	"C"	"30"	"3"	35	"Testing"	2	11	"2"	"P"	"Up"	"40"	"38"	"J"	"38"
"2-1"	"ta:kata"	"139-C-20-2"	"139"	"C"	"20"	"2"	36	"Testing"	2	12	"2"	"P"	"Up"	"40"	"38"	"J"	"38"
"2-1"	"ta:kata"	"7-C-20-4"	"7"	"C"	"20"	"4"	37	"Testing"	2	13	"2"	"P"	"Left"	"39"	"37"	"J"	"37"
"2-1"	"ta:kata"	"93-C-30-1"	"93"	"C"	"30"	"1"	38	"Testing"	2	14	"2"	"P"	"Right"	"37"	"39"	"J"	"39"
