"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"2-2"	"za:sa:za"	"87-J-10-4"	"87"	"J"	"10"	"4"	1	"Testing"	1	1	"3B"	"C2"	"Down"	"38"	"40"	"C"	"40"
"2-2"	"za:sa:za"	"57-J-0-1"	"57"	"J"	"0"	"1"	2	"Testing"	1	2	"3B"	"C2"	"Down"	"38"	"40"	"C"	"40"
"2-2"	"za:sa:za"	"74-J-10-4"	"74"	"J"	"10"	"4"	3	"Testing"	1	3	"3B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-2"	"vashava"	"102-C-20-4"	"102"	"C"	"20"	"4"	4	"Testing"	1	4	"3B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-2"	"vashava"	"100-C-30-3"	"100"	"C"	"30"	"3"	5	"Testing"	1	5	"3B"	"C1"	"Right"	"37"	"39"	"C"	"37"
"2-2"	"vashava"	"144-C-30-3"	"144"	"C"	"30"	"3"	6	"Testing"	1	6	"3B"	"C1"	"Left"	"39"	"37"	"C"	"39"
"2-2"	"za:sa:za"	"139-J-0-2"	"139"	"J"	"0"	"2"	7	"Testing"	1	7	"3B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"2-2"	"vashava"	"86-C-30-1"	"86"	"C"	"30"	"1"	8	"Testing"	1	8	"3B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-2"	"vashava"	"93-C-30-1"	"93"	"C"	"30"	"1"	9	"Testing"	1	9	"3B"	"C1"	"Left"	"39"	"37"	"C"	"39"
"2-2"	"za:sa:za"	"94-J-0-2"	"94"	"J"	"0"	"2"	10	"Testing"	1	10	"3B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-2"	"vashava"	"87-C-20-4"	"87"	"C"	"20"	"4"	11	"Testing"	1	11	"3B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"2-2"	"za:sa:za"	"102-J-10-4"	"102"	"J"	"10"	"4"	12	"Testing"	1	12	"3B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-2"	"vashava"	"84-C-20-2"	"84"	"C"	"20"	"2"	13	"Testing"	1	13	"3B"	"C1"	"Left"	"39"	"37"	"C"	"39"
"2-2"	"za:sa:za"	"100-J-10-3"	"100"	"J"	"10"	"3"	14	"Testing"	1	14	"3B"	"C2"	"Down"	"38"	"40"	"C"	"40"
"2-2"	"za:sa:za"	"144-J-10-3"	"144"	"J"	"10"	"3"	15	"Testing"	1	15	"3B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-2"	"vashava"	"94-C-20-2"	"94"	"C"	"20"	"2"	16	"Testing"	1	16	"3B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-2"	"za:sa:za"	"84-J-0-2"	"84"	"J"	"0"	"2"	17	"Testing"	1	17	"3B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-2"	"vashava"	"139-C-20-2"	"139"	"C"	"20"	"2"	18	"Testing"	1	18	"3B"	"C1"	"Left"	"39"	"37"	"C"	"39"
"2-2"	"za:sa:za"	"93-J-0-1"	"93"	"J"	"0"	"1"	19	"Testing"	1	19	"3B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-2"	"za:sa:za"	"86-J-0-1"	"86"	"J"	"0"	"1"	20	"Testing"	1	20	"3B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"2-2"	"vashava"	"44-C-30-3"	"44"	"C"	"30"	"3"	21	"Testing"	1	21	"3B"	"C1"	"Right"	"37"	"39"	"C"	"37"
"2-2"	"za:sa:za"	"44-J-10-3"	"44"	"J"	"10"	"3"	22	"Testing"	1	22	"3B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-2"	"vashava"	"57-C-30-1"	"57"	"C"	"30"	"1"	23	"Testing"	1	23	"3B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"2-2"	"vashava"	"74-C-20-4"	"74"	"C"	"20"	"4"	24	"Testing"	1	24	"3B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"2-2"	"za:sa:za"	"57-J-0-1"	"57"	"J"	"0"	"1"	25	"Testing"	2	1	"3B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-2"	"za:sa:za"	"102-J-10-4"	"102"	"J"	"10"	"4"	26	"Testing"	2	2	"3B"	"C2"	"Down"	"38"	"40"	"C"	"40"
"2-2"	"za:sa:za"	"74-J-10-4"	"74"	"J"	"10"	"4"	27	"Testing"	2	3	"3B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-2"	"vashava"	"44-C-30-3"	"44"	"C"	"30"	"3"	28	"Testing"	2	4	"3B"	"C1"	"Left"	"39"	"37"	"C"	"39"
"2-2"	"za:sa:za"	"93-J-0-1"	"93"	"J"	"0"	"1"	29	"Testing"	2	5	"3B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"2-2"	"vashava"	"144-C-30-3"	"144"	"C"	"30"	"3"	30	"Testing"	2	6	"3B"	"C1"	"Left"	"39"	"37"	"C"	"39"
"2-2"	"vashava"	"57-C-30-1"	"57"	"C"	"30"	"1"	31	"Testing"	2	7	"3B"	"C1"	"Right"	"37"	"39"	"C"	"37"
"2-2"	"za:sa:za"	"100-J-10-3"	"100"	"J"	"10"	"3"	32	"Testing"	2	8	"3B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-2"	"vashava"	"94-C-20-2"	"94"	"C"	"20"	"2"	33	"Testing"	2	9	"3B"	"C1"	"Right"	"37"	"39"	"C"	"37"
"2-2"	"vashava"	"87-C-20-4"	"87"	"C"	"20"	"4"	34	"Testing"	2	10	"3B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-2"	"vashava"	"84-C-20-2"	"84"	"C"	"20"	"2"	35	"Testing"	2	11	"3B"	"C1"	"Right"	"37"	"39"	"C"	"37"
"2-2"	"vashava"	"86-C-30-1"	"86"	"C"	"30"	"1"	36	"Testing"	2	12	"3B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"2-2"	"za:sa:za"	"139-J-0-2"	"139"	"J"	"0"	"2"	37	"Testing"	2	13	"3B"	"C2"	"Left"	"39"	"37"	"C"	"37"
"2-2"	"za:sa:za"	"94-J-0-2"	"94"	"J"	"0"	"2"	38	"Testing"	2	14	"3B"	"C2"	"Down"	"38"	"40"	"C"	"40"
"2-2"	"za:sa:za"	"86-J-0-1"	"86"	"J"	"0"	"1"	39	"Testing"	2	15	"3B"	"C2"	"Down"	"38"	"40"	"C"	"40"
"2-2"	"za:sa:za"	"84-J-0-2"	"84"	"J"	"0"	"2"	40	"Testing"	2	16	"3B"	"C2"	"Right"	"37"	"39"	"C"	"39"
"2-2"	"za:sa:za"	"144-J-10-3"	"144"	"J"	"10"	"3"	41	"Testing"	2	17	"3B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-2"	"za:sa:za"	"87-J-10-4"	"87"	"J"	"10"	"4"	42	"Testing"	2	18	"3B"	"C2"	"Up"	"40"	"38"	"C"	"38"
"2-2"	"vashava"	"139-C-20-2"	"139"	"C"	"20"	"2"	43	"Testing"	2	19	"3B"	"C1"	"Right"	"37"	"39"	"C"	"37"
"2-2"	"vashava"	"100-C-30-3"	"100"	"C"	"30"	"3"	44	"Testing"	2	20	"3B"	"C1"	"Up"	"40"	"38"	"C"	"40"
"2-2"	"vashava"	"93-C-30-1"	"93"	"C"	"30"	"1"	45	"Testing"	2	21	"3B"	"C1"	"Down"	"38"	"40"	"C"	"38"
"2-2"	"vashava"	"74-C-20-4"	"74"	"C"	"20"	"4"	46	"Testing"	2	22	"3B"	"C1"	"Down"	"38"	"40"	"C"	"38"
