"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"2-4"	"fa:fasha"	"118-C-20-2"	"118"	"C"	"20"	"2"	1	"Testing"	1	1	"3B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"2-4"	"sasaza"	"94-J-0-2"	"94"	"J"	"0"	"2"	2	"Testing"	1	2	"3B"	"C2"	"Up"	"40"	"38"	"J"	"40"
"2-4"	"fa:fasha"	"7-C-20-4"	"7"	"C"	"20"	"4"	3	"Testing"	1	3	"3B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"2-4"	"fa:fasha"	"144-C-30-3"	"144"	"C"	"30"	"3"	4	"Testing"	1	4	"3B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"2-4"	"sasaza"	"118-J-0-2"	"118"	"J"	"0"	"2"	5	"Testing"	1	5	"3B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"2-4"	"fa:fasha"	"86-C-30-1"	"86"	"C"	"30"	"1"	6	"Testing"	1	6	"3B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"2-4"	"fa:fasha"	"84-C-20-2"	"84"	"C"	"20"	"2"	7	"Testing"	1	7	"3B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"2-4"	"sasaza"	"57-J-0-1"	"57"	"J"	"0"	"1"	8	"Testing"	1	8	"3B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"2-4"	"fa:fasha"	"100-C-30-3"	"100"	"C"	"30"	"3"	9	"Testing"	1	9	"3B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"2-4"	"sasaza"	"144-J-10-3"	"144"	"J"	"10"	"3"	10	"Testing"	1	10	"3B"	"C2"	"Up"	"40"	"38"	"J"	"40"
"2-4"	"sasaza"	"128-J-10-3"	"128"	"J"	"10"	"3"	11	"Testing"	1	11	"3B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"2-4"	"sasaza"	"93-J-0-1"	"93"	"J"	"0"	"1"	12	"Testing"	1	12	"3B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"2-4"	"fa:fasha"	"94-C-20-2"	"94"	"C"	"20"	"2"	13	"Testing"	1	13	"3B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"2-4"	"fa:fasha"	"74-C-20-4"	"74"	"C"	"20"	"4"	14	"Testing"	1	14	"3B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"2-4"	"sasaza"	"7-J-10-4"	"7"	"J"	"10"	"4"	15	"Testing"	1	15	"3B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"2-4"	"fa:fasha"	"128-C-30-3"	"128"	"C"	"30"	"3"	16	"Testing"	1	16	"3B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"2-4"	"sasaza"	"19-J-10-4"	"19"	"J"	"10"	"4"	17	"Testing"	1	17	"3B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"2-4"	"fa:fasha"	"57-C-30-1"	"57"	"C"	"30"	"1"	18	"Testing"	1	18	"3B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"2-4"	"sasaza"	"86-J-0-1"	"86"	"J"	"0"	"1"	19	"Testing"	1	19	"3B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"2-4"	"fa:fasha"	"19-C-20-4"	"19"	"C"	"20"	"4"	20	"Testing"	1	20	"3B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"2-4"	"sasaza"	"84-J-0-2"	"84"	"J"	"0"	"2"	21	"Testing"	1	21	"3B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"2-4"	"sasaza"	"74-J-10-4"	"74"	"J"	"10"	"4"	22	"Testing"	1	22	"3B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"2-4"	"fa:fasha"	"93-C-30-1"	"93"	"C"	"30"	"1"	23	"Testing"	1	23	"3B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"2-4"	"sasaza"	"100-J-10-3"	"100"	"J"	"10"	"3"	24	"Testing"	1	24	"3B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"2-4"	"sasaza"	"7-J-10-4"	"7"	"J"	"10"	"4"	25	"Testing"	2	1	"3B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"2-4"	"sasaza"	"19-J-10-4"	"19"	"J"	"10"	"4"	26	"Testing"	2	2	"3B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"2-4"	"fa:fasha"	"7-C-20-4"	"7"	"C"	"20"	"4"	27	"Testing"	2	3	"3B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"2-4"	"fa:fasha"	"93-C-30-1"	"93"	"C"	"30"	"1"	28	"Testing"	2	4	"3B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"2-4"	"sasaza"	"57-J-0-1"	"57"	"J"	"0"	"1"	29	"Testing"	2	5	"3B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"2-4"	"sasaza"	"84-J-0-2"	"84"	"J"	"0"	"2"	30	"Testing"	2	6	"3B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"2-4"	"fa:fasha"	"100-C-30-3"	"100"	"C"	"30"	"3"	31	"Testing"	2	7	"3B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"2-4"	"sasaza"	"100-J-10-3"	"100"	"J"	"10"	"3"	32	"Testing"	2	8	"3B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"2-4"	"fa:fasha"	"144-C-30-3"	"144"	"C"	"30"	"3"	33	"Testing"	2	9	"3B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"2-4"	"fa:fasha"	"19-C-20-4"	"19"	"C"	"20"	"4"	34	"Testing"	2	10	"3B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"2-4"	"sasaza"	"94-J-0-2"	"94"	"J"	"0"	"2"	35	"Testing"	2	11	"3B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"2-4"	"sasaza"	"86-J-0-1"	"86"	"J"	"0"	"1"	36	"Testing"	2	12	"3B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"2-4"	"sasaza"	"128-J-10-3"	"128"	"J"	"10"	"3"	37	"Testing"	2	13	"3B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"2-4"	"fa:fasha"	"94-C-20-2"	"94"	"C"	"20"	"2"	38	"Testing"	2	14	"3B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"2-4"	"fa:fasha"	"118-C-20-2"	"118"	"C"	"20"	"2"	39	"Testing"	2	15	"3B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"2-4"	"sasaza"	"118-J-0-2"	"118"	"J"	"0"	"2"	40	"Testing"	2	16	"3B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"2-4"	"fa:fasha"	"74-C-20-4"	"74"	"C"	"20"	"4"	41	"Testing"	2	17	"3B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"2-4"	"fa:fasha"	"128-C-30-3"	"128"	"C"	"30"	"3"	42	"Testing"	2	18	"3B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"2-4"	"sasaza"	"144-J-10-3"	"144"	"J"	"10"	"3"	43	"Testing"	2	19	"3B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"2-4"	"fa:fasha"	"86-C-30-1"	"86"	"C"	"30"	"1"	44	"Testing"	2	20	"3B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"2-4"	"sasaza"	"74-J-10-4"	"74"	"J"	"10"	"4"	45	"Testing"	2	21	"3B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"2-4"	"sasaza"	"93-J-0-1"	"93"	"J"	"0"	"1"	46	"Testing"	2	22	"3B"	"C2"	"Up"	"40"	"38"	"J"	"40"
