"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"3-2"	"vashava"	"7-C-20-4"	"7"	"C"	"20"	"4"	1	"Testing"	1	1	"3B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"3-2"	"sasaha"	"118-J-0-2"	"118"	"J"	"0"	"2"	2	"Testing"	1	2	"3B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"3-2"	"sasaha"	"94-J-0-2"	"94"	"J"	"0"	"2"	3	"Testing"	1	3	"3B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"3-2"	"vashava"	"118-C-20-2"	"118"	"C"	"20"	"2"	4	"Testing"	1	4	"3B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"3-2"	"vashava"	"74-C-20-4"	"74"	"C"	"20"	"4"	5	"Testing"	1	5	"3B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"3-2"	"vashava"	"87-C-20-4"	"87"	"C"	"20"	"4"	6	"Testing"	1	6	"3B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"3-2"	"vashava"	"94-C-20-2"	"94"	"C"	"20"	"2"	7	"Testing"	1	7	"3B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"3-2"	"vashava"	"128-C-30-3"	"128"	"C"	"30"	"3"	8	"Testing"	1	8	"3B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"3-2"	"sasaha"	"85-J-0-2"	"85"	"J"	"0"	"2"	9	"Testing"	1	9	"3B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"3-2"	"vashava"	"85-C-20-2"	"85"	"C"	"20"	"2"	10	"Testing"	1	10	"3B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"3-2"	"sasaha"	"87-J-10-4"	"87"	"J"	"10"	"4"	11	"Testing"	1	11	"3B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"3-2"	"sasaha"	"57-J-0-1"	"57"	"J"	"0"	"1"	12	"Testing"	1	12	"3B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"3-2"	"sasaha"	"144-J-10-3"	"144"	"J"	"10"	"3"	13	"Testing"	1	13	"3B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"3-2"	"vashava"	"93-C-30-1"	"93"	"C"	"30"	"1"	14	"Testing"	1	14	"3B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"3-2"	"sasaha"	"71-J-0-1"	"71"	"J"	"0"	"1"	15	"Testing"	1	15	"3B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"3-2"	"sasaha"	"7-J-10-4"	"7"	"J"	"10"	"4"	16	"Testing"	1	16	"3B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"3-2"	"sasaha"	"128-J-10-3"	"128"	"J"	"10"	"3"	17	"Testing"	1	17	"3B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"3-2"	"vashava"	"44-C-30-3"	"44"	"C"	"30"	"3"	18	"Testing"	1	18	"3B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"3-2"	"vashava"	"71-C-30-1"	"71"	"C"	"30"	"1"	19	"Testing"	1	19	"3B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"3-2"	"sasaha"	"44-J-10-3"	"44"	"J"	"10"	"3"	20	"Testing"	1	20	"3B"	"C2"	"Up"	"40"	"38"	"J"	"40"
"3-2"	"sasaha"	"93-J-0-1"	"93"	"J"	"0"	"1"	21	"Testing"	1	21	"3B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"3-2"	"vashava"	"144-C-30-3"	"144"	"C"	"30"	"3"	22	"Testing"	1	22	"3B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"3-2"	"sasaha"	"74-J-10-4"	"74"	"J"	"10"	"4"	23	"Testing"	1	23	"3B"	"C2"	"Up"	"40"	"38"	"J"	"40"
"3-2"	"vashava"	"57-C-30-1"	"57"	"C"	"30"	"1"	24	"Testing"	1	24	"3B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"3-2"	"vashava"	"94-C-20-2"	"94"	"C"	"20"	"2"	25	"Testing"	2	1	"3B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"3-2"	"sasaha"	"71-J-0-1"	"71"	"J"	"0"	"1"	26	"Testing"	2	2	"3B"	"C2"	"Up"	"40"	"38"	"J"	"40"
"3-2"	"vashava"	"71-C-30-1"	"71"	"C"	"30"	"1"	27	"Testing"	2	3	"3B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"3-2"	"sasaha"	"93-J-0-1"	"93"	"J"	"0"	"1"	28	"Testing"	2	4	"3B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"3-2"	"sasaha"	"44-J-10-3"	"44"	"J"	"10"	"3"	29	"Testing"	2	5	"3B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"3-2"	"sasaha"	"128-J-10-3"	"128"	"J"	"10"	"3"	30	"Testing"	2	6	"3B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"3-2"	"vashava"	"85-C-20-2"	"85"	"C"	"20"	"2"	31	"Testing"	2	7	"3B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"3-2"	"vashava"	"44-C-30-3"	"44"	"C"	"30"	"3"	32	"Testing"	2	8	"3B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"3-2"	"vashava"	"57-C-30-1"	"57"	"C"	"30"	"1"	33	"Testing"	2	9	"3B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"3-2"	"sasaha"	"57-J-0-1"	"57"	"J"	"0"	"1"	34	"Testing"	2	10	"3B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"3-2"	"vashava"	"87-C-20-4"	"87"	"C"	"20"	"4"	35	"Testing"	2	11	"3B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"3-2"	"sasaha"	"144-J-10-3"	"144"	"J"	"10"	"3"	36	"Testing"	2	12	"3B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"3-2"	"sasaha"	"85-J-0-2"	"85"	"J"	"0"	"2"	37	"Testing"	2	13	"3B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"3-2"	"vashava"	"74-C-20-4"	"74"	"C"	"20"	"4"	38	"Testing"	2	14	"3B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"3-2"	"vashava"	"118-C-20-2"	"118"	"C"	"20"	"2"	39	"Testing"	2	15	"3B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"3-2"	"vashava"	"7-C-20-4"	"7"	"C"	"20"	"4"	40	"Testing"	2	16	"3B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"3-2"	"sasaha"	"94-J-0-2"	"94"	"J"	"0"	"2"	41	"Testing"	2	17	"3B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"3-2"	"sasaha"	"118-J-0-2"	"118"	"J"	"0"	"2"	42	"Testing"	2	18	"3B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"3-2"	"sasaha"	"7-J-10-4"	"7"	"J"	"10"	"4"	43	"Testing"	2	19	"3B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"3-2"	"vashava"	"93-C-30-1"	"93"	"C"	"30"	"1"	44	"Testing"	2	20	"3B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"3-2"	"sasaha"	"74-J-10-4"	"74"	"J"	"10"	"4"	45	"Testing"	2	21	"3B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"3-2"	"vashava"	"128-C-30-3"	"128"	"C"	"30"	"3"	46	"Testing"	2	22	"3B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"3-2"	"vashava"	"144-C-30-3"	"144"	"C"	"30"	"3"	47	"Testing"	2	23	"3B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"3-2"	"sasaha"	"87-J-10-4"	"87"	"J"	"10"	"4"	48	"Testing"	2	24	"3B"	"C2"	"Up"	"40"	"38"	"J"	"40"
"3-2"	"vashava"	"118-C-20-2"	"118"	"C"	"20"	"2"	49	"Testing"	3	1	"3B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"3-2"	"sasaha"	"74-J-10-4"	"74"	"J"	"10"	"4"	50	"Testing"	3	2	"3B"	"C2"	"Up"	"40"	"38"	"J"	"40"
"3-2"	"sasaha"	"93-J-0-1"	"93"	"J"	"0"	"1"	51	"Testing"	3	3	"3B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"3-2"	"vashava"	"85-C-20-2"	"85"	"C"	"20"	"2"	52	"Testing"	3	4	"3B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"3-2"	"sasaha"	"7-J-10-4"	"7"	"J"	"10"	"4"	53	"Testing"	3	5	"3B"	"C2"	"Up"	"40"	"38"	"J"	"40"
"3-2"	"vashava"	"87-C-20-4"	"87"	"C"	"20"	"4"	54	"Testing"	3	6	"3B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"3-2"	"vashava"	"94-C-20-2"	"94"	"C"	"20"	"2"	55	"Testing"	3	7	"3B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"3-2"	"vashava"	"93-C-30-1"	"93"	"C"	"30"	"1"	56	"Testing"	3	8	"3B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"3-2"	"sasaha"	"94-J-0-2"	"94"	"J"	"0"	"2"	57	"Testing"	3	9	"3B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"3-2"	"sasaha"	"118-J-0-2"	"118"	"J"	"0"	"2"	58	"Testing"	3	10	"3B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"3-2"	"sasaha"	"128-J-10-3"	"128"	"J"	"10"	"3"	59	"Testing"	3	11	"3B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"3-2"	"vashava"	"71-C-30-1"	"71"	"C"	"30"	"1"	60	"Testing"	3	12	"3B"	"C1"	"Right"	"37"	"39"	"J"	"39"
