"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"3-4"	"malana"	"144-C-30-3"	"144"	"C"	"30"	"3"	1	"Testing"	1	1	"4"	"S"	"Right"	"37"	"39"	"C"	"37"
"3-4"	"pa:pata"	"84-J-0-2"	"84"	"J"	"0"	"2"	2	"Testing"	1	2	"4"	"P"	"Down"	"38"	"40"	"C"	"40"
"3-4"	"papa:ta"	"74-J-10-4"	"74"	"J"	"10"	"4"	3	"Testing"	1	3	"4"	"P"	"Up"	"40"	"38"	"C"	"38"
"3-4"	"ta:ka:ka"	"86-J-0-1"	"86"	"J"	"0"	"1"	4	"Testing"	1	4	"4"	"P"	"Down"	"38"	"40"	"C"	"40"
"3-4"	"mama:na"	"139-C-20-2"	"139"	"C"	"20"	"2"	5	"Testing"	1	5	"4"	"S"	"Left"	"39"	"37"	"C"	"39"
"3-4"	"papa:ka"	"144-J-10-3"	"144"	"J"	"10"	"3"	6	"Testing"	1	6	"4"	"P"	"Left"	"39"	"37"	"C"	"37"
"3-4"	"nalala"	"111-C-30-3"	"111"	"C"	"30"	"3"	7	"Testing"	1	7	"4"	"S"	"Left"	"39"	"37"	"C"	"39"
"3-4"	"tapa:ta"	"57-J-0-1"	"57"	"J"	"0"	"1"	8	"Testing"	1	8	"4"	"P"	"Up"	"40"	"38"	"C"	"38"
"3-4"	"takaka"	"85-J-0-2"	"85"	"J"	"0"	"2"	9	"Testing"	1	9	"4"	"P"	"Up"	"40"	"38"	"C"	"38"
"3-4"	"ta:paka"	"139-J-0-2"	"139"	"J"	"0"	"2"	10	"Testing"	1	10	"4"	"P"	"Up"	"40"	"38"	"C"	"38"
"3-4"	"nama:na"	"84-C-20-2"	"84"	"C"	"20"	"2"	11	"Testing"	1	11	"4"	"S"	"Right"	"37"	"39"	"C"	"37"
"3-4"	"ma:ma:la"	"86-C-30-1"	"86"	"C"	"30"	"1"	12	"Testing"	1	12	"4"	"S"	"Left"	"39"	"37"	"C"	"39"
"3-4"	"mala:na"	"102-C-20-4"	"102"	"C"	"20"	"4"	13	"Testing"	1	13	"4"	"S"	"Down"	"38"	"40"	"C"	"38"
"3-4"	"namana"	"71-C-30-1"	"71"	"C"	"30"	"1"	14	"Testing"	1	14	"4"	"S"	"Right"	"37"	"39"	"C"	"37"
"3-4"	"ma:mala"	"57-C-30-1"	"57"	"C"	"30"	"1"	15	"Testing"	1	15	"4"	"S"	"Down"	"38"	"40"	"C"	"38"
"3-4"	"ta:kaka"	"102-J-10-4"	"102"	"J"	"10"	"4"	16	"Testing"	1	16	"4"	"P"	"Right"	"37"	"39"	"C"	"39"
"3-4"	"na:mana"	"100-C-30-3"	"100"	"C"	"30"	"3"	17	"Testing"	1	17	"4"	"S"	"Down"	"38"	"40"	"C"	"38"
"3-4"	"na:lana"	"74-C-20-4"	"74"	"C"	"20"	"4"	18	"Testing"	1	18	"4"	"S"	"Right"	"37"	"39"	"C"	"37"
"3-4"	"ma:lala"	"85-C-20-2"	"85"	"C"	"20"	"2"	19	"Testing"	1	19	"4"	"S"	"Left"	"39"	"37"	"C"	"39"
"3-4"	"paka:ka"	"7-J-10-4"	"7"	"J"	"10"	"4"	20	"Testing"	1	20	"4"	"P"	"Up"	"40"	"38"	"C"	"38"
"3-4"	"papata"	"111-J-10-3"	"111"	"J"	"10"	"3"	21	"Testing"	1	21	"4"	"P"	"Right"	"37"	"39"	"C"	"39"
"3-4"	"pa:ka:ka"	"100-J-10-3"	"100"	"J"	"10"	"3"	22	"Testing"	1	22	"4"	"P"	"Left"	"39"	"37"	"C"	"37"
"3-4"	"pakata"	"71-J-0-1"	"71"	"J"	"0"	"1"	23	"Testing"	1	23	"4"	"P"	"Up"	"40"	"38"	"C"	"38"
"3-4"	"nala:la"	"7-C-20-4"	"7"	"C"	"20"	"4"	24	"Testing"	1	24	"4"	"S"	"Down"	"38"	"40"	"C"	"38"
"3-4"	"ta:ka:ka"	"86-J-0-1"	"86"	"J"	"0"	"1"	25	"Testing"	2	1	"4"	"P"	"Down"	"38"	"40"	"C"	"40"
"3-4"	"na:mana"	"100-C-30-3"	"100"	"C"	"30"	"3"	26	"Testing"	2	2	"4"	"S"	"Down"	"38"	"40"	"C"	"38"
"3-4"	"ma:mala"	"57-C-30-1"	"57"	"C"	"30"	"1"	27	"Testing"	2	3	"4"	"S"	"Right"	"37"	"39"	"C"	"37"
"3-4"	"nalala"	"111-C-30-3"	"111"	"C"	"30"	"3"	28	"Testing"	2	4	"4"	"S"	"Up"	"40"	"38"	"C"	"40"
"3-4"	"ma:ma:la"	"86-C-30-1"	"86"	"C"	"30"	"1"	29	"Testing"	2	5	"4"	"S"	"Left"	"39"	"37"	"C"	"39"
"3-4"	"papa:ka"	"144-J-10-3"	"144"	"J"	"10"	"3"	30	"Testing"	2	6	"4"	"P"	"Up"	"40"	"38"	"C"	"38"
"3-4"	"nala:la"	"7-C-20-4"	"7"	"C"	"20"	"4"	31	"Testing"	2	7	"4"	"S"	"Up"	"40"	"38"	"C"	"40"
"3-4"	"tapa:ta"	"57-J-0-1"	"57"	"J"	"0"	"1"	32	"Testing"	2	8	"4"	"P"	"Down"	"38"	"40"	"C"	"40"
