"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"1-1"	"fafava"	"85-J-0-2"	"85"	"J"	"0"	"2"	1	"Testing"	1	1	"6A"	"C1"	"Left"	"39"	"37"	"J"	"39"
"1-1"	"sasaza"	"128-C-30-3"	"128"	"C"	"30"	"3"	2	"Testing"	1	2	"6A"	"C2"	"Up"	"40"	"38"	"J"	"38"
"1-1"	"fa:fasha"	"44-J-10-3"	"44"	"J"	"10"	"3"	3	"Testing"	1	3	"6A"	"C1"	"Up"	"40"	"38"	"J"	"40"
"1-1"	"fa:fava"	"57-J-0-1"	"57"	"J"	"0"	"1"	4	"Testing"	1	4	"6A"	"C1"	"Right"	"37"	"39"	"J"	"37"
"1-1"	"vashava"	"86-J-0-1"	"86"	"J"	"0"	"1"	5	"Testing"	1	5	"6A"	"C1"	"Right"	"37"	"39"	"J"	"37"
"1-1"	"zasaha"	"86-C-30-1"	"86"	"C"	"30"	"1"	6	"Testing"	1	6	"6A"	"C2"	"Down"	"38"	"40"	"J"	"40"
"1-1"	"sasa:za"	"144-C-30-3"	"144"	"C"	"30"	"3"	7	"Testing"	1	7	"6A"	"C2"	"Right"	"37"	"39"	"J"	"39"
"1-1"	"fafa:va"	"19-J-10-4"	"19"	"J"	"10"	"4"	8	"Testing"	1	8	"6A"	"C1"	"Left"	"39"	"37"	"J"	"39"
"1-1"	"fa:shasha"	"7-J-10-4"	"7"	"J"	"10"	"4"	9	"Testing"	1	9	"6A"	"C1"	"Up"	"40"	"38"	"J"	"40"
"1-1"	"vafa:sha"	"74-J-10-4"	"74"	"J"	"10"	"4"	10	"Testing"	1	10	"6A"	"C1"	"Up"	"40"	"38"	"J"	"40"
