"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"1-5"	"vasha:sha"	"86-C-30-1"	"86"	"C"	"30"	"1"	1	"Testing"	1	1	"6B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"1-5"	"fa:sha:sha"	"85-C-20-2"	"85"	"C"	"20"	"2"	2	"Testing"	1	2	"6B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"1-5"	"sasa:za"	"84-J-0-2"	"84"	"J"	"0"	"2"	3	"Testing"	1	3	"6B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"1-5"	"sasa:ha"	"44-J-10-3"	"44"	"J"	"10"	"3"	4	"Testing"	1	4	"6B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"1-5"	"vafa:va"	"27-C-30-1"	"27"	"C"	"30"	"1"	5	"Testing"	1	5	"6B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"1-5"	"za:saza"	"118-J-0-2"	"118"	"J"	"0"	"2"	6	"Testing"	1	6	"6B"	"C2"	"Down"	"38"	"40"	"J"	"38"
"1-5"	"sasaza"	"74-J-10-4"	"74"	"J"	"10"	"4"	7	"Testing"	1	7	"6B"	"C2"	"Up"	"40"	"38"	"J"	"40"
"1-5"	"va:fasha"	"84-C-20-2"	"84"	"C"	"20"	"2"	8	"Testing"	1	8	"6B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"1-5"	"va:sha:sha"	"74-C-20-4"	"74"	"C"	"20"	"4"	9	"Testing"	1	9	"6B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"1-5"	"fasha:sha"	"118-C-20-2"	"118"	"C"	"20"	"2"	10	"Testing"	1	10	"6B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"1-5"	"zasaza"	"86-J-0-1"	"86"	"J"	"0"	"1"	11	"Testing"	1	11	"6B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"1-5"	"saha:ha"	"111-J-10-3"	"111"	"J"	"10"	"3"	12	"Testing"	1	12	"6B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"1-5"	"za:ha:ha"	"57-J-0-1"	"57"	"J"	"0"	"1"	13	"Testing"	1	13	"6B"	"C2"	"Up"	"40"	"38"	"J"	"40"
"1-5"	"fafa:va"	"111-C-30-3"	"111"	"C"	"30"	"3"	14	"Testing"	1	14	"6B"	"C1"	"Right"	"37"	"39"	"J"	"39"
"1-5"	"za:haha"	"85-J-0-2"	"85"	"J"	"0"	"2"	15	"Testing"	1	15	"6B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"1-5"	"fa:sha:va"	"144-C-30-3"	"144"	"C"	"30"	"3"	16	"Testing"	1	16	"6B"	"C1"	"Right"	"37"	"39"	"J"	"39"
